BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_10,eth2_30,eth2_23,eth2_14,eth2_21,eth2_34,eth2_12,eth2_33,eth2_32,eth2_unk
010399616001,1130,920,130,80,0,0,974,12,58,9,4,73,974,57,12,1,3,4,0,0,3,0,0,1,0,0,73
010399616002,554,491,41,22,0,0,501,6,11,5,0,31,501,11,6,0,0,2,0,0,1,1,0,0,0,0,31
010399616003,606,546,40,20,0,0,546,2,7,6,5,40,546,7,2,0,0,1,0,3,0,1,1,1,0,2,40
010399616004,847,698,82,67,0,0,747,7,38,3,5,47,747,38,7,0,3,0,0,1,2,0,2,0,0,0,47
010399617001,1053,834,165,54,0,0,874,8,103,7,5,56,874,103,8,0,1,0,1,0,4,1,3,2,0,0,56
010399617002,686,561,87,38,0,0,580,1,50,8,3,44,580,49,1,1,0,2,2,1,1,3,0,0,0,1,44
010399617003,1057,851,155,51,0,0,877,12,109,0,10,49,877,108,12,1,9,0,0,0,0,0,0,0,0,0,49
010399618001,984,718,207,59,0,0,781,16,137,6,6,38,781,137,16,0,6,0,0,4,0,0,0,1,0,0,38
010399618002,1266,758,456,52,0,0,811,16,387,4,5,43,811,386,16,1,2,1,1,1,1,1,2,0,0,0,43
010399619001,503,397,87,19,0,0,440,2,42,2,2,15,440,42,2,0,2,0,0,1,1,0,0,0,0,0,15
010399619002,1117,833,223,61,0,0,886,13,162,5,4,47,886,160,13,2,1,0,0,0,4,1,0,0,0,2,47
010399620001,1129,880,168,81,0,0,945,17,78,20,7,62,945,77,17,1,2,1,0,13,2,3,1,0,0,1,62
010399620002,733,444,262,27,0,0,454,5,244,0,2,28,454,240,4,4,2,0,0,0,0,0,0,0,0,0,28
010399620003,634,454,139,41,0,0,494,13,81,12,3,31,494,81,13,0,0,2,1,4,4,2,1,0,0,0,31
010399620004,480,166,290,24,0,0,196,12,264,0,1,7,196,262,12,2,1,0,0,0,0,0,0,0,0,0,7
010399621001,379,171,172,36,0,0,192,9,155,4,2,17,192,154,9,1,2,1,0,1,0,2,0,0,0,0,17
010399621002,683,432,213,38,0,0,474,25,144,14,3,23,474,144,24,0,1,7,0,1,1,4,2,0,0,0,23
010399623001,612,546,28,38,0,0,565,4,5,3,7,28,565,5,4,0,0,0,0,1,2,0,7,0,0,0,28
010399623002,896,772,60,64,0,0,801,9,17,10,11,48,801,17,8,0,6,1,0,4,1,4,1,0,2,0,48
010399623003,698,619,42,37,0,0,627,8,5,4,8,46,627,5,8,0,5,3,0,0,1,0,3,0,0,0,46
010399624001,463,402,45,16,0,0,410,0,29,1,2,21,410,29,0,0,0,0,0,0,0,1,0,0,0,0,21
010399624002,509,451,30,28,0,0,460,4,9,3,1,32,460,9,4,0,0,0,1,1,1,1,0,0,0,0,32
010399624003,573,476,71,26,0,0,498,6,39,5,3,22,498,39,6,0,1,0,1,1,0,4,0,0,0,0,22
010399624004,953,812,101,40,0,0,839,14,43,4,2,51,839,43,14,0,1,1,0,0,2,0,0,0,0,0,51
010399625001,391,308,52,31,0,0,322,6,25,2,4,32,322,24,6,1,2,0,0,1,1,0,1,0,0,1,32
010399625002,532,422,65,45,0,0,461,1,43,1,2,24,461,43,1,0,0,1,0,0,0,0,0,0,0,0,24
010399626001,381,260,89,32,0,0,285,7,64,2,3,20,285,64,7,0,1,1,0,0,0,0,1,0,0,0,20
010399626002,486,321,114,51,0,0,389,13,45,2,8,29,389,45,13,0,4,1,1,0,0,0,0,0,0,0,29
010399627001,576,343,191,42,0,0,364,9,171,6,2,24,364,170,7,1,1,1,0,1,0,3,0,0,0,0,24
010399627002,551,196,334,21,0,0,192,3,336,4,1,15,192,333,3,3,0,0,1,3,0,0,0,0,0,0,15
010399628001,468,424,17,27,0,0,438,3,0,3,1,23,438,0,3,0,1,1,0,0,0,2,0,0,0,0,23
010399628002,631,540,35,56,0,0,582,7,3,3,3,33,582,3,7,0,1,0,0,0,0,1,0,0,0,0,33
010399629001,533,473,34,26,0,0,484,2,3,2,8,34,484,3,2,0,3,0,0,0,1,0,1,0,4,0,34
010399629002,633,553,57,23,0,0,566,6,18,0,7,36,566,17,6,1,5,0,1,0,0,0,0,0,0,0,36
010399630001,653,519,99,35,0,0,565,7,49,1,3,28,565,49,7,0,3,1,0,0,0,0,0,0,0,0,28
010399630002,584,490,57,37,0,0,521,4,25,2,3,29,521,25,4,0,2,1,0,0,0,1,0,0,0,0,29
010399630003,571,352,175,44,0,0,391,11,132,6,3,28,391,132,10,0,2,1,0,3,0,2,0,0,0,0,28
010399630004,590,430,130,30,0,0,435,8,96,2,4,45,435,96,8,0,4,0,0,0,0,1,0,1,0,0,45
010872314001,912,323,554,35,0,0,367,13,501,5,7,19,367,494,13,7,3,0,2,0,0,1,0,1,0,0,19
010872315001,713,251,438,24,0,0,309,6,375,2,2,19,309,371,6,4,1,0,0,2,0,0,1,0,0,0,19
010872315002,634,267,344,23,0,0,325,5,285,3,1,15,325,280,5,5,1,0,0,1,2,0,0,0,0,0,15
010872315003,916,360,518,38,0,0,455,12,422,2,10,15,455,419,10,3,2,0,4,1,1,0,0,0,0,2,15
010872316011,1044,159,868,17,0,0,195,2,822,2,0,23,195,821,2,1,0,1,0,0,0,1,0,0,0,0,23
010872316021,451,19,429,3,0,0,19,0,427,0,2,3,19,424,0,3,0,0,0,0,0,0,2,0,0,0,3
010872316022,846,19,820,7,0,0,20,3,816,2,0,5,20,809,3,7,0,0,0,1,0,0,0,0,0,0,5
010872316031,881,95,775,11,0,0,80,5,787,0,1,8,80,784,5,3,1,0,0,0,0,0,0,0,0,0,8
010872317001,304,9,292,3,0,0,4,0,298,1,0,1,4,295,0,3,0,0,0,1,0,0,0,0,0,0,1
010872318001,543,4,537,2,0,0,6,0,537,0,0,0,6,534,0,3,0,0,0,0,0,0,0,0,0,0,0
010872318002,342,15,326,1,0,0,2,0,340,0,0,0,2,337,0,3,0,0,0,0,0,0,0,0,0,0,0
010872319001,553,7,540,6,0,0,1,2,550,0,0,0,1,544,2,6,0,0,0,0,0,0,0,0,0,0,0
010872319002,1074,28,1030,16,0,0,23,3,1036,0,7,5,23,1019,3,17,3,0,4,0,0,0,0,0,0,0,5
010872320001,800,57,726,17,0,0,46,5,742,1,2,4,46,732,5,10,0,1,2,0,0,0,0,0,0,0,4
010872320002,610,16,588,6,0,0,20,4,585,0,0,1,20,580,4,5,0,0,0,0,0,0,0,0,0,0,1
010872321001,2556,14,2500,42,0,0,28,17,2505,2,2,2,28,2476,16,29,1,0,0,1,1,0,0,0,0,0,2
010872321002,613,21,586,6,0,0,2,2,605,0,1,3,2,599,2,6,1,0,0,0,0,0,0,0,0,0,3
010872322001,889,127,740,22,0,0,158,6,707,7,0,11,158,701,6,6,0,1,0,3,3,0,0,0,0,0,11
010872322002,711,132,571,8,0,0,145,5,542,1,0,18,145,536,5,6,0,0,0,0,1,0,0,0,0,0,18
010872323001,743,61,673,9,0,0,69,2,667,1,0,4,69,663,2,4,0,0,0,0,1,0,0,0,0,0,4
010872323002,390,31,357,2,0,0,36,0,351,0,0,3,36,346,0,5,0,0,0,0,0,0,0,0,0,0,3
010919729011,786,154,616,16,0,0,192,8,568,6,3,9,192,564,8,4,0,0,3,0,4,2,0,0,0,0,9
010919729012,417,94,311,12,0,0,116,1,289,1,1,9,116,289,1,0,0,0,0,1,0,0,1,0,0,0,9
010919729021,795,457,294,44,0,0,491,20,226,1,6,51,491,225,18,1,2,0,4,0,0,0,0,0,0,0,51
010919729022,639,28,599,12,0,0,36,0,594,3,0,6,36,592,0,2,0,0,0,3,0,0,0,0,0,0,6
010919729023,819,111,697,11,0,0,119,5,683,3,0,9,119,681,5,2,0,1,0,0,0,2,0,0,0,0,9
010919730011,1216,320,871,25,0,0,354,3,824,1,2,32,354,821,3,3,1,0,1,1,0,0,0,0,0,0,32
010919730021,694,332,336,26,0,0,390,6,271,2,0,25,390,269,6,2,0,1,0,0,0,1,0,0,0,0,25
010919730022,423,243,168,12,0,0,290,3,116,0,1,13,290,116,3,0,0,0,1,0,0,0,0,0,0,0,13
010919730023,405,249,144,12,0,0,283,3,97,1,2,19,283,97,3,0,0,1,0,0,0,0,0,0,0,0,19
010919730024,347,171,173,3,0,0,193,0,138,0,1,15,193,138,0,0,0,0,0,0,0,0,1,0,0,0,15
010919730025,395,147,241,7,0,0,160,2,223,1,0,9,160,223,2,0,0,1,0,0,0,0,0,0,0,0,9
010919731001,715,228,481,6,0,0,250,2,446,0,1,16,250,446,2,0,1,0,0,0,0,0,0,0,0,0,16
010919731002,481,156,316,9,0,0,168,1,294,0,1,17,168,294,1,0,1,0,0,0,0,0,0,0,0,0,17
010919731003,530,135,393,2,0,0,150,0,375,0,1,4,150,374,0,1,0,0,0,0,0,0,0,0,0,0,4
010919732001,586,252,322,12,0,0,279,2,286,4,1,14,279,286,2,0,0,1,1,2,1,0,0,0,0,0,14
010919732002,623,49,571,3,0,0,44,1,569,0,1,8,44,569,1,0,1,0,0,0,0,0,0,0,0,0,8
010919732003,587,204,373,10,0,0,218,1,341,0,2,25,218,341,1,0,0,0,0,0,0,0,1,0,0,0,25
010919733001,419,128,286,5,0,0,151,1,261,0,0,6,151,260,1,1,0,0,0,0,0,0,0,0,0,0,6
010919733002,729,439,274,16,0,0,505,0,205,2,1,16,505,205,0,0,1,0,0,0,1,1,0,0,0,0,16
010919733003,502,150,346,6,0,0,155,6,327,0,0,14,155,327,6,0,0,0,0,0,0,0,0,0,0,0,14
010919734001,1169,662,463,44,0,0,732,17,362,8,8,42,732,361,17,1,4,5,2,2,1,0,0,0,0,0,42
010919734002,609,416,172,21,0,0,474,9,88,2,1,35,474,88,9,0,0,0,1,1,0,1,0,0,0,0,35
010919734003,623,271,337,15,0,0,297,4,305,2,0,15,297,304,4,1,0,0,0,0,2,0,0,0,0,0,15
010919734004,516,226,273,17,0,0,249,2,246,1,1,17,249,245,2,1,0,0,0,0,0,1,0,0,0,0,17
010919734005,383,198,171,14,0,0,243,14,118,0,3,5,243,117,14,1,0,0,0,0,0,0,0,0,0,3,5
010179538001,958,716,209,33,0,0,774,6,142,2,6,28,774,141,6,1,2,2,0,0,0,0,3,0,0,0,28
010179538002,924,603,289,32,0,0,641,4,237,3,3,36,641,237,4,0,2,1,1,0,2,0,0,0,0,0,36
010179538003,469,189,274,6,0,0,201,4,255,1,0,8,201,250,4,5,0,0,0,0,1,0,0,0,0,0,8
010179539001,685,465,189,31,0,0,496,8,133,3,6,39,496,132,8,1,5,1,1,1,1,0,0,0,0,0,39
010179539002,546,164,371,11,0,0,185,8,338,1,3,11,185,334,8,4,0,1,3,0,0,0,0,0,0,0,11
010179539003,901,250,624,27,0,0,290,7,577,5,2,20,290,574,7,3,2,2,0,1,2,0,0,0,0,0,20
010179540011,813,452,346,15,0,0,461,4,320,2,1,25,461,320,4,0,1,2,0,0,0,0,0,0,0,0,25
010179540012,918,418,481,19,0,0,445,4,444,0,7,18,445,441,4,3,0,0,1,0,0,0,6,0,0,0,18
010179540021,707,250,442,15,0,0,260,5,427,4,1,10,260,425,5,2,1,1,0,0,1,2,0,0,0,0,10
010179540022,696,249,421,26,0,0,283,5,395,1,2,10,283,391,5,4,2,0,0,1,0,0,0,0,0,0,10
010179540023,885,229,645,11,0,0,239,4,638,0,1,3,239,631,4,7,1,0,0,0,0,0,0,0,0,0,3
010179540024,688,282,399,7,0,0,295,6,378,1,0,8,295,374,6,4,0,0,0,0,1,0,0,0,0,0,8
010179542001,1033,615,356,62,0,0,714,8,276,2,4,29,714,276,8,0,2,1,1,0,0,0,1,1,0,0,29
010179542002,1284,824,397,63,0,0,906,14,322,7,4,31,906,317,14,5,2,2,2,1,3,1,0,0,0,0,31
010179543001,758,216,507,35,0,0,247,11,452,25,4,19,247,447,11,5,3,6,0,5,13,0,0,0,0,0,19
010179543002,868,620,189,59,0,0,679,9,135,5,6,34,679,135,9,0,2,0,0,3,2,0,1,0,0,0,34
010179543003,616,387,205,24,0,0,412,5,178,1,0,20,412,171,4,7,0,1,0,0,0,0,0,0,0,0,20
010179543004,1020,321,652,47,0,0,367,13,606,11,0,23,367,601,13,5,0,0,0,1,7,0,0,1,0,0,23
010179546001,761,522,198,41,0,0,557,12,157,9,0,26,557,156,12,1,0,3,0,0,3,3,0,0,0,0,26
010179546002,833,596,182,55,0,0,667,10,114,2,2,38,667,114,10,0,1,1,1,0,1,0,0,0,0,0,38
010179546003,859,484,328,47,0,0,544,17,250,6,3,39,544,249,16,1,3,0,0,3,2,1,0,0,0,0,39
010179547001,777,358,385,34,0,0,389,12,340,3,0,33,389,338,12,2,0,1,0,0,1,1,0,0,0,0,33
010179547002,1103,604,465,34,0,0,653,8,412,5,4,21,653,411,8,1,4,1,0,4,0,0,0,0,0,0,21
010179547003,814,470,295,49,0,0,508,5,255,4,1,41,508,252,5,3,1,1,0,1,1,1,0,0,0,0,41
010179547004,725,543,137,45,0,0,603,9,76,3,4,30,603,76,9,0,3,0,0,1,2,0,0,0,0,0,30
010179548001,989,490,466,33,0,0,546,17,402,2,1,21,546,398,17,4,1,1,0,0,1,0,0,0,0,0,21
010179548002,632,197,423,12,0,0,214,13,386,3,6,10,214,382,13,4,4,1,0,0,0,2,0,0,1,0,10
010179548003,461,121,327,13,0,0,151,8,296,1,2,3,151,291,8,5,0,0,2,1,0,0,0,0,0,0,3
010179548004,539,209,309,21,0,0,249,6,270,0,1,13,249,268,6,2,1,0,0,0,0,0,0,0,0,0,13
