BlockGroupID,total_reg,party_npp,party_rep,party_dem,party_lib,party_grn,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_21,eth2_34,eth2_14,eth2_unk
050899601001,445,137,222,86,0,0,0,0,0,412,7,0,2,2,22,412,0,6,2,1,0,0,1,0,22
050899601002,639,211,312,116,0,0,0,0,0,569,13,0,3,5,49,569,0,13,2,0,0,1,2,0,49
050899601003,532,159,282,91,0,0,0,0,0,481,6,2,1,1,41,481,2,6,1,0,0,0,1,0,41
050899601004,514,139,278,97,0,0,0,0,0,480,3,0,2,0,29,480,0,3,0,0,0,0,0,1,29
050899602011,991,349,452,190,0,0,0,0,0,875,16,7,9,8,76,875,7,16,1,1,1,0,6,3,76
050899602012,503,166,243,94,0,0,0,0,0,442,13,4,4,1,39,442,4,13,0,0,1,2,0,1,39
050899602013,372,154,165,53,0,0,0,0,0,338,6,6,4,0,18,338,6,6,0,0,1,2,0,1,18
050899602021,1176,436,559,181,0,0,0,0,0,1057,15,7,5,7,85,1057,7,15,1,1,2,1,0,0,85
050899602022,566,184,308,74,0,0,0,0,0,516,4,1,1,0,44,516,1,4,0,0,0,1,0,0,44
050899602023,455,164,217,74,0,0,0,0,0,410,6,0,1,3,35,410,0,6,1,0,0,0,2,0,35
050899603011,370,158,154,58,0,0,0,0,0,328,5,2,0,3,32,328,2,5,0,0,0,0,1,0,32
050899603012,295,110,134,51,0,0,0,0,0,258,6,0,2,0,29,258,0,6,2,0,0,0,0,0,29
050899603013,316,121,137,58,0,0,0,0,0,289,3,1,2,0,21,289,1,3,1,0,0,0,0,1,21
050899603021,545,181,267,97,0,0,0,0,0,477,15,1,4,2,46,477,1,15,1,1,0,1,1,0,46
050899603022,532,195,222,115,0,0,0,0,0,479,4,0,3,3,43,479,0,4,1,1,2,0,0,0,43
050899603023,462,146,239,77,0,0,0,0,0,399,5,1,3,1,53,399,1,5,0,1,0,1,0,0,53
050899603024,349,147,127,75,0,0,0,0,0,304,9,0,3,5,28,304,0,9,0,0,0,3,0,0,28
050097901001,1556,708,657,189,2,0,0,0,0,1407,28,5,8,12,96,1407,5,26,7,5,0,0,7,1,96
050097901002,1601,566,785,250,0,0,0,0,0,1477,28,2,11,3,80,1477,2,28,8,3,0,0,0,1,80
050097901003,1296,488,634,172,0,2,0,0,0,1164,13,2,12,6,99,1164,2,13,3,2,4,0,2,1,99
050097902001,1030,435,414,181,0,0,0,0,0,936,20,4,3,4,63,936,4,20,1,0,0,0,2,2,63
050097902002,440,222,149,69,0,0,0,0,0,380,5,2,3,1,49,380,2,5,0,0,1,1,0,1,49
050097902003,881,365,417,98,1,0,0,0,0,814,8,2,3,1,53,814,2,8,2,0,0,1,0,0,53
050097902004,1260,564,539,156,0,1,0,0,0,1129,35,8,1,5,82,1129,8,31,0,0,0,0,3,1,82
050097903001,1219,492,543,184,0,0,0,0,0,1127,16,1,5,4,66,1127,1,15,3,3,1,1,0,0,66
050097903002,974,457,376,141,0,0,0,0,0,901,11,3,2,3,54,901,3,11,0,0,0,2,0,0,54
050097903003,1096,419,536,141,0,0,0,0,0,1006,10,7,6,3,64,1006,7,10,1,0,0,1,0,3,64
050097904001,1301,554,524,223,0,0,0,0,0,1185,28,3,5,4,76,1185,3,28,1,1,0,0,0,3,76
050097904002,1386,503,658,225,0,0,0,0,0,1278,13,1,8,3,83,1278,1,13,1,2,1,2,1,0,83
050097904003,420,153,219,48,0,0,0,0,0,392,8,0,0,1,19,392,0,7,0,1,0,0,0,0,19
050097904004,930,343,433,154,0,0,0,0,0,870,9,3,3,3,42,870,3,9,2,0,1,0,0,0,42
050097905011,1011,382,438,190,1,0,0,0,0,927,14,2,8,7,53,927,2,13,4,2,0,4,0,0,53
050097905012,882,417,323,142,0,0,0,0,0,783,26,1,6,6,60,783,1,26,1,1,2,1,0,1,60
050097905013,581,273,213,95,0,0,0,0,0,518,8,4,5,1,45,518,4,8,2,1,1,0,0,0,45
050097905021,717,361,261,95,0,0,0,0,0,631,22,2,2,3,57,631,2,22,1,3,0,0,0,0,57
050097905022,1078,569,377,131,0,0,1,0,0,967,24,11,7,6,63,967,11,24,1,2,3,0,1,2,63
050097905023,708,263,300,145,0,0,0,0,0,640,13,2,2,2,49,640,2,11,0,0,1,0,2,1,49
050097906001,373,190,137,46,0,0,0,0,0,346,7,0,4,2,14,346,0,7,0,2,3,1,0,0,14
050097906002,1481,499,702,279,0,1,0,0,0,1346,16,1,10,10,98,1346,1,16,0,3,3,1,1,5,98
050097906003,498,255,161,82,0,0,0,0,0,443,8,4,1,4,38,443,4,8,1,1,0,0,1,0,38
050097906004,491,262,147,82,0,0,0,0,0,438,17,2,1,1,32,438,1,17,1,0,0,0,0,0,32
050910201001,704,347,212,144,0,1,0,0,0,383,24,243,16,3,35,383,243,24,3,1,11,0,1,1,35
050910201002,475,193,150,132,0,0,0,0,0,318,18,108,4,1,26,318,107,17,0,1,3,1,0,0,26
050910201003,300,123,106,71,0,0,0,0,0,223,4,40,2,1,30,223,40,4,1,0,0,0,1,1,30
050910201004,244,113,74,57,0,0,0,0,0,164,7,55,0,2,16,164,55,7,0,0,0,0,0,0,16
050910202001,399,186,109,104,0,0,0,0,0,275,13,83,4,1,23,275,83,13,1,0,0,1,0,1,23
050910202002,344,174,74,94,2,0,0,0,0,210,10,105,2,1,16,210,105,10,1,0,1,0,0,0,16
050910202003,235,132,17,86,0,0,0,0,0,64,6,155,1,0,9,64,155,6,0,0,0,0,0,1,9
050910202004,396,158,137,99,2,0,0,0,0,307,9,57,0,0,23,307,57,9,0,0,0,0,0,0,23
050910204001,314,176,63,75,0,0,0,0,0,187,11,100,2,4,10,187,100,11,1,2,0,1,1,0,10
050910204002,247,131,50,66,0,0,0,0,0,134,15,91,1,0,6,134,91,15,0,0,1,0,0,0,6
050910204003,316,132,131,53,0,0,0,0,0,241,2,61,1,1,10,241,61,2,0,0,0,0,1,1,10
050910205001,286,174,27,85,0,0,0,0,0,89,9,175,0,3,10,89,174,9,0,0,0,0,1,0,10
050910205002,786,348,229,209,0,0,0,0,0,447,31,268,7,1,32,447,268,31,3,0,2,0,0,2,32
050910206001,212,103,3,106,0,0,0,0,0,14,3,194,0,0,1,14,194,3,0,0,0,0,0,0,1
050910206002,658,296,192,170,0,0,0,0,0,117,4,512,2,2,21,117,512,4,1,0,1,0,1,0,21
050910206003,171,87,8,76,0,0,0,0,0,28,2,137,0,0,4,28,137,2,0,0,0,0,0,0,4
050910207011,978,347,369,260,0,2,0,0,0,688,18,212,6,6,48,688,212,18,2,3,0,3,0,1,48
050910207012,933,329,319,285,0,0,0,0,0,617,14,247,5,7,43,617,247,14,2,0,0,2,1,0,43
050910207021,1121,494,302,325,0,0,0,0,0,595,14,474,1,3,34,595,474,14,0,1,0,0,0,1,34
050910207022,997,399,358,240,0,0,0,0,0,591,23,316,16,8,43,591,316,23,3,0,2,4,1,6,43
050910208011,1230,465,506,259,0,0,0,0,0,1004,20,118,14,11,63,1004,118,20,5,6,4,0,0,3,63
050910208012,636,183,335,118,0,0,0,0,0,469,8,100,6,15,38,469,100,8,1,3,3,0,7,1,38
050910208021,759,255,390,114,0,0,0,0,0,684,15,6,2,6,46,684,6,15,0,4,0,2,1,0,46
050910208022,408,114,247,47,0,0,0,0,0,378,6,4,1,3,16,378,4,5,0,1,0,1,0,0,16
050910208023,342,113,181,47,0,1,0,0,0,308,4,4,2,2,22,308,4,4,1,2,1,0,0,0,22
050910209011,614,195,300,119,0,0,0,0,0,476,11,88,2,2,35,476,88,11,1,0,0,1,0,0,35
050910209012,613,155,309,149,0,0,0,0,0,461,15,107,7,1,22,461,107,15,0,1,1,4,0,2,22
050910209021,951,257,547,147,0,0,0,0,0,857,11,23,7,1,52,857,23,11,1,1,0,1,0,4,52
050910209022,1310,411,724,174,1,0,0,0,0,1188,19,25,3,5,70,1188,25,19,1,2,0,1,2,1,70
050910209023,712,263,370,79,0,0,0,0,0,636,16,11,10,5,34,636,11,16,1,1,1,0,0,5,34
050910210011,763,228,430,104,1,0,0,0,0,693,14,10,3,3,40,693,10,14,0,1,2,0,0,1,40
050910210012,120,45,61,14,0,0,0,0,0,106,2,2,0,2,8,106,2,2,0,0,0,0,0,0,8
050910210013,674,215,343,115,1,0,0,0,0,366,3,275,2,4,24,366,275,3,0,0,1,0,2,1,24
050910210014,76,34,33,9,0,0,0,0,0,66,0,5,1,0,4,66,5,0,1,0,0,0,0,0,4
050910210021,1457,448,813,196,0,0,0,0,0,1317,25,9,12,4,90,1317,9,25,7,4,1,0,0,3,90
050910210022,262,95,139,28,0,0,0,0,0,233,7,1,0,0,21,233,1,7,0,0,0,0,0,0,21
050910210023,1152,365,655,132,0,0,0,0,0,1056,14,1,4,6,71,1056,1,14,0,3,1,2,0,1,71
050910210024,130,58,59,13,0,0,0,0,0,115,3,4,0,0,8,115,4,3,0,0,0,0,0,0,8
050919800001,31,7,19,5,0,0,0,0,0,30,1,0,0,0,0,30,0,1,0,0,0,0,0,0,0
050059501001,470,191,209,70,0,0,0,0,0,426,8,0,7,2,27,426,0,8,1,0,0,2,2,1,27
050059501002,591,205,255,131,0,0,0,0,0,508,21,0,1,6,55,508,0,21,0,2,1,0,2,0,55
050059501003,940,378,398,163,0,1,0,0,0,831,27,6,5,8,63,831,6,27,2,1,2,0,5,0,63
050059501004,768,257,372,137,1,1,0,0,0,678,17,0,4,10,59,678,0,16,1,2,0,1,6,0,59
050059502001,940,416,369,155,0,0,0,0,0,818,21,7,4,10,80,818,6,21,1,1,1,0,4,1,80
050059502002,907,324,409,173,1,0,0,0,0,792,27,0,6,4,78,792,0,27,3,1,1,1,0,1,78
