BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_lib,party_cnt,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_34,eth2_23,eth2_21,eth2_14,eth2_12,eth2_61,eth2_66,eth2_35,eth2_85,eth2_32,eth2_55,eth2_38,eth2_59,eth2_33,eth2_83,eth2_15,eth2_81,eth2_29,eth2_unk
080959676001,546,142,50,348,6,0,0,0,0,428,36,0,0,3,79,428,36,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79
080959676002,487,158,79,245,4,0,0,1,0,365,55,1,1,2,63,365,55,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63
080959676003,402,126,86,187,1,2,0,0,0,279,74,0,4,0,45,279,74,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
080959676004,357,129,52,172,3,1,0,0,0,256,70,0,4,1,26,256,70,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,26
080959677001,514,168,41,300,2,3,0,0,0,433,26,0,6,3,46,433,26,0,0,1,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46
080959677002,522,177,51,288,3,3,0,0,0,457,15,0,2,0,48,457,15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48
080859661001,686,265,60,350,5,5,1,0,0,604,21,1,1,13,46,604,21,1,0,2,2,1,0,0,0,1,0,2,0,0,0,0,6,0,0,0,0,0,46
080859661002,512,167,46,286,7,4,1,1,0,454,14,1,3,4,36,454,14,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,36
080859661003,270,81,32,154,0,2,0,1,0,241,3,0,3,3,20,241,3,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
080859662011,1145,406,129,591,11,4,0,4,0,959,67,0,9,0,110,959,66,0,6,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,110
080859662012,777,274,88,410,2,2,1,0,0,630,77,0,2,8,60,630,76,0,1,1,2,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,60
080859662021,742,305,71,357,4,4,0,1,0,570,94,2,0,3,73,570,94,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,73
080859662022,804,334,139,314,8,5,0,4,0,512,238,2,3,2,47,512,237,2,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,47
080859662023,792,285,88,401,9,7,2,0,0,634,77,0,6,2,73,634,77,0,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,73
080859663011,780,342,193,222,12,6,3,2,0,618,92,0,9,2,59,618,92,0,3,1,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,59
080859663012,722,320,139,252,2,4,0,5,0,544,95,2,7,6,68,544,94,2,4,1,3,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,68
080859663021,472,224,102,129,9,3,1,4,0,310,124,0,4,1,33,310,124,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
080859663022,832,367,161,289,6,4,3,2,0,598,173,0,2,5,54,598,168,0,0,2,0,0,0,1,0,2,5,1,0,0,0,0,0,0,0,0,0,0,54
080859663023,682,323,152,188,9,4,5,1,0,486,127,0,2,7,60,486,125,0,0,0,6,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,60
080859664011,829,290,174,346,13,2,0,4,0,679,73,1,5,15,56,679,73,1,1,4,7,2,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,56
080859664021,674,221,141,298,11,3,0,0,0,560,49,0,7,7,51,560,49,0,2,0,2,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,51
080859664022,739,322,151,254,8,1,2,1,0,560,113,0,4,5,57,560,113,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,57
080859664023,495,211,125,151,3,4,0,1,0,356,96,1,2,3,37,356,96,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37
080859664024,1416,554,227,616,10,9,0,0,0,1154,105,1,12,16,128,1154,105,1,6,4,4,1,1,1,3,0,0,0,0,0,2,0,5,0,0,0,1,0,128
080859665011,764,287,112,356,7,1,1,0,0,636,54,0,2,8,64,636,52,0,0,1,1,1,0,0,1,0,2,3,3,0,0,0,0,0,0,0,0,0,64
080859665012,1010,353,154,487,10,5,1,0,0,818,59,4,19,10,100,818,58,4,7,3,4,4,1,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,100
080859665013,710,255,99,344,6,3,1,2,0,586,18,0,11,10,85,586,16,0,8,2,4,0,0,1,2,0,2,0,0,0,0,1,1,0,0,0,0,2,85
080859665021,1377,507,216,626,14,10,3,1,0,1090,120,2,14,8,143,1090,120,2,8,4,2,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,143
080859665022,1034,446,199,376,7,5,0,1,0,817,100,4,4,13,96,817,98,4,0,1,4,0,1,0,1,6,2,0,1,0,1,0,0,0,0,0,0,0,96
080859665023,744,270,119,349,4,0,0,2,0,614,51,1,8,9,61,614,51,0,3,0,3,1,0,0,2,0,0,4,0,0,0,0,1,1,0,0,0,0,61
080859665031,1227,466,194,539,16,4,3,5,0,931,167,0,7,8,114,931,166,0,3,1,5,2,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,114
080859665032,1179,459,189,514,9,6,0,2,0,968,113,0,6,6,86,968,113,0,1,1,0,2,1,2,0,1,0,0,1,0,1,0,0,0,2,0,0,0,86
080859666011,1139,451,191,490,4,1,2,0,0,917,78,0,6,14,124,917,77,0,2,3,1,0,1,1,2,3,1,2,1,0,0,2,1,1,0,0,0,0,124
080859666012,959,390,157,401,5,5,1,0,0,718,135,2,10,6,88,718,134,2,3,0,2,3,3,0,1,0,1,0,0,0,0,2,1,0,0,0,1,0,88
