BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_23,eth2_10,eth2_30,eth2_21,eth2_14,eth2_81,eth2_34,eth2_32,eth2_12,eth2_29,eth2_61,eth2_35,eth2_85,eth2_33,eth2_15,eth2_66,eth2_55,eth2_19,eth2_38,eth2_26,eth2_13,eth2_59,eth2_unk
130510006011,385,367,16,2,0,0,14,2,365,1,0,3,14,337,2,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
130510006012,413,395,15,3,0,0,13,6,392,0,0,2,13,357,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
130510006013,573,551,17,5,0,0,14,3,549,1,1,5,14,512,3,37,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
130510006014,524,421,99,4,0,0,72,22,404,4,4,18,72,361,22,43,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
130510006015,809,756,50,3,0,0,47,5,741,1,6,9,47,707,5,34,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
130510011001,536,253,225,58,0,0,339,29,98,10,11,49,339,85,29,13,3,2,4,0,4,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49
130510011002,681,596,77,8,0,0,69,12,582,1,0,17,69,542,12,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
130510012001,383,373,9,1,0,0,6,1,371,0,1,4,6,351,1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
130510012002,709,670,36,3,0,0,38,3,662,2,1,3,38,610,3,52,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
130510020001,394,227,139,28,0,0,196,14,148,3,7,26,196,127,14,21,0,2,0,1,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26
130510020002,718,540,155,23,0,0,183,28,464,2,8,33,183,423,28,41,0,1,1,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,33
130510021001,673,505,147,21,0,0,176,17,428,6,9,37,176,372,17,56,0,2,1,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,37
130510021002,555,486,56,13,0,0,83,2,461,1,3,5,83,423,2,38,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
130510021003,611,524,76,11,0,0,101,10,480,1,3,16,101,444,10,36,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
130510022001,484,443,30,11,0,0,25,9,441,2,3,4,25,407,9,34,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
130510022002,656,531,100,25,0,0,140,12,478,1,7,18,140,449,12,29,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18
130510022003,538,316,137,85,0,0,288,28,175,2,7,38,288,148,25,27,0,1,4,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,38
130510022004,729,658,58,13,0,0,77,10,623,1,8,10,77,569,10,54,0,1,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10
130510022005,481,428,39,14,0,0,58,1,412,1,5,4,58,369,1,43,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
130510023001,761,672,78,11,0,0,69,16,654,4,5,13,69,591,16,63,0,3,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
130510023002,656,605,45,6,0,0,36,11,595,0,4,10,36,549,10,46,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
130510026001,494,371,115,8,0,0,135,20,303,3,8,25,135,276,20,27,2,0,2,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
130510026002,651,450,155,46,0,0,282,33,283,11,7,35,282,241,33,42,2,6,2,0,1,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,35
130510027001,609,505,86,18,0,0,110,17,465,1,3,13,110,411,17,54,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13
130510027002,558,499,49,10,0,0,62,10,478,1,3,4,62,443,10,35,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
130510027003,617,460,136,21,0,0,220,15,335,3,6,38,220,288,15,47,1,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
130510027004,649,530,92,27,0,0,141,15,468,2,1,22,141,424,15,44,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
130510028001,693,644,38,11,0,0,28,9,641,0,3,12,28,586,9,55,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
130510028002,391,345,42,4,0,0,24,13,341,3,3,7,24,322,13,19,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
130510028003,1104,877,196,31,0,0,218,34,804,2,17,29,218,743,34,61,1,0,5,1,0,4,2,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,29
130510029001,670,327,148,195,0,0,554,13,11,8,12,72,554,8,13,3,1,3,6,0,3,2,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,72
130510029002,554,235,167,152,0,0,447,15,16,5,7,64,447,13,15,3,0,1,0,0,3,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,64
130510029003,559,247,144,168,0,0,408,34,31,8,15,63,408,26,34,5,2,3,3,0,1,1,4,3,1,0,2,2,0,0,0,0,0,1,0,0,0,0,63
130510029004,412,174,142,96,0,0,326,10,20,5,8,43,326,16,10,4,1,2,1,0,0,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,43
130510030001,499,294,122,83,0,0,380,23,33,3,4,56,380,30,23,3,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,56
130510030002,1045,503,289,253,0,0,806,50,68,13,16,92,806,60,48,8,1,6,5,2,2,4,2,0,1,0,1,0,1,0,0,2,0,0,0,1,0,1,92
130510033011,657,640,14,3,0,0,11,5,632,0,4,5,11,582,5,50,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
130510033012,731,708,22,1,0,0,18,3,704,0,3,3,18,653,3,51,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
130510033021,688,672,12,4,0,0,15,4,665,0,0,4,15,611,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
130510033022,665,652,10,3,0,0,13,3,643,0,1,5,13,598,3,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
130510034001,578,542,20,16,0,0,24,4,542,0,1,7,24,492,4,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
130510034002,762,667,77,18,0,0,83,22,632,1,3,21,83,581,22,51,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
130510034003,441,195,150,96,0,0,303,12,69,5,6,46,303,54,12,15,2,1,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46
130510034004,838,325,278,235,0,0,655,32,45,11,11,84,655,38,32,7,4,0,7,1,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,84
130510034005,431,192,141,98,0,0,282,17,64,14,9,45,282,59,17,5,1,6,4,2,3,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,45
130510035011,620,415,132,73,0,0,245,13,309,8,2,43,245,278,13,31,2,1,1,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,43
130510035012,773,675,66,32,0,0,89,7,655,3,2,17,89,587,7,68,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
130510035013,546,433,88,25,0,0,100,19,401,7,4,15,100,366,19,35,0,2,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
130510035021,619,522,69,28,0,0,120,11,475,3,1,9,120,430,11,45,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
130510035022,858,656,138,64,0,0,192,25,606,6,7,22,192,564,25,42,2,2,0,0,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22
130510035023,614,422,111,81,0,0,227,8,331,9,6,33,227,294,8,37,1,1,4,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
130510035024,609,355,143,111,0,0,287,22,260,5,4,31,287,236,20,24,0,2,2,3,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,31
130510036011,1473,1166,185,122,0,0,292,37,1088,2,15,39,292,978,37,110,2,0,6,0,0,5,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,39
130510036012,825,786,32,7,0,0,40,5,777,1,1,1,40,730,5,47,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130510036021,454,425,24,5,0,0,35,4,408,1,0,6,35,374,4,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
130510036022,843,718,100,25,0,0,139,17,660,12,3,12,139,596,16,64,0,3,1,7,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12
130510036023,622,439,127,56,0,0,208,17,348,3,6,40,208,321,17,27,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
130510036024,764,478,180,106,0,0,319,21,363,18,3,40,319,314,21,49,0,5,2,10,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40
130510036025,640,404,181,55,0,0,224,31,333,16,9,27,224,300,31,33,1,2,8,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
130510037001,765,617,93,55,0,0,164,8,563,4,6,20,164,523,8,40,1,1,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
