BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_12,eth2_64,eth2_10,eth2_85,eth2_83,eth2_14,eth2_66,eth2_26,eth2_21,eth2_30,eth2_23,eth2_93,eth2_34,eth2_unk
150070401041,442,235,176,31,0,0,316,27,3,25,26,45,316,16,27,5,4,16,0,0,0,3,3,1,3,2,45
150070401042,506,241,236,29,0,0,349,28,0,57,21,51,349,47,28,6,6,9,0,0,0,1,1,3,0,2,51
150070401051,979,478,418,83,0,0,636,90,1,61,50,141,636,32,88,12,23,15,4,2,7,2,0,2,1,2,141
150070401052,1978,1100,755,123,0,0,1245,193,1,157,122,260,1245,93,187,34,72,24,7,6,4,2,17,9,1,3,260
150070401061,591,348,189,54,0,0,460,33,1,18,16,63,460,3,33,6,1,3,5,0,0,2,4,2,1,3,63
150070401062,535,308,183,44,0,0,407,29,0,25,10,64,407,8,26,9,4,3,1,3,0,2,0,5,0,1,64
150070401063,430,258,125,47,0,0,334,16,2,17,19,42,334,6,16,7,6,1,4,0,0,0,4,0,2,2,42
150070402041,1560,781,596,183,0,0,839,173,4,164,96,284,839,119,144,22,35,41,8,29,5,1,7,7,4,3,284
150070402042,1889,1013,650,226,0,0,995,191,6,312,123,262,995,230,162,50,71,33,13,29,3,5,4,10,6,8,262
150070402051,646,345,255,46,0,0,309,78,1,128,51,79,309,99,75,18,30,12,2,3,4,3,3,0,1,0,79
150070402052,703,322,268,113,0,0,353,86,2,120,30,112,353,90,73,23,15,8,4,13,2,0,2,1,2,4,112
150070402053,671,306,287,78,0,0,377,89,0,82,33,90,377,55,70,9,11,15,6,19,7,0,4,5,0,1,90
150070402054,851,373,370,108,0,0,324,131,0,239,51,106,324,189,118,29,25,19,5,13,6,4,6,4,0,0,106
150070403011,849,401,381,67,0,0,315,156,1,127,101,149,315,97,148,15,62,32,4,8,6,2,3,2,1,0,149
150070403012,1653,778,754,121,0,0,608,337,12,297,166,233,608,225,318,36,113,35,7,19,15,9,3,4,11,6,233
150070403013,1348,655,604,89,0,0,511,275,6,174,144,238,511,121,258,20,93,32,10,17,7,1,10,13,6,1,238
150070403021,811,432,339,40,0,0,370,102,2,143,50,144,370,110,101,22,24,20,2,1,2,4,3,3,2,2,144
150070403022,464,117,320,27,0,0,245,39,0,92,27,61,245,77,38,12,7,15,1,1,0,0,0,2,0,3,61
150070404011,898,355,486,57,0,0,175,252,4,121,164,182,175,72,239,30,134,18,2,13,14,2,4,1,3,2,182
150070404012,1302,520,664,118,0,0,268,411,0,182,210,231,268,109,393,26,188,13,2,18,32,1,3,10,0,3,231
150070404013,1327,705,533,89,0,0,487,292,7,219,141,181,487,162,271,28,102,25,3,21,8,10,6,7,7,4,181
150070404021,1111,584,399,128,0,0,402,150,0,355,76,128,402,295,141,38,54,13,8,9,4,2,2,6,0,2,128
150070404022,715,290,378,47,0,0,129,246,0,109,106,125,129,75,236,6,80,21,2,10,20,5,3,1,0,2,125
150070405001,717,336,312,69,0,0,204,126,0,222,72,93,204,183,103,18,39,19,3,23,15,1,8,1,0,2,93
150070405002,1223,578,539,106,0,0,454,176,4,284,132,173,454,226,161,30,86,31,2,15,10,2,4,7,4,7,173
150070405003,992,461,397,134,0,0,308,132,0,384,71,97,308,335,123,32,32,26,10,9,3,3,4,1,0,7,97
150070405004,1397,690,581,126,0,0,513,177,7,389,132,179,513,333,162,29,93,24,1,15,15,3,3,5,7,8,179
150070406031,356,192,118,46,0,0,242,23,0,17,14,60,242,13,20,4,7,2,0,3,0,0,2,0,0,0,60
150070406032,1452,687,631,134,0,0,704,246,0,165,109,228,704,136,230,15,61,31,2,16,6,3,8,3,0,6,228
150070406041,1329,631,563,135,0,0,621,221,4,214,75,194,621,183,183,16,44,15,2,38,5,1,5,6,4,3,194
150070406042,989,507,406,76,0,0,544,110,0,152,45,138,544,117,93,22,21,18,2,17,9,0,3,2,0,2,138
150070407011,800,379,335,86,0,0,381,124,0,105,77,113,381,87,100,12,34,26,0,24,1,3,15,2,0,1,113
150070407012,986,451,432,103,0,0,425,187,0,131,83,160,425,105,145,12,26,45,7,42,2,2,6,3,0,2,160
