BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_lib,party_cnt,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_34,eth2_12,eth2_30,eth2_23,eth2_14,eth2_21,eth2_unk
160219701001,1042,736,214,73,13,6,0,0,892,17,0,3,6,124,892,17,0,0,1,3,1,0,1,124
160219701002,1072,737,231,88,8,8,0,0,889,32,0,3,13,135,889,32,2,7,1,0,0,0,0,135
160219701003,862,639,165,45,5,8,0,0,718,25,2,7,9,101,718,25,2,2,1,2,3,0,1,101
160219701004,612,428,137,38,8,1,0,0,523,11,0,4,2,72,523,11,3,2,1,0,0,0,0,72
160219702001,627,446,125,42,10,4,0,0,557,17,0,4,5,44,557,17,2,2,0,1,0,2,0,44
160219702002,764,509,176,72,3,4,0,0,644,26,0,8,6,80,644,24,4,2,2,0,0,1,1,80
160219702003,442,298,93,47,3,1,0,0,359,21,0,3,3,56,359,20,1,0,1,2,1,0,0,56
160219702004,837,605,163,66,2,1,0,0,726,26,1,11,3,70,726,25,4,1,0,0,1,3,2,70
160219702005,461,308,109,37,3,4,0,0,399,12,1,3,3,43,399,12,1,0,0,0,1,0,1,43
160139601011,595,351,193,47,3,1,0,0,478,52,0,3,9,53,478,52,2,4,0,0,1,0,0,53
160139601012,194,66,92,36,0,0,0,0,158,10,0,0,6,20,158,10,0,0,0,2,0,0,0,20
160139601021,1127,284,538,294,11,0,0,0,943,75,3,16,7,83,943,71,3,2,5,1,5,1,1,83
160139601022,516,176,232,106,2,0,0,0,425,27,0,7,3,54,425,27,0,0,2,1,3,1,1,54
160139601023,516,68,229,213,4,2,0,0,431,28,0,4,5,48,431,28,0,1,0,1,3,0,1,48
160139602011,1131,212,524,386,8,1,0,0,931,42,0,17,10,131,931,41,2,4,6,0,5,1,0,131
160139602012,1205,205,609,375,13,3,0,0,1016,36,0,22,14,117,1016,35,10,6,9,5,1,1,0,117
160139602013,1060,193,523,331,11,2,0,0,740,196,0,14,5,105,740,195,4,2,1,0,2,2,5,105
160139602021,527,115,253,152,5,2,0,0,397,83,0,6,3,38,397,83,1,1,0,0,2,0,3,38
160139602022,982,215,496,261,5,5,0,0,669,209,0,7,8,89,669,209,1,0,2,0,1,2,1,89
160139602023,1053,302,479,264,5,3,0,0,877,45,1,10,10,110,877,44,3,3,2,2,4,0,1,110
160139603011,476,92,193,187,3,1,0,0,403,24,0,1,5,43,403,23,1,0,0,2,0,0,0,43
160139603012,858,181,404,266,5,2,0,0,674,45,0,9,7,123,674,45,1,1,5,2,3,0,0,123
160139603013,387,92,175,116,4,0,0,0,314,2,0,2,4,65,314,2,0,2,0,1,1,1,0,65
160139603021,619,134,311,168,6,0,0,0,516,15,0,7,5,76,516,14,2,2,0,2,1,3,1,76
160139603022,985,180,450,344,10,1,0,0,800,24,1,14,9,137,800,24,3,2,9,2,0,1,0,137
160139605011,295,71,142,82,0,0,0,0,244,16,0,4,3,28,244,16,2,2,0,1,0,0,2,28
160139605012,635,161,257,216,1,0,0,0,512,15,1,5,10,92,512,12,3,3,0,5,1,0,1,92
160139605021,473,113,239,115,6,0,0,0,387,16,0,2,6,62,387,16,0,3,0,1,2,0,0,62
160139605022,485,136,230,115,4,0,0,0,403,9,0,8,3,62,403,8,1,0,2,2,1,3,0,62
160639501001,528,409,92,23,4,0,0,0,445,38,0,0,2,43,445,36,0,0,0,1,0,0,0,43
160639501002,688,438,181,65,3,1,0,0,513,105,0,2,6,62,513,103,0,2,0,2,1,0,1,62
160639501003,512,303,144,58,4,3,0,0,388,67,0,10,6,41,388,64,0,2,6,0,2,0,0,41
160639501004,513,377,96,38,0,2,0,0,435,38,0,2,1,37,435,38,2,0,0,1,0,0,0,37
160599701001,834,586,166,76,3,3,0,0,735,12,0,8,9,70,735,12,0,2,6,1,0,2,0,70
160599701002,745,493,171,76,4,1,0,0,659,21,0,4,7,54,659,21,0,5,3,1,0,0,1,54
160599702001,466,279,123,60,3,1,0,0,415,15,0,2,0,34,415,13,0,0,2,0,0,0,0,34
160599702002,817,547,197,71,1,1,0,0,725,13,0,2,17,60,725,13,2,10,0,5,0,0,0,60
160599702003,552,437,81,24,9,1,0,0,483,9,0,1,3,56,483,9,0,2,0,1,0,1,0,56
160599703001,378,318,45,13,0,2,0,0,325,8,0,0,0,45,325,8,0,0,0,0,0,0,0,45
160599703002,1068,803,183,66,8,8,0,0,934,25,0,2,21,86,934,23,2,5,0,4,0,0,0,86
160599703003,342,253,60,25,2,2,0,0,304,7,0,0,2,29,304,7,0,0,0,2,0,0,0,29
160570051011,859,324,340,178,13,4,0,0,719,27,3,15,13,82,719,27,10,3,1,2,2,0,1,82
160570051012,686,180,312,175,15,4,0,0,564,27,3,14,4,74,564,27,1,0,2,1,7,3,1,74
160570051021,818,204,369,220,23,2,0,0,657,65,1,12,3,80,657,65,5,1,3,2,2,2,0,80
160570051022,582,151,233,188,8,2,0,0,422,95,2,9,4,50,422,94,3,0,3,1,1,1,1,50
160570051023,474,81,228,152,12,1,0,0,380,25,1,7,9,52,380,25,2,4,3,2,1,0,1,52
160570051024,788,126,348,292,21,1,0,0,647,32,6,21,9,73,647,31,8,2,5,1,2,4,2,73
160570052001,615,241,246,115,10,3,0,0,536,10,0,9,6,54,536,10,2,0,1,0,2,4,0,54
160570052002,692,216,290,175,9,2,0,0,573,22,0,20,9,68,573,21,7,4,5,2,5,3,0,68
160570052003,474,84,198,185,7,0,0,0,380,13,0,9,10,62,380,13,3,4,3,4,2,1,0,62
160570052004,1245,310,523,380,32,0,0,0,986,72,4,23,21,139,986,72,11,2,0,4,2,4,5,139
160570052005,1687,551,731,393,8,4,0,0,1437,45,2,26,25,152,1437,43,11,7,3,7,8,2,1,152
160570053011,944,325,380,217,17,5,0,0,789,29,2,9,16,99,789,28,2,1,3,4,1,2,1,99
160570053012,491,206,219,61,5,0,0,0,431,2,0,6,0,52,431,2,1,0,2,0,0,0,0,52
160570053021,541,102,248,171,16,4,0,0,428,35,1,5,3,69,428,35,0,1,2,1,1,1,1,69
160570053022,1146,295,507,324,19,1,0,0,892,74,2,19,22,137,892,74,9,4,4,6,2,3,0,137
160570053023,1020,289,411,309,10,1,0,0,834,21,1,11,18,135,834,21,3,2,1,5,4,2,0,135
160570054001,780,193,337,236,14,0,0,0,657,25,1,8,14,75,657,24,4,4,1,5,1,1,1,75
160570054002,413,167,168,62,13,3,0,0,342,12,0,5,4,50,342,10,3,1,2,2,0,0,0,50
160570054003,779,199,307,257,16,0,0,0,588,92,1,15,6,77,588,92,2,2,2,2,3,2,4,77
160570054004,372,76,148,138,9,1,0,0,296,25,2,6,3,40,296,25,2,2,3,0,0,1,0,40
160570055001,694,486,149,56,3,0,0,0,619,3,0,1,5,66,619,3,0,0,1,1,0,0,0,66
160570055002,430,246,134,46,3,1,0,0,377,6,0,7,0,40,377,6,1,0,2,0,0,3,0,40
160570055003,616,356,169,83,6,2,0,0,559,10,0,3,3,41,559,10,1,2,2,0,0,0,0,41
160570055004,690,386,207,88,7,2,0,0,616,7,0,3,11,53,616,7,2,3,0,0,0,1,0,53
160570056001,451,272,118,55,3,3,0,0,408,1,0,2,4,36,408,1,1,0,0,0,0,0,1,36
160570056002,693,461,181,44,3,4,0,0,614,17,0,4,2,56,614,17,2,1,0,0,2,0,0,56
160570056003,736,365,284,75,12,0,0,0,640,22,2,5,4,63,640,22,1,2,3,0,0,0,0,63
160570056004,559,280,220,53,4,2,0,0,486,13,0,4,3,53,486,13,1,3,0,0,1,2,0,53
160570057001,476,265,141,62,3,5,0,0,429,2,0,1,0,44,429,2,1,0,0,0,0,0,0,44
160570057002,424,210,167,43,2,2,0,0,365,9,0,2,3,45,365,9,2,2,0,1,0,0,0,45
160570057003,932,445,393,85,8,1,0,0,808,10,0,10,11,93,808,10,3,2,4,1,0,3,0,93
160299601001,362,280,61,17,3,1,0,0,333,4,0,2,1,22,333,4,2,0,0,0,0,0,0,22
160299601002,375,277,72,20,4,2,0,0,345,2,0,8,3,17,345,2,7,0,1,0,0,0,0,17
160299601003,520,423,81,14,1,1,0,0,465,15,0,8,6,26,465,15,1,0,3,2,2,2,0,26
160299601004,576,468,95,10,2,1,0,0,529,10,0,3,1,33,529,10,1,0,0,0,0,1,1,33
160299601005,450,390,43,12,3,2,0,0,406,7,0,0,1,36,406,7,0,0,0,0,0,0,0,36
160299602001,447,341,85,15,3,3,0,0,402,3,0,8,1,33,402,3,4,0,3,0,0,0,1,33
160299602002,906,681,175,37,6,7,0,0,819,15,0,13,3,56,819,15,10,1,0,0,1,2,0,56
160339501001,338,271,46,17,2,2,0,0,293,31,0,1,1,12,293,31,0,0,1,0,0,0,0,12
160119400001,96,45,35,16,0,0,0,0,81,5,0,0,2,8,81,5,0,0,0,0,0,0,0,8
160119400002,128,3,71,53,1,0,0,0,62,20,1,1,5,39,62,20,1,0,0,3,0,0,0,39
160119501011,1106,800,263,39,3,1,0,0,998,36,0,6,1,65,998,36,3,0,0,1,0,2,1,65
160119501012,941,645,228,55,9,4,0,0,796,48,0,15,6,76,796,48,7,0,3,1,0,3,1,76
160119501021,898,585,245,57,9,2,0,0,745,80,0,11,2,60,745,78,4,1,0,1,3,3,1,60
160119501022,697,497,167,27,6,0,0,0,622,18,0,7,4,46,622,18,1,2,4,0,1,0,1,46
160119501023,767,511,186,61,4,5,0,0,667,44,0,18,2,36,667,44,3,1,10,0,1,4,0,36
160119502001,837,602,179,46,5,5,0,0,735,25,0,9,1,67,735,25,4,0,1,0,2,2,0,67
160119502002,388,278,89,16,1,4,0,0,343,12,0,4,0,29,343,12,2,0,1,0,0,0,1,29
160119502003,774,552,161,53,6,2,0,0,660,46,0,19,4,45,660,45,5,0,4,0,0,10,0,45
160119503001,762,560,153,42,3,4,0,0,657,35,0,10,12,48,657,35,8,5,1,0,1,0,0,48
160119503002,537,405,101,26,3,2,0,0,465,19,0,5,4,44,465,19,1,2,1,0,0,2,1,44
160119503003,426,286,103,33,3,1,0,0,353,47,0,3,0,23,353,47,1,0,0,0,2,0,0,23
160119503004,301,147,103,47,4,0,0,0,181,90,0,8,2,20,181,90,2,1,0,0,0,6,0,20
160119503005,263,144,83,36,0,0,0,0,169,63,0,2,0,29,169,62,0,0,0,0,0,0,2,29
160119504001,1150,799,270,66,8,7,0,0,1007,66,0,8,5,64,1007,66,2,4,0,1,0,5,1,64
160119504002,683,403,193,76,7,4,0,0,554,67,1,9,3,49,554,67,2,2,4,1,1,2,0,49
160119504003,272,142,95,27,5,3,0,0,212,41,0,2,1,16,212,41,1,0,1,0,0,0,0,16
160119504004,662,386,206,64,4,2,0,0,557,49,0,9,3,44,557,47,0,2,2,0,2,3,2,44
160119504005,633,373,165,90,5,0,0,0,535,44,0,10,3,41,535,44,5,0,0,0,0,4,1,41
160119505011,855,526,250,71,6,2,0,0,711,62,0,18,2,62,711,62,4,0,5,1,0,5,3,62
160119505012,369,237,99,29,2,2,0,0,305,22,0,6,4,32,305,22,0,1,3,0,0,1,2,32
