BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_23,eth2_21,eth2_34,eth2_14,eth2_61,eth2_12,eth2_38,eth2_35,eth2_15,eth2_55,eth2_59,eth2_unk
190399601001,549,169,158,216,4,2,0,0,427,73,5,4,6,34,427,72,5,1,2,2,1,2,0,0,0,0,0,0,0,0,34
190399601002,935,331,269,326,5,4,0,0,760,101,0,12,7,55,760,101,0,3,0,4,1,3,2,0,1,2,0,1,0,0,55
190399601003,728,245,226,248,6,3,0,0,585,74,2,5,4,58,585,74,2,0,0,1,1,3,3,0,0,0,0,0,0,0,58
190399601004,622,225,159,233,4,1,0,0,493,72,4,6,5,42,493,72,3,0,3,3,1,1,0,1,0,0,0,0,0,0,42
190399602001,735,316,176,237,4,2,0,0,663,7,0,7,2,56,663,7,0,5,2,0,2,0,0,0,0,0,0,0,0,0,56
190399602002,851,389,192,261,9,0,0,0,773,21,0,3,0,54,773,21,0,1,0,0,1,0,0,0,0,0,0,1,0,0,54
190399603001,671,287,153,228,2,1,0,0,597,15,3,2,6,48,597,15,3,0,1,1,0,3,1,1,0,0,0,0,0,0,48
190399603002,837,414,170,248,3,2,0,0,760,7,0,8,7,55,760,7,0,4,1,1,1,6,1,0,1,0,0,0,0,0,55
191290401001,453,255,73,123,2,0,0,0,385,2,0,6,3,57,385,2,0,5,2,1,0,0,0,0,0,1,0,0,0,0,57
191290401002,361,189,44,123,4,1,0,0,325,2,0,2,7,25,325,2,0,1,3,0,0,2,0,0,1,0,0,0,0,0,25
191290401003,395,207,83,101,3,1,0,0,355,8,0,2,8,22,355,8,0,1,2,0,0,6,1,0,0,0,0,0,0,0,22
191290401004,802,390,179,226,5,2,0,0,720,7,1,5,4,65,720,7,1,2,1,0,2,1,1,0,0,1,0,0,0,0,65
191290402011,367,184,70,108,5,0,0,0,322,14,0,0,4,27,322,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,27
191290402012,1039,616,177,238,7,1,0,0,892,23,1,3,3,117,892,23,1,0,0,1,1,1,0,1,0,0,0,0,0,0,117
191290402021,1736,980,316,422,16,2,0,0,1459,29,0,14,8,226,1459,27,0,3,0,0,0,4,2,1,3,2,1,4,0,0,226
191290402022,1098,652,196,242,7,1,0,0,953,27,2,8,7,101,953,26,2,1,1,0,2,2,4,1,0,1,0,0,0,1,101
191290403011,1022,473,228,300,17,4,0,0,910,22,1,4,5,80,910,21,1,1,0,1,0,0,2,0,0,0,0,0,2,0,80
191290403012,737,344,160,223,7,3,0,0,632,14,1,5,5,80,632,14,1,1,0,1,0,5,1,0,2,0,0,0,0,0,80
191290403021,1222,635,271,299,17,0,0,0,1060,14,0,11,6,131,1060,14,0,7,0,0,0,1,2,0,2,2,0,0,0,2,131
191290403022,774,411,161,189,11,2,0,0,679,27,1,5,8,54,679,27,1,3,0,1,1,3,0,0,0,0,2,0,2,0,54
191290403023,274,127,54,90,2,1,0,0,238,9,0,5,0,22,238,9,0,2,0,1,2,0,0,0,0,0,0,0,0,0,22
191434601001,767,498,94,173,1,1,0,0,584,26,0,7,5,145,584,23,0,2,0,4,1,1,0,0,0,0,0,0,0,0,145
191434601002,342,178,44,117,3,0,0,0,244,26,0,6,1,65,244,26,0,1,1,2,0,0,0,0,2,0,0,0,0,0,65
191434601003,664,397,89,174,3,1,0,0,526,30,0,1,3,104,526,30,0,1,0,0,0,3,0,0,0,0,0,0,0,0,104
191434601004,418,282,35,99,2,0,0,0,345,4,0,1,0,68,345,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68
191434602001,432,268,59,104,0,1,0,0,346,11,1,3,0,71,346,11,1,2,0,0,0,0,1,0,0,0,0,0,0,0,71
191434602002,403,270,37,94,2,0,0,0,338,11,1,2,3,48,338,11,1,1,3,0,0,0,1,0,0,0,0,0,0,0,48
191434602003,524,344,57,119,3,1,0,0,420,4,0,3,2,95,420,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,95
191434602004,511,301,60,144,3,3,0,0,403,7,0,5,4,92,403,7,0,0,3,1,1,0,3,0,0,0,0,0,0,0,92
190650801001,631,270,161,195,4,1,0,0,520,6,1,7,1,96,520,6,1,2,0,2,3,1,0,0,0,0,0,0,0,0,96
190650801002,358,140,101,113,4,0,0,0,284,4,0,2,4,64,284,4,0,2,2,0,0,0,0,0,0,0,0,0,2,0,64
190650801003,546,260,135,150,1,0,0,0,450,3,1,5,3,84,450,3,1,3,0,1,1,0,0,0,0,0,0,0,3,0,84
190650802001,889,297,248,334,6,4,0,0,738,18,5,3,10,115,738,18,4,1,3,0,1,3,0,0,1,0,2,0,1,0,115
190650802002,427,206,82,136,3,0,0,0,369,3,0,2,8,45,369,3,0,2,0,0,0,0,0,0,0,2,2,0,0,0,45
190650802003,466,196,125,143,1,1,0,0,393,6,0,3,3,61,393,6,0,2,0,1,0,0,0,0,0,0,1,0,2,0,61
190650802004,310,123,79,104,3,1,0,0,267,4,0,2,2,35,267,4,0,1,0,0,0,0,1,0,0,0,2,0,0,0,35
190650803001,633,206,190,236,1,0,0,0,546,9,0,1,3,74,546,9,0,1,1,0,0,2,0,0,0,0,0,0,0,0,74
190650803002,989,330,258,396,5,0,0,0,842,11,0,9,6,121,842,11,0,5,1,0,1,3,1,0,2,0,1,0,0,0,121
190650804001,900,261,324,308,6,1,0,0,727,28,4,1,13,127,727,28,4,0,0,0,0,3,0,0,1,2,5,0,0,0,127
190650804002,635,128,232,271,2,2,0,0,538,18,3,5,5,66,538,18,3,4,2,0,0,1,1,0,0,0,1,0,0,0,66
190650805001,598,141,226,227,0,4,0,0,498,21,2,3,9,65,498,21,2,0,0,2,0,4,0,0,1,2,1,0,0,0,65
190650805002,770,198,297,271,3,1,0,0,622,22,1,3,4,118,622,22,1,1,0,1,0,1,0,0,1,0,0,0,1,0,118
190650805003,345,70,127,144,2,2,0,0,288,12,2,1,5,37,288,12,2,0,1,1,0,1,0,0,0,1,1,0,0,0,37
190650805004,360,77,141,140,2,0,0,0,307,5,1,4,2,41,307,5,1,2,0,0,0,1,1,0,0,0,0,1,1,0,41
