BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_21,eth2_23,eth2_34,eth2_14,eth2_12,eth2_38,eth2_unk
200019526001,1315,755,315,236,9,0,0,1179,15,1,7,4,109,1179,15,1,0,5,0,0,1,1,0,3,109
200019527001,720,399,223,89,9,0,0,631,11,2,3,2,71,631,11,2,0,3,0,0,0,0,0,0,71
200019527002,599,349,153,94,3,0,0,541,4,2,2,1,49,541,4,2,0,2,0,0,0,0,0,0,49
200019528001,727,386,223,110,8,0,0,638,11,8,4,3,63,638,11,8,1,2,0,2,0,0,0,0,63
200019528002,1031,548,296,178,9,0,0,837,44,27,11,18,94,837,44,26,5,3,3,0,8,0,5,0,94
200019528003,673,314,237,115,7,0,0,597,11,12,4,3,46,597,11,12,1,2,0,1,2,1,0,0,46
200019529001,560,261,175,119,5,0,0,493,16,3,3,4,41,493,16,3,1,0,0,1,2,1,0,0,41
200019529002,330,137,112,74,7,0,0,290,7,2,1,3,27,290,7,2,3,1,0,0,0,0,0,0,27
200019529003,416,240,106,68,2,0,0,367,9,3,2,4,31,367,9,3,1,1,0,0,0,1,0,3,31
200019530001,553,328,143,75,7,0,0,488,8,0,5,2,50,488,8,0,2,5,0,0,0,0,0,0,50
200019530002,507,270,133,98,6,0,0,446,17,0,1,0,43,446,17,0,0,1,0,0,0,0,0,0,43
200019530003,356,175,107,66,8,0,0,300,16,7,0,2,31,300,16,5,2,0,0,0,0,0,0,0,31
200019530004,475,209,151,112,3,0,0,403,31,3,3,1,34,403,31,3,1,1,0,2,0,0,0,0,34
201199666001,384,307,50,25,2,0,0,343,9,0,4,1,27,343,9,0,0,3,1,0,0,0,0,1,27
201199666002,667,397,166,96,8,0,0,499,112,0,3,2,51,499,112,0,0,0,0,2,0,0,1,2,51
201199666003,513,365,99,48,1,0,0,430,36,0,3,0,44,430,36,0,0,1,0,1,0,0,0,0,44
201199667001,1180,908,164,104,4,0,0,1000,49,0,5,8,118,1000,49,0,0,1,1,3,1,0,0,4,118
201999541001,337,286,36,13,2,0,0,315,8,0,0,5,9,315,8,0,5,0,0,0,0,0,0,0,9
201999541002,655,544,74,35,2,0,0,570,18,0,12,10,45,570,18,0,5,2,10,0,3,0,0,0,45
200939591001,696,459,137,96,4,0,0,509,145,1,3,4,34,509,145,1,4,1,1,0,0,0,0,0,34
200939591002,478,300,105,70,3,0,0,363,76,0,2,4,33,363,75,0,3,0,0,1,0,1,0,1,33
200939591003,792,519,170,96,7,0,0,576,144,1,3,2,66,576,144,1,2,0,1,1,0,1,0,0,66
201770004001,310,66,112,129,3,0,0,181,43,63,1,3,19,181,43,63,3,1,0,0,0,0,0,0,19
201770004002,371,73,155,134,9,0,0,261,41,37,4,4,24,261,41,37,1,1,2,0,1,0,1,0,24
201770004003,477,87,188,196,6,0,0,269,66,99,2,6,35,269,66,99,3,0,0,1,1,0,1,0,35
201770004004,519,99,177,239,4,0,0,344,74,69,2,3,27,344,74,69,2,1,0,1,1,0,0,0,27
201770005001,329,54,135,136,4,0,0,199,27,72,1,4,26,199,27,72,1,0,0,1,0,0,0,0,26
201770005002,268,43,90,128,7,0,0,182,25,29,7,9,16,182,25,29,2,3,0,2,6,1,0,0,16
201770005003,349,64,141,139,5,0,0,203,57,64,4,3,18,203,56,64,1,0,1,0,0,2,1,0,18
201770006001,449,111,161,165,12,0,0,355,51,16,1,0,26,355,50,16,0,0,0,0,0,1,0,0,26
201770006002,217,40,87,84,6,0,0,150,28,27,0,3,9,150,28,27,1,0,0,0,1,0,0,0,9
201770006003,225,54,85,81,5,0,0,169,26,16,0,1,13,169,26,16,0,0,0,0,0,0,0,0,13
201770007001,600,168,219,207,6,0,0,482,43,13,4,4,54,482,43,13,0,0,0,1,2,0,3,0,54
201770007002,828,296,299,222,11,0,0,707,28,0,5,3,85,707,28,0,1,1,0,1,1,1,2,0,85
201770008001,459,172,176,110,1,0,0,398,21,3,3,0,34,398,21,3,0,0,3,0,0,0,0,0,34
201770008002,356,101,152,99,4,0,0,303,17,1,2,4,29,303,17,1,1,1,1,0,1,0,0,2,29
