BlockGroupID,total_reg,party_dem,party_rep,party_rin,party_lib,party_grn,party_cnt,party_slb,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_21,eth2_14,eth2_34,eth2_61,eth2_12,eth2_32,eth2_38,eth2_unk
210639201011,163,120,37,2,0,0,0,0,0,4,0,151,2,0,1,2,7,151,0,2,0,1,0,0,0,0,0,0,0,2,7
210639201012,4,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
210639201013,73,63,7,1,0,0,0,0,0,2,0,66,0,0,0,0,7,66,0,0,0,0,0,0,0,0,0,0,0,0,7
210639201021,2378,1918,375,23,4,0,0,0,1,57,0,2126,13,10,22,6,201,2126,10,13,4,7,1,7,5,1,0,0,0,0,201
210639201022,490,357,101,8,1,0,0,0,0,23,0,442,2,1,3,2,40,442,1,2,0,0,1,1,1,0,0,0,1,1,40
210639201023,78,57,17,1,0,0,0,0,0,3,0,71,0,1,0,1,5,71,1,0,0,0,0,0,0,0,0,0,0,0,5
210639202001,53,42,7,1,1,0,0,0,0,2,0,50,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,3
210639202002,72,55,13,2,0,0,0,0,0,2,0,64,0,0,0,0,8,64,0,0,0,0,0,0,0,0,0,0,0,0,8
210639202003,375,300,53,8,1,0,0,0,0,13,0,346,6,1,0,2,20,346,1,6,0,0,0,0,0,1,0,0,0,1,20
212179201001,439,195,217,8,0,0,0,0,0,19,0,396,7,0,3,2,31,396,0,7,1,1,1,1,0,1,0,0,0,0,31
212179201002,1302,498,738,25,4,0,0,1,0,36,0,1170,25,6,12,3,86,1170,6,24,0,5,0,4,2,0,0,1,0,2,86
212179202001,625,224,370,14,2,0,0,0,0,15,0,570,2,9,6,2,36,570,9,1,1,4,1,1,0,0,0,0,0,0,36
212179202002,503,159,302,17,3,0,1,0,0,21,0,455,5,0,3,2,38,455,0,5,0,0,2,1,0,0,0,0,0,0,38
212179202003,1294,433,801,23,4,2,0,0,1,30,0,1169,7,2,12,3,101,1169,1,7,0,5,3,2,2,0,0,0,0,0,101
212179203001,787,341,402,19,1,0,0,0,2,22,0,691,15,19,13,0,49,691,19,15,0,4,0,1,4,0,0,2,0,0,49
212179203002,1563,567,904,47,2,1,0,0,0,42,0,1444,18,10,26,5,60,1444,10,18,4,2,13,4,5,0,0,1,0,0,60
212179203003,634,282,301,20,3,0,0,0,0,28,0,568,7,17,3,1,38,568,17,7,1,1,1,0,1,0,0,0,0,0,38
212179203004,452,168,241,20,3,1,1,0,0,18,0,407,6,9,16,0,14,407,9,6,0,3,5,2,4,0,0,0,0,0,14
212179204011,1040,406,552,39,4,0,2,0,0,37,0,932,16,26,6,5,55,932,26,16,2,3,0,0,3,0,2,0,0,0,55
212179204012,644,281,295,28,2,0,0,0,0,38,0,520,13,61,2,2,46,520,61,13,1,1,0,0,1,0,0,0,1,0,46
212179204013,1060,343,647,30,3,0,1,0,0,36,0,920,14,21,19,10,76,920,21,13,2,6,7,4,1,4,0,0,3,0,76
212179204021,694,246,416,12,3,0,0,0,0,17,0,635,10,7,6,4,32,635,7,10,0,3,1,2,0,2,0,0,0,0,32
212179204022,1229,425,750,21,3,0,0,0,1,29,0,1127,14,12,10,3,63,1127,12,14,0,6,0,1,3,0,0,0,0,0,63
212179204023,773,309,389,34,2,0,1,0,0,38,0,701,12,7,4,7,42,701,7,12,5,1,1,0,1,0,1,1,0,0,42
212179205011,521,141,349,18,0,1,0,0,0,12,0,474,7,1,0,0,39,474,1,7,0,0,0,0,0,0,0,0,0,0,39
212179205012,934,338,530,18,6,1,0,0,0,41,0,836,17,18,7,5,51,836,18,13,1,4,1,0,2,1,1,0,0,0,51
212179205013,537,192,315,11,2,0,0,0,0,17,0,493,2,4,1,1,36,493,4,2,1,0,1,0,0,0,0,0,0,0,36
212179205021,1134,376,687,31,4,0,0,0,1,35,0,1066,7,8,7,11,35,1066,8,7,2,2,0,1,3,2,0,0,0,0,35
212179205022,609,236,334,20,2,0,0,0,0,17,0,547,9,12,6,1,34,547,12,9,0,0,1,1,4,0,0,0,0,0,34
212179205023,346,197,114,13,1,0,0,0,0,21,0,202,7,110,3,2,22,202,110,7,1,1,1,0,1,0,0,0,0,0,22
212179205024,502,253,194,28,1,2,2,0,0,22,0,424,9,35,3,1,30,424,35,9,0,1,1,0,1,0,1,0,0,0,30
210259202001,878,632,214,11,1,0,0,0,0,20,0,801,6,1,9,2,59,801,1,6,1,2,1,3,3,1,0,0,0,0,59
210259202002,758,616,116,6,1,0,1,0,0,18,0,719,3,0,2,6,28,719,0,3,5,1,0,1,0,1,0,0,0,0,28
210259203011,604,496,79,12,3,0,0,0,0,14,0,560,6,2,4,0,32,560,2,6,0,0,2,1,1,0,0,0,0,0,32
210259203012,637,513,101,9,0,1,0,0,0,13,0,591,3,1,9,2,31,591,1,3,0,2,1,3,1,2,0,2,0,0,31
210259203021,1151,952,162,13,1,0,1,0,0,22,0,1074,10,10,4,2,51,1074,10,10,0,2,0,1,1,0,0,0,0,0,51
210259203022,965,799,132,7,1,0,0,0,0,26,0,880,20,1,16,0,48,880,1,20,0,5,1,3,5,0,0,2,0,0,48
210259205001,1998,1270,685,15,0,0,0,0,0,28,0,1894,10,5,10,1,78,1894,5,10,1,5,2,3,0,0,0,0,0,0,78
210259206001,686,554,109,10,0,0,0,0,0,13,0,648,7,1,4,3,23,648,1,7,1,0,0,3,0,0,0,0,0,2,23
210259206002,512,441,62,1,0,0,0,0,0,8,0,495,3,0,2,0,12,495,0,3,0,2,0,0,0,0,0,0,0,0,12
210259207001,609,520,68,6,1,0,0,0,0,14,0,575,6,0,6,1,21,575,0,6,1,2,2,0,1,0,0,0,0,0,21
210259207002,884,737,115,9,0,0,0,0,0,23,0,822,7,2,11,2,40,822,2,7,0,2,2,2,5,2,0,0,0,0,40
210259208001,983,803,150,10,1,0,0,0,0,19,0,927,8,0,18,3,27,927,0,8,1,7,0,6,5,1,0,0,0,0,27
210259208002,730,593,108,6,1,0,0,0,0,22,0,671,4,7,10,0,38,671,7,4,0,3,0,3,4,0,0,0,0,0,38
212039501001,789,116,632,25,2,0,0,0,0,14,0,739,4,0,8,0,38,739,0,4,0,2,1,2,1,0,0,1,0,0,38
212039501002,535,103,384,22,2,0,1,0,0,23,0,486,8,0,1,3,37,486,0,5,1,0,0,1,0,1,0,0,0,1,37
212039501003,869,148,669,31,2,0,0,0,0,19,0,804,4,1,11,2,47,804,1,4,0,5,1,1,3,2,0,0,0,0,47
212039502011,1096,152,902,20,0,0,0,0,0,22,0,1037,9,0,7,1,42,1037,0,9,0,3,0,3,1,1,0,0,0,0,42
212039502012,736,139,545,27,1,0,0,0,1,23,0,680,11,0,1,4,40,680,0,11,1,0,0,0,1,0,0,0,0,0,40
212039502021,1461,238,1140,49,7,0,1,0,0,26,0,1349,6,0,21,4,81,1349,0,5,1,6,6,4,5,3,0,0,0,0,81
