BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_21,eth2_30,eth2_10,eth2_23,eth2_34,eth2_14,eth2_85,eth2_66,eth2_199,eth2_12,eth2_61,eth2_unk
220379513001,914,455,268,188,3,0,0,0,418,12,443,7,5,29,418,422,12,21,5,1,0,3,0,0,0,0,0,0,1,0,29
220379513002,728,417,167,142,2,0,0,0,250,0,427,2,3,46,250,411,0,16,2,0,0,0,2,0,0,1,0,0,0,0,46
220379513003,776,450,182,143,1,0,0,0,285,1,440,2,1,47,285,419,1,21,1,0,0,0,2,0,0,0,0,0,0,0,47
220379514001,694,251,284,155,3,1,0,0,483,6,168,1,7,29,483,164,6,4,3,1,2,0,0,1,0,0,0,0,0,0,29
220379514002,1106,682,220,201,3,0,0,0,417,8,628,4,8,41,417,595,8,33,5,0,1,0,3,0,0,0,0,0,1,0,41
220379514003,648,371,140,134,3,0,0,0,232,4,385,3,1,23,232,361,4,24,0,0,0,0,0,0,1,1,0,0,2,0,23
220379515011,885,247,407,227,4,0,0,0,677,13,128,2,9,56,677,125,13,3,3,1,0,0,0,2,1,3,0,0,0,0,56
220379515021,653,308,169,175,1,0,0,0,335,15,269,2,3,29,335,264,13,5,1,2,1,0,0,0,0,0,2,0,0,1,29
220379515022,974,349,380,239,4,2,0,0,618,8,271,2,8,67,618,265,8,6,1,0,1,0,0,1,2,2,0,0,0,0,67
220379515023,942,505,249,184,4,0,0,0,344,15,549,1,6,27,344,515,15,34,2,0,0,1,0,0,0,3,0,0,0,0,27
220379515024,598,233,228,134,3,0,0,0,400,6,162,0,4,26,400,154,6,8,3,0,0,0,0,0,0,0,0,0,0,0,26
220379515025,634,177,327,126,4,0,0,0,463,13,118,2,5,33,463,112,13,6,2,0,0,1,0,0,1,0,0,0,0,3,33
220379516001,1545,494,654,384,10,3,0,0,1087,29,307,3,11,108,1087,295,29,12,2,2,2,1,0,2,0,1,0,0,0,0,108
220379516002,747,281,285,180,1,0,0,0,467,10,216,0,11,43,467,208,10,8,7,0,1,0,0,0,0,0,0,0,0,0,43
220379516003,809,390,244,173,2,0,0,0,370,8,386,1,6,38,370,376,8,10,3,1,2,0,0,0,0,0,0,0,0,0,38
220379516004,884,522,199,159,4,0,0,0,282,8,553,3,6,32,282,527,8,26,1,1,0,2,0,0,0,4,0,0,0,0,32
221139501011,218,44,118,55,1,0,0,0,174,13,4,5,2,20,174,4,10,0,0,0,0,1,3,0,0,0,3,0,0,0,20
221139501012,558,170,263,123,2,0,0,0,393,31,83,10,5,36,393,83,31,0,1,7,1,0,1,0,1,0,0,0,0,2,36
221139501013,910,189,455,260,5,1,0,0,711,31,60,18,11,79,711,59,27,1,0,13,2,4,1,2,0,0,4,5,0,0,79
221139501014,346,81,161,100,4,0,0,0,254,16,37,2,3,34,254,37,15,0,1,0,2,0,2,0,0,0,1,0,0,0,34
221139501015,567,115,270,177,4,1,0,0,455,25,22,8,8,49,455,22,23,0,1,5,0,3,0,2,0,2,2,2,0,0,49
221139501021,460,139,189,131,1,0,0,0,322,21,75,4,5,33,322,75,16,0,2,0,1,3,1,0,0,0,5,2,0,0,33
221139501022,475,127,210,135,2,1,0,0,407,20,4,6,3,35,407,4,16,0,0,4,1,0,1,0,0,0,4,1,1,0,35
221139501023,694,133,411,147,3,0,0,0,561,32,23,4,7,67,561,23,28,0,0,3,3,1,0,0,0,0,4,2,0,0,67
221139501024,456,122,222,110,2,0,0,0,332,18,57,7,8,34,332,55,14,2,2,3,0,3,0,1,0,4,4,1,0,0,34
221139501031,427,107,192,126,1,1,0,0,316,26,39,0,5,41,316,39,26,0,0,0,0,0,0,0,0,1,0,2,0,0,41
221139501032,152,47,64,41,0,0,0,0,138,2,0,1,1,10,138,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,10
221139501033,405,127,188,90,0,0,0,0,345,15,4,0,10,31,345,4,15,0,2,0,0,0,0,0,0,0,0,6,0,0,31
221139501034,311,80,147,83,1,0,0,0,261,19,4,0,4,23,261,4,19,0,1,0,0,0,0,0,0,0,0,1,0,0,23
221139501035,455,82,241,129,3,0,0,0,377,22,12,4,0,40,377,12,20,0,0,4,0,0,0,0,0,0,2,0,0,0,40
221139501036,382,96,195,91,0,0,0,0,310,13,11,0,11,37,310,10,12,1,1,0,0,0,0,0,0,0,1,8,0,0,37
221139502011,405,135,185,81,4,0,0,0,328,25,8,0,2,42,328,8,17,0,0,0,0,0,0,1,0,0,8,1,0,0,42
221139502012,345,146,113,84,1,1,0,0,282,21,0,0,3,39,282,0,21,0,0,0,0,0,0,1,0,0,0,2,0,0,39
221139502013,568,202,225,141,0,0,0,0,478,30,6,1,3,50,478,6,25,0,1,1,0,0,0,0,0,0,5,1,0,0,50
221139502021,268,111,98,59,0,0,0,0,219,6,11,2,0,30,219,11,5,0,0,0,0,1,1,0,0,0,1,0,0,0,30
221139502022,382,195,97,87,2,1,0,0,257,6,75,3,0,41,257,75,5,0,0,1,0,0,0,0,1,0,1,0,0,0,41
221139502023,209,71,86,52,0,0,0,0,194,4,0,0,0,11,194,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11
221139502024,472,144,218,106,4,0,0,0,397,8,2,2,5,58,397,2,7,0,1,1,2,0,0,2,0,0,1,0,0,0,58
221139502025,277,102,94,79,2,0,0,0,189,15,39,0,2,32,189,39,14,0,1,0,1,0,0,0,0,0,1,0,0,0,32
221139504001,420,181,128,108,2,1,0,0,335,17,29,0,3,36,335,29,14,0,0,0,0,0,0,0,0,0,3,1,0,0,36
221139504002,579,227,193,155,3,1,0,0,479,14,26,2,10,48,479,25,11,1,1,2,1,0,0,1,0,0,3,4,0,0,48
221139504003,522,231,169,121,1,0,0,0,356,27,75,4,9,51,356,73,25,2,0,2,1,0,2,0,0,0,2,8,0,0,51
221139504004,484,284,58,142,0,0,0,0,184,11,252,9,8,20,184,249,11,3,1,7,0,0,0,0,0,0,0,6,2,0,20
221139504005,443,168,176,98,1,0,0,0,370,20,15,2,7,29,370,15,19,0,2,2,0,0,0,0,0,0,1,2,0,0,29
221139504006,357,130,129,97,1,0,0,0,296,19,8,5,2,27,296,8,16,0,0,0,0,1,4,0,0,0,3,2,0,0,27
221139504007,619,221,243,151,2,2,0,0,497,29,11,11,5,66,497,11,25,0,0,4,0,2,2,0,0,0,4,3,0,0,66
221139505001,461,143,194,123,1,0,0,0,356,28,28,2,6,41,356,28,28,0,3,2,0,0,0,2,0,0,0,0,0,0,41
221139505002,341,120,142,79,0,0,0,0,275,9,1,4,9,43,275,1,6,0,2,2,0,0,0,0,0,5,3,2,0,0,43
221139505003,486,181,160,145,0,0,0,0,350,16,68,4,3,45,350,68,13,0,1,3,1,1,0,0,0,0,3,1,0,0,45
221139505004,418,138,177,101,1,1,0,0,361,14,7,1,4,31,361,7,9,0,0,0,0,0,1,0,0,0,5,3,0,0,31
221139505005,463,180,176,106,1,0,0,0,395,19,0,0,3,46,395,0,18,0,1,0,1,0,0,0,0,0,1,1,0,0,46
221139505006,328,93,160,72,2,1,0,0,274,11,14,1,4,24,274,14,10,0,0,0,0,0,0,0,1,0,1,1,0,0,24
221139505007,245,86,90,69,0,0,0,0,188,16,14,0,4,23,188,14,13,0,0,0,2,0,0,0,0,0,3,1,0,0,23
221139505008,448,124,215,107,2,0,0,0,360,23,5,4,4,52,360,5,19,0,1,1,0,2,1,3,0,0,4,0,0,0,52
221139505009,567,160,266,141,0,0,0,0,473,17,7,2,28,40,473,7,13,0,0,0,0,0,2,0,0,0,4,26,0,0,40
221139506001,457,142,186,126,2,1,0,0,366,17,36,2,0,36,366,36,16,0,0,2,0,0,0,0,0,0,1,0,0,0,36
221139506002,481,138,205,134,4,0,0,0,357,30,43,10,1,40,357,42,26,1,1,5,0,3,0,0,1,0,4,0,1,0,40
221139506003,601,134,312,154,1,0,0,0,493,24,12,24,0,48,493,12,19,0,0,19,0,3,0,0,2,0,5,0,0,0,48
221139506004,470,188,134,143,3,2,0,0,352,18,33,12,6,49,352,32,15,1,1,11,0,0,1,2,0,2,3,1,0,0,49
221139507001,307,92,144,69,2,0,0,0,215,23,21,15,3,30,215,21,20,0,2,12,0,2,0,0,1,0,3,1,0,0,30
221139507002,505,168,199,135,2,1,0,0,371,28,37,8,4,57,371,37,22,0,0,7,1,0,0,0,0,0,6,0,1,2,57
221139507003,434,146,141,147,0,0,0,0,250,10,72,67,3,32,250,71,9,1,0,55,0,9,0,1,2,0,1,0,1,0,32
