BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_grn,party_wkp,party_bar,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_14,eth2_34,eth2_21,eth2_32,eth2_12,eth2_85,eth2_29,eth2_35,eth2_55,eth2_66,eth2_33,eth2_61,eth2_99,eth2_38,eth2_26,eth2_19,eth2_59,eth2_18,eth2_unk
240037011011,1313,463,542,294,2,5,0,0,2,5,0,1054,34,57,29,20,119,1054,57,32,9,6,5,8,5,0,0,6,3,1,0,2,2,0,0,0,1,0,0,0,1,119
240037011012,1994,709,849,417,5,5,1,1,0,7,0,1618,80,9,25,38,224,1618,9,79,7,8,8,7,19,0,0,2,1,0,3,2,1,4,0,0,0,0,0,0,0,224
240037011031,1137,390,426,305,0,7,2,1,1,5,0,886,85,17,16,15,118,886,17,84,6,2,1,1,7,7,0,1,1,0,1,4,1,0,0,0,0,0,0,0,0,118
240037011032,1342,470,500,342,3,11,5,1,1,9,0,1097,61,6,15,15,148,1097,6,59,7,4,0,3,3,4,2,0,0,0,2,0,2,0,4,0,0,0,0,0,1,148
240037011041,1009,333,389,276,1,1,3,1,0,5,0,827,38,8,22,13,101,827,8,38,8,3,6,4,7,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,101
240037011042,1918,709,753,430,10,8,3,0,0,5,0,1520,86,29,38,40,205,1520,29,85,13,12,11,1,14,9,3,4,0,0,3,1,1,1,2,0,0,0,0,0,0,205
240037012011,1358,427,616,302,1,7,0,0,0,5,0,1166,32,9,10,20,121,1166,9,32,5,4,3,2,2,0,0,0,4,0,1,1,0,5,2,0,0,0,0,0,0,121
240037012012,1667,486,728,425,6,8,4,1,0,9,0,1403,43,21,38,16,146,1403,21,43,11,9,0,9,4,2,0,12,0,0,0,0,0,2,0,0,1,1,0,0,0,146
240037012021,2174,648,991,512,5,7,1,3,0,7,0,1844,72,11,33,32,182,1844,11,72,8,10,10,5,9,1,3,9,0,0,1,2,0,2,3,0,0,0,0,0,0,182
240037012022,1613,514,696,378,4,11,3,2,0,5,0,1382,67,3,19,20,122,1382,3,67,4,8,4,5,6,3,0,2,2,0,2,0,0,0,2,0,0,1,0,0,0,122
240037013011,1564,505,661,371,1,13,3,4,0,6,0,1298,45,12,30,22,157,1298,12,42,11,7,11,2,7,1,0,3,0,1,4,0,3,1,2,0,0,0,0,0,0,157
240037013012,1657,509,786,345,3,5,2,0,0,7,0,1311,40,62,39,36,169,1311,62,40,18,17,14,1,11,4,0,1,1,1,3,0,0,0,2,0,0,0,0,0,0,169
240037013021,1060,376,447,224,5,2,2,1,0,3,0,794,20,141,5,5,95,794,141,20,1,0,2,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,95
240037013022,2027,702,848,457,0,4,4,1,0,11,0,1541,65,153,25,60,183,1541,153,61,9,21,8,4,8,1,4,0,5,0,10,2,4,1,1,0,4,1,0,0,0,183
240037014001,1156,344,544,260,1,5,1,0,0,1,0,871,35,73,34,32,111,871,72,35,13,16,12,1,8,6,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,111
240037014002,1677,677,660,312,2,15,2,0,1,8,0,1218,55,238,14,12,140,1218,237,54,6,1,1,3,5,4,0,0,1,0,1,0,1,3,0,1,0,0,0,1,0,140
240037021001,1985,648,843,469,5,10,1,0,1,8,0,1642,55,44,19,33,192,1642,44,51,7,6,4,3,10,3,0,1,0,0,3,6,4,3,1,0,3,0,1,0,0,192
240037021002,1292,476,541,263,3,3,2,0,0,4,0,1007,36,58,34,22,135,1007,57,36,12,5,7,8,8,5,2,2,0,0,1,4,0,0,2,1,0,0,0,0,0,135
240037021003,877,305,353,209,2,4,1,1,0,2,0,689,39,8,10,16,115,689,8,39,4,1,0,1,10,2,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,115
240037021004,1417,499,541,350,5,14,2,0,0,6,0,1188,51,9,19,14,136,1188,9,51,7,4,3,3,7,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,136
240037022041,1735,699,584,425,3,17,1,0,1,5,0,1300,64,33,66,72,200,1300,31,63,29,39,21,11,11,3,7,2,5,4,0,0,1,0,2,2,0,0,0,0,0,200
240037022042,1500,583,505,393,5,8,1,0,0,5,0,1148,67,49,34,43,159,1148,49,67,13,14,14,2,10,1,3,0,2,2,1,4,0,1,2,0,0,1,2,0,0,159
240037022051,1482,580,502,380,5,4,5,2,2,2,0,1158,53,27,38,45,161,1158,27,51,13,14,16,6,10,3,0,0,0,0,7,4,2,5,3,0,0,0,0,0,0,161
240037022052,1406,762,283,345,3,5,3,1,0,4,0,883,65,267,38,43,110,883,262,65,12,29,14,8,4,1,2,0,2,1,0,0,0,1,3,5,1,1,1,0,0,110
240037022053,1035,412,375,235,1,7,1,0,0,4,0,846,38,4,19,25,103,846,4,38,6,9,3,4,3,1,1,5,5,2,1,0,0,0,4,0,0,0,0,0,0,103
240037022061,1948,773,633,515,5,12,1,0,0,9,0,1447,91,128,49,50,183,1447,128,86,23,23,7,10,12,5,0,0,0,1,3,1,5,1,1,0,0,2,1,6,0,183
240037022062,1094,538,247,294,3,3,3,1,1,4,0,676,60,208,36,23,91,676,207,60,12,7,7,5,5,7,1,5,4,0,2,1,0,0,1,1,0,0,0,0,0,91
240037022063,1384,574,457,332,7,6,2,0,1,5,0,975,82,87,48,44,148,975,87,75,16,23,21,6,2,4,1,1,5,0,3,2,7,2,3,0,2,0,0,0,0,148
240037022081,2324,923,803,574,5,10,3,0,0,6,0,1662,118,90,140,116,198,1662,90,116,38,71,65,13,12,15,4,7,7,10,1,2,2,6,0,0,0,0,0,0,1,198
240037022082,1123,600,243,268,3,3,2,0,0,4,0,544,86,256,73,67,97,544,253,85,27,36,26,11,3,5,2,2,2,10,4,4,1,5,0,3,0,0,0,0,1,97
240037022083,1659,848,396,389,4,12,2,1,1,6,0,1010,98,266,49,81,155,1010,264,96,14,53,25,3,9,3,1,3,1,5,1,3,2,0,2,2,4,0,1,0,0,155
240037022091,967,320,399,237,3,5,0,0,0,3,0,743,47,14,28,54,81,743,14,44,6,23,7,7,8,8,1,0,4,3,7,2,3,0,3,0,0,0,0,0,0,81
240037022092,1250,513,420,301,1,6,2,0,1,6,0,942,60,61,33,29,125,942,58,59,10,18,7,15,0,0,2,1,2,5,0,1,1,0,0,3,0,0,0,0,0,125
240037022093,1071,496,297,264,2,6,3,1,1,1,0,767,62,79,33,33,97,767,79,60,5,13,15,5,7,5,1,1,7,0,0,1,2,0,0,0,1,1,0,0,1,97
240037023001,1510,487,676,332,6,2,0,0,1,6,0,1245,34,14,24,32,161,1245,14,33,8,6,7,3,8,4,3,2,0,3,5,4,1,1,0,0,0,0,0,2,0,161
240037023002,1231,389,541,283,4,7,0,0,0,7,0,1036,44,8,19,23,101,1036,8,44,5,2,2,5,9,3,0,3,2,0,1,3,0,3,3,0,0,1,0,0,0,101
