BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_con,party_ain,party_scl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_66,eth2_23,eth2_34,eth2_21,eth2_35,eth2_14,eth2_12,eth2_55,eth2_13,eth2_32,eth2_61,eth2_85,eth2_29,eth2_33,eth2_38,eth2_15,eth2_57,eth2_19,eth2_26,eth2_59,eth2_unk
250138001011,832,412,325,78,8,0,0,1,1,7,0,387,287,69,2,16,71,387,285,69,0,9,2,0,4,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,71
250138001012,733,365,307,54,1,1,1,0,0,4,0,227,387,75,1,12,31,227,383,75,1,7,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
250138001013,916,458,361,84,4,1,2,1,0,5,0,439,277,100,14,19,67,439,260,100,5,4,17,1,10,3,0,1,1,1,0,0,1,1,0,1,0,2,0,1,0,0,67
250138001021,1076,501,479,79,6,3,1,0,0,7,0,377,486,117,11,20,65,377,479,117,6,5,7,2,6,1,6,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,65
250138001022,493,273,190,24,1,0,0,0,0,5,0,161,246,43,10,5,28,161,243,42,4,4,3,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
250138001023,847,428,349,55,6,2,0,0,0,7,0,298,380,96,4,14,55,298,373,96,1,4,7,0,5,1,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,55
250138002011,969,484,421,55,1,0,0,0,0,8,0,246,622,47,10,6,38,246,618,46,2,2,4,0,3,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,38
250138002012,1085,536,444,93,4,1,0,0,1,6,0,580,369,49,6,32,49,580,367,48,0,19,2,1,7,2,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,49
250138002013,435,218,179,32,1,0,0,0,1,4,0,174,202,25,14,2,18,174,202,25,1,1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,18
250138002014,885,458,363,54,6,0,0,0,0,4,0,377,372,57,18,19,42,377,369,57,9,12,3,3,2,6,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,42
250138002015,1107,498,510,84,7,1,3,0,0,4,0,517,467,26,11,22,64,517,465,26,9,7,2,1,9,0,0,1,0,3,0,2,0,0,0,0,0,0,1,0,0,0,64
250138002021,993,490,400,84,3,0,3,0,1,12,0,462,409,50,6,18,48,462,405,50,1,7,4,1,5,2,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,48
250138003001,1080,473,521,73,3,2,1,3,0,4,0,390,521,66,13,26,64,390,517,66,6,14,4,5,2,1,2,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,64
250138003002,812,370,373,54,4,1,3,1,0,6,0,291,422,40,5,14,40,291,419,40,0,7,3,1,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40
250138003003,751,372,325,40,5,2,0,1,0,6,0,232,410,47,7,16,39,232,407,46,0,12,3,4,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,39
250138003004,752,358,338,47,2,1,0,0,0,6,0,347,336,25,2,2,40,347,336,25,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
250138004001,863,427,372,55,6,0,0,0,0,3,0,272,479,47,8,14,43,272,474,47,5,11,5,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43
250138004002,454,221,202,26,4,0,0,0,0,1,0,132,277,22,2,5,16,132,276,22,0,3,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,16
250138004003,993,494,420,64,7,0,1,0,1,6,0,398,485,27,4,19,60,398,478,27,1,11,7,1,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60
250138004004,732,360,319,38,5,0,0,1,0,9,0,226,432,42,1,10,21,226,432,42,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21
250138004005,1016,491,454,61,3,0,0,1,0,6,0,245,656,51,4,18,42,245,656,51,1,15,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,42
250138005001,774,351,375,33,4,4,0,0,0,7,0,195,501,31,7,11,29,195,499,31,3,7,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
250138005002,601,263,290,38,3,0,1,0,1,5,0,84,444,30,5,11,27,84,442,30,2,9,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27
250138005003,787,342,378,61,1,1,0,0,0,4,0,408,275,30,11,21,42,408,274,29,1,13,1,2,5,4,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,42
250138006001,502,245,224,29,2,0,0,0,0,2,0,64,405,9,2,5,17,64,404,9,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
250138006002,615,268,304,37,4,0,0,0,0,2,0,35,532,6,6,18,18,35,532,6,2,11,0,2,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,18
250138006003,309,163,124,20,0,0,0,0,0,2,0,30,254,7,0,4,14,30,253,7,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
250138007001,988,442,490,46,4,0,2,0,0,4,0,74,859,11,9,2,33,74,854,11,1,0,5,3,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,33
250138007002,1542,657,798,69,7,2,1,2,1,5,0,151,1287,44,6,14,40,151,1285,44,1,10,2,1,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,40
250138008001,755,313,388,45,3,1,1,0,0,4,0,115,565,49,1,7,18,115,564,49,0,4,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18
250138008002,554,216,285,48,2,0,0,0,0,3,0,53,473,2,6,8,12,53,472,2,1,5,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12
250138009001,903,381,453,61,3,0,0,1,0,4,0,115,702,40,4,13,29,115,702,40,1,9,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,29
250138009002,903,362,465,67,1,1,0,0,0,7,0,153,644,65,2,15,24,153,642,65,1,2,2,0,9,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,24
250138009003,803,367,372,52,5,0,2,0,0,5,0,115,629,22,2,10,25,115,626,22,1,6,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25
250138011011,1528,642,762,92,12,3,0,1,0,16,0,360,947,114,21,18,68,360,942,113,8,10,5,6,3,3,1,2,0,3,1,0,0,1,0,0,0,0,0,0,1,0,68
250138011021,451,220,201,27,2,0,0,0,0,1,0,177,163,57,12,8,34,177,161,57,3,3,2,4,1,2,0,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,34
