BlockGroupID,total_reg,party_npp,party_rep,party_dem,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_23,eth2_30,eth2_10,eth2_21,eth2_99,eth2_34,eth2_14,eth2_unk
280199501001,669,194,323,152,0,0,0,481,6,154,2,2,24,481,154,6,0,1,1,0,0,0,1,24
280199501002,434,110,257,67,0,0,0,405,5,10,0,2,12,405,10,5,0,0,0,0,0,0,0,12
280199501003,518,168,249,101,0,0,0,446,7,47,0,2,16,446,47,7,0,0,0,0,0,0,0,16
280199502001,566,154,289,122,0,1,0,350,2,185,5,2,22,350,185,2,1,0,0,0,0,0,2,22
280199502002,770,226,329,214,0,1,0,501,3,232,4,10,20,501,230,3,1,2,2,0,2,1,1,20
280199502003,487,135,203,149,0,0,0,328,3,134,2,2,18,328,134,3,0,0,1,0,0,0,0,18
280199502004,924,266,294,363,0,1,0,439,11,450,3,3,18,439,448,11,2,2,1,0,2,0,0,18
280199503001,760,248,315,197,0,0,0,467,18,247,5,3,20,467,247,18,0,2,3,0,0,0,0,20
280199503002,407,119,127,161,0,0,0,193,3,199,0,0,12,193,199,3,0,0,0,0,0,0,0,12
280450301011,1037,399,408,230,0,0,0,806,28,78,5,9,111,806,78,28,3,1,1,0,0,1,1,111
280450301012,505,220,148,137,0,0,0,374,26,45,0,4,56,374,45,26,0,2,0,0,0,1,0,56
280450301021,912,391,317,202,0,2,0,721,29,38,9,3,112,721,38,29,2,2,2,2,0,1,2,112
280450301022,1037,664,103,270,0,0,0,465,32,444,11,9,76,465,440,32,6,4,3,1,4,1,1,76
280450301023,582,256,125,201,0,0,0,310,21,199,4,6,42,310,199,21,0,1,0,2,0,1,1,42
280450302011,475,210,177,88,0,0,0,366,26,25,4,1,53,366,25,26,0,0,0,2,0,0,1,53
280450302012,548,303,159,86,0,0,0,416,35,30,4,7,56,416,29,34,1,5,1,1,1,1,1,56
280450302021,692,297,277,118,0,0,0,526,22,25,2,12,105,526,25,22,0,3,2,0,0,3,0,105
280450302022,428,195,158,75,0,0,0,353,17,9,1,2,46,353,9,16,0,0,0,1,0,1,0,46
280450302031,1223,582,433,208,0,0,0,957,45,67,22,11,121,957,66,44,4,6,4,11,1,2,2,121
280450302032,959,535,229,195,0,0,0,519,31,305,8,6,90,519,305,31,1,1,1,5,0,1,1,90
280450303011,1121,520,450,151,0,0,0,925,42,32,11,4,107,925,32,42,2,1,5,1,0,1,2,107
280450303012,529,219,221,88,0,1,0,420,31,8,2,8,60,420,8,29,0,1,0,0,0,4,2,60
280450303021,632,380,185,67,0,0,0,464,40,53,3,4,68,464,52,40,0,3,0,1,1,1,1,68
280450303022,373,229,109,35,0,0,0,298,20,15,1,0,39,298,15,20,0,0,1,0,0,0,0,39
280450303023,464,261,170,33,0,0,0,397,14,12,0,1,40,397,12,13,0,0,0,0,0,0,0,40
280450303031,340,212,82,46,0,0,0,268,8,10,0,3,51,268,10,8,0,1,0,0,0,1,0,51
280450303032,575,343,162,70,0,0,0,456,24,17,13,8,57,456,17,24,0,2,0,13,0,0,0,57
280450303033,358,273,53,32,0,0,0,246,13,43,6,2,48,246,43,13,1,0,0,4,0,0,0,48
280450303034,464,363,57,44,0,0,0,345,30,25,13,6,45,345,25,29,0,2,2,7,0,2,2,45
280450303041,497,303,133,61,0,0,0,381,26,12,1,9,68,381,12,25,0,2,1,0,0,3,0,68
280450303042,746,462,163,121,0,0,0,540,32,87,8,3,76,540,85,32,0,2,4,2,2,0,1,76
280450304001,468,218,165,84,0,1,0,379,23,12,7,4,43,379,12,23,1,0,1,3,0,0,1,43
280450304002,463,187,117,159,0,0,0,278,22,126,2,1,34,278,126,20,0,1,0,2,0,0,0,34
280450304003,569,322,153,94,0,0,0,392,25,57,5,3,87,392,57,25,1,3,3,1,0,0,0,87
280450305011,540,278,195,66,0,1,0,456,18,10,4,2,50,456,10,18,0,0,2,0,0,0,2,50
280450305012,1448,661,608,179,0,0,0,1176,62,33,16,13,148,1176,30,59,2,2,3,4,3,2,3,148
280450305021,926,399,443,84,0,0,0,747,38,16,11,15,99,747,15,35,1,5,6,3,1,2,0,99
