BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_21,eth2_14,eth2_61,eth2_12,eth2_35,eth2_38,eth2_85,eth2_33,eth2_32,eth2_55,eth2_66,eth2_29,eth2_59,eth2_unk
291174801001,921,645,90,186,0,0,847,8,1,4,1,60,847,1,8,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60
291174801002,849,608,65,176,0,0,760,3,2,4,6,74,760,2,3,0,1,3,2,0,0,0,0,4,0,0,0,0,0,0,0,0,74
291174802001,758,575,67,116,0,0,695,6,0,4,1,52,695,0,6,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,52
291174802002,530,380,64,86,0,0,462,3,1,1,0,63,462,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63
291174802003,352,216,38,98,0,0,312,2,2,1,1,34,312,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34
291174802004,413,255,45,113,0,0,394,3,0,0,3,13,394,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
291174803001,359,176,49,134,0,0,321,8,1,0,0,29,321,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
291174803002,632,399,71,162,0,0,570,8,1,0,1,52,570,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
291174803003,1451,899,145,407,0,0,1282,20,4,12,9,124,1282,4,18,3,1,6,0,2,3,0,0,1,2,0,2,0,0,2,0,0,124
291174804001,619,371,80,168,0,0,555,3,0,2,3,56,555,0,3,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,56
291174804002,637,303,77,257,0,0,568,8,5,2,5,49,568,5,8,2,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,49
291174804003,494,260,58,176,0,0,449,10,1,1,1,32,449,1,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,32
291174805001,473,150,70,253,0,0,417,7,6,2,0,41,417,6,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,41
291174805002,390,125,59,206,0,0,346,9,13,2,0,20,346,13,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
