BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_34,eth2_21,eth2_23,eth2_14,eth2_12,eth2_38,eth2_unk
310239676001,759,452,191,111,5,0,0,560,17,0,24,28,130,560,17,0,10,0,14,0,10,9,5,0,130
310239676002,706,467,121,113,5,0,0,542,22,0,3,7,132,542,16,0,0,0,7,0,1,1,1,0,132
310239676003,571,380,99,90,2,0,0,485,6,0,0,9,71,485,6,0,2,0,7,0,0,0,0,0,71
310239677001,1152,710,266,170,4,2,0,871,32,1,9,36,203,871,32,1,7,1,19,1,1,4,1,0,203
310239677002,754,471,131,146,6,0,0,551,38,2,6,22,135,551,38,2,3,4,9,0,2,0,0,0,135
310239678001,804,471,240,89,3,1,0,538,18,0,5,51,192,538,18,0,9,0,21,0,4,1,0,0,192
310239678002,627,402,116,102,6,1,0,473,4,0,1,30,119,473,4,0,4,0,15,0,1,0,0,0,119
311139575001,481,381,43,51,6,0,0,398,9,0,6,3,65,398,9,0,0,2,1,0,4,0,0,0,65
311339678001,409,256,98,53,2,0,0,314,3,0,0,4,88,314,3,0,0,0,3,0,0,0,0,1,88
311339678002,615,414,107,89,5,0,0,491,11,0,1,8,104,491,11,0,0,1,4,0,0,0,0,1,104
311339678003,710,419,170,115,6,0,0,589,12,0,1,10,98,589,12,0,2,1,3,0,0,0,0,3,98
310519776001,856,555,162,130,9,0,0,754,9,0,2,8,83,754,9,0,1,1,6,0,1,0,0,0,83
310519776002,832,559,187,83,3,0,0,675,13,0,4,3,137,675,13,0,0,1,3,1,1,0,1,0,137
310519778001,825,548,133,139,5,0,0,722,27,0,6,5,65,722,27,0,0,1,0,0,1,0,0,2,65
310519778002,385,248,66,65,6,0,0,324,4,1,0,2,54,324,4,1,0,0,0,0,0,0,0,0,54
310519778003,151,66,55,26,4,0,0,122,5,0,2,1,21,122,5,0,0,2,1,0,0,0,0,0,21
310519778004,548,266,160,116,6,0,0,367,122,0,4,0,55,367,121,0,0,1,0,0,1,0,2,0,55
311219666001,517,403,66,41,7,0,0,450,6,0,1,1,59,450,6,0,0,0,0,0,0,1,0,0,59
311219666002,760,497,157,102,3,1,0,614,12,2,0,5,127,614,12,2,2,0,1,0,0,0,0,2,127
311219667001,474,284,99,89,2,0,0,384,13,0,2,3,72,384,13,0,2,0,0,0,0,1,0,1,72
311219667002,361,263,47,48,3,0,0,313,6,0,0,3,39,313,5,0,0,0,0,0,0,0,0,1,39
311219667003,791,566,127,94,4,0,0,661,17,0,1,0,112,661,17,0,0,0,0,0,0,1,0,0,112
311219668001,861,614,124,116,7,0,0,733,21,1,3,8,95,733,21,1,2,2,1,0,1,0,0,0,95
311219668002,555,379,76,96,4,0,0,470,14,0,3,0,68,470,14,0,0,0,0,1,2,0,0,0,68
311219668003,689,468,121,95,5,0,0,591,17,0,2,8,71,591,17,0,0,0,0,0,0,0,2,4,71
310499554001,760,553,70,133,4,0,0,662,13,0,6,2,77,662,13,0,1,1,1,0,2,0,3,0,77
310499554002,529,397,62,65,4,1,0,451,17,0,4,5,52,451,17,0,0,0,4,1,1,0,0,0,52
310459506001,739,510,79,139,11,0,0,632,11,2,4,1,89,632,10,2,0,0,1,2,0,1,0,0,89
310459506002,573,378,88,101,6,0,0,496,14,0,3,3,57,496,14,0,0,0,0,1,0,0,0,0,57
310459506003,679,517,79,78,5,0,0,588,15,0,6,5,65,588,15,0,1,1,0,1,1,0,3,0,65
310459507001,600,364,128,99,9,0,0,498,19,2,4,4,73,498,19,2,0,1,0,0,0,0,3,0,73
310459507002,525,310,125,89,1,0,0,442,12,0,5,3,63,442,11,0,0,1,1,1,0,0,3,0,63
310459507003,391,244,80,63,4,0,0,354,7,0,4,2,24,354,7,0,0,0,0,0,0,1,3,1,24
310459507004,502,269,102,123,8,0,0,409,20,3,9,4,57,409,19,3,0,2,1,0,2,0,5,0,57
310459507005,859,459,220,163,17,0,0,686,26,4,9,13,121,686,26,4,5,2,0,0,3,1,1,0,121
310779709001,794,444,282,62,6,0,0,681,9,0,1,3,100,681,9,0,0,0,1,1,0,0,0,1,100
310779709002,698,342,281,71,4,0,0,610,4,0,2,0,82,610,4,0,0,1,0,0,1,0,0,0,82
310099724001,383,331,19,30,3,0,0,328,3,0,0,0,52,328,3,0,0,0,0,0,0,0,0,0,52
311559681001,1030,681,178,159,12,0,0,881,5,2,4,4,134,881,4,2,1,0,3,0,2,2,0,0,134
311559681002,800,501,155,136,8,0,0,657,8,0,1,5,129,657,8,0,0,0,5,0,0,0,1,0,129
311559681003,597,333,131,121,11,1,0,504,4,0,0,7,82,504,3,0,2,0,2,0,0,0,0,0,82
311559682001,911,550,219,137,4,1,0,615,6,0,0,41,249,615,6,0,0,0,21,0,0,0,0,1,249
311559682002,664,428,133,102,1,0,0,504,5,0,0,11,144,504,5,0,0,0,9,0,0,0,0,0,144
311559682003,1090,600,279,195,16,0,0,797,10,0,6,30,247,797,10,0,1,1,18,2,2,0,0,0,247
311559682004,1203,644,299,248,11,1,0,954,14,2,1,19,213,954,14,2,2,1,14,0,0,0,0,2,213
311559683001,1171,770,216,170,14,1,0,905,22,1,3,19,221,905,22,0,6,0,10,1,0,0,2,0,221
311559683002,835,519,154,153,9,0,0,676,21,0,9,13,116,676,21,0,2,0,9,0,4,3,2,0,116
311559683003,821,483,207,119,12,0,0,656,9,0,4,13,139,656,9,0,1,2,10,1,1,0,0,0,139
