BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_lib,party_cnt,party_con,party_grn,party_scl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_23,eth2_30,eth2_10,eth2_34,eth2_14,eth2_66,eth2_85,eth2_21,eth2_35,eth2_12,eth2_61,eth2_29,eth2_55,eth2_33,eth2_32,eth2_26,eth2_38,eth2_59,eth2_57,eth2_19,eth2_99,eth2_28,eth2_unk
340090201011,615,196,144,271,1,0,1,1,1,0,0,464,31,49,9,7,55,464,30,49,3,4,5,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,55
340090201012,747,221,224,299,2,0,1,0,0,0,0,616,16,25,2,14,74,616,16,25,0,0,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,74
340090201013,679,189,206,278,3,1,0,1,1,0,0,580,10,1,5,14,69,580,10,1,0,6,4,3,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,69
340090201014,653,174,220,251,1,0,3,4,0,0,0,525,27,8,16,15,62,525,26,8,2,3,6,5,0,1,0,4,2,4,2,0,1,0,1,0,0,0,0,0,0,0,62
340090201021,314,76,101,137,0,0,0,0,0,0,0,266,5,4,3,7,29,266,5,4,1,2,0,1,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,29
340090201022,463,114,154,190,0,2,0,2,0,1,0,390,17,2,0,6,48,390,17,2,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,48
340090201023,253,75,73,103,1,0,0,1,0,0,0,207,14,2,5,2,23,207,13,2,1,0,3,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23
340090201024,586,142,175,266,2,1,0,0,0,0,0,504,13,5,6,11,47,504,13,5,2,0,2,0,1,0,0,0,3,1,1,0,5,0,0,0,1,0,1,0,0,0,47
340090201025,125,29,51,44,0,0,0,0,1,0,0,103,2,0,0,9,11,103,2,0,0,0,0,4,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,11
340090202011,690,145,193,352,0,0,0,0,0,0,0,600,4,1,0,7,78,600,4,1,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78
