BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_lib,party_rin,party_grn,party_cnt,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_81,eth2_93,eth2_10,eth2_30,eth2_66,eth2_23,eth2_34,eth2_21,eth2_12,eth2_14,eth2_unk
350050002011,359,117,135,94,2,3,1,0,0,7,0,175,169,1,1,0,13,175,168,0,1,0,0,1,0,0,1,0,0,13
350050002012,511,161,231,104,9,4,0,1,0,1,0,329,142,0,2,1,37,329,141,0,0,1,0,1,1,1,0,0,0,37
350050002013,453,143,194,105,3,3,0,0,0,5,0,188,240,4,2,2,17,188,235,0,4,1,1,5,1,0,0,0,0,17
350050002014,288,88,126,64,5,2,3,0,0,0,0,136,117,2,6,3,24,136,115,0,2,0,1,2,3,1,2,1,0,24
350050002021,694,229,274,174,6,1,0,3,0,7,0,304,355,1,1,6,27,304,353,0,1,1,5,2,0,0,0,0,0,27
350050002022,370,115,172,76,1,2,0,0,0,4,0,182,166,3,2,0,17,182,165,0,3,0,0,1,0,0,1,1,0,17
350050002023,595,156,301,127,4,5,1,0,0,1,0,310,244,6,11,2,22,310,242,0,6,1,1,2,7,1,2,0,1,22
350050003011,682,229,273,153,9,6,4,0,0,8,0,296,340,0,2,8,36,296,338,0,0,0,1,2,0,0,1,0,1,36
350050003012,477,136,210,116,6,6,2,0,0,1,0,251,184,2,2,0,38,251,183,0,2,1,0,1,1,0,0,0,0,38
350050003013,464,156,196,97,4,9,1,0,0,1,0,262,177,0,0,1,24,262,175,0,0,0,0,2,0,0,0,0,0,24
350050003021,1113,231,664,195,8,9,1,2,0,3,0,680,320,1,24,10,78,680,319,0,1,1,9,1,17,0,4,0,1,78
350050003022,194,40,109,35,5,4,1,0,0,0,0,140,39,0,0,4,11,140,38,0,0,0,1,1,0,0,0,0,0,11
350050004001,574,144,315,100,6,3,1,1,0,4,0,345,187,2,4,6,30,345,185,0,2,1,0,2,1,2,0,2,0,30
350050004002,581,195,238,138,2,1,3,0,0,4,0,246,310,1,3,2,19,246,307,0,1,0,0,3,3,1,0,0,0,19
350050004003,191,75,51,59,3,1,0,0,0,2,0,37,145,0,1,2,6,37,144,0,0,1,0,1,0,2,0,0,0,6
350050004004,478,180,152,131,8,4,0,1,0,2,0,184,271,2,0,1,20,184,271,0,2,0,0,0,0,0,0,0,0,20
350050005001,315,140,84,81,1,6,1,0,0,2,0,117,182,3,0,1,12,117,181,0,3,0,1,1,0,0,0,0,0,12
350050005002,412,155,158,90,4,0,0,1,0,4,0,169,222,0,4,1,16,169,220,0,0,0,0,2,0,1,2,1,0,16
350050006001,413,123,210,73,4,0,0,0,0,3,0,220,171,1,2,0,19,220,169,0,1,1,0,2,0,0,0,1,0,19
350050006002,202,108,35,49,2,1,1,1,0,5,0,28,167,0,0,0,7,28,165,0,0,0,0,2,0,0,0,0,0,7
350050006003,328,168,71,81,2,1,3,0,0,2,0,46,275,1,2,0,4,46,271,0,1,0,0,4,1,0,0,1,0,4
350050006004,566,283,125,149,3,3,1,1,0,1,0,98,451,3,2,2,10,98,443,0,3,0,1,8,1,0,0,1,0,10
350050006005,296,156,64,64,3,5,1,0,0,3,0,47,243,2,1,0,3,47,242,0,2,0,0,1,0,0,0,1,0,3
350050007001,229,98,71,59,0,0,0,0,0,1,0,49,173,2,0,2,3,49,169,0,2,0,1,4,0,0,0,0,0,3
350050007002,725,222,340,139,4,9,3,2,0,6,0,360,322,1,5,5,32,360,322,0,1,1,1,0,1,2,1,1,1,32
350050007003,678,244,278,135,4,9,1,2,0,5,0,279,360,10,5,0,24,279,359,0,10,2,0,1,0,0,0,0,0,24
350050007004,450,131,215,91,5,1,3,0,0,4,0,215,205,1,2,3,24,215,205,0,1,2,0,0,0,3,0,0,0,24
350050008001,604,189,289,111,11,2,0,0,0,2,0,296,276,1,3,3,25,296,276,0,1,0,0,0,0,1,1,2,0,25
350050008002,410,111,200,90,4,3,0,1,0,1,0,227,159,1,1,0,22,227,159,0,1,1,0,0,0,0,0,0,0,22
350050008003,608,152,311,129,6,4,1,1,0,4,0,299,267,2,0,2,38,299,267,0,2,0,1,0,0,1,0,0,0,38
350050008004,628,202,302,115,4,3,1,0,0,1,0,295,302,2,5,3,21,295,301,0,2,1,1,1,1,1,1,2,0,21
350050008005,390,138,160,83,0,5,2,0,0,2,0,171,200,2,1,2,14,171,199,0,2,0,0,1,1,1,0,0,0,14
350050009001,1176,244,721,183,15,8,2,1,0,2,0,771,306,2,11,4,82,771,305,0,2,6,0,1,4,3,1,0,0,82
350050009002,627,156,334,119,8,6,1,1,0,2,0,333,262,1,3,7,21,333,262,1,1,0,1,0,2,1,0,1,0,21
350050010011,1132,196,761,155,8,9,0,1,0,2,0,761,285,1,10,16,59,761,285,2,1,2,4,0,4,4,1,0,0,59
350050010012,1337,272,859,184,10,4,0,4,0,4,0,885,367,2,3,8,72,885,365,0,2,1,3,2,1,1,0,0,1,72
350050010013,641,144,383,98,8,4,0,0,0,4,0,390,199,3,4,4,41,390,198,0,3,0,0,1,0,2,1,1,2,41
350050010021,903,215,529,140,8,6,1,0,0,4,0,595,242,1,8,4,53,595,242,0,1,6,3,0,0,0,1,0,1,53
350050010022,1364,241,877,226,7,7,0,2,0,4,0,927,291,0,28,19,99,927,290,0,0,4,5,1,7,2,8,2,4,99
350050010023,566,74,413,72,2,4,0,0,0,1,0,444,87,0,1,7,27,444,85,0,0,0,5,2,1,0,0,0,0,27
350050011011,477,145,209,106,10,2,1,0,0,4,0,203,250,1,1,3,19,203,247,0,1,0,1,3,0,2,0,0,0,19
350050011012,783,269,353,138,6,5,1,3,0,8,0,302,443,4,3,6,25,302,440,0,4,1,3,3,1,0,1,0,0,25
350050011013,322,133,84,94,0,3,1,0,0,7,0,91,212,3,3,0,13,91,209,0,3,0,0,3,2,0,1,0,0,13
350050011014,506,204,94,180,8,10,0,0,0,10,0,151,316,1,5,6,27,151,316,1,1,1,4,0,0,1,1,0,2,27
350050011021,1059,106,803,131,7,8,0,0,0,4,0,813,180,0,1,2,63,813,172,0,0,0,0,8,0,2,0,1,0,63
350050011022,962,160,608,165,6,13,0,3,0,7,0,708,181,1,5,4,63,708,176,0,1,1,1,5,2,2,1,0,1,63
350050011023,442,53,332,47,3,5,0,0,0,2,0,333,80,0,0,4,25,333,80,1,0,0,3,0,0,0,0,0,0,25
350050012001,464,106,284,62,1,9,0,0,0,2,0,298,145,0,3,1,17,298,139,0,0,1,1,6,2,0,0,0,0,17
350050012002,298,42,213,40,1,0,0,0,0,2,0,217,71,0,1,0,9,217,71,0,0,1,0,0,0,0,0,0,0,9
350050013001,553,200,243,100,4,3,0,1,0,2,0,205,331,0,0,2,15,205,331,1,0,0,0,0,0,1,0,0,0,15
350050013002,612,158,324,113,1,8,2,1,0,5,0,282,296,1,1,3,29,282,295,0,1,0,2,1,0,0,0,0,1,29
350050014001,661,162,376,106,6,4,2,0,0,5,0,352,277,0,3,1,28,352,277,0,0,0,0,0,1,0,0,0,1,28
350050014002,529,187,247,85,1,6,1,0,0,2,0,181,328,1,2,2,15,181,327,0,1,1,0,1,0,2,0,0,1,15
350479572001,557,382,91,72,3,5,0,1,0,3,0,123,398,0,10,3,23,123,391,0,0,3,0,7,5,3,2,0,0,23
350479572002,475,332,73,66,1,3,0,0,0,0,0,129,321,2,3,2,18,129,317,1,1,2,0,4,0,0,0,0,1,18
350479572003,646,464,93,76,1,5,1,0,0,6,0,83,533,1,8,3,18,83,528,1,1,0,2,5,0,0,4,4,0,18
350479572004,595,438,80,70,1,3,3,0,0,0,0,126,442,1,2,2,22,126,438,0,1,0,0,4,0,1,1,0,1,22
350479573001,779,562,99,104,8,1,4,0,0,1,0,292,408,4,5,5,65,292,405,1,4,1,1,3,1,2,2,0,1,65
350479573002,576,408,74,82,2,3,3,0,0,4,0,91,453,0,12,1,19,91,450,0,0,0,0,3,11,0,1,0,0,19
350479573003,1807,1244,275,270,5,7,0,0,0,6,0,518,1138,7,12,23,109,518,1124,4,7,5,5,14,2,4,1,3,1,109
350479574001,625,423,91,102,2,2,2,0,0,3,0,166,415,0,11,3,30,166,398,0,0,2,0,17,4,0,3,2,0,30
350479574002,520,407,43,62,1,1,4,0,0,2,0,138,348,2,3,1,28,138,340,0,2,0,0,8,0,1,2,1,0,28
350479574003,753,587,74,84,4,1,0,0,0,3,0,110,623,0,2,2,16,110,612,0,0,0,1,11,1,1,0,1,0,16
350479574004,886,710,75,94,2,2,0,0,0,3,0,123,734,0,5,2,22,123,727,0,0,2,0,7,0,2,0,2,1,22
350479575011,324,217,63,39,0,2,0,0,0,3,0,76,231,1,1,1,14,76,230,0,1,0,1,1,0,0,1,0,0,14
350479575012,112,30,58,22,0,2,0,0,0,0,0,73,28,0,1,0,10,73,28,0,0,1,0,0,0,0,0,0,0,10
350479575013,99,58,29,9,1,1,1,0,0,0,0,36,59,0,0,1,3,36,59,0,0,0,0,0,0,0,0,0,0,3
350479575021,334,231,50,48,1,1,0,0,0,3,0,77,241,1,4,3,8,77,235,1,1,3,0,6,0,1,1,0,0,8
350479575022,698,431,171,81,5,3,5,1,0,1,0,277,383,0,6,3,29,277,366,0,0,0,2,17,4,0,0,2,0,29
350479575023,103,65,26,10,0,0,1,0,0,1,0,44,57,0,0,0,2,44,56,0,0,0,0,1,0,0,0,0,0,2
350479575024,162,99,39,21,2,1,0,0,0,0,0,76,78,0,5,0,3,76,78,0,0,3,0,0,1,0,1,0,0,3
350479576011,462,310,75,65,5,2,2,1,0,2,0,150,282,0,1,4,25,150,280,1,0,0,0,2,0,0,0,0,0,25
350479576012,241,159,34,43,1,1,1,1,0,1,0,106,120,0,1,4,10,106,120,0,0,0,2,0,1,1,0,0,0,10
350479576021,407,285,57,52,4,2,2,1,0,4,0,141,238,0,3,3,22,141,237,0,0,0,2,1,2,0,1,0,0,22
350479576022,95,62,17,14,1,0,1,0,0,0,0,50,35,0,1,1,8,50,34,0,0,1,0,1,0,0,0,0,0,8
350479576031,140,84,31,25,0,0,0,0,0,0,0,61,70,0,0,1,8,61,70,0,0,0,0,0,0,0,0,0,0,8
350479576032,191,141,26,20,1,2,1,0,0,0,0,46,134,2,2,1,6,46,130,0,2,0,1,4,0,0,0,1,0,6
350479576033,1520,995,268,230,5,7,6,2,0,7,0,368,1075,1,7,6,63,368,1050,1,1,4,1,25,0,1,0,3,0,63
350479577001,534,361,75,91,1,3,2,0,0,1,0,160,333,0,2,2,37,160,326,0,0,0,1,7,1,0,0,0,0,37
350479577002,1017,789,119,97,5,3,3,0,0,1,0,192,794,0,3,1,27,192,753,0,0,1,0,41,0,1,0,1,0,27
350479578001,642,478,88,71,0,4,0,0,0,1,0,121,478,0,3,6,34,121,470,0,0,1,0,8,0,2,0,2,0,34
350479578002,819,593,110,104,2,5,4,0,0,1,0,173,598,4,3,4,37,173,593,1,4,1,3,5,0,0,1,1,0,37
350479578003,344,248,24,65,2,2,1,0,0,2,0,70,250,1,4,0,19,70,246,0,1,1,0,4,0,0,2,0,0,19
350479578004,488,384,50,47,4,1,1,0,0,1,0,79,395,0,1,1,12,79,389,1,0,0,0,6,0,0,0,1,0,12
350179641001,973,412,366,167,15,3,6,0,1,3,0,738,116,1,9,11,98,738,114,0,1,3,8,2,1,1,3,2,0,98
350179641002,821,351,309,143,6,4,3,2,0,3,0,566,189,0,5,3,58,566,189,0,0,5,0,0,0,3,0,0,0,58
350179642001,705,183,419,86,5,5,6,0,0,1,0,616,35,1,4,3,46,616,35,2,1,1,0,0,1,0,0,0,1,46
350179642002,791,298,336,144,8,3,1,0,0,1,0,551,161,0,5,6,68,551,159,0,0,4,3,2,0,0,0,0,1,68
350179643001,771,445,166,142,8,2,7,0,0,1,0,449,255,3,2,5,57,449,249,1,3,2,1,6,0,1,0,0,0,57
350179643002,839,420,220,184,7,1,3,0,0,4,0,393,369,2,5,8,62,393,366,1,2,1,0,3,2,0,0,0,1,62
350179643003,1078,650,232,186,5,3,0,0,0,2,0,430,578,2,7,12,49,430,575,0,2,2,1,3,2,2,0,1,1,49
