BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_30,eth2_34,eth2_81,eth2_10,eth2_unk
380139533001,692,372,237,83,0,0,544,13,0,8,5,122,544,13,4,0,0,1,122
380139533002,576,345,182,49,0,0,503,6,0,3,0,64,503,6,0,0,0,2,64
380299665001,499,311,132,56,0,0,399,6,0,1,3,90,399,5,2,0,0,1,90
380299665002,439,288,124,27,0,0,349,1,1,0,1,87,349,1,1,0,0,0,87
380299665003,440,265,155,20,0,0,382,7,0,1,0,50,382,6,0,0,0,0,50
380299665004,762,386,298,78,0,0,609,10,0,3,3,137,609,10,0,1,2,1,137
380579616001,694,431,162,101,0,0,583,5,0,5,6,95,583,5,1,1,0,3,95
380579616002,921,535,281,105,0,0,759,6,8,3,5,140,759,6,1,2,0,0,140
380579617001,1065,616,340,109,0,0,833,14,1,4,22,191,833,14,3,7,0,0,191
380579617002,341,193,127,21,0,0,277,2,0,2,3,57,277,2,0,2,0,0,57
380579617003,470,280,142,48,0,0,369,11,0,5,9,76,369,11,1,4,0,1,76
380579618001,721,465,197,59,0,0,593,4,0,2,9,113,593,4,1,4,0,1,113
380579618002,406,236,112,58,0,0,308,13,1,0,10,74,308,13,1,7,0,0,74
380579618003,621,419,112,90,0,0,488,5,7,5,7,109,488,5,2,3,0,4,109
380819740001,532,283,6,243,0,0,422,3,1,7,8,91,422,3,1,3,0,3,91
380819740002,327,178,0,149,0,0,280,1,0,1,4,41,280,1,1,2,0,1,41
380819742001,370,227,1,142,0,0,287,4,0,1,4,74,287,4,2,2,0,1,74
380819742002,394,174,0,220,0,0,323,1,0,0,6,64,323,1,2,0,0,0,64
380819742003,325,161,0,164,0,0,265,3,0,1,2,54,265,3,0,0,1,1,54
380819742004,401,200,0,201,0,0,338,7,0,6,3,47,338,7,0,2,0,0,47
380539401001,457,49,350,58,0,0,314,26,1,1,40,75,314,26,0,0,40,0,75
380539623011,666,324,247,95,0,0,540,14,0,3,5,104,540,14,2,1,1,1,104
380539623012,840,341,396,103,0,0,661,51,2,7,5,114,661,50,1,0,3,3,114
380539623021,295,108,147,40,0,0,246,13,0,0,0,36,246,13,0,0,0,0,36
380539623022,380,145,194,41,0,0,292,16,0,1,7,64,292,16,1,0,0,0,64
380539623023,233,139,73,21,0,0,178,2,0,3,14,36,178,2,0,2,0,3,36
380539624001,654,267,323,64,0,0,494,33,1,5,15,106,494,33,1,4,0,2,106
380539624002,400,168,193,39,0,0,332,12,0,3,3,50,332,11,0,0,0,1,50
380539624003,1058,377,536,145,0,0,833,51,2,12,8,152,833,51,2,3,0,4,152
380539625001,558,212,300,46,0,0,446,10,0,2,8,92,446,10,1,5,1,0,92
380539625002,3,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
380539625003,210,126,68,16,0,0,181,2,0,1,6,20,181,2,1,0,0,1,20
380719576001,802,426,267,109,0,0,664,9,1,6,11,111,664,9,2,1,6,1,111
380719576002,439,137,261,41,0,0,343,9,0,7,6,74,343,9,1,0,4,2,74
380719576003,390,106,209,75,0,0,303,9,1,2,8,67,303,9,0,1,7,1,67
380719576004,643,330,229,84,0,0,540,11,2,2,1,87,540,11,0,0,1,2,87
380719577001,516,333,128,55,0,0,445,3,0,4,4,60,445,3,2,2,0,3,60
380719577002,1035,522,174,339,0,0,854,14,3,12,34,118,854,14,1,1,24,6,118
380719577003,298,181,89,28,0,0,230,3,0,1,8,56,230,3,6,1,0,0,56
380719577004,1192,254,59,879,0,0,930,16,0,3,100,143,930,16,0,0,98,0,143
380719578001,811,518,127,166,0,0,687,8,0,4,14,98,687,8,2,2,2,2,98
380719578002,385,154,195,36,0,0,308,5,1,7,3,61,308,5,0,0,3,3,61
380719578003,690,383,214,93,0,0,568,12,0,5,7,98,568,12,0,2,4,2,98
380719578004,466,208,208,50,0,0,384,6,0,2,6,68,384,6,0,1,2,0,68
380899633001,509,223,225,61,0,0,398,19,0,1,3,88,398,18,0,0,0,0,88
380899633002,485,311,125,49,0,0,409,3,0,5,4,64,409,3,0,3,0,3,64
380899634001,1079,597,326,156,0,0,825,26,0,8,24,196,825,26,1,5,4,1,196
380899634002,957,473,323,161,0,0,719,40,1,10,16,171,719,40,4,4,1,4,171
380899634003,626,303,214,109,0,0,451,17,1,4,11,142,451,17,0,6,0,2,142
380899635011,968,515,290,163,0,0,731,21,1,6,36,173,731,21,3,18,3,2,173
380899635012,636,336,127,173,0,0,503,8,0,6,15,104,503,8,3,6,1,3,104
380899635013,520,287,142,91,0,0,403,4,2,4,12,95,403,4,3,2,0,0,95
380899635021,259,68,151,40,0,0,175,20,1,4,12,47,175,20,3,0,1,0,47
380899635022,670,316,273,81,0,0,503,29,2,5,12,119,503,29,2,2,2,3,119
380899635023,479,188,235,56,0,0,369,27,6,3,12,62,369,27,3,6,0,1,62
380899635024,727,336,270,121,0,0,564,11,3,3,18,128,564,11,3,5,4,0,128
380899636001,500,208,239,53,0,0,382,21,1,7,14,75,382,20,1,1,2,3,75
380899636002,410,196,173,41,0,0,308,15,2,1,6,78,308,15,1,2,0,0,78
380899636003,234,79,132,23,0,0,185,7,0,0,2,40,185,7,0,0,0,0,40
380899637001,572,183,315,74,0,0,418,21,3,5,8,117,418,21,3,2,0,0,117
380899637002,283,93,161,29,0,0,205,12,0,2,8,56,205,12,0,2,0,0,56
380899637003,804,445,279,80,0,0,600,28,2,6,16,152,600,28,3,6,1,1,152
380899637004,419,207,148,64,0,0,312,13,0,0,9,85,312,13,0,5,0,0,85
380899638001,549,211,281,57,0,0,424,19,2,0,10,94,424,19,3,6,0,0,94
380899638002,710,446,148,116,0,0,533,18,1,6,9,143,533,18,3,1,0,3,143
380899638003,333,128,169,36,0,0,277,5,0,1,2,48,277,5,0,1,1,0,48
380899638004,769,374,327,68,0,0,582,24,1,5,21,136,582,24,3,5,3,2,136
