BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_21,eth2_23,eth2_81,eth2_14,eth2_34,eth2_12,eth2_32,eth2_unk
400079516001,499,399,63,36,1,0,0,431,21,0,6,3,38,431,21,0,1,1,0,0,0,0,0,0,0,38
400079516002,86,63,11,12,0,0,0,72,10,0,0,0,4,72,10,0,0,0,0,0,0,0,0,0,0,4
400079516003,572,442,67,61,2,0,0,458,69,1,1,3,40,458,69,1,1,1,0,0,0,0,0,0,0,40
400079517001,6,5,1,0,0,0,0,4,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2
400079517002,258,214,20,24,0,0,0,226,5,0,0,4,23,226,5,0,0,0,0,0,0,0,4,0,0,23
400079518001,396,296,46,51,3,0,0,321,34,2,2,2,35,321,34,2,1,0,0,1,0,0,1,0,0,35
400079518002,572,450,70,51,1,0,0,491,29,0,3,4,45,491,29,0,2,1,0,1,0,0,2,0,0,45
400739581001,107,75,15,16,1,0,0,86,9,2,0,0,10,86,9,2,0,0,0,0,0,0,0,0,0,10
400739581002,595,422,101,68,4,0,0,465,73,0,3,8,46,465,73,0,2,0,0,1,0,0,1,0,0,46
400739581003,902,648,175,73,6,0,0,718,95,1,7,4,77,718,95,1,3,0,1,0,0,3,2,0,0,77
400739581004,178,139,18,20,1,0,0,149,11,0,1,3,14,149,11,0,0,0,0,1,1,0,0,0,0,14
400739582001,327,263,48,16,0,0,0,278,4,0,0,0,45,278,4,0,0,0,0,0,0,0,0,0,0,45
400739582002,694,514,110,67,3,0,0,593,32,0,5,3,61,593,32,0,2,0,0,2,0,1,0,0,0,61
400739583001,904,640,170,85,9,0,0,753,45,1,8,12,85,753,45,1,1,0,1,2,1,2,7,2,0,85
400739583002,398,275,84,36,3,0,0,337,29,3,1,2,26,337,29,3,0,0,0,1,1,0,0,0,0,26
400739583003,1649,1282,249,109,9,0,0,1427,59,2,4,4,153,1427,59,2,1,1,0,2,0,0,0,1,0,153
400739583004,559,411,102,43,3,0,0,463,35,1,4,3,53,463,35,1,1,0,0,1,1,2,2,0,0,53
400739584001,602,465,98,39,0,0,0,533,8,0,0,1,60,533,8,0,0,0,0,0,0,0,1,0,0,60
400739584002,620,437,106,73,4,0,0,542,17,10,6,5,40,542,16,10,0,3,4,1,0,1,0,0,0,40
401335831001,239,116,85,36,2,0,0,185,1,13,1,5,34,185,1,13,0,0,0,0,5,0,0,0,0,34
401335831002,280,145,100,34,1,0,0,249,2,6,1,1,21,249,2,6,0,0,1,0,0,0,0,0,0,21
401335832001,455,238,163,51,3,0,0,403,13,2,2,5,30,403,12,2,2,3,0,0,1,0,0,0,0,30
401335832002,643,335,221,84,3,0,0,533,28,3,4,5,70,533,28,3,2,2,0,1,3,0,0,1,0,70
401335832003,298,173,92,31,2,0,0,257,6,6,7,2,20,257,6,6,1,0,2,4,0,0,0,0,2,20
401335833001,482,240,169,67,6,0,0,431,22,2,2,3,22,431,22,2,2,0,0,0,1,0,1,0,0,22
