BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_rin,party_lib,party_wfp,party_grn,party_cnt,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_93,eth2_21,eth2_34,eth2_30,eth2_23,eth2_12,eth2_14,eth2_85,eth2_66,eth2_55,eth2_35,eth2_61,eth2_15,eth2_32,eth2_83,eth2_38,eth2_33,eth2_59,eth2_81,eth2_19,eth2_29,eth2_unk
410430201011,2630,571,766,1100,148,21,5,3,4,12,0,2109,163,0,50,20,288,2109,163,8,0,4,12,2,5,12,17,1,0,0,0,1,2,0,1,0,3,0,0,0,0,288
410430201012,1622,397,539,590,66,14,4,3,0,9,0,1336,95,0,21,9,161,1336,94,7,0,4,4,0,1,3,3,0,1,0,1,0,0,0,2,2,0,0,0,2,0,161
410430201013,841,225,229,345,34,6,0,2,0,0,0,707,42,0,5,5,82,707,40,4,0,0,1,1,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,82
410430201021,2182,586,823,610,115,19,6,2,1,20,0,1706,212,3,28,26,207,1706,211,9,2,2,12,2,5,6,5,0,1,2,3,3,1,1,0,2,1,0,0,0,0,207
410430201031,2202,523,783,741,116,19,2,1,5,12,0,1768,183,2,42,20,187,1768,176,5,2,15,8,2,13,3,3,0,7,1,2,1,0,1,2,3,0,0,0,1,0,187
410430202001,1480,424,464,473,84,13,2,5,0,15,0,1227,78,0,26,14,135,1227,78,6,0,11,1,3,3,1,4,2,0,0,1,0,0,0,0,3,0,0,2,0,2,135
410430203001,626,274,178,134,29,6,1,1,1,2,0,543,25,0,5,2,51,543,25,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,51
410430203002,819,325,247,187,35,11,2,2,2,8,0,665,55,0,5,13,81,665,55,2,0,0,3,4,1,2,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,81
410430203003,720,233,259,162,46,7,3,1,1,8,0,576,53,2,11,15,63,576,53,2,2,1,3,8,2,3,2,0,0,2,0,0,0,0,1,0,0,0,0,1,0,63
410430203004,896,284,323,214,54,3,4,3,0,11,0,739,66,0,7,8,76,739,65,3,0,0,1,2,0,0,3,0,1,1,0,0,0,1,1,0,0,1,0,0,1,76
410430203005,1459,429,426,505,74,14,2,1,1,7,0,1141,81,3,63,34,137,1141,80,21,3,6,3,11,9,13,12,0,1,4,4,0,1,2,4,0,4,0,0,0,2,137
410430203006,1242,430,293,435,59,14,1,4,1,5,0,1029,50,0,21,12,130,1029,50,6,0,2,2,1,4,7,1,2,0,0,2,2,0,0,3,0,0,0,0,0,0,130
410430204001,575,161,233,128,32,8,2,1,1,9,0,477,40,2,8,2,46,477,40,1,2,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,46
410430204002,795,214,355,166,32,9,5,4,4,6,0,649,53,2,5,7,79,649,51,1,2,0,4,1,2,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,79
410430204003,1205,358,499,246,72,12,2,5,0,11,0,986,79,4,13,13,110,986,76,4,4,1,1,4,1,3,0,0,3,2,0,1,0,0,0,3,0,0,1,1,1,110
410430204004,925,243,407,194,48,13,2,5,1,12,0,744,82,4,10,8,77,744,82,1,4,0,2,1,5,2,1,1,0,0,0,0,1,1,2,0,0,1,0,0,0,77
410430205001,1026,262,409,279,47,12,4,3,0,10,0,799,100,3,13,18,93,799,99,5,3,2,5,1,1,3,0,1,1,1,1,0,1,1,1,5,1,0,0,0,0,93
410430205002,548,144,215,138,31,8,2,2,3,5,0,416,53,2,5,4,68,416,52,2,2,0,2,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,68
410430205003,1412,403,441,478,67,6,1,4,2,10,0,1151,111,1,21,10,118,1151,108,8,1,3,2,3,5,5,0,1,3,1,1,0,0,0,2,0,0,0,0,0,0,118
410430206011,1196,359,342,417,55,14,0,0,1,8,0,967,79,0,24,10,116,967,77,9,0,2,3,0,3,6,1,1,2,2,0,0,0,1,1,1,1,0,0,2,0,116
410430206012,1394,473,306,524,70,5,2,6,0,8,0,1180,65,1,11,14,123,1180,65,3,1,1,1,7,3,0,3,0,0,0,1,2,0,1,0,1,0,0,0,1,1,123
410430206013,660,192,199,219,40,2,0,1,1,6,0,539,32,1,3,7,78,539,32,3,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78
410430206021,932,279,271,311,52,6,1,1,1,10,0,737,73,0,21,12,89,737,73,9,0,1,2,6,2,4,5,0,0,0,0,1,0,0,1,0,0,2,0,0,0,89
410430206022,900,253,357,191,69,6,4,4,1,15,0,704,84,0,6,6,100,704,84,0,0,0,1,1,1,5,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,100
410430206023,1765,536,632,468,88,14,7,4,2,14,0,1345,190,3,26,24,177,1345,189,5,3,4,7,7,3,7,2,1,1,3,2,0,2,0,2,1,0,1,0,1,0,177
410430207001,1787,528,649,503,76,17,4,3,3,4,0,1448,143,4,14,27,151,1448,142,7,4,2,4,5,1,3,1,9,1,4,0,2,0,0,1,1,0,0,0,0,1,151
410430207002,1204,331,467,304,74,11,1,4,1,11,0,1009,95,3,11,5,81,1009,93,2,3,3,2,1,1,2,2,0,2,0,1,0,0,0,0,0,0,0,1,1,0,81
410430207003,1271,307,515,363,58,15,2,4,1,6,0,1009,115,5,12,13,117,1009,114,4,5,1,4,3,1,2,4,1,1,0,1,0,0,1,1,2,0,0,0,0,0,117
410430208011,714,146,335,169,40,9,3,3,1,8,0,565,69,2,7,13,58,565,69,5,2,0,4,2,1,0,1,0,0,4,1,0,0,0,0,0,0,0,2,0,0,58
410430208012,1087,293,456,250,58,13,5,2,1,9,0,848,110,3,14,9,103,848,109,4,3,2,3,1,3,1,4,0,1,0,0,1,0,2,0,0,0,0,2,0,0,103
410430208021,787,195,343,179,46,11,1,3,3,6,0,599,86,1,9,6,86,599,86,0,1,1,4,0,0,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,86
410430208022,986,257,431,226,54,9,0,1,2,6,0,749,114,2,10,17,94,749,112,2,2,2,9,2,2,2,2,0,2,3,1,1,0,0,0,0,0,0,0,0,1,94
410430208023,1033,302,473,181,44,16,3,1,1,12,0,788,119,5,15,18,88,788,117,4,5,1,5,5,4,3,3,2,2,0,0,0,0,0,1,2,0,0,2,0,1,88
410430208024,1183,307,535,266,51,11,4,1,1,7,0,905,133,5,9,18,113,905,131,1,5,3,7,1,2,2,1,1,2,2,0,0,0,1,3,0,0,0,3,0,0,113
410430301001,939,190,331,359,39,6,4,1,1,8,0,797,36,0,5,15,86,797,36,1,0,1,4,3,1,0,2,0,0,2,2,0,0,0,0,0,0,4,0,0,0,86
410430301002,975,179,302,442,39,8,2,0,1,2,0,810,38,1,9,12,105,810,38,3,1,1,6,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,105
410430301003,882,169,287,383,27,6,2,0,4,4,0,745,33,2,4,6,92,745,33,0,2,1,4,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,92
410430301004,1271,237,375,580,61,5,4,3,1,5,0,1062,53,0,12,6,138,1062,51,2,0,2,3,0,1,4,2,0,2,0,3,0,1,0,0,0,0,0,0,0,0,138
410430301005,1083,236,325,450,54,10,1,1,2,4,0,952,33,0,6,9,83,952,30,3,0,0,3,0,1,1,0,1,3,3,0,0,1,0,1,0,1,0,0,0,0,83
410430302011,693,156,271,211,39,6,1,0,0,9,0,578,46,0,6,7,56,578,45,4,0,0,2,1,0,1,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,56
410430302012,674,129,270,214,43,4,4,3,0,7,0,577,35,1,5,1,55,577,33,0,1,0,1,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,55
410430302013,555,129,175,200,34,5,5,3,0,4,0,491,12,0,3,6,43,491,12,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,43
410430302014,881,177,236,410,42,4,1,4,2,5,0,754,30,0,15,7,75,754,30,4,0,3,0,1,0,0,2,0,0,0,3,0,0,0,1,0,0,2,0,6,0,75
410430302021,1263,227,442,500,68,8,4,4,3,7,0,1114,33,1,7,10,98,1114,31,1,1,0,1,5,0,1,5,0,2,0,0,3,0,0,0,1,0,0,0,0,0,98
410430302022,1544,277,446,710,84,7,2,2,6,10,0,1293,63,1,12,11,164,1293,61,3,1,5,8,0,1,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,164
410430303001,800,164,284,298,40,4,2,2,3,3,0,674,28,0,5,5,88,674,28,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,88
410430303002,605,111,162,277,42,5,0,0,3,5,0,549,14,0,4,5,33,549,14,2,0,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33
410430303003,678,125,206,302,31,2,0,4,1,7,0,603,24,0,3,10,38,603,23,1,0,0,6,0,0,2,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,38
410430304011,1163,230,354,508,53,2,4,4,2,6,0,982,48,0,5,17,111,982,48,0,0,0,3,4,2,1,2,0,0,5,2,0,0,0,0,0,2,0,1,0,0,111
410430304012,1241,206,439,525,46,10,5,3,2,5,0,1085,43,1,13,3,96,1085,42,1,1,3,2,0,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,96
410430304013,923,166,353,333,49,4,3,5,0,10,0,806,30,1,6,6,74,806,30,2,1,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,74
410430304014,900,179,331,326,42,11,1,3,3,4,0,755,47,0,4,6,88,755,47,3,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,88
410430304015,1120,214,538,282,61,11,3,0,0,11,0,955,58,1,5,11,90,955,57,0,1,0,3,1,2,3,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,90
