BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_66,eth2_10,eth2_30,eth2_35,eth2_34,eth2_23,eth2_21,eth2_14,eth2_unk
440070001011,698,444,213,41,0,0,265,253,94,9,9,68,265,240,94,13,5,4,3,1,1,1,2,68
440070001012,447,293,140,14,0,0,121,204,61,9,8,44,121,181,61,23,4,1,2,0,2,3,0,44
440070001013,752,477,239,36,0,0,227,344,89,21,6,65,227,324,88,20,3,3,2,1,1,1,1,65
440070001014,773,518,209,46,0,0,159,434,84,20,6,70,159,416,84,18,3,5,0,1,6,2,1,70
440070001021,745,481,230,34,0,0,169,420,64,27,7,58,169,414,64,6,8,3,0,0,5,2,4,58
440070001022,869,623,213,33,0,0,211,455,139,15,8,41,211,443,139,12,6,2,0,0,2,1,5,41
440070001023,1091,763,288,40,0,0,187,589,199,33,13,70,187,579,199,10,11,0,1,8,3,6,1,70
440070001024,986,658,281,47,0,0,287,449,61,98,16,75,287,446,60,3,29,4,2,7,4,7,5,75
440070002001,943,613,278,52,0,0,237,537,66,19,10,74,237,526,66,11,6,3,0,6,4,2,1,74
440070002002,689,454,208,27,0,0,164,330,115,24,11,45,164,324,115,6,9,5,2,2,3,3,2,45
440070002003,702,477,207,18,0,0,124,447,58,24,8,41,124,439,58,8,11,5,0,3,5,3,1,41
440070002004,735,483,222,30,0,0,111,467,56,67,5,29,111,465,56,2,38,2,0,0,1,5,2,29
440070002005,1084,740,288,56,0,0,174,703,103,54,7,43,174,697,102,6,24,4,1,2,3,7,2,43
440070003011,877,560,282,35,0,0,193,415,123,59,7,80,193,406,123,9,11,2,0,5,10,11,2,80
440070003012,583,360,191,32,0,0,91,416,50,3,1,22,91,416,50,0,2,1,0,0,0,0,0,22
440070003021,466,284,156,26,0,0,101,232,84,11,4,34,101,225,84,7,4,3,0,0,1,0,1,34
440070003022,777,490,248,39,0,0,172,435,94,26,9,41,172,421,92,14,13,3,0,2,2,2,2,41
440070003023,558,340,187,31,0,0,168,221,76,45,5,43,168,215,76,6,21,2,0,3,2,4,3,43
440070003024,1053,648,356,49,0,0,213,626,92,22,21,79,213,622,92,4,7,16,0,2,1,1,0,79
440070004001,669,432,215,22,0,0,102,264,248,25,1,29,102,260,248,4,12,1,0,0,3,2,2,29
440070004002,536,321,188,27,0,0,94,337,62,11,8,24,94,335,62,2,7,5,0,1,3,0,0,24
440070004003,486,311,150,25,0,0,75,334,40,22,1,14,75,333,40,1,9,1,0,0,3,5,0,14
440070004004,697,425,244,28,0,0,113,469,69,8,6,32,113,466,69,3,5,4,0,0,1,0,0,32
440070005001,856,571,256,29,0,0,126,421,246,19,8,36,126,414,245,7,10,2,0,3,0,2,1,36
440070005002,450,307,123,20,0,0,75,300,38,10,5,22,75,297,38,3,3,1,1,2,0,2,0,22
440070005003,751,505,222,24,0,0,72,501,137,2,11,28,72,495,137,6,0,8,0,1,0,0,0,28
440070006001,357,216,117,24,0,0,188,70,32,14,9,44,188,68,32,2,6,1,3,4,3,0,4,44
440070006002,866,557,266,43,0,0,129,481,192,17,8,39,129,477,192,4,8,3,0,2,0,1,1,39
440070007001,408,285,115,8,0,0,66,222,106,4,3,7,66,219,106,3,3,2,1,0,0,0,0,7
440070007002,962,585,336,41,0,0,210,301,360,17,10,64,210,297,359,4,4,5,1,0,2,5,2,64
440070007003,871,469,348,54,0,0,335,271,159,19,22,65,335,264,159,7,6,12,1,2,2,4,3,65
440070008001,1175,588,463,124,0,0,714,87,21,101,53,199,714,84,21,3,42,29,2,10,29,5,16,199
440070008002,959,631,271,57,0,0,347,405,115,13,14,65,347,399,115,6,10,12,0,2,2,0,0,65
440070008003,1469,728,586,155,0,0,964,137,27,70,39,232,964,135,26,2,30,15,3,10,16,3,12,232
440070009001,1146,669,385,92,0,0,638,234,107,25,30,112,638,229,105,5,9,12,5,7,6,2,4,112
440070009002,751,435,276,40,0,0,461,145,26,17,16,86,461,143,26,2,10,8,0,3,4,1,1,86
440070010001,978,647,298,33,0,0,524,235,60,14,23,122,524,228,60,7,2,13,2,8,1,4,3,122
440070010002,809,503,271,35,0,0,324,291,73,21,22,78,324,286,73,5,9,14,1,4,3,0,3,78
440070011001,854,531,282,41,0,0,557,130,27,21,17,102,557,124,27,6,10,6,2,5,7,0,2,102
440070011002,587,342,208,37,0,0,352,99,43,13,22,58,352,97,43,2,3,9,0,6,7,0,1,58
440070011003,653,439,188,26,0,0,410,110,33,15,11,74,410,105,33,5,7,4,2,2,2,0,4,74
440070012001,743,528,183,32,0,0,151,461,85,0,8,38,151,459,85,2,0,2,0,3,0,0,0,38
440070012002,631,426,170,35,0,0,260,210,56,31,9,65,260,207,56,3,11,7,0,0,8,3,1,65
440070012003,667,409,235,23,0,0,194,278,108,32,9,46,194,275,108,3,9,4,0,0,3,9,5,46
440070013001,672,457,197,18,0,0,396,125,41,16,10,84,396,122,41,3,10,3,0,5,0,1,2,84
440070013002,698,453,221,24,0,0,371,191,21,26,15,74,371,189,21,2,13,5,0,6,2,1,1,74
440070013003,505,293,178,34,0,0,117,229,22,80,4,53,117,222,22,7,29,0,0,2,2,14,2,53
440070013004,618,398,181,39,0,0,230,247,58,32,6,45,230,247,58,0,7,2,1,1,1,3,11,45
440070014001,599,369,203,27,0,0,140,337,54,27,6,35,140,331,54,6,11,3,0,1,2,1,5,35
440070014002,744,440,261,43,0,0,121,447,52,74,4,46,121,446,52,1,35,0,1,1,2,5,6,46
440070014003,386,219,141,26,0,0,68,222,12,47,5,32,68,219,12,3,24,4,0,0,3,4,3,32
440070014004,997,634,313,50,0,0,200,565,118,55,7,52,200,561,118,4,11,5,0,0,4,7,8,52
440070014005,618,359,214,45,0,0,117,324,53,72,9,43,117,324,53,0,20,4,2,2,1,6,7,43
