BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_23,eth2_30,eth2_34,eth2_81,eth2_10,eth2_21,eth2_14,eth2_55,eth2_12,eth2_85,eth2_35,eth2_61,eth2_66,eth2_unk
450439201001,743,317,363,63,0,0,421,11,271,0,1,39,421,270,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,39
450439201002,653,340,244,69,0,0,328,7,297,0,2,19,328,292,7,5,0,1,1,0,0,0,0,0,0,0,0,0,0,19
450439201003,800,430,312,58,0,0,387,4,381,0,0,28,387,381,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
450439202021,904,312,452,140,0,0,584,12,248,3,2,55,584,241,12,7,2,0,0,2,0,0,0,0,0,0,0,0,0,55
450439202022,466,320,115,31,0,0,153,9,290,0,0,14,153,289,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
450439202031,1031,220,577,234,0,0,841,12,120,0,3,55,841,106,12,14,0,0,2,1,0,0,0,0,0,0,0,0,0,55
450439202032,387,161,168,58,0,0,232,2,127,1,1,24,232,126,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,24
450439202041,734,590,106,38,0,0,139,4,579,2,0,10,139,578,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10
450439202042,962,616,291,55,0,0,358,8,573,2,0,21,358,572,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,21
450439203011,1172,228,839,105,0,0,1006,13,75,6,4,68,1006,60,13,15,1,1,0,0,5,0,0,1,0,0,1,0,0,68
450439203012,706,594,95,17,0,0,105,6,585,0,3,7,105,582,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7
450439203013,1008,783,188,37,0,0,213,1,764,3,1,26,213,756,1,8,3,0,0,1,0,0,0,0,0,0,0,0,0,26
450439203014,281,106,122,53,0,0,179,8,78,0,1,15,179,72,8,6,0,0,0,1,0,0,0,0,0,0,0,0,0,15
450439203021,884,382,417,85,0,0,573,10,237,6,3,55,573,230,10,7,4,1,0,1,2,0,0,0,0,0,0,0,0,55
450439203022,1315,407,761,147,0,0,965,32,232,13,2,71,965,216,32,16,2,1,0,1,7,1,2,0,0,0,0,0,0,71
450439204001,1080,770,228,82,0,0,319,5,724,3,2,27,319,723,5,1,3,0,0,0,0,0,0,0,0,0,2,0,0,27
450439204002,993,790,164,39,0,0,201,4,772,0,2,14,201,765,4,7,0,1,0,1,0,0,0,0,0,0,0,0,0,14
450439205021,1433,426,831,176,0,0,1058,20,211,5,14,125,1058,209,20,2,1,6,3,1,3,1,0,0,0,0,0,0,0,125
450439205022,1284,272,723,289,0,0,1112,19,32,4,10,107,1112,32,19,0,0,4,3,1,1,0,0,0,1,0,1,1,0,107
450439205023,37,23,14,0,0,0,13,1,23,0,0,0,13,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450439205041,865,184,611,70,0,0,749,11,16,5,9,75,749,16,11,0,1,4,3,2,1,0,1,0,2,0,0,0,0,75
450439205042,1646,508,923,215,0,0,1218,35,240,5,15,133,1218,238,34,2,1,4,4,3,2,2,0,0,0,0,2,0,1,133
450439205043,1106,274,728,104,0,0,938,18,32,1,10,107,938,31,17,1,1,4,2,1,0,0,0,0,0,0,1,2,1,107
450439205044,1072,270,705,97,0,0,922,17,12,3,7,111,922,12,17,0,2,0,2,0,0,1,0,2,0,0,0,0,0,111
450439205061,1470,360,917,193,0,0,1254,24,28,5,19,140,1254,26,24,2,3,1,10,2,1,0,0,1,1,0,0,3,0,140
450439205062,1264,320,853,91,0,0,1035,19,51,6,20,133,1035,51,18,0,2,5,8,1,3,0,0,2,1,0,4,0,1,133
450439205071,679,213,354,112,0,0,531,14,85,2,9,38,531,85,14,0,1,4,4,1,0,1,0,0,0,0,0,0,0,38
450439205072,1247,508,549,190,0,0,816,22,317,7,12,73,816,314,22,3,0,7,2,0,3,3,0,0,1,0,0,0,0,73
450439205073,1211,349,761,101,0,0,1012,20,45,11,13,110,1012,45,19,0,4,3,6,0,1,2,4,0,0,0,0,2,1,110
450439205081,1034,158,787,89,0,0,931,13,8,2,13,67,931,6,10,2,1,2,0,3,0,0,0,0,1,2,1,1,3,67
450439205082,1544,479,887,178,0,0,1252,27,92,8,23,142,1252,92,25,0,2,0,8,0,3,0,0,1,2,2,3,5,2,142
450439205091,795,187,527,81,0,0,695,24,9,2,6,59,695,9,23,0,0,0,3,0,1,0,0,0,1,1,0,0,1,59
