BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_34,eth2_30,eth2_23,eth2_10,eth2_unk
500219621001,404,168,121,115,0,0,351,6,0,4,3,40,351,6,0,1,1,1,40
500219621002,1041,473,256,312,0,0,915,13,0,5,10,98,915,12,4,4,0,1,98
500219622001,990,492,226,272,0,0,881,14,1,8,6,80,881,14,4,2,1,5,80
500219622002,811,466,137,208,0,0,724,7,0,6,5,69,724,7,1,1,3,1,69
500219622003,600,309,134,157,0,0,533,3,0,2,3,59,533,3,0,0,0,0,59
500219622004,500,279,118,103,0,0,434,9,0,3,3,51,434,9,1,1,3,0,51
500219623001,382,187,80,115,0,0,331,5,0,0,6,40,331,5,3,0,0,0,40
500219623002,239,112,45,82,0,0,214,9,0,0,1,15,214,9,0,1,0,0,15
500219623003,618,294,144,180,0,0,548,6,0,0,8,56,548,6,2,0,0,0,56
500219623004,167,77,29,61,0,0,156,1,0,0,3,7,156,1,1,0,0,0,7
500219624001,1433,567,393,473,0,0,1240,11,6,3,17,156,1240,10,5,2,1,0,156
500219624002,781,320,223,238,0,0,659,10,0,6,5,101,659,8,3,0,0,1,101
500219625001,491,239,94,158,0,0,421,8,1,1,6,54,421,7,4,0,1,0,54
500219625002,703,347,147,209,0,0,628,18,0,2,5,50,628,16,1,0,2,0,50
500219626001,745,363,163,219,0,0,664,6,0,4,7,64,664,6,6,1,2,1,64
500219626002,834,391,166,277,0,0,746,8,0,0,2,78,746,7,1,0,0,0,78
500219627001,1146,463,234,449,0,0,996,27,0,5,10,108,996,26,2,0,3,2,108
500219627002,469,210,109,150,0,0,429,1,0,4,2,33,429,1,0,0,1,0,33
500219627003,1008,446,207,355,0,0,896,10,1,7,13,81,896,10,4,3,4,2,81
500219628001,969,428,332,209,0,0,772,28,3,17,22,127,772,27,6,4,10,3,127
500219628002,791,333,234,224,0,0,687,6,2,7,9,80,687,6,3,1,5,2,80
500219628003,860,392,199,269,0,0,756,8,2,9,8,77,756,8,4,0,3,2,77
500219630001,693,334,135,224,0,0,580,14,0,8,10,81,580,13,4,0,6,1,81
500219630002,1073,531,259,283,0,0,933,21,0,9,9,101,933,21,4,2,4,2,101
500219630003,958,480,165,313,0,0,816,25,0,5,11,101,816,24,5,5,1,3,101
500219630004,284,151,86,47,0,0,247,4,0,6,5,22,247,4,5,0,2,3,22
500219630005,674,362,126,186,0,0,576,18,0,8,7,65,576,18,3,3,2,4,65
500219631001,675,370,188,117,0,0,584,14,0,3,6,68,584,14,1,2,1,1,68
500219631002,623,336,159,128,0,0,547,13,1,0,7,55,547,11,3,2,0,0,55
500219631003,664,527,70,67,0,0,563,19,2,7,7,66,563,19,2,1,0,4,66
500219632001,424,198,116,110,0,0,358,7,0,6,9,44,358,7,3,4,1,5,44
500219632002,437,234,78,125,0,0,370,8,0,6,2,51,370,8,0,0,0,0,51
500219632003,653,340,142,171,0,0,573,7,2,4,9,58,573,3,2,2,0,1,58
500219632004,411,336,28,47,0,0,360,13,0,2,9,27,360,13,2,5,0,2,27
500219633001,880,464,220,196,0,0,782,20,2,3,7,66,782,15,4,0,1,1,66
500219633002,612,317,139,156,0,0,545,8,0,3,10,46,545,8,3,0,0,2,46
500219633003,449,245,124,80,0,0,396,8,0,3,7,35,396,8,3,2,0,1,35
500219633004,403,304,39,60,0,0,351,8,0,0,0,44,351,8,0,0,0,0,44
500219633005,224,130,43,51,0,0,204,3,0,0,0,17,204,3,0,0,0,0,17
500219633006,739,355,173,211,0,0,631,19,2,7,6,74,631,18,2,0,7,0,74
500219634001,1339,575,298,466,0,0,1197,17,1,5,18,101,1197,16,6,3,2,2,101
500219634002,454,198,84,172,0,0,410,8,0,3,2,31,410,8,1,0,0,2,31
500219635001,249,119,46,84,0,0,215,1,0,2,2,29,215,1,0,1,2,0,29
500219635002,295,149,53,93,0,0,273,2,0,0,0,20,273,2,0,0,0,0,20
500219635003,669,358,162,149,0,0,609,6,0,5,6,43,609,6,1,3,0,0,43
500219636001,1697,744,464,489,0,0,1475,36,1,13,10,162,1475,34,0,5,2,2,162
500219636002,1268,543,305,420,0,0,1090,26,0,10,10,132,1090,24,2,0,0,0,132
500219637001,1063,540,256,267,0,0,949,14,0,5,9,86,949,14,5,2,2,1,86
500219637002,821,453,165,203,0,0,737,8,0,1,11,64,737,7,2,4,0,1,64
500219638001,872,439,178,255,0,0,786,4,2,2,3,75,786,4,1,1,2,0,75
500219638002,861,428,235,198,0,0,762,18,1,5,13,62,762,15,6,0,4,0,62
500219638003,471,229,99,143,0,0,406,4,0,0,15,46,406,4,8,0,0,0,46
500219638004,769,208,392,169,0,0,682,3,0,2,5,77,682,3,2,1,1,0,77
500219640001,592,319,127,146,0,0,517,16,0,4,2,53,517,14,0,1,2,1,53
500219640002,1052,469,254,329,0,0,928,9,2,7,19,87,928,9,12,3,1,4,87
500219640003,1053,479,274,300,0,0,937,10,0,4,11,91,937,8,6,2,0,0,91
500219642001,988,503,188,297,0,0,862,16,0,3,5,102,862,15,1,2,0,1,102
500219642002,93,35,26,32,0,0,77,2,0,0,1,13,77,2,0,0,0,0,13
500219643001,733,354,173,206,0,0,639,12,0,7,6,69,639,11,0,1,1,0,69
500219643002,347,188,67,92,0,0,300,5,0,2,4,36,300,5,1,2,0,0,36
500159530001,860,413,227,220,0,0,785,4,0,5,7,59,785,4,3,0,0,1,59
500159530002,818,394,190,234,0,0,748,7,0,1,9,53,748,7,8,0,1,0,53
500159531001,672,339,215,118,0,0,584,12,0,4,2,70,584,12,0,1,1,1,70
500159531002,851,432,253,166,0,0,750,15,0,2,6,78,750,15,4,1,2,0,78
500159532001,964,496,286,182,0,0,856,10,5,9,11,73,856,10,2,4,2,5,73
500159532002,1157,603,354,200,0,0,1030,20,3,2,8,94,1030,20,2,1,1,1,94
500159533001,770,393,180,197,0,0,689,10,0,9,6,56,689,9,4,2,4,1,56
500159533002,1344,715,285,344,0,0,1185,21,0,5,9,124,1185,21,5,1,2,2,124
500159534001,1877,1021,428,428,0,0,1656,27,0,6,22,166,1656,23,12,2,0,5,166
500159535001,691,388,161,142,0,0,608,8,0,9,10,56,608,8,6,2,1,3,56
500159535002,1204,624,313,267,0,0,1057,17,1,3,18,108,1057,17,3,4,0,0,108
