BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_mnt,party_ain,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_34,eth2_23,eth2_10,eth2_unk
541030049001,464,219,149,70,22,3,1,0,0,0,0,408,5,0,5,5,41,408,0,5,0,0,0,0,41
541030049002,1652,719,573,225,121,8,5,0,0,1,0,1478,14,0,10,13,137,1478,0,12,6,4,3,2,137
541030049003,939,457,274,150,52,6,0,0,0,0,0,824,5,0,8,11,91,824,0,5,2,4,5,1,91
541030304001,226,91,78,41,15,1,0,0,0,0,0,212,1,0,0,1,12,212,0,1,0,0,0,0,12
541030304002,487,210,143,94,35,0,4,0,0,1,0,429,5,0,1,1,51,429,0,5,0,0,1,0,51
541030304003,86,25,39,17,4,0,0,0,0,1,0,69,3,0,0,0,14,69,0,3,0,0,0,0,14
541030304004,460,194,164,83,16,1,1,0,0,1,0,393,7,0,0,6,54,393,0,7,2,0,0,0,54
541030305001,406,198,119,51,37,1,0,0,0,0,0,353,4,1,0,7,41,353,1,4,0,0,0,0,41
541030305002,139,55,47,24,11,2,0,0,0,0,0,123,2,0,2,0,12,123,0,2,0,0,0,0,12
541030305003,433,192,139,60,40,1,0,0,0,1,0,395,0,0,1,5,32,395,0,0,2,0,0,0,32
541030305004,845,372,280,130,54,5,3,0,0,1,0,772,2,0,2,4,65,772,0,2,1,0,0,2,65
541030307001,254,107,97,32,17,1,0,0,0,0,0,219,1,1,0,1,32,219,1,1,1,0,0,0,32
541030307002,311,150,80,49,26,5,1,0,0,0,0,288,4,1,0,4,14,288,1,4,1,1,0,0,14
541030307003,470,226,154,58,24,5,3,0,0,0,0,411,9,0,5,5,40,411,0,9,3,0,0,2,40
541030307004,1111,423,413,198,64,10,2,0,0,1,0,1013,5,1,1,2,89,1013,1,5,1,1,0,0,89
541030308001,584,251,184,125,24,0,0,0,0,0,0,536,4,1,2,3,38,536,1,4,0,3,1,1,38
541030308002,304,140,90,49,23,2,0,0,0,0,0,276,4,0,0,2,22,276,0,4,0,1,0,0,22
540570101001,636,165,313,147,5,6,0,0,0,0,0,563,10,0,5,8,50,563,0,10,3,3,0,2,50
540570101002,257,90,107,55,1,3,1,0,0,0,0,235,0,1,0,2,19,235,1,0,0,1,0,0,19
540570101003,507,148,235,116,5,3,0,0,0,0,0,450,1,0,1,1,54,450,0,1,0,0,0,1,54
540570102001,838,174,462,188,6,7,1,0,0,0,0,747,5,0,3,16,67,747,0,5,0,2,0,1,67
540570102002,1538,330,822,349,14,16,4,0,0,3,0,1335,22,1,9,6,165,1335,1,22,1,3,2,4,165
540570103001,1054,241,558,239,9,6,0,0,0,1,0,891,4,1,21,8,129,891,0,4,2,5,0,9,129
540570103002,1109,267,572,254,7,7,1,0,0,1,0,971,9,0,10,20,99,971,0,9,10,7,1,2,99
540570103003,676,136,359,169,7,5,0,0,0,0,0,598,4,0,2,5,67,598,0,4,0,0,0,0,67
540570104001,1296,283,708,278,13,10,4,0,0,0,0,1143,17,0,4,11,121,1143,0,17,9,2,1,0,121
540570104002,631,104,393,125,4,5,0,0,0,0,0,553,3,2,1,0,72,553,2,3,0,0,0,1,72
540570104003,676,112,421,140,3,0,0,0,0,0,0,585,9,0,4,1,77,585,0,9,0,0,1,1,77
540570105001,284,90,109,78,4,2,1,0,0,0,0,246,2,10,0,0,26,246,10,2,0,0,0,0,26
540570105002,977,232,470,251,10,9,4,0,1,0,0,860,10,14,5,3,85,860,14,10,1,0,0,4,85
540570105003,1716,345,909,426,12,17,7,0,0,0,0,1525,10,5,9,9,158,1525,5,10,5,1,3,2,158
540570105004,1021,198,575,228,11,6,3,0,0,0,0,879,5,3,4,3,127,879,3,5,1,0,0,0,127
540570106001,802,172,450,165,9,6,0,0,0,0,0,703,8,3,7,0,81,703,3,8,0,0,2,3,81
540570106002,829,246,341,221,12,8,1,0,0,0,0,724,12,16,5,2,70,724,16,12,0,1,1,2,70
540570106003,1102,329,506,242,14,10,1,0,0,0,0,947,10,44,4,4,93,947,44,10,0,1,0,3,93
540570107001,448,106,244,95,1,2,0,0,0,0,0,397,3,0,0,0,48,397,0,3,0,0,0,0,48
540570107002,518,161,189,154,6,7,1,0,0,0,0,397,1,73,5,0,42,397,72,1,0,0,0,2,42
540890005001,540,201,177,142,15,2,2,0,0,1,0,474,18,2,2,7,37,474,2,18,3,4,1,1,37
540890005002,1677,848,405,338,72,8,6,0,0,0,0,1483,30,64,1,10,89,1483,64,29,5,4,1,0,89
540890005003,474,186,170,100,16,1,1,0,0,0,0,448,2,0,0,1,23,448,0,2,1,0,0,0,23
540890006001,463,176,160,111,13,2,0,0,1,0,0,431,11,0,0,0,21,431,0,11,0,0,0,0,21
540890006002,714,335,182,165,27,2,3,0,0,0,0,652,15,2,2,1,42,652,2,15,0,1,0,0,42
540890006003,273,123,75,68,6,0,0,0,0,1,0,248,5,0,1,1,18,248,0,5,1,0,1,0,18
540890006004,404,167,140,80,13,0,4,0,0,0,0,354,10,7,2,1,30,354,7,10,1,0,1,0,30
540890007001,1112,606,215,237,42,8,3,0,0,1,0,962,26,33,1,7,83,962,33,26,4,2,0,0,83
540890008001,684,267,232,157,25,1,2,0,0,0,0,625,7,3,3,3,43,625,3,7,2,1,1,0,43
540890008002,687,327,185,140,28,4,3,0,0,0,0,645,10,2,1,4,25,645,2,10,3,1,0,1,25
540890008003,710,275,264,151,19,1,0,0,0,0,0,671,6,0,1,3,29,671,0,6,1,2,0,0,29
540179650001,298,50,183,55,5,4,1,0,0,0,0,259,0,0,1,1,37,259,0,0,0,1,0,1,37
540179650002,403,76,257,59,7,2,2,0,0,0,0,370,7,0,0,4,22,370,0,7,0,1,0,0,22
