BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_cnt,party_ain,party_ntl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_unk
560319591001,838,629,106,88,6,9,0,0,0,0,723,32,0,3,1,79,723,32,79
560319591002,473,302,101,65,4,1,0,0,0,0,382,37,0,3,2,49,382,37,49
560319594011,568,470,37,52,5,4,0,0,0,0,490,17,0,3,2,56,490,17,56
560319594012,534,400,83,45,5,1,0,0,0,0,466,14,0,2,3,49,466,13,49
560319594013,594,426,74,81,10,3,0,0,0,0,507,35,0,2,3,47,507,35,47
560319594014,426,312,53,54,5,2,0,0,0,0,360,15,4,3,3,41,360,15,41
560319594015,527,414,52,52,6,3,0,0,0,0,427,30,0,0,9,61,427,30,61
560319594021,529,436,50,37,3,3,0,0,0,0,481,7,0,1,4,36,481,7,36
560319594022,603,472,69,54,7,1,0,0,0,0,501,32,0,2,3,65,501,31,65
560399676011,496,259,136,98,3,0,0,0,0,0,427,7,0,2,5,55,427,7,55
560399676012,606,209,226,161,7,3,0,0,0,0,498,7,6,8,8,79,498,7,79
560399676013,615,256,207,146,6,0,0,0,0,0,486,32,0,8,5,84,486,32,84
560399676021,426,172,144,102,8,0,0,0,0,0,350,4,0,10,1,61,350,4,61
560399676022,412,197,103,106,5,1,0,0,0,0,339,9,2,7,3,52,339,7,52
560399676023,870,454,233,181,2,0,0,0,0,0,738,11,0,9,7,105,738,11,105
560399677011,965,291,448,219,6,1,0,0,0,0,800,28,0,10,24,103,800,28,103
560399677012,439,144,171,122,2,0,0,0,0,0,380,9,0,4,5,41,380,9,41
560399677031,1323,454,614,248,7,0,0,0,0,0,1089,35,1,27,30,141,1089,33,141
560399677032,746,288,290,163,4,0,1,0,0,0,605,11,0,17,9,104,605,11,104
560399677041,671,220,309,129,13,0,0,0,0,0,559,13,1,8,8,82,559,13,82
560399677042,1073,375,445,244,9,0,0,0,0,0,885,42,2,19,14,111,885,42,111
560399677043,914,299,376,235,4,0,0,0,0,0,754,29,0,16,9,106,754,29,106
560399678011,526,132,278,114,2,0,0,0,0,0,433,30,1,8,8,46,433,30,46
560399678012,969,251,433,272,13,0,0,0,0,0,784,41,0,5,22,117,784,41,117
560399678013,1281,357,541,373,10,0,0,0,0,0,1007,56,0,14,35,169,1007,56,169
560399678021,841,314,351,165,9,1,0,0,1,0,696,29,0,10,10,96,696,29,96
560399678022,757,232,315,204,6,0,0,0,0,0,595,54,1,5,12,90,595,54,90
560399678023,234,96,76,60,2,0,0,0,0,0,184,13,0,6,3,28,184,12,28
560399678024,1258,534,453,260,10,1,0,0,0,0,1073,23,0,17,19,126,1073,21,126
560199551001,1113,982,52,74,5,0,0,0,0,0,936,28,0,5,16,128,936,28,128
560199551002,535,482,23,25,2,3,0,0,0,0,445,17,0,3,4,66,445,17,66
560199552011,849,688,81,74,6,0,0,0,0,0,721,27,0,7,8,86,721,27,86
560199552012,508,400,55,52,1,0,0,0,0,0,426,23,0,4,6,49,426,23,49
560199552021,1129,910,106,100,7,6,0,0,0,0,979,29,0,5,6,110,979,29,110
560199552022,633,536,43,48,2,4,0,0,0,0,537,18,0,14,11,53,537,18,53
560199552023,278,227,21,28,1,1,0,0,0,0,235,7,0,1,1,34,235,7,34
560179678001,681,524,82,68,6,1,0,0,0,0,596,19,0,3,2,61,596,19,61
560179678002,790,643,67,74,4,2,0,0,0,0,693,15,0,5,8,69,693,15,69
560179679001,623,534,42,43,3,1,0,0,0,0,553,11,0,1,7,51,553,11,51
560179679002,559,460,58,38,2,1,0,0,0,0,471,11,0,5,18,54,471,11,54
560159577001,540,455,36,47,1,1,0,0,0,0,471,17,0,1,2,49,471,17,49
560159577002,629,538,47,35,5,4,0,0,0,0,541,10,0,0,5,73,541,10,73
560159578001,370,248,56,62,1,3,0,0,0,0,314,21,0,0,3,32,314,21,32
560159578002,737,555,106,71,4,1,0,0,0,0,612,48,0,7,5,65,612,48,65
560159578003,560,398,102,56,4,0,0,0,0,0,455,55,0,6,2,42,455,55,42
560159579001,649,492,97,57,1,2,0,0,0,0,560,20,0,4,3,62,560,20,62
560159579002,971,745,139,83,2,2,0,0,0,0,826,45,0,7,8,85,826,45,85
560159579003,160,123,25,12,0,0,0,0,0,0,129,14,0,1,1,15,129,14,15
560159579004,273,185,48,38,1,1,0,0,0,0,227,29,0,2,1,14,227,29,14
560159580001,229,147,57,24,1,0,0,0,0,0,146,47,0,1,0,35,146,47,35
560159580002,542,471,33,35,2,1,0,0,0,0,490,11,0,0,1,40,490,10,40
560159580003,720,629,50,39,1,1,0,0,0,0,621,10,1,2,1,85,621,10,85
560350001011,864,754,63,44,2,1,0,0,0,0,744,26,0,4,9,81,744,25,81
560350001012,490,431,25,31,2,1,0,0,0,0,426,14,0,2,1,47,426,14,47
560350001013,262,230,11,19,2,0,0,0,0,0,240,5,0,0,2,15,240,5,15
560350001031,1194,923,121,135,8,7,0,0,0,0,1004,30,0,11,18,131,1004,30,131
560350001032,608,489,55,55,5,4,0,0,0,0,518,9,0,8,9,64,518,9,64
560350001041,628,533,40,48,4,3,0,0,0,0,551,10,0,3,7,57,551,10,57
560350001042,766,649,50,60,3,3,0,0,1,0,660,19,0,1,19,67,660,19,67
560130001001,991,512,307,160,9,3,0,0,0,0,830,33,3,5,17,103,830,33,103
560130001002,1022,708,175,127,8,4,0,0,0,0,880,34,0,14,4,90,880,34,90
560130002001,1232,583,469,167,10,3,0,0,0,0,1016,40,0,6,36,134,1016,40,134
560130002002,1157,685,291,165,10,5,0,0,1,0,991,33,0,5,7,121,991,33,121
560130003011,1127,734,247,136,10,0,0,0,0,0,966,27,0,5,7,122,966,27,122
560130003012,619,423,114,78,1,3,0,0,0,0,527,8,1,1,3,79,527,8,79
560130003021,653,494,81,69,7,2,0,0,0,0,556,10,0,2,9,76,556,10,76
560130003022,309,257,20,26,3,3,0,0,0,0,270,3,0,1,5,30,270,3,30
560130004001,399,299,48,49,3,0,0,0,0,0,348,3,0,2,13,33,348,3,33
560130004002,769,561,98,93,14,3,0,0,0,0,652,17,0,4,4,92,652,16,92
560139401001,335,233,64,36,2,0,0,0,0,0,278,10,0,1,12,34,278,10,34
560139401002,331,94,168,65,3,1,0,0,0,0,219,24,0,2,37,49,219,22,49
560139401003,312,40,221,49,1,0,0,0,1,0,211,16,0,4,37,44,211,16,44
560139402011,499,399,34,63,1,2,0,0,0,0,429,9,0,0,4,57,429,9,57
560139402012,793,688,28,72,3,2,0,0,0,0,692,12,0,1,7,81,692,12,81
560139402013,821,692,60,57,9,3,0,0,0,0,680,35,0,3,9,94,680,35,94
560139402021,368,135,201,30,2,0,0,0,0,0,278,22,0,1,22,45,278,21,45
560139402022,528,404,79,38,5,2,0,0,0,0,446,8,1,1,3,69,446,8,69
560139402023,594,156,331,102,3,1,0,0,1,0,419,39,1,4,38,93,419,39,93
560139402024,343,251,65,26,1,0,0,0,0,0,286,9,0,0,6,42,286,9,42
560139403011,342,223,59,56,4,0,0,0,0,0,282,25,1,0,10,24,282,25,24
560139403012,215,139,42,32,2,0,0,0,0,0,158,19,0,1,8,29,158,19,29
560139403021,464,356,64,35,6,3,0,0,0,0,380,38,0,1,4,41,380,38,41
560139403022,524,392,59,64,8,1,0,0,0,0,440,25,0,2,3,54,440,25,54
560139403023,197,159,16,22,0,0,0,0,0,0,169,14,0,0,0,14,169,14,14
560139404001,797,495,178,115,8,1,0,0,0,0,646,46,0,1,13,91,646,46,91
560139404002,641,534,62,43,2,0,0,0,0,0,573,15,0,2,9,42,573,15,42
560139404003,484,367,58,55,4,0,0,0,0,0,411,24,0,7,0,42,411,23,42
560139404004,739,531,121,79,7,1,0,0,0,0,611,33,1,8,7,79,611,33,79
560139404005,497,376,74,41,4,2,0,0,0,0,436,15,0,1,4,41,436,15,41
560139405001,351,260,43,41,5,2,0,0,0,0,300,14,0,0,4,33,300,14,33
560139405002,319,222,45,41,7,4,0,0,0,0,255,13,0,1,5,45,255,13,45
560139405003,298,177,50,69,0,2,0,0,0,0,238,18,0,5,9,28,238,18,28
560330001001,647,424,111,102,8,1,1,0,0,0,536,31,0,9,7,64,536,31,64
560330001002,662,463,121,69,6,3,0,0,0,0,555,25,2,0,7,73,555,25,73
560330001003,808,586,100,105,15,1,1,0,0,0,691,17,0,4,6,90,691,17,90
560330001004,971,715,138,107,8,2,1,0,0,0,839,22,3,3,7,97,839,22,97
560330002001,454,309,76,57,9,2,1,0,0,0,382,15,0,2,5,50,382,15,50
560330002002,629,376,148,89,13,3,0,0,0,0,535,14,0,3,9,68,535,14,68
560330002003,635,457,107,65,4,1,1,0,0,0,560,12,0,5,1,57,560,12,57
560330003001,579,379,107,85,7,1,0,0,0,0,474,26,0,7,8,64,474,26,64
560330003002,515,350,88,68,7,2,0,0,0,0,465,13,0,1,4,32,465,13,32
560330003003,902,680,123,93,4,1,1,0,0,0,783,17,1,4,9,88,783,17,88
560330004001,705,487,112,92,12,2,0,0,0,0,568,49,1,6,9,72,568,49,72
560330004002,777,553,113,102,5,4,0,0,0,0,674,26,0,3,4,70,674,26,70
560330004003,1103,795,182,115,9,2,0,0,0,0,950,22,0,10,8,113,950,22,113
560330005011,653,545,48,55,4,1,0,0,0,0,567,12,0,4,10,60,567,12,60
560330005012,935,703,122,98,6,5,1,0,0,0,751,14,0,6,9,155,751,14,155
560330005013,363,305,32,23,2,1,0,0,0,0,311,13,0,2,1,36,311,13,36
560330005021,817,652,74,80,7,1,3,0,0,0,707,15,0,4,6,85,707,15,85
560330005022,435,362,30,37,5,1,0,0,0,0,403,4,0,1,4,23,403,4,23
560330005023,1282,986,127,160,6,1,2,0,0,0,1114,18,0,9,8,133,1114,18,133
560330006001,764,593,77,89,4,1,0,0,0,0,673,6,0,7,9,69,673,6,69
560330006002,1103,828,129,139,4,3,0,0,0,0,927,27,1,6,13,129,927,27,129
560330006003,1291,997,176,110,8,0,0,0,0,0,1088,23,2,9,19,150,1088,23,150
560279572001,684,609,36,34,5,0,0,0,0,0,608,14,0,1,3,58,608,14,58
560279572002,665,583,45,33,3,1,0,0,0,0,610,11,0,5,1,38,610,11,38
560119502001,647,576,27,38,2,4,0,0,0,0,566,5,0,4,9,63,566,5,63
560119502002,480,436,16,23,2,3,0,0,0,0,410,4,0,4,3,59,410,3,59
560119502003,591,523,21,40,5,2,0,0,0,0,535,6,0,1,2,47,535,6,47
560119502004,774,675,38,55,5,1,0,0,0,0,677,10,0,4,3,80,677,10,80
560119503001,793,707,35,43,4,4,0,0,0,0,682,11,0,1,2,97,682,11,97
560119503002,899,758,64,70,6,1,0,0,0,0,775,9,0,2,2,111,775,9,111
560039626001,572,480,46,41,4,1,0,0,0,0,508,10,0,1,7,46,508,10,46
560039626002,788,640,54,85,7,2,0,0,0,0,668,30,0,2,1,87,668,30,87
560039627001,499,406,43,49,1,0,0,0,0,0,434,9,0,3,7,46,434,9,46
560039627002,576,517,14,40,3,2,0,0,0,0,500,24,0,2,1,49,500,24,49
560039627003,756,566,103,74,9,4,0,0,0,0,622,44,2,3,3,82,622,44,82
560039628001,839,722,44,64,3,6,0,0,0,0,715,17,0,8,2,97,715,17,97
560039628002,561,441,50,50,14,6,0,0,0,0,463,36,1,5,3,53,463,36,53
560039628003,807,685,46,67,5,4,0,0,0,0,683,32,0,5,9,78,683,32,78
560039628004,564,478,26,47,9,4,0,0,0,0,462,36,0,2,3,61,462,36,61
560430002001,441,381,32,24,2,2,0,0,0,0,376,11,0,4,5,45,376,9,45
560430002002,475,383,46,42,3,1,0,0,0,0,379,42,0,3,5,46,379,42,46
560430002003,525,446,26,47,6,0,0,0,0,0,457,1,0,2,1,64,457,1,64
560430002004,397,339,22,33,3,0,0,0,0,0,323,16,0,5,4,49,323,16,49
560430003011,278,201,37,32,7,1,0,0,0,0,204,45,0,4,3,22,204,45,22
560430003012,420,327,51,39,0,3,0,0,0,0,340,30,0,3,12,35,340,30,35
560430003013,393,304,45,39,3,2,0,0,0,0,319,34,0,2,11,27,319,34,27
560430003021,693,566,72,48,5,2,0,0,0,0,583,53,0,10,2,45,583,53,45
560430003022,558,445,59,49,3,2,0,0,0,0,457,33,0,3,11,54,457,33,54
560250002001,220,109,58,49,2,2,0,0,0,0,170,28,1,0,1,20,170,28,20
560250002002,526,298,141,76,9,2,0,0,0,0,425,43,5,3,3,47,425,42,47
560250002003,222,120,60,39,2,1,0,0,0,0,177,11,0,3,3,28,177,11,28
560250002004,198,101,58,34,3,2,0,0,0,0,155,15,3,2,2,21,155,15,21
560250003001,582,342,110,123,5,2,0,0,0,0,466,44,2,1,4,65,466,42,65
560250003002,669,433,142,83,10,1,0,0,0,0,551,35,1,5,11,66,551,35,66
560250003003,495,271,127,91,5,1,0,0,0,0,411,17,1,7,5,54,411,17,54
560250004001,327,212,72,39,4,0,0,0,0,0,274,22,0,0,4,27,274,22,27
560250004002,346,219,67,52,5,3,0,0,0,0,284,19,1,1,3,38,284,19,38
560250004003,527,349,100,71,7,0,0,0,0,0,441,27,1,7,1,50,441,27,50
560250004004,604,380,132,84,8,0,0,0,0,0,510,31,1,4,5,53,510,30,53
560250005011,985,669,177,128,9,2,0,0,0,0,834,41,1,10,5,94,834,41,94
560250005012,472,341,65,64,2,0,0,0,0,0,405,10,3,6,13,35,405,10,35
560250005013,384,255,54,60,11,4,0,0,0,0,325,19,2,2,2,34,325,19,34
560250005014,1088,807,131,140,7,3,0,0,0,0,892,45,2,16,13,120,892,45,120
560250005021,577,399,93,75,6,3,1,0,0,0,480,42,0,7,2,46,480,42,46
560250005022,544,385,89,64,4,2,0,0,0,0,447,20,0,6,5,66,447,20,66
560250006011,188,125,32,29,1,1,0,0,0,0,150,12,1,0,2,23,150,12,23
560250006012,843,559,129,144,8,3,0,0,0,0,683,52,1,12,12,83,683,52,83
