GEOID20,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
22037951300,2418,1322,617,473,6,0,0,0,953,13,1310,11,9,122
22037951400,2448,1304,644,490,9,1,0,0,1132,18,1181,8,16,93
22037951501,885,247,407,227,4,0,0,0,677,13,128,2,9,56
22037951502,3801,1572,1353,858,16,2,0,0,2160,57,1369,7,26,182
22037951600,3985,1687,1382,896,17,3,0,0,2206,55,1462,7,34,221
22113950101,2599,599,1267,715,16,2,0,0,1987,116,206,43,29,218
22113950102,2085,521,1032,523,8,1,0,0,1622,91,159,21,23,169
22113950103,2132,539,1027,560,5,1,0,0,1747,97,70,5,31,182
22113950201,1318,483,523,306,5,1,0,0,1088,76,14,1,8,131
22113950202,1608,623,593,383,8,1,0,0,1256,39,127,7,7,172
22113950400,3424,1442,1096,872,10,4,0,0,2517,137,416,33,44,277
22113950500,3757,1225,1580,943,7,2,0,0,3032,153,144,18,65,345
22113950600,2009,602,837,557,10,3,0,0,1568,89,124,48,7,173
22113950700,2732,1117,847,757,8,3,0,0,1491,98,812,130,23,178
22113950800,2704,1578,340,784,1,1,0,0,769,59,1732,41,14,89
22113950901,1883,631,786,461,4,1,0,0,1447,81,153,47,20,135
22113950903,1579,651,498,423,5,2,0,0,825,84,477,61,19,113
22113950904,3200,822,1506,858,13,1,0,0,2382,264,221,15,38,280
22113951001,2713,900,1083,713,14,3,0,0,2102,204,122,57,15,213
22113951002,2245,839,853,545,8,0,0,0,1626,147,233,3,15,221
22113951100,942,359,372,211,0,0,0,0,787,59,5,7,10,74
22113990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22011960101,2144,413,1028,696,6,1,0,0,1850,43,29,8,28,186
22011960102,1744,315,935,485,9,0,0,0,1508,43,18,5,18,152
22011960200,2813,539,1441,824,9,0,0,0,2371,95,81,18,51,197
22011960300,2267,913,697,639,17,1,0,0,1151,105,851,23,25,112
