BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_rin,party_lib,party_grn,party_lbl,party_con,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_23,eth2_81,eth2_21,eth2_34,eth2_14,eth2_12,eth2_66,eth2_61,eth2_85,eth2_35,eth2_32,eth2_55,eth2_29,eth2_83,eth2_33,eth2_38,eth2_59,eth2_26,eth2_19,eth2_unk
040099405001,1894,144,1217,456,25,6,0,0,0,46,0,1192,168,30,8,131,365,1192,167,30,2,2,1,113,0,13,3,2,1,0,0,0,0,0,1,1,0,1,0,0,0,365
040099405002,338,30,196,96,6,1,0,0,0,9,0,222,23,4,2,20,67,222,23,4,0,1,0,17,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67
040099405003,121,9,68,35,6,0,0,0,0,3,0,81,10,2,1,6,21,81,10,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
040099611001,790,512,115,95,49,2,0,0,0,17,0,660,72,0,2,7,49,660,72,0,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,49
040099611002,705,406,147,98,30,6,0,0,0,18,0,520,128,0,5,15,37,520,128,0,0,2,1,1,0,8,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,37
040099611003,1364,829,221,191,72,11,2,0,0,38,0,1056,187,2,6,20,93,1056,187,2,2,3,0,2,0,5,3,0,0,4,0,0,0,1,0,1,0,4,0,0,0,93
040099612011,878,657,81,87,40,4,0,0,0,9,0,731,94,1,4,6,42,731,94,1,0,4,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,42
040099612012,887,569,113,139,38,4,1,0,0,23,0,676,132,0,0,6,73,676,132,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,73
040099612013,334,230,42,28,23,4,0,0,0,7,0,265,32,1,3,0,33,265,32,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
040099612021,1005,610,176,123,65,4,0,0,0,27,0,749,171,1,6,3,75,749,171,1,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,75
040099612022,676,439,86,104,18,11,0,0,0,18,0,522,108,0,6,5,35,522,108,0,0,0,1,0,0,3,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,35
040099612023,708,393,167,93,34,1,0,0,0,20,0,485,184,0,5,3,31,485,183,0,0,3,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31
040099613001,337,118,107,83,20,3,1,0,0,5,0,146,146,1,6,4,34,146,145,1,1,1,1,0,0,1,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,34
040099613002,332,127,110,67,13,2,0,0,0,13,0,194,108,0,8,3,19,194,107,0,1,5,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,19
040099613003,556,213,178,110,28,4,1,0,0,22,0,298,215,1,3,5,34,298,215,1,3,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
040099613004,521,250,138,91,25,1,1,0,0,15,0,330,158,1,0,2,30,330,158,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30
040099614001,1150,547,286,216,61,7,2,0,0,31,0,674,378,4,18,8,68,674,377,4,0,6,3,1,6,2,2,0,1,1,0,0,0,0,0,0,0,3,0,0,0,68
040099614002,620,269,186,107,33,3,0,0,0,22,0,362,206,3,6,6,37,362,206,3,3,5,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,37
040099614003,809,327,312,109,34,2,0,0,0,25,0,485,224,10,9,15,66,485,222,10,1,2,3,13,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,66
040099614004,473,191,150,92,23,2,0,0,0,15,0,221,228,0,3,5,16,221,228,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16
040099615001,1068,553,194,193,77,6,0,0,0,45,0,778,220,0,3,8,59,778,220,0,1,2,0,2,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,59
040099615002,677,387,117,115,34,1,0,0,0,23,0,499,122,0,3,2,51,499,122,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51
040099615003,902,445,239,134,52,5,1,0,0,26,0,524,313,0,2,3,60,524,313,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
040099616001,611,369,95,87,39,8,1,0,0,12,0,453,93,0,0,5,60,453,93,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,60
040099616002,24,12,3,7,1,1,0,0,0,0,0,17,5,0,0,0,2,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
040099616003,7,6,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040099617001,364,165,114,53,18,2,0,0,0,12,0,172,159,0,5,3,25,172,159,0,0,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25
040099617002,547,266,118,118,24,2,0,0,0,19,0,331,188,1,2,1,24,331,188,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24
040099617003,646,297,139,150,36,4,0,0,0,20,0,410,197,2,4,3,30,410,196,1,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30
040099617004,801,405,196,118,54,4,1,0,0,23,0,527,194,11,7,2,60,527,194,11,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,60
040019426001,1050,118,602,278,28,3,0,0,0,21,0,563,30,15,14,132,296,563,29,15,0,4,1,130,1,1,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,296
040019426002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040019427001,9,7,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040019427002,194,20,138,29,5,0,0,0,0,2,0,120,10,0,6,16,42,120,10,0,0,5,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
040019427003,2309,322,1392,427,88,8,3,0,0,69,0,1188,77,7,80,235,722,1188,77,7,0,58,3,231,1,1,17,0,0,0,0,0,0,0,0,2,1,0,0,0,0,722
040019427004,132,22,82,20,5,0,0,0,0,3,0,70,3,2,0,14,43,70,3,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43
040019440001,40,8,23,6,2,0,0,0,0,1,0,20,3,0,1,6,10,20,3,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
040019440002,3750,453,2426,554,173,11,4,0,0,129,0,2055,186,20,64,670,755,2055,186,20,3,39,5,659,3,5,15,1,0,0,0,0,2,0,0,1,0,0,0,0,1,755
040019440003,280,28,186,50,10,2,0,0,0,4,0,162,9,0,4,42,63,162,9,0,0,4,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
040019441001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040019441002,407,29,259,106,5,2,0,0,0,6,0,211,17,2,7,54,116,211,17,2,0,1,0,54,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,116
040019441003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040019441004,421,14,315,72,10,1,0,0,0,9,0,238,14,3,8,57,101,238,14,3,0,5,0,55,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,101
040019441005,164,6,119,33,4,0,0,0,0,2,0,90,10,2,3,27,32,90,10,2,0,2,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
040019442011,7290,652,4518,1719,168,20,7,0,0,206,0,3662,249,37,150,1182,2010,3662,249,37,2,69,8,1150,3,8,57,10,0,0,2,1,1,0,1,2,6,2,2,0,0,2010
040019442012,42,6,26,6,2,0,0,0,0,2,0,33,0,0,0,5,4,33,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
040019442021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040019442022,949,53,654,188,24,2,0,0,0,28,0,468,31,1,19,149,281,468,31,1,1,16,2,147,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,281
040019442023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040019443011,1432,112,911,346,26,3,0,0,0,34,0,788,47,0,32,130,435,788,47,0,0,20,2,126,0,0,10,0,0,0,0,3,0,0,0,1,0,0,0,0,0,435
040019443012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040019443013,3291,209,2179,745,70,10,3,0,0,75,0,1738,138,2,69,575,769,1738,138,2,3,37,6,564,2,4,22,2,0,0,0,0,1,0,0,1,0,0,1,0,0,769
040019443021,137,7,103,22,1,0,0,0,0,4,0,93,2,3,3,15,21,93,2,3,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
040019443022,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
040019449011,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040019449012,17,1,15,0,1,0,0,0,0,0,0,13,1,0,0,1,2,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
040019449013,5834,515,4223,798,166,4,4,0,0,124,0,3482,189,8,79,842,1234,3482,189,8,3,34,4,825,1,8,29,9,0,0,0,0,0,1,0,0,0,2,2,0,0,1234
040019449014,1445,127,1066,166,51,4,0,0,0,31,0,830,52,17,18,226,302,830,52,17,1,6,0,221,0,0,10,2,0,0,1,0,0,0,0,0,0,0,3,0,0,302
040019449021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040019449022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040019449023,8,3,4,1,0,0,0,0,0,0,0,5,0,0,0,1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
040019449024,4,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
040019450011,1456,166,908,278,56,3,1,0,0,44,0,788,78,5,19,259,307,788,78,5,2,9,3,252,1,2,4,2,0,0,0,0,1,0,0,0,0,2,0,0,0,307
040019450012,330,51,200,52,21,1,0,0,0,5,0,186,15,4,6,56,63,186,15,4,0,5,0,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
040019450013,109,19,67,17,3,0,0,0,0,3,0,67,2,0,1,22,17,67,2,0,1,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
040019450014,500,66,314,74,26,1,0,0,0,19,0,327,14,1,9,67,82,327,14,1,0,6,0,65,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82
040019450021,570,48,410,82,18,2,1,0,0,9,0,335,16,8,16,113,82,335,16,8,0,8,1,113,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
040019450022,1693,183,1150,244,70,1,1,0,0,44,0,908,65,3,28,346,343,908,65,3,2,17,2,339,0,1,6,3,0,1,0,0,1,0,0,2,0,0,0,0,0,343
040019450023,1541,173,1065,197,53,8,0,0,0,45,0,908,61,1,18,223,330,908,61,1,0,15,0,221,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,330
040019451001,924,171,517,171,39,6,1,0,0,19,0,529,41,1,14,125,214,529,39,1,1,7,0,122,0,0,3,4,2,0,0,0,0,0,0,1,0,0,0,0,0,214
040019451002,661,104,412,94,25,3,0,0,0,23,0,343,22,6,16,99,175,343,21,6,2,8,1,94,0,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,175
040019702011,456,230,99,80,31,0,0,0,0,16,0,356,38,1,1,8,52,356,36,1,1,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,52
040019702012,467,242,105,67,42,3,0,0,0,8,0,367,45,0,5,5,45,367,45,0,2,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45
040019702021,201,70,85,28,13,0,0,0,0,5,0,157,11,0,2,15,16,157,11,0,0,2,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16
040019702022,1042,549,171,185,90,13,2,0,0,32,0,828,101,1,6,8,98,828,101,1,1,1,2,3,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,98
040019702023,184,81,50,26,15,2,0,0,0,10,0,144,20,0,0,2,18,144,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
040019703001,330,180,62,50,25,5,0,0,0,8,0,246,46,1,1,4,32,246,44,1,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,32
040019703002,429,176,140,45,46,4,0,0,0,18,0,313,80,0,1,4,31,313,80,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,31
040019703003,496,224,118,82,47,5,2,0,0,18,0,357,99,0,1,8,31,357,99,0,2,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31
040019705011,1006,570,141,159,88,11,0,0,0,37,0,796,119,1,6,7,77,796,119,1,1,2,1,4,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77
040019705012,414,227,44,74,48,0,0,0,0,21,0,324,68,0,1,2,19,324,68,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
040019705013,800,414,151,140,63,6,0,0,0,26,0,574,140,0,3,11,72,574,137,0,1,0,3,6,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,72
040019705014,655,369,115,115,40,2,0,0,0,14,0,513,81,2,4,7,48,513,81,2,1,1,0,4,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48
040019705021,564,314,104,72,57,5,1,0,0,11,0,459,51,1,5,6,42,459,51,1,1,1,1,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,42
040019705022,643,379,120,67,50,5,1,0,0,21,0,511,62,0,5,7,58,511,59,0,0,3,1,2,0,1,1,0,3,2,0,0,0,0,0,1,0,0,0,0,0,58
040019705023,696,323,173,134,39,7,1,0,0,19,0,513,57,4,5,14,103,513,57,4,3,0,2,9,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,103
040119601001,966,289,391,184,62,5,0,0,0,35,0,486,399,4,1,9,67,486,398,4,0,0,0,1,0,3,1,0,1,0,0,0,0,4,0,0,1,0,0,0,0,67
040119601002,669,144,369,105,36,4,1,0,0,10,0,250,373,1,1,5,39,250,372,1,2,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,39
040119602001,345,143,96,76,13,7,0,0,0,10,0,175,142,1,2,5,20,175,142,1,0,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20
040119602002,577,227,148,146,32,8,0,0,0,16,0,283,253,2,8,8,23,283,251,2,2,4,1,4,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23
040119602003,500,184,137,125,28,12,1,0,0,13,0,277,187,2,1,4,29,277,187,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,29
040119603001,823,327,283,114,85,2,0,0,0,12,0,582,196,0,3,5,37,582,193,0,1,2,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37
040119603002,474,253,106,57,44,7,0,0,0,7,0,370,70,0,1,7,26,370,69,0,3,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,26
040119603003,323,122,107,55,29,0,0,0,0,10,0,197,100,0,2,0,24,197,99,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24
040250002051,1082,663,121,77,66,8,2,0,0,145,0,899,70,0,8,7,98,899,68,0,0,3,0,0,0,3,1,2,2,0,2,0,1,0,0,0,0,0,1,0,2,98
040250002061,1149,698,125,92,79,5,2,0,0,148,0,891,105,0,12,14,127,891,104,0,0,4,0,1,4,4,2,2,1,0,2,2,0,1,0,0,0,2,1,0,0,127
040250002062,455,281,43,33,25,8,0,0,0,65,0,369,32,0,3,6,45,369,32,0,0,2,1,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,45
040250002063,1373,840,153,113,78,13,0,0,0,176,0,1167,85,0,4,8,109,1167,85,0,3,0,0,1,1,1,1,2,0,0,0,0,0,1,1,0,1,0,0,0,0,109
040250002064,715,454,106,39,50,4,0,0,0,62,0,610,26,0,13,10,56,610,26,0,3,8,1,0,0,2,0,4,0,0,2,0,2,1,0,0,0,0,0,0,0,56
040250002071,1212,718,142,101,75,4,2,0,0,170,0,1005,90,2,1,9,105,1005,89,2,1,0,1,0,0,3,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,105
040250002081,524,259,90,62,30,3,0,0,0,80,0,392,84,2,2,2,42,392,84,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,42
040250002082,329,151,55,35,15,7,2,0,0,64,0,245,48,0,3,3,30,245,48,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30
040250002091,919,486,134,75,48,11,0,0,0,165,0,707,115,1,5,14,77,707,111,1,1,1,2,0,2,8,0,0,4,0,1,0,0,1,0,1,0,1,1,0,0,77
040250002092,833,493,121,54,51,8,0,0,0,106,0,707,39,0,5,7,75,707,39,0,0,2,0,0,2,1,0,1,0,0,1,2,0,0,1,0,0,2,0,0,0,75
040250002093,634,288,136,83,42,4,2,0,0,79,0,470,84,0,9,8,63,470,84,0,1,2,2,5,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,63
040250002094,1240,703,213,89,70,12,0,0,0,153,0,1016,96,1,7,12,108,1016,95,1,2,1,0,4,0,0,2,0,1,1,0,0,1,0,0,0,0,4,0,0,0,108
040250002095,727,393,129,59,45,8,1,0,0,92,0,579,57,1,6,7,77,579,57,1,0,3,0,0,0,5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,77
040250002101,1086,615,141,86,74,12,4,0,0,154,0,851,93,2,6,14,120,851,90,2,2,1,4,0,0,5,1,0,3,2,1,0,4,0,0,0,0,0,0,0,0,120
040250002111,951,445,176,122,44,9,1,0,0,154,0,678,196,0,6,6,65,678,195,0,1,3,0,1,0,1,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,65
040250002112,1607,988,174,122,89,22,4,0,0,208,0,1304,126,1,17,25,134,1304,124,1,2,6,0,0,1,9,1,6,2,2,0,1,0,5,0,1,0,3,2,0,0,134
040250002113,1392,812,160,117,100,7,1,0,0,195,0,1126,107,2,5,13,139,1126,107,2,2,0,2,0,1,2,1,1,0,0,2,0,2,2,0,1,0,2,0,0,0,139
040250003011,1016,575,176,49,73,8,0,0,0,135,0,804,53,0,15,14,130,804,52,0,8,9,2,0,0,1,1,3,1,0,0,4,1,0,0,0,0,0,0,0,0,130
040250003012,1210,682,190,65,119,3,0,0,0,151,0,978,57,1,23,18,133,978,55,1,8,8,7,0,5,3,0,3,2,0,1,1,0,3,1,0,0,0,0,0,0,133
