BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_rin,party_lib,party_grn,party_wfp,party_ind,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_23,eth2_10,eth2_34,eth2_66,eth2_21,eth2_14,eth2_55,eth2_35,eth2_12,eth2_61,eth2_85,eth2_29,eth2_33,eth2_32,eth2_57,eth2_38,eth2_59,eth2_unk
090075411001,761,289,382,72,14,3,1,0,0,0,0,477,112,91,9,18,54,477,109,91,8,4,2,5,3,0,1,2,0,2,1,0,2,0,0,0,0,0,54
090075411002,646,278,298,58,9,2,1,0,0,0,0,364,99,111,16,8,48,364,98,110,7,7,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,48
090075412001,735,352,312,63,8,0,0,0,0,0,0,399,125,111,9,32,59,399,123,111,15,2,6,6,2,0,1,0,1,0,2,1,1,3,0,1,0,0,59
090075412002,1631,649,676,277,19,8,2,0,0,0,0,1226,120,50,44,41,150,1226,112,50,10,8,19,18,8,5,2,4,4,1,0,1,2,0,0,1,0,1,150
090075412003,1056,438,449,151,18,0,0,0,0,0,0,645,95,56,92,49,119,645,94,56,28,62,15,6,1,5,3,3,0,1,0,5,6,0,0,0,0,0,119
090075413011,262,104,113,40,5,0,0,0,0,0,0,188,26,13,3,8,24,188,26,13,3,1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,24
090075413012,849,369,330,125,23,1,1,0,0,0,0,602,90,17,21,17,102,602,89,17,5,10,8,2,1,0,1,2,1,1,1,2,2,0,1,0,1,0,102
090075413021,707,287,292,108,14,5,1,0,0,0,0,454,77,63,9,30,74,454,76,62,12,4,4,5,1,1,0,4,1,0,3,0,3,1,0,1,0,0,74
090075413022,888,345,403,117,17,4,2,0,0,0,0,583,89,82,14,21,99,583,88,82,8,8,4,5,1,0,0,3,1,2,0,1,0,1,0,0,2,0,99
090075413023,818,330,360,112,16,0,0,0,0,0,0,493,69,156,9,18,73,493,66,156,15,2,6,1,3,0,1,0,0,0,0,2,0,0,0,0,0,0,73
090075414011,1107,449,371,266,18,3,0,0,0,0,0,870,50,31,39,28,89,870,47,29,14,19,14,1,3,2,0,1,5,2,2,1,2,0,0,0,0,1,89
090075414012,557,206,215,129,7,0,0,0,0,0,0,414,46,19,13,10,55,414,45,19,6,0,2,2,1,2,0,0,0,0,0,1,0,0,0,1,0,0,55
090075414013,783,306,308,157,11,1,0,0,0,0,0,573,79,13,37,19,62,573,78,13,6,21,7,5,1,0,4,2,1,2,0,2,0,1,1,0,1,0,62
090075414021,1399,583,543,251,20,2,0,0,0,0,0,1069,66,17,50,41,156,1069,63,17,15,24,15,14,3,0,4,0,0,5,1,4,0,2,2,3,0,0,156
090075414022,956,439,398,96,21,2,0,0,0,0,0,614,132,56,19,36,99,614,130,55,18,7,4,4,2,3,1,1,0,1,1,0,3,4,1,1,0,2,99
090075414023,1003,369,434,173,24,2,0,1,0,0,0,682,87,76,17,33,108,682,85,75,18,7,5,9,2,0,2,1,2,2,0,1,1,1,0,0,0,0,108
090075414024,875,331,440,90,11,3,0,0,0,0,0,553,92,91,24,28,87,553,92,91,11,4,10,11,0,1,6,1,0,1,1,2,1,1,0,0,0,0,87
090075415001,1022,276,674,57,6,2,5,2,0,0,0,625,96,62,67,44,128,625,94,61,24,16,29,4,2,4,9,4,2,4,1,3,3,1,0,0,0,0,128
090075415002,762,190,540,21,9,2,0,0,0,0,0,500,51,28,55,25,103,500,51,28,6,8,21,9,0,6,12,2,3,5,0,0,1,1,3,0,0,0,103
090075416001,415,163,210,36,5,0,1,0,0,0,0,242,48,45,24,19,37,242,46,44,10,9,9,4,2,1,2,1,0,1,1,1,0,0,2,0,0,0,37
090075416002,347,173,141,22,10,1,0,0,0,0,0,163,58,100,4,7,15,163,58,100,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15
090075417001,815,312,377,109,13,4,0,0,0,0,0,483,90,165,9,12,56,483,89,165,3,2,4,6,1,0,1,0,0,0,0,0,0,2,0,0,0,1,56
090075417002,1165,408,611,123,20,3,0,0,0,0,0,722,127,135,34,35,112,722,126,133,15,9,18,8,1,0,2,3,3,2,1,0,3,0,0,0,1,0,112
090075420001,762,294,352,103,13,0,0,0,0,0,0,503,81,108,11,14,45,503,80,108,9,4,2,3,1,0,2,0,0,1,0,1,0,0,0,0,0,0,45
