GEOID20,total_reg,party_npp,party_rep,party_dem,party_lib,party_grn,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
05089960100,2130,646,1094,390,0,0,0,0,0,1942,29,2,8,8,141
05089960201,1866,669,860,337,0,0,0,0,0,1655,35,17,17,9,133
05089960202,2197,784,1084,329,0,0,0,0,0,1983,25,8,7,10,164
05089960301,981,389,425,167,0,0,0,0,0,875,14,3,4,3,82
05089960302,1888,669,855,364,0,0,0,0,0,1659,33,2,13,11,170
05009790100,4453,1762,2076,611,2,2,0,0,0,4048,69,9,31,21,275
05009790200,3611,1586,1519,504,1,1,0,0,0,3259,68,16,10,11,247
05009790300,3289,1368,1455,466,0,0,0,0,0,3034,37,11,13,10,184
05009790400,4037,1553,1834,650,0,0,0,0,0,3725,58,7,16,11,220
05009790501,2474,1072,974,427,1,0,0,0,0,2228,48,7,19,14,158
05009790502,2503,1193,938,371,0,0,1,0,0,2238,59,15,11,11,169
05009790600,2843,1206,1147,489,0,1,0,0,0,2573,48,7,16,17,182
05091020100,1723,776,542,404,0,1,0,0,0,1088,53,446,22,7,107
05091020200,1374,650,337,383,4,0,0,0,0,856,38,400,7,2,71
05091020400,877,439,244,194,0,0,0,0,0,562,28,252,4,5,26
05091020500,1072,522,256,294,0,0,0,0,0,536,40,443,7,4,42
05091020600,1041,486,203,352,0,0,0,0,0,159,9,843,2,2,26
05091020701,1911,676,688,545,0,2,0,0,0,1305,32,459,11,13,91
05091020702,2118,893,660,565,0,0,0,0,0,1186,37,790,17,11,77
05091020801,1866,648,841,377,0,0,0,0,0,1473,28,218,20,26,101
05091020802,1509,482,818,208,0,1,0,0,0,1370,25,14,5,11,84
05091020901,1227,350,609,268,0,0,0,0,0,937,26,195,9,3,57
05091020902,2973,931,1641,400,1,0,0,0,0,2681,46,59,20,11,156
05091021001,1633,522,867,242,2,0,0,0,0,1231,19,292,6,9,76
05091021002,3001,966,1666,369,0,0,0,0,0,2721,49,15,16,10,190
05091980000,31,7,19,5,0,0,0,0,0,30,1,0,0,0,0
05005950100,2769,1031,1234,501,1,2,0,0,0,2443,73,6,17,26,204
05005950200,3259,1201,1469,587,2,0,0,0,0,2872,75,9,23,22,258
05005950300,2908,1115,1363,430,0,0,0,0,0,2559,49,7,18,21,254
05005950400,1928,642,962,323,0,1,0,0,0,1701,34,6,13,15,159
05005950500,3255,1142,1539,573,1,0,0,0,0,2926,44,11,13,20,241
05005950600,2628,880,1282,465,1,0,0,0,0,2349,38,9,8,29,195
05005950700,2183,755,1065,362,1,0,0,0,0,1935,29,4,5,15,195
05005950801,2914,1041,1440,431,0,2,0,0,0,2546,51,6,11,33,267
05005950802,1138,439,557,140,0,2,0,0,0,1027,15,0,10,1,85
05005950900,3099,1192,1440,464,0,3,0,0,0,2746,42,7,19,23,262
05101180100,3732,2793,506,433,0,0,0,0,0,3349,35,10,11,13,314
05101180200,1024,789,137,98,0,0,0,0,0,921,12,3,5,4,79
05033020101,1647,657,688,302,0,0,0,0,0,1451,29,7,10,20,130
05033020102,1566,628,679,259,0,0,0,0,0,1451,19,1,4,4,87
05033020204,3154,1143,1458,553,0,0,0,0,0,2740,136,7,34,16,221
05033020205,1918,686,927,304,1,0,0,0,0,1716,34,7,17,7,137
05033020206,1255,463,601,191,0,0,0,0,0,1159,15,4,2,14,61
05033020207,2263,978,945,340,0,0,0,0,0,1946,96,13,29,20,159
05033020208,2061,993,723,344,1,0,0,0,0,1691,141,5,49,17,158
05033020301,2540,1021,1021,498,0,0,0,0,0,2148,134,15,47,17,179
05033020302,2242,869,898,474,1,0,0,0,0,1978,82,9,24,20,129
05033020401,2485,995,1098,392,0,0,0,0,0,2159,126,10,18,10,162
05033020402,2542,983,1100,459,0,0,0,0,0,2270,61,15,8,17,171
05033020501,1487,846,402,239,0,0,0,0,0,1035,273,16,45,11,107
05033020502,1841,919,573,349,0,0,0,0,0,1527,134,35,16,15,114
05033020601,1648,576,812,260,0,0,0,0,0,1490,23,11,6,16,102
05033020602,3790,1573,1554,662,0,1,0,0,0,3386,94,19,24,21,246
05135470100,1105,441,430,234,0,0,0,0,0,994,12,6,2,3,88
05135470201,1545,591,560,394,0,0,0,0,0,1382,20,6,5,9,123
05135470202,1839,688,707,444,0,0,0,0,0,1649,29,2,10,13,136
05135470300,2599,863,1016,719,1,0,0,0,0,2348,38,12,12,12,177
05135470401,1432,554,553,325,0,0,0,0,0,1297,12,19,2,1,101
05135470402,1781,610,758,413,0,0,0,0,0,1635,16,11,5,7,107
05003960100,879,302,246,331,0,0,0,0,0,619,27,198,0,1,34
05003960200,1360,385,616,359,0,0,0,0,0,1196,32,70,6,6,50
05003960300,2342,709,905,728,0,0,0,0,0,1771,106,349,6,6,104
05003960400,793,249,269,275,0,0,0,0,0,552,14,194,7,2,24
05003960500,1021,399,339,283,0,0,0,0,0,856,9,89,7,2,58
05003960600,2844,1033,837,974,0,0,0,0,0,1894,37,758,16,17,122
05003960700,872,298,272,302,0,0,0,0,0,564,7,262,7,5,27
05079960300,1020,569,122,329,0,0,0,0,0,814,31,102,5,4,64
05079960400,1623,846,212,565,0,0,0,0,0,1372,16,126,8,4,97
05079960500,1335,709,178,447,1,0,0,0,0,1072,25,144,7,3,84
05079960600,754,414,32,307,1,0,0,0,0,336,11,367,2,1,37
05027950100,2260,810,889,561,0,0,0,0,0,1631,39,473,5,15,97
05027950200,2424,1057,734,631,2,0,0,0,0,1453,27,838,15,11,80
05027950301,812,250,326,236,0,0,0,0,0,651,6,101,1,3,50
05027950302,1710,618,707,383,1,1,0,0,0,1257,24,339,2,9,79
05027950401,1948,738,812,398,0,0,0,0,0,1590,24,201,15,16,102
05027950402,1064,601,215,248,0,0,0,0,0,580,22,411,11,11,29
05027950500,2057,1247,243,566,1,0,0,0,0,748,36,1174,15,12,72
05147490100,2276,723,376,1177,0,0,0,0,0,1742,14,412,9,7,92
05147490200,1609,544,169,895,1,0,0,0,0,948,18,586,9,3,45
05069000102,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0
05069000301,1832,665,553,612,2,0,0,0,0,1580,19,138,6,5,84
05069000302,3255,1274,998,982,1,0,0,0,0,2767,54,149,57,44,184
05069000303,1557,697,280,580,0,0,0,0,0,967,33,458,6,18,75
05069000502,1290,706,20,564,0,0,0,0,0,396,13,773,2,11,95
05069000900,1515,537,34,944,0,0,0,0,0,127,11,1351,7,3,16
05069001000,597,237,17,343,0,0,0,0,0,117,10,451,1,3,15
05069001200,810,331,30,449,0,0,0,0,0,95,7,688,3,3,14
05069001300,720,285,7,428,0,0,0,0,0,47,5,658,4,0,6
05069001401,640,311,30,299,0,0,0,0,0,99,3,519,8,4,7
05069001402,1126,416,20,689,0,1,0,0,0,90,11,1002,9,3,11
05069001501,1698,601,37,1060,0,0,0,0,0,199,16,1432,12,12,27
05069001502,1620,550,36,1034,0,0,0,0,0,250,14,1302,16,8,30
05069001600,1199,502,23,674,0,0,0,0,0,97,8,1063,4,5,22
05069001700,1123,455,12,655,1,0,0,0,0,142,11,945,6,5,14
05069001800,1676,454,71,1151,0,0,0,0,0,653,18,928,8,11,58
05069001901,655,219,98,338,0,0,0,0,0,305,8,317,2,3,20
05069001903,997,368,16,613,0,0,0,0,0,147,5,795,10,4,36
05069002000,3549,943,464,2142,0,0,0,0,0,1753,48,1584,29,22,113
05069002103,1698,532,332,834,0,0,0,0,0,1142,13,458,7,6,72
05069002104,2256,668,589,999,0,0,0,0,0,1951,28,160,15,15,87
05069002300,1358,455,157,746,0,0,0,0,0,633,19,613,2,9,82
05069002400,2149,998,691,459,1,0,0,0,0,1869,45,83,11,19,122
05069002500,566,173,68,325,0,0,0,0,0,258,6,276,4,1,21
05011950100,1167,383,441,343,0,0,0,0,0,820,48,248,5,4,42
05011950200,919,356,320,243,0,0,0,0,0,598,45,232,7,2,35
05011950300,946,343,310,293,0,0,0,0,0,512,48,357,4,1,24
05011950400,658,273,162,223,0,0,0,0,0,401,52,185,3,5,12
05011950500,1230,435,505,290,0,0,0,0,0,897,51,222,2,8,50
05073470101,1012,397,274,341,0,0,0,0,0,532,18,422,7,0,33
05073470102,1451,496,427,528,0,0,0,0,0,938,22,400,3,17,71
05073470200,1488,610,414,462,0,2,0,0,0,1129,10,267,7,9,66
05127950100,1684,495,807,379,3,0,0,0,0,1540,19,2,18,12,93
05127950200,1783,523,764,495,1,0,0,0,0,1576,87,7,18,14,81
05127950300,812,208,424,180,0,0,0,0,0,734,17,0,7,2,52
05141460100,1944,679,836,426,2,1,0,0,0,1780,25,4,7,11,117
05141460200,2154,766,893,493,2,0,0,0,0,1970,45,14,8,6,111
05141460301,1088,331,516,237,4,0,0,0,0,983,12,4,3,12,74
05141460303,1171,411,527,233,0,0,0,0,0,1042,15,3,7,5,99
05141460304,1356,442,563,350,1,0,0,0,0,1229,28,1,14,2,82
05141460400,2210,779,989,442,0,0,0,0,0,2036,33,12,3,9,117
05037950100,621,319,77,225,0,0,0,0,0,250,8,346,1,2,14
05037950200,1758,734,650,373,1,0,0,0,0,1555,16,101,1,4,81
05037950300,745,268,294,183,0,0,0,0,0,678,5,8,0,1,53
05037950400,1347,534,507,306,0,0,0,0,0,1224,13,41,5,1,63
05037950500,2183,1129,412,641,1,0,0,0,0,1208,33,813,15,10,104
05037950600,2505,904,1001,600,0,0,0,0,0,2242,20,99,20,3,121
05087960100,2422,814,878,730,0,0,0,0,0,2164,59,4,18,9,168
05087960200,2070,746,648,676,0,0,0,0,0,1814,90,13,18,13,122
05087960300,2762,901,990,869,1,1,0,0,0,2513,61,12,25,9,142
05087960400,2130,625,683,821,1,0,0,0,0,1955,36,10,5,10,114
05063490101,1686,599,686,401,0,0,0,0,0,1537,35,9,4,10,91
05063490102,1962,779,809,373,0,1,0,0,0,1790,35,11,5,4,117
05063490200,1386,554,484,348,0,0,0,0,0,1206,46,25,16,5,88
05063490300,3110,1141,1175,791,3,0,0,0,0,2749,124,28,34,15,160
05063490400,2403,897,949,555,2,0,0,0,0,2197,30,17,11,9,139
05063490500,2227,729,967,531,0,0,0,0,0,1993,59,16,29,10,120
05063490600,1066,512,319,232,1,2,0,0,0,890,66,41,12,4,53
05063490701,2069,766,861,442,0,0,0,0,0,1908,30,10,9,1,111
05063490702,1891,782,730,379,0,0,0,0,0,1707,58,8,17,2,99
05063490800,2750,1065,1121,563,1,0,0,0,0,2557,48,12,12,8,113
05051010301,2109,1049,637,423,0,0,0,0,0,1781,83,84,7,8,146
05051010302,1171,495,454,222,0,0,0,0,0,1020,32,15,3,4,97
05051010401,2883,1088,1318,477,0,0,0,0,0,2539,59,9,12,22,242
05051010402,2021,914,758,349,0,0,0,0,0,1783,52,9,20,12,145
05051010501,2606,1053,993,557,1,2,0,0,0,2301,60,31,20,17,177
05051010502,1177,545,412,219,1,0,0,0,0,1057,38,3,1,6,72
05051010601,903,426,314,163,0,0,0,0,0,806,23,10,7,3,54
05051010602,1008,590,101,317,0,0,0,0,0,388,53,503,11,5,48
05051010700,883,456,142,284,1,0,0,0,0,665,27,90,13,14,74
05051010800,1262,569,268,425,0,0,0,0,0,947,36,160,14,18,87
05051010900,1890,897,502,491,0,0,0,0,0,1469,76,167,18,16,144
05051011001,1824,923,517,384,0,0,0,0,0,1547,73,21,11,10,162
05051011002,761,445,174,141,1,0,0,0,0,626,55,24,1,3,52
05051011101,2931,1278,1156,496,1,0,0,0,0,2588,75,14,15,17,222
05051011102,2629,1020,1092,516,1,0,0,0,0,2327,56,10,12,22,202
05051011201,3206,1347,1220,636,3,0,0,0,0,2742,86,34,23,23,298
05051011202,2315,963,852,500,0,0,0,0,0,2012,48,17,17,28,193
05051011300,2942,1375,757,810,0,0,0,0,0,2371,128,164,28,26,225
05051011400,1422,836,222,363,1,0,0,0,0,961,101,253,13,11,83
05051011500,995,557,105,333,0,0,0,0,0,513,34,371,17,8,52
05051011601,4062,1530,1498,1033,0,1,0,0,0,3412,119,165,56,36,274
05051011602,3262,1171,1246,845,0,0,0,0,0,2830,116,50,31,28,207
05051011701,2153,890,704,559,0,0,0,0,0,1795,58,61,32,26,181
05051011702,562,313,88,161,0,0,0,0,0,412,30,80,4,2,34
05051011801,1349,468,437,444,0,0,0,0,0,1111,43,58,24,12,101
05051011802,1571,558,590,420,3,0,0,0,0,1334,33,32,21,22,129
05051011901,2181,879,861,440,0,1,0,0,0,1914,36,20,31,11,169
05051011902,1794,574,806,414,0,0,0,0,0,1597,22,11,16,8,140
05051012001,3458,1388,1382,688,0,0,0,0,0,3079,74,23,25,16,241
05051012002,3063,1169,1261,633,0,0,0,0,0,2700,71,6,15,28,243
05107480100,1399,465,91,843,0,0,0,0,0,591,12,724,10,11,51
05107480201,1177,355,153,669,0,0,0,0,0,790,12,317,4,3,51
05107480202,1309,452,117,740,0,0,0,0,0,735,15,490,9,1,59
05107480300,2130,866,98,1166,0,0,0,0,0,602,23,1417,7,7,74
05107480400,721,253,33,435,0,0,0,0,0,195,9,494,2,4,17
05107480500,1092,411,31,650,0,0,0,0,0,269,6,770,6,3,38
05107480600,829,209,70,550,0,0,0,0,0,381,12,390,2,0,44
05067480100,1664,523,493,648,0,0,0,0,0,1505,16,72,4,0,67
