GEOID20,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
08095967600,1792,555,267,952,14,0,1,0,1328,235,1,9,6,213
08095967700,1036,345,92,588,5,0,0,0,890,41,0,8,3,94
08085966100,1468,513,138,790,12,2,2,0,1299,38,2,7,20,102
08085966201,1922,680,217,1001,13,1,4,0,1589,144,0,11,8,170
08085966202,2338,924,298,1072,21,2,5,0,1716,409,4,9,7,193
08085966301,1502,662,332,474,14,3,7,0,1162,187,2,16,8,127
08085966302,1986,914,415,606,24,9,7,0,1394,424,0,8,13,147
08085966401,829,290,174,346,13,0,4,0,679,73,1,5,15,56
08085966402,3324,1308,644,1319,32,2,2,0,2630,363,2,25,31,273
08085966501,2484,895,365,1187,23,3,2,0,2040,131,4,32,28,249
08085966502,3155,1223,534,1351,25,3,4,0,2521,271,7,26,30,300
08085966503,2406,925,383,1053,25,3,7,0,1899,280,0,13,14,200
08085966601,3175,1318,532,1277,21,5,3,0,2357,465,3,23,30,297
08085966602,3804,1305,487,1981,18,5,3,0,3165,193,0,31,58,357
08005004951,577,274,225,61,12,2,0,0,398,74,17,17,4,67
08005004952,1401,605,568,176,32,11,7,0,915,201,47,29,38,171
08005005551,1632,727,625,229,21,7,8,0,828,548,33,52,42,129
08005005552,1501,644,525,296,19,5,2,0,875,404,8,32,31,151
08005005553,2332,1036,754,492,29,6,6,0,1492,518,6,77,32,207
08005005611,3845,1581,1111,1102,32,10,4,0,3027,238,6,81,70,423
08005005612,2489,1041,614,794,28,8,0,0,1922,173,4,29,48,313
08005005614,2567,1115,725,685,27,4,5,0,1997,139,2,70,47,312
08005005619,3492,1483,949,1000,35,7,5,0,2717,332,14,68,54,307
08005005620,1843,795,577,432,28,5,3,0,1417,167,1,24,32,202
08005005621,2401,943,558,879,12,5,1,0,1927,139,1,50,45,239
08005005622,2572,1080,517,934,31,4,3,0,2030,140,8,47,56,291
08005005623,3298,1321,915,1017,30,3,4,0,2660,167,5,65,38,363
08005005624,1739,707,517,489,20,3,0,0,1400,84,5,33,29,188
08005005625,2641,1145,697,743,34,5,3,0,2086,184,8,65,52,246
08005005626,2680,1135,725,770,37,8,0,0,2135,178,0,59,38,270
08005005627,3896,1667,1124,1058,33,7,2,0,3175,208,5,56,65,387
08005005628,4057,1683,1087,1228,43,9,1,0,3216,268,7,99,53,414
08005005629,1836,763,398,666,8,0,0,0,1496,45,6,52,36,201
08005005630,4048,1661,1094,1249,31,5,4,0,3300,209,5,68,74,392
08005005631,2463,938,714,769,27,6,1,0,1891,142,7,57,46,320
08005005632,2530,1054,671,766,32,3,2,0,1972,166,12,76,39,265
08005005633,2431,1012,660,731,25,2,1,0,1980,112,3,62,32,242
08005005634,2488,995,722,739,24,4,1,0,2023,95,2,25,53,290
08005005635,3679,1439,1036,1168,28,5,0,0,2952,154,8,85,71,409
08005005636,1612,595,311,688,15,2,1,0,1201,45,0,67,33,266
08005005701,1225,526,477,190,25,0,1,0,881,153,10,26,20,135
08005005702,1364,645,500,176,30,5,3,0,912,236,7,26,21,162
08005005800,2040,816,870,328,18,3,2,0,1612,145,1,28,16,238
08005005951,2929,1268,1104,489,43,9,8,0,2177,291,18,46,51,346
08005005952,2390,1030,851,457,40,6,1,0,1828,189,15,45,56,257
08005006000,2039,921,721,355,25,5,6,0,1554,207,11,20,25,222
08005006100,2100,959,778,302,39,7,3,0,1559,232,16,34,22,237
08005006200,2268,1092,727,398,28,11,4,0,1730,202,8,32,26,270
08005006300,1976,903,614,417,22,9,4,0,1588,168,2,22,25,171
08005006400,1922,833,662,371,29,8,5,0,1438,230,5,28,22,199
08005006501,1160,541,341,246,20,6,2,0,873,90,4,15,23,155
08005006502,2456,1090,728,586,36,6,5,0,1915,181,8,33,33,286
08005006601,2802,1314,907,487,49,16,15,0,1985,390,20,42,54,311
08005006603,2447,992,745,666,34,0,3,0,1938,155,5,40,37,272
08005006604,2466,984,806,624,29,4,8,0,1852,247,10,35,35,287
08005006704,3509,1445,854,1180,25,3,1,0,2657,85,10,131,104,522
08005006705,1445,575,283,575,10,1,1,0,1161,34,7,35,34,174
08005006706,3545,1408,1040,1064,24,6,2,0,2848,145,7,55,63,427
08005006707,3430,1457,994,922,39,6,4,0,2551,196,11,113,118,441
08005006708,3837,1617,1074,1098,32,9,4,0,3066,162,12,88,77,432
08005006709,4255,1784,1323,1111,26,4,2,0,3313,195,17,169,91,470
08005006711,3196,1363,939,859,22,4,5,0,2466,164,3,132,91,340
08005006712,1194,498,287,398,7,2,0,0,875,19,3,60,45,192
08005006713,717,361,237,103,11,3,1,0,492,70,5,28,26,96
08005006808,4203,1716,1293,1151,31,2,5,0,2960,133,9,320,130,651
08005006815,2635,1125,915,557,28,4,2,0,1786,226,15,146,79,383
08005006854,1755,766,554,408,19,4,2,0,1168,140,63,93,92,199
08005006857,1812,736,541,520,12,3,0,0,1208,66,4,133,98,303
08005006859,2020,978,590,404,34,4,4,0,1395,151,25,83,78,288
08005006860,1109,499,333,248,17,4,4,0,777,85,11,67,35,134
08005006861,2912,1282,968,634,20,3,1,0,1775,130,6,423,151,427
08005006862,1214,502,291,409,9,1,0,0,783,66,2,157,44,162
08005006863,3456,1660,1019,699,41,9,12,0,2268,398,86,159,141,404
08005006864,1766,792,475,451,37,3,1,0,1231,146,14,59,46,270
08005007101,4492,1803,612,1984,51,3,5,0,3476,447,11,44,48,466
08005007103,1262,500,193,548,14,2,2,0,956,164,1,11,17,113
08005007106,3978,1741,1106,1066,35,7,10,0,2599,442,127,177,151,482
08005007108,1465,623,442,372,15,2,6,0,895,247,74,46,32,171
08005007109,1513,615,503,374,13,1,2,0,916,222,142,89,22,122
08005007110,4594,1891,1508,1119,43,8,6,0,2860,778,155,137,102,562
08005007111,1274,586,418,244,17,2,3,0,732,348,8,32,14,140
08005007112,4271,1956,1235,1005,52,5,4,0,2861,441,115,225,179,450
08005007113,5435,2418,1328,1634,38,5,3,0,3715,464,85,333,202,636
08005007201,1497,648,660,154,15,5,8,0,734,430,170,32,46,85
08005007202,1540,690,677,142,13,4,5,0,730,513,135,21,39,102
08005007301,1123,447,518,127,16,3,6,0,515,283,157,41,26,101
08005007302,1736,736,789,166,10,6,17,0,793,518,202,53,41,129
08005007400,2333,955,1037,279,28,7,15,0,1077,906,105,49,44,152
08005007500,1195,491,550,130,10,4,7,0,574,393,92,26,14,96
08005007600,1600,663,685,206,21,4,12,0,694,544,167,44,35,116
08005007702,2236,892,931,356,23,8,15,0,1099,540,281,73,49,194
08005007703,2371,902,1081,353,15,3,6,0,1145,510,418,66,53,179
08005007704,2069,860,967,199,18,2,13,0,809,322,665,38,77,158
08005015100,2039,786,866,359,22,1,2,0,1572,105,13,68,36,245
08005080000,1866,784,766,271,23,4,11,0,919,368,262,63,76,178
08005080100,2279,910,974,345,24,5,6,0,1085,392,373,91,123,215
08005080200,3546,1458,1397,631,37,7,8,0,1953,422,346,172,287,366
08005080300,4038,1599,1643,741,32,5,8,0,2195,414,419,223,334,453
08005080400,4045,1672,1656,630,51,14,8,0,2529,392,273,186,201,464
08005080500,2356,910,946,457,20,7,6,0,1536,192,148,102,104,274
08005080600,2212,902,942,320,29,7,7,0,1281,256,275,66,95,239
08005080700,2980,1178,1286,455,33,7,13,0,1450,537,422,133,159,279
08005080800,1404,585,570,202,25,7,8,0,698,333,138,50,62,123
08005080900,2401,998,943,426,17,6,5,0,1245,642,195,60,66,193
08005081001,1032,414,497,93,16,2,6,0,406,163,330,17,34,82
08005081002,1346,517,609,184,20,5,5,0,627,271,259,37,34,118
08005081101,1550,603,760,150,15,6,7,0,545,257,486,61,63,138
08005081102,1112,432,501,153,8,4,8,0,516,177,268,31,30,90
08005081200,2516,1014,1162,276,41,8,9,0,1106,423,639,69,87,192
08005081300,1750,708,752,245,24,3,9,0,829,390,264,64,63,140
08005081400,3134,1285,1143,636,45,9,11,0,1883,478,255,106,92,320
08005081500,2960,975,1014,950,9,4,3,0,2411,133,18,54,32,312
08005081600,3232,1371,1047,739,43,7,9,0,2148,483,102,91,91,317
08005081700,2153,907,635,577,24,4,4,0,1486,126,32,215,90,204
08005081800,2032,899,846,234,10,10,19,0,768,752,256,96,33,127
08005081900,3216,1312,1336,481,34,9,18,0,1463,855,479,112,79,228
08005082000,1819,779,811,169,28,10,13,0,796,341,411,64,47,160
08005082100,3161,1299,1357,438,35,7,18,0,1492,713,490,75,86,305
08005082200,3508,1512,1398,528,31,11,12,0,1721,724,557,111,116,279
08005082300,2048,924,794,273,33,6,5,0,1101,390,255,55,56,191
08005082400,2435,1078,866,446,27,2,5,0,1449,438,193,77,61,217
08005082500,1572,644,518,377,24,3,3,0,980,265,71,47,47,162
08005082600,3029,1294,1268,389,45,9,11,0,1398,577,683,73,79,219
08005082700,2330,977,923,383,22,7,12,0,1184,426,318,95,89,218
08005082800,3259,1334,1240,601,50,7,13,0,1890,539,403,74,74,279
08005082900,2974,1237,1087,586,28,9,10,0,1667,560,286,110,80,271
08005083000,2501,968,863,630,19,4,6,0,1464,299,163,205,103,267
08005083100,4526,1928,1792,733,40,7,13,0,2258,737,576,358,172,425
08005083201,3841,1652,1193,934,45,3,9,0,2415,394,232,249,178,373
08005083202,1946,854,597,459,27,1,5,0,1238,271,102,89,55,191
08005083300,3235,1385,1175,603,42,10,8,0,1950,420,289,138,131,307
08005083400,4461,1996,1470,919,46,12,5,0,2792,566,283,181,179,460
08005083500,3113,1315,1168,574,25,6,11,0,1659,448,394,168,126,318
08005083600,2273,1033,786,386,40,6,6,0,1477,269,103,105,73,246
08005083700,2958,1233,942,737,31,2,5,0,1922,195,101,171,182,387
08005083800,1963,839,731,368,16,3,3,0,1151,200,225,96,78,213
08005083900,2076,900,727,411,19,7,5,0,1348,195,103,101,124,205
08005084000,1610,707,549,325,14,4,2,0,1051,263,41,49,45,161
08005084100,2933,1276,963,635,26,4,10,0,1866,366,209,93,119,280
08005084200,2334,1057,774,449,30,4,6,0,1422,447,113,66,67,219
08005084300,2308,1056,726,472,29,7,6,0,1510,312,112,68,54,252
08005084400,1967,882,669,375,28,3,2,0,1193,367,129,54,41,183
08005084500,1573,689,542,303,21,4,7,0,951,234,119,41,47,181
08005084600,3442,1524,1122,718,47,7,13,0,2246,475,126,88,124,383
08005084700,3211,1429,1050,682,25,12,5,0,2119,392,149,92,109,350
08005084800,2305,1016,706,552,21,2,3,0,1583,228,78,84,105,227
08005084900,2489,1047,702,704,26,0,4,0,1682,141,77,176,129,284
08005085000,1670,738,467,442,13,3,4,0,891,159,90,219,118,193
08005085100,4578,2091,1233,1217,20,5,3,0,2637,291,112,651,339,548
08005085200,2303,968,540,754,24,6,4,0,1654,121,11,157,102,258
08005085300,1848,741,582,508,14,1,1,0,1173,108,66,186,93,222
08005085400,3580,1437,1089,1001,38,5,3,0,2437,325,161,160,135,362
08005085500,3872,1685,1066,1070,40,6,2,0,2762,305,78,213,130,384
