GEOID20,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
09007541100,1407,567,680,130,5,2,0,0,841,211,202,25,26,102
09007541200,3422,1439,1437,491,8,2,0,0,2270,340,217,145,122,328
09007541301,1111,473,443,165,1,1,0,0,790,116,30,24,25,126
09007541302,2413,962,1055,337,9,3,0,0,1530,235,301,32,69,246
09007541401,2447,961,894,552,4,0,0,0,1857,175,63,89,57,206
09007541402,4233,1722,1815,610,9,0,0,0,2918,377,240,110,138,450
09007541500,1784,466,1214,78,4,5,0,0,1125,147,90,122,69,231
09007541600,762,336,351,58,1,1,0,0,405,106,145,28,26,52
09007541700,1980,720,988,232,7,0,0,0,1205,217,300,43,47,168
09007542000,3045,1151,1344,470,4,3,1,0,2234,233,162,37,72,307
09007542100,2538,890,1281,320,4,2,0,0,1694,225,235,59,59,266
09007542200,1265,428,630,185,3,1,0,0,957,76,70,26,17,119
09007550100,4213,1978,1240,934,10,1,1,0,3434,174,13,63,84,445
09007550201,2836,1243,806,724,8,2,0,0,2375,95,8,39,50,269
09007550202,2352,1056,681,571,5,5,0,0,1990,66,6,9,29,252
09007560100,4360,1840,1366,1089,2,3,0,0,3575,176,11,37,79,482
09007560200,2435,999,906,497,7,0,0,0,1972,123,31,25,46,238
09007570100,3459,1530,1180,681,7,5,0,0,2411,251,71,122,193,411
09007570200,2718,1169,885,615,5,4,0,0,2187,188,18,43,31,251
09007570300,4421,1850,1417,1068,10,0,0,0,3487,244,31,46,108,505
09007580100,3363,1566,984,757,11,5,0,0,2747,115,9,31,37,424
09007585100,5670,2509,1450,1624,13,2,0,0,4630,195,5,73,147,620
09007590101,3010,1273,926,761,8,5,0,0,2482,87,4,23,83,331
09007590102,3352,1552,893,864,5,1,0,0,2739,92,3,37,70,411
09007595101,2907,1226,882,736,6,0,0,0,2437,58,2,18,57,335
09007595102,4086,1808,1184,1009,8,1,0,0,3401,115,4,24,66,476
09007600100,2955,1142,1177,587,7,2,0,0,2463,67,7,26,51,341
09007610100,1666,719,521,379,1,8,0,0,1366,86,5,20,23,166
09007610200,2761,1178,862,651,4,7,0,0,2159,141,4,48,38,371
09007610300,3237,1403,971,808,6,4,0,0,2621,158,3,54,53,348
09007610400,2601,1167,697,696,2,1,0,0,2126,125,3,30,47,270
09007620100,3588,1602,1203,719,3,4,0,0,3007,118,14,30,39,380
09007630101,3232,1226,1180,779,6,4,0,0,2741,103,0,33,42,313
09007630102,2285,781,852,616,3,2,0,0,1899,72,1,19,50,244
09007640100,5117,2207,1382,1448,8,1,0,0,4242,149,4,43,87,592
09007670100,3923,1589,1143,1110,4,3,0,0,3204,142,10,94,74,399
09007670200,5036,1996,1556,1396,4,2,0,0,4173,147,14,69,100,533
09007680101,2355,1010,633,665,2,0,0,0,1920,87,5,30,38,275
09007680102,2778,1241,725,755,4,2,0,0,2230,107,10,32,48,351
