GEOID20,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
19039960100,2834,970,812,1023,19,10,0,0,2265,320,11,27,22,189
19039960200,1586,705,368,498,13,2,0,0,1436,28,0,10,2,110
19039960300,1508,701,323,476,5,3,0,0,1357,22,3,10,13,103
19129040100,2011,1041,379,573,14,4,0,0,1785,19,1,15,22,169
19129040201,1406,800,247,346,12,1,0,0,1214,37,1,3,7,144
19129040202,2834,1632,512,664,23,3,0,0,2412,56,2,22,15,327
19129040301,1759,817,388,523,24,7,0,0,1542,36,2,9,10,160
19129040302,2270,1173,486,578,30,3,0,0,1977,50,1,21,14,207
19143460100,2191,1355,262,563,9,2,0,0,1699,86,0,15,9,382
19143460200,1870,1183,213,461,8,5,0,0,1507,33,2,13,9,306
19065080100,1535,670,397,458,9,1,0,0,1254,13,2,14,8,244
19065080200,2092,822,534,717,13,6,0,0,1767,31,5,10,23,256
19065080300,1622,536,448,632,6,0,0,0,1388,20,0,10,9,195
19065080400,1535,389,556,579,8,3,0,0,1265,46,7,6,18,193
19065080500,2073,486,791,782,7,7,0,0,1715,60,6,11,20,261
19065080600,1636,823,325,479,7,2,0,0,1408,12,0,3,5,208
19065080700,1781,763,434,572,6,6,0,0,1498,21,0,2,8,252
19007950100,1794,804,373,611,6,0,0,0,1620,10,0,6,13,145
19007950200,1329,580,317,423,8,1,0,0,1155,11,1,9,20,133
19007950300,1911,753,525,620,10,3,0,0,1655,43,1,13,27,172
19007950400,1825,672,528,602,18,5,0,0,1595,35,6,12,35,142
19007950500,1403,615,348,432,6,2,0,0,1234,12,0,5,21,131
19195690100,1761,703,418,631,7,2,0,0,1426,29,1,14,15,276
19195690200,1623,697,398,519,8,1,0,0,1304,30,0,14,9,266
19195690300,1933,619,561,746,6,1,0,0,1609,35,4,6,14,265
19043070100,2050,693,578,763,14,2,0,0,1754,24,5,5,20,242
19043070200,2106,830,474,792,9,1,0,0,1667,27,6,23,27,356
19043070300,2138,723,661,746,6,2,0,0,1869,18,0,13,10,228
19043070400,1810,576,549,671,11,3,0,0,1532,11,0,12,10,245
19043070500,1291,409,379,496,6,1,0,0,1044,9,0,2,43,193
19043070600,2070,799,543,710,13,5,0,0,1754,24,0,10,7,275
19013000100,834,95,519,208,8,4,0,0,425,31,280,9,13,76
19013000200,1164,177,531,437,11,8,0,0,723,101,107,31,41,161
19013000300,1303,208,649,431,11,4,0,0,825,62,235,32,20,129
19013000400,893,198,373,313,8,1,0,0,747,19,24,11,15,77
19013000500,744,87,399,249,5,4,0,0,426,49,205,3,7,54
19013000700,664,62,409,188,1,4,0,0,233,92,273,15,9,42
19013000800,1830,314,857,646,12,1,0,0,1422,106,116,15,5,166
19013000900,1253,260,603,379,10,1,0,0,847,46,86,23,83,168
19013001000,2191,504,979,680,18,10,0,0,1594,82,13,57,173,272
19013001100,1568,288,729,536,12,3,0,0,1098,95,68,34,91,182
19013001200,1459,336,650,460,11,2,0,0,1078,39,10,29,112,191
19013001301,2346,614,1078,636,15,3,0,0,1634,55,115,53,171,318
19013001302,2292,708,936,638,5,5,0,0,1722,37,65,40,143,285
19013001400,3331,898,1423,983,19,8,0,0,2643,102,53,43,83,407
19013001501,2054,663,805,568,12,6,0,0,1635,49,44,33,67,226
19013001502,2557,688,988,852,25,4,0,0,2076,61,55,20,55,290
19013001503,2593,731,1029,809,19,5,0,0,2196,52,27,25,27,266
19013001600,1618,280,807,511,11,9,0,0,1194,67,202,11,12,132
19013001701,1138,72,771,284,8,3,0,0,292,45,744,7,7,43
19013001702,1500,189,902,393,10,6,0,0,665,55,655,21,12,92
19013001800,810,32,610,165,3,0,0,0,74,23,687,5,5,16
19013001900,1233,154,710,353,13,3,0,0,599,57,482,11,5,79
19013002000,3490,850,1337,1264,34,5,0,0,2887,77,35,23,32,436
19013002200,2890,671,1218,968,28,5,0,0,2446,68,16,39,30,291
19013002301,1353,319,556,456,18,4,0,0,1069,30,16,19,32,187
19013002303,1962,365,695,863,37,2,0,0,1530,89,21,27,34,261
19013002304,1874,446,787,624,14,3,0,0,1515,41,9,20,51,238
19013002400,3022,901,1247,857,16,1,0,0,2501,64,10,26,34,387
19013002500,4007,1281,1448,1253,20,5,0,0,3307,72,14,70,65,479
19013002601,3797,1292,1274,1208,16,7,0,0,3098,86,25,72,73,443
19013002604,2905,906,955,1025,16,3,0,0,2471,33,8,16,30,347
19013002605,4086,1394,1312,1349,25,6,0,0,3304,79,21,95,100,487
19013002606,3522,1330,1005,1157,28,2,0,0,2892,51,7,78,68,426
19013002700,2799,896,856,1018,24,5,0,0,2482,35,2,5,16,259
19013002800,2063,717,493,845,6,2,0,0,1755,19,0,19,12,258
19013002901,933,286,325,316,6,0,0,0,778,21,1,3,16,114
19013002902,2691,844,784,1035,19,9,0,0,2337,41,0,21,16,276
19013003001,3510,1151,1186,1137,29,7,0,0,2838,71,23,53,112,413
19013003002,2991,1266,676,1026,16,7,0,0,2538,36,0,13,27,377
19035080101,1832,862,418,542,10,0,0,0,1544,53,0,13,5,217
19035080102,1650,864,324,456,4,2,0,0,1422,40,10,17,6,155
19035080200,1850,1085,266,486,10,3,0,0,1593,15,0,13,3,226
19035080300,1119,608,171,339,1,0,0,0,984,11,0,3,7,114
19035080400,1497,806,257,432,1,1,0,0,1292,35,0,10,1,159
19031450100,1911,791,426,676,15,3,0,0,1594,23,8,3,7,276
19031450200,2415,856,639,898,15,7,0,0,2065,26,0,9,10,305
19031450300,2213,832,678,679,21,3,0,0,1844,34,7,17,20,291
19031450400,1909,769,369,759,9,3,0,0,1617,32,2,8,18,232
19031450500,4025,1253,1274,1464,25,9,0,0,3326,83,4,32,37,543
19109950100,1614,781,264,564,5,0,0,0,1311,43,1,5,4,250
19109950200,1831,825,406,593,6,1,0,0,1605,16,0,6,11,193
19109950300,1522,651,354,510,7,0,0,0,1302,16,0,3,10,191
19109950400,1714,698,468,542,4,2,0,0,1442,28,0,15,13,216
19109950500,2477,982,722,763,7,3,0,0,2079,45,0,11,8,334
19109950600,1450,638,357,449,5,1,0,0,1205,8,0,11,6,220
19023070100,2051,940,406,689,14,2,0,0,1678,14,0,18,9,332
19023070200,1223,625,171,420,4,3,0,0,1038,14,0,12,8,151
19023070300,1834,917,378,535,2,2,0,0,1558,8,0,10,12,246
19023070400,2647,1451,452,728,14,2,0,0,2196,18,0,22,15,396
19023070500,2055,785,506,752,9,3,0,0,1706,23,0,10,13,303
19071970100,1454,787,286,374,4,3,0,0,1279,7,0,6,24,138
19071970200,1888,1103,374,396,10,5,0,0,1688,32,0,9,9,150
19071970300,1312,678,290,331,9,4,0,0,1166,25,2,5,8,106
