GEOID20,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
29117480100,1770,1253,155,362,0,0,1607,11,3,8,7,134
29117480200,2053,1426,214,413,0,0,1863,14,3,6,5,162
29117480300,2442,1474,265,703,0,0,2173,36,6,12,10,205
29117480400,1750,934,215,601,0,0,1572,21,6,5,9,137
29117480500,863,275,129,459,0,0,763,16,19,4,0,61
29087960100,816,510,67,239,0,0,757,6,0,2,3,48
29087960200,979,611,90,278,0,0,902,11,1,3,1,61
29087960300,1225,779,115,331,0,0,1129,17,0,8,2,69
29091090101,1678,768,208,702,0,0,1469,27,0,3,49,130
29091090102,1665,890,205,570,0,0,1480,33,3,11,10,128
29091090200,2765,1207,392,1166,0,0,2460,47,1,10,11,236
29091090300,3092,1730,347,1015,0,0,2783,41,1,11,38,218
29091090400,3395,1762,385,1248,0,0,3061,47,1,12,27,247
29091090500,3340,2097,322,921,0,0,3024,43,2,21,15,235
29091090600,3464,2024,386,1054,0,0,3139,47,5,19,22,232
29091090700,2915,1003,415,1497,0,0,2590,67,5,14,18,221
29091090801,2365,1158,286,921,0,0,2110,51,9,20,13,162
29091090802,1993,1035,233,725,0,0,1798,28,2,10,15,140
29011960100,1856,1071,265,520,0,0,1670,20,0,3,13,150
29011960200,2685,1625,335,725,0,0,2474,46,1,4,7,153
29011960300,3286,1649,587,1050,0,0,2937,71,13,12,26,227
29225470101,3421,2124,387,910,0,0,3074,68,9,7,15,248
29225470102,4023,2524,417,1082,0,0,3706,27,1,12,9,268
29225470201,3598,1924,463,1211,0,0,3237,60,1,22,16,262
29225470202,3168,1546,437,1185,0,0,2823,64,3,11,21,246
29225470301,3628,2151,415,1062,0,0,3206,81,3,17,41,280
29225470302,2729,1703,306,720,0,0,2449,41,1,6,11,221
29225470401,2097,1111,270,716,0,0,1841,33,1,19,15,188
29225470402,1665,970,157,538,0,0,1513,15,3,6,7,121
29031880100,4211,2926,397,888,0,0,3687,37,1,12,14,460
29031880200,3200,2219,314,667,0,0,2847,21,9,13,24,286
29031880300,3537,2301,306,930,0,0,3094,30,12,8,11,382
29031880401,4061,2606,421,1034,0,0,3570,41,20,18,16,396
29031880402,1374,765,151,458,0,0,1225,11,4,7,7,120
29031880501,3640,2404,333,903,0,0,3227,44,6,27,16,320
29031880502,2861,1705,316,840,0,0,2453,43,12,29,15,309
29031880600,5044,3178,689,1177,0,0,4330,89,40,48,36,501
29031880700,3303,2004,452,847,0,0,2876,40,35,45,21,286
29031880800,1024,262,284,478,0,0,798,17,101,6,10,92
29031880900,1388,324,520,544,0,0,952,29,270,17,14,106
29031881000,922,209,266,447,0,0,718,12,93,5,5,89
29031881100,2005,970,282,753,0,0,1747,39,29,18,12,160
29031881200,4909,3033,672,1204,0,0,4143,92,68,82,54,470
29031881301,2391,1307,351,733,0,0,2006,56,64,34,28,203
29031881302,1303,455,346,502,0,0,1042,26,127,9,5,94
29031881400,1113,129,524,460,0,0,603,22,394,7,13,74
29031881500,3498,2250,371,877,0,0,3078,49,5,19,17,330
29031881600,1565,348,481,736,0,0,1161,34,225,17,7,121
29213480106,1344,618,180,546,0,0,1102,73,3,28,14,124
29213480107,1186,703,129,354,0,0,990,62,0,12,16,106
29213480108,2055,840,298,917,0,0,1693,145,16,30,20,151
29213480109,1495,779,189,527,0,0,1256,67,3,24,15,130
29213480203,2371,794,369,1208,0,0,2035,91,2,11,21,211
29213480204,2198,1330,263,605,0,0,1876,51,10,15,16,230
29213480205,808,346,114,348,0,0,692,32,1,2,6,75
29213480206,2261,1227,339,695,0,0,1903,112,15,24,27,180
29213480207,2138,1169,271,698,0,0,1815,84,6,16,19,198
29213480208,1830,952,231,647,0,0,1557,91,6,16,11,149
29213480301,3432,1906,393,1133,0,0,2951,115,10,22,52,282
29213480302,2952,1508,364,1080,0,0,2582,82,8,17,29,234
29213480402,5419,3059,569,1791,0,0,4913,63,21,9,27,386
29213480403,2151,1003,267,881,0,0,1880,34,1,8,20,208
29213480404,1737,922,227,588,0,0,1564,30,0,8,5,130
29213480501,1731,1101,201,429,0,0,1473,56,4,13,18,167
29213480503,1743,1016,184,543,0,0,1557,25,5,4,10,142
29213480504,2563,909,440,1214,0,0,2176,120,8,24,26,209
29125880100,1591,773,209,609,0,0,1402,19,1,6,17,146
29125880298,1765,1058,244,463,0,0,1567,7,0,2,6,183
29125880300,1487,967,167,353,0,0,1312,15,4,1,18,137
29219820104,2893,1845,428,620,0,0,2530,45,5,16,17,280
29219820105,2001,902,505,594,0,0,1702,51,16,16,10,206
29219820106,3645,1983,834,828,0,0,3135,66,13,27,17,387
29219820107,2209,1061,469,679,0,0,1851,62,13,18,22,243
29219820108,3405,2035,524,846,0,0,2892,93,60,16,26,318
29219820109,2468,1234,611,623,0,0,2057,69,9,6,25,302
29219820201,1793,1265,290,238,0,0,1530,32,4,4,11,212
29219820203,3037,2023,516,498,0,0,2557,40,3,9,26,402
29219820204,2708,1821,331,556,0,0,2296,50,4,6,13,339
29003010100,4159,2839,464,856,0,0,3659,75,8,32,26,359
29003010201,2631,1577,294,760,0,0,2367,41,0,11,13,199
29003010202,2109,1223,223,663,0,0,1912,28,1,9,4,155
29003010300,1230,784,137,309,0,0,1107,18,0,5,2,98
29003010400,2051,1371,235,445,0,0,1848,30,2,16,9,146
29069360100,1222,308,566,348,0,0,761,28,366,4,1,62
29069360200,1647,827,382,438,0,0,1434,28,53,5,11,116
29069360300,2517,1153,567,797,0,0,2272,45,3,6,8,183
29069360400,2157,795,540,822,0,0,1897,91,18,6,12,133
29069360500,1606,535,589,482,0,0,1172,61,252,12,4,105
29069360600,2495,786,880,829,0,0,1971,67,274,21,11,151
29069360700,1990,862,569,559,0,0,1701,47,108,12,7,115
29069360800,1140,424,367,349,0,0,932,143,4,1,2,58
29069360900,984,472,208,304,0,0,882,30,5,1,6,60
29069361000,952,346,267,339,0,0,825,67,3,0,2,55
29139970100,1531,876,196,459,0,0,1297,15,8,15,4,192
29139970200,2476,1483,304,689,0,0,2126,45,27,9,11,258
29139970300,2027,1327,195,505,0,0,1766,23,4,16,7,211
29139970400,1519,857,170,492,0,0,1334,19,11,6,2,147
29133950100,1308,530,307,471,0,0,1099,12,90,6,9,92
29133950200,2657,723,1431,503,0,0,1395,29,1064,9,15,145
29133950300,1026,463,236,327,0,0,916,11,18,7,1,73
29133950400,2644,977,705,962,0,0,2350,50,48,12,4,180
29085470100,2143,1028,430,685,0,0,1908,42,10,5,10,168
29085470300,1799,789,317,693,0,0,1628,26,4,4,7,130
29085470501,1203,557,236,410,0,0,1093,14,3,7,4,82
29085470502,1339,664,220,455,0,0,1192,8,14,7,9,109
29045950100,1133,627,220,286,0,0,1048,3,5,3,2,72
29045950200,1181,575,240,366,0,0,1090,4,0,4,6,77
29045950300,2178,1092,468,618,0,0,1992,15,0,6,6,159
29039870101,1756,986,214,556,0,0,1570,15,2,8,9,152
29039870102,1930,1105,224,601,0,0,1743,25,0,8,13,141
29039870200,3099,1587,327,1185,0,0,2813,45,3,15,11,212
29039870300,2416,1317,272,827,0,0,2185,32,0,5,18,176
29510101100,1627,228,1384,15,0,0,1209,73,32,62,59,192
29510101200,2168,411,1695,62,0,0,1553,70,30,123,85,307
29510101300,2830,746,1949,135,0,0,2188,79,147,34,71,311
29510101400,1768,200,1533,35,0,0,1130,56,369,29,39,145
29510101500,1392,78,1307,7,0,0,894,62,277,15,15,129
29510101800,1543,85,1449,9,0,0,948,78,344,19,21,133
29510102100,1742,189,1531,22,0,0,1370,47,46,20,44,215
29510102200,4479,1590,2600,289,0,0,3655,98,66,44,87,529
29510102300,1169,174,975,20,0,0,901,36,11,40,47,134
29510102400,1447,190,1225,32,0,0,1056,51,53,22,80,185
29510102500,1228,165,1020,43,0,0,943,38,50,16,48,133
29510103100,2207,832,1225,150,0,0,1684,65,102,18,45,293
29510103400,1370,226,1095,49,0,0,1129,37,26,12,20,146
29510103600,890,154,704,32,0,0,717,17,33,17,14,92
29510103700,1805,307,1412,86,0,0,1452,53,31,26,35,208
29510103800,2836,698,1973,165,0,0,2289,84,55,43,42,323
29510104200,2268,302,1832,134,0,0,1810,52,52,30,37,287
29510104500,1519,135,1353,31,0,0,1136,51,92,49,37,154
29510105198,2302,583,1539,180,0,0,1525,78,202,136,54,307
29510105200,1925,205,1634,86,0,0,674,47,939,61,46,158
29510105300,1469,37,1430,2,0,0,167,27,1220,2,10,43
29510105400,1072,22,1047,3,0,0,128,10,884,8,16,26
29510105500,2028,44,1979,5,0,0,222,23,1724,12,16,31
29510106100,1310,25,1285,0,0,0,115,15,1151,4,4,21
29510106200,768,15,753,0,0,0,48,5,690,8,2,15
29510106300,1039,11,1027,1,0,0,76,7,933,8,7,8
