GEOID20,total_reg,party_rep,party_npp,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
30071060200,2476,1327,683,466,0,0,2034,40,1,15,35,351
30085080100,964,362,418,184,0,0,805,23,0,2,18,116
30085940001,2354,435,1398,521,0,0,1695,88,1,27,103,440
30085940002,2119,344,1354,421,0,0,1418,60,1,11,173,456
30027030100,3388,2177,546,665,0,0,2944,23,0,7,38,376
30027030201,2004,1031,523,450,0,0,1737,31,0,12,15,209
30027030202,1723,897,523,303,0,0,1491,17,0,9,16,190
30107000100,1112,510,426,176,0,0,962,7,0,9,2,132
30111000200,1527,283,858,386,0,0,1176,75,4,10,26,236
30111000300,1745,400,896,449,0,0,1260,181,9,10,29,256
30111000401,1496,479,586,431,0,0,1232,61,1,11,21,170
30111000402,1639,416,693,530,0,0,1303,70,4,12,28,222
30111000500,2497,1012,796,689,0,0,2040,87,3,23,36,308
30111000600,1702,843,236,623,0,0,1438,29,0,21,30,184
30111000701,3429,1844,746,839,0,0,2822,97,2,27,46,435
30111000704,2422,1266,430,726,0,0,2004,86,3,25,27,277
30111000705,2053,1072,485,496,0,0,1673,64,2,11,25,278
30111000706,2358,850,1052,456,0,0,1938,78,0,21,41,280
30111000707,3391,1824,850,717,0,0,2822,102,1,25,29,412
30111000708,1125,531,334,260,0,0,911,41,0,6,24,143
30111000800,2249,1173,661,415,0,0,1876,72,1,9,31,260
30111000901,2461,1053,879,529,0,0,1949,110,1,19,41,341
30111000902,2239,827,959,453,0,0,1764,155,7,10,30,273
30111001000,2197,748,987,462,0,0,1738,112,2,7,23,315
30111001100,2990,1198,1108,684,0,0,2469,101,0,30,36,354
30111001200,1800,811,437,552,0,0,1496,38,1,9,22,234
30111001300,4370,2305,519,1546,0,0,3672,96,1,32,68,501
30111001402,4314,2703,558,1053,0,0,3556,117,2,34,45,560
30111001403,4730,2860,820,1050,0,0,3975,88,0,30,47,590
30111001404,5487,3112,961,1414,0,0,4498,131,3,42,63,750
30111001501,2993,1925,522,546,0,0,2554,51,2,5,45,336
30111001502,2669,1590,624,455,0,0,2226,70,0,10,35,328
30111001702,2391,1141,659,591,0,0,1953,103,3,11,33,288
30111001703,2990,1360,980,650,0,0,2503,86,2,20,45,334
30111001704,2558,1151,893,514,0,0,2109,75,3,14,34,323
30111001801,5122,3119,193,1810,0,0,4233,113,2,63,86,625
30111001803,1290,646,337,307,0,0,1051,36,0,9,11,183
30111001804,1951,1016,427,508,0,0,1610,57,5,11,30,238
30111001805,2192,1331,208,653,0,0,1854,37,1,17,19,264
30111001806,1561,796,298,467,0,0,1315,29,0,12,25,180
30111001901,2865,1509,764,592,0,0,2415,63,1,13,23,350
30111001902,2310,1300,562,448,0,0,1974,61,1,12,19,243
30111940001,3090,1833,535,722,0,0,2570,67,0,17,49,387
30111940002,2203,1465,256,482,0,0,1896,52,0,12,16,227
30011000300,896,581,194,121,0,0,763,8,0,1,6,118
30025000100,1610,991,401,218,0,0,1323,14,1,14,10,248
30035940200,2983,61,0,2922,0,0,1640,86,10,9,427,811
30035940400,2263,93,3,2167,0,0,1408,33,7,8,282,525
30035976000,2285,283,3,1999,0,0,1827,49,2,19,64,324
30035980000,89,1,0,88,0,0,69,2,0,0,4,14
30097967000,2577,1475,562,540,0,0,2201,35,1,15,27,298
30041040100,850,278,380,192,0,0,679,11,8,9,5,138
30041040200,1156,412,483,261,0,0,940,18,2,9,26,161
30041040300,1719,332,988,399,0,0,1415,48,1,19,22,214
30041040400,2247,580,1032,635,0,0,1848,63,0,25,31,280
30041040500,1414,392,606,416,0,0,1158,22,0,18,13,203
30041940300,1042,179,558,305,0,0,669,37,0,7,103,226
30103963500,658,386,148,124,0,0,580,7,0,1,7,63
30009000100,1860,1102,385,373,0,0,1526,32,1,8,30,263
30009000200,1160,654,320,186,0,0,961,20,0,2,17,160
30009000300,1958,776,612,570,0,0,1635,29,0,18,43,233
30009000400,1891,969,430,492,0,0,1583,39,0,12,21,236
30009000500,929,506,243,180,0,0,778,20,0,0,8,123
30105100100,977,474,298,205,0,0,828,11,0,8,6,124
30105100500,1778,628,757,393,0,0,1471,48,1,7,18,233
30105940600,1985,831,775,379,0,0,1577,42,1,16,25,324
30021000100,1084,718,178,188,0,0,921,8,0,6,13,136
30021000200,1676,957,408,311,0,0,1423,22,0,4,14,213
30021000300,2500,1260,637,603,0,0,2078,53,0,15,26,328
30091090200,1539,861,388,290,0,0,1279,20,0,9,14,217
30091090400,708,420,149,139,0,0,603,6,0,2,6,91
30045000100,1322,744,369,209,0,0,1125,9,0,6,23,159
30079000100,684,427,168,89,0,0,560,13,0,5,6,100
30087000100,1409,792,374,243,0,0,1218,19,0,4,7,161
30087000200,926,393,353,180,0,0,723,16,1,8,27,151
30087000300,1159,618,254,287,0,0,980,29,0,7,21,122
30087940400,1161,168,733,260,0,0,495,54,0,6,216,390
30063000100,4935,1139,1353,2443,0,0,4116,104,4,46,61,604
30063000203,2954,202,1935,817,0,0,2461,71,2,18,38,364
30063000204,2183,161,1481,541,0,0,1756,59,1,19,28,320
30063000205,3979,962,1944,1073,0,0,3266,87,2,40,57,527
30063000206,4948,1141,2381,1426,0,0,4113,120,4,49,75,587
30063000300,1374,76,907,391,0,0,1112,41,1,10,14,196
30063000400,2039,381,997,661,0,0,1684,57,0,12,30,256
30063000501,2042,255,806,981,0,0,1696,37,0,26,23,260
30063000502,1481,357,446,678,0,0,1189,28,1,21,25,217
30063000700,2121,171,1130,820,0,0,1759,52,2,20,34,254
30063000801,2125,301,1257,567,0,0,1731,58,1,17,33,285
30063000802,2104,215,1294,595,0,0,1772,29,1,20,33,249
30063000901,4278,1128,1750,1400,0,0,3585,79,2,50,49,513
30063000902,1748,485,645,618,0,0,1483,31,2,12,25,195
30063001001,2377,314,1469,594,0,0,1965,58,2,18,29,305
30063001002,1091,123,677,291,0,0,898,27,1,17,9,139
30063001100,2658,237,1438,983,0,0,2133,73,4,29,37,382
30063001200,3492,450,1757,1285,0,0,2890,68,1,30,41,462
30063001302,4864,1480,1331,2053,0,0,4036,107,2,59,86,574
30063001303,3408,632,1730,1046,0,0,2777,82,0,21,73,455
30063001304,4847,1536,1568,1743,0,0,3933,94,7,74,71,668
30063001401,1980,602,647,731,0,0,1662,31,2,15,31,239
30063001402,2377,598,1048,731,0,0,2005,54,1,18,29,270
30063001501,1416,398,694,324,0,0,1191,22,0,11,12,180
30063001502,3115,846,1415,854,0,0,2649,50,0,15,28,373
30063001601,3036,934,1400,702,0,0,2566,53,1,38,32,346
30063001602,2255,704,924,627,0,0,1893,30,1,10,16,305
30063001801,1082,314,492,276,0,0,872,33,0,4,10,163
30063001802,2321,651,1147,523,0,0,1958,40,0,14,16,293
30089000100,2655,1460,741,454,0,0,2329,48,0,9,13,256
30089000201,1442,801,412,229,0,0,1244,20,0,10,11,157
30089000202,3226,1682,1009,535,0,0,2779,60,0,19,24,344
30089940300,1262,494,516,252,0,0,1019,39,2,18,21,163
30051050100,994,606,205,183,0,0,817,5,2,14,8,148
30003000100,2400,498,1270,632,0,0,1667,117,0,25,111,480
30003940400,394,60,247,87,0,0,209,15,0,2,24,144
30003940500,669,101,434,134,0,0,319,26,0,2,81,241
30003940600,1460,128,1041,291,0,0,619,30,0,8,243,560
30003940700,1151,174,752,225,0,0,500,34,0,2,170,445
30053000100,2295,1158,772,365,0,0,1986,39,0,7,15,248
30053000200,1435,518,641,276,0,0,1230,27,0,4,18,156
30053000300,2474,1411,594,469,0,0,2120,40,0,9,24,281
30053000401,2633,1387,738,508,0,0,2259,45,1,14,16,298
30053000402,1484,755,502,227,0,0,1257,44,0,6,30,147
30053000500,2539,1280,829,430,0,0,2182,36,0,15,21,285
30109000100,630,378,121,131,0,0,529,10,0,11,1,79
30007000100,1384,665,463,256,0,0,1155,29,0,2,16,182
30007000200,3211,2050,569,592,0,0,2672,50,4,15,31,439
30049000100,1298,538,564,196,0,0,1106,16,0,1,17,158
30049000200,3683,1495,1282,906,0,0,3110,95,0,16,32,430
30049000300,2315,1063,667,585,0,0,1948,40,1,26,22,278
30049000400,4300,1667,1647,986,0,0,3561,85,2,34,42,576
30049000501,2743,1197,933,613,0,0,2245,65,1,20,40,372
30049000503,2574,1106,734,734,0,0,2141,35,0,24,29,345
30049000504,1918,708,631,579,0,0,1577,41,0,21,29,250
30049000600,2094,950,479,665,0,0,1819,25,0,17,20,213
30049000701,1253,356,375,522,0,0,1045,37,1,13,11,146
30049000702,3457,1168,868,1421,0,0,2889,78,0,29,44,417
30049000800,2520,774,785,961,0,0,2021,68,4,24,27,376
30049000900,2647,653,1215,779,0,0,2171,77,3,28,36,332
30049001000,2925,798,748,1379,0,0,2469,50,6,20,35,345
30049001101,1619,897,309,413,0,0,1348,41,1,18,18,193
30049001102,2617,1064,502,1051,0,0,2203,53,0,21,43,297
30049001201,4272,1672,1657,943,0,0,3566,96,2,20,43,545
30049001202,3800,1758,1136,906,0,0,3150,94,4,24,41,487
30057000101,1226,654,339,233,0,0,1078,18,0,7,10,113
30057000102,1582,788,491,303,0,0,1336,41,0,12,22,171
30057000200,1865,1092,428,345,0,0,1601,33,0,10,25,196
30057000300,1593,884,388,321,0,0,1414,17,0,5,21,136
30073977000,2249,1254,533,462,0,0,1928,32,0,17,13,259
30073977200,1250,532,493,225,0,0,868,15,0,4,92,271
30093000101,1005,51,1,953,0,0,832,44,3,5,14,107
30093000102,1293,71,1,1221,0,0,1055,50,1,8,14,165
30093000200,2617,122,5,2490,0,0,2138,84,2,17,45,331
