GEOID20,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
39055310100,1501,524,357,613,6,1,0,0,1236,24,1,8,31,201
39055310200,1386,455,260,666,3,2,0,0,1138,15,2,11,31,189
39055310600,4620,1473,1169,1972,2,4,0,0,3599,101,15,46,178,681
39055310700,2946,947,652,1341,4,2,0,0,2257,47,5,41,121,475
39055310800,5175,1435,1141,2591,6,2,0,0,4003,101,12,47,158,854
39055310900,2155,721,363,1064,5,2,0,0,1742,33,3,24,40,313
39055311000,1463,593,231,638,0,1,0,0,1259,15,10,13,31,135
39055311300,2731,914,500,1314,1,2,0,0,2277,37,5,10,49,353
39055311400,3999,1253,907,1831,4,4,0,0,3173,62,15,31,112,606
39055311500,4559,1262,1170,2111,13,3,0,0,3569,88,12,58,158,674
39055311600,3062,954,789,1315,4,0,0,0,2483,18,3,31,91,436
39055311700,3626,1138,1111,1375,1,1,0,0,2575,69,236,60,130,556
39055311800,5740,1879,1483,2372,4,2,0,0,4455,97,20,58,198,912
39055311900,5105,1698,1102,2299,2,2,0,0,3990,115,22,89,149,740
39055312000,1444,535,286,621,1,1,0,0,1139,18,3,8,41,235
39055312100,1603,754,186,660,0,0,0,0,1376,14,1,9,22,181
39055312201,3972,1312,965,1681,5,9,0,0,3148,49,8,33,114,620
39055312202,3284,922,693,1660,1,8,0,0,2596,45,1,32,110,500
39055312203,3383,1130,657,1588,3,5,0,0,2734,41,3,17,143,445
39055312300,2539,1048,450,1034,6,1,0,0,2105,38,5,14,36,341
39055312400,852,443,113,295,0,1,0,0,755,11,0,0,18,68
39159050100,2437,949,345,1139,3,1,0,0,2210,18,0,8,12,189
39159050200,3105,1217,493,1390,4,1,0,0,2801,30,4,15,18,237
39159050301,2913,982,412,1513,3,3,0,0,2586,35,3,27,29,233
39159050303,5106,2078,1018,2006,2,1,0,0,4313,105,26,92,81,489
39159050304,1782,603,279,896,4,0,0,0,1643,15,0,6,11,107
39159050401,2033,688,386,955,1,3,0,0,1809,34,2,15,19,154
39159050402,2683,1190,547,942,3,1,0,0,2347,50,9,26,34,217
39159050501,3130,1218,627,1281,4,0,0,0,2666,75,14,45,34,296
39159050502,1373,724,211,435,3,0,0,0,1232,30,0,8,10,93
39159050601,6851,3100,1340,2402,8,1,0,0,4724,123,50,999,249,706
39159050602,2599,1040,421,1131,5,2,0,0,2282,46,5,16,17,233
39159050701,3530,1070,547,1908,2,3,0,0,3054,29,10,46,61,330
39159050702,2356,819,341,1191,3,2,0,0,2142,15,6,15,8,170
39021010100,1233,471,185,575,1,1,0,0,1082,17,5,6,8,115
39021010200,4411,1460,717,2218,3,13,0,0,3969,36,7,15,21,363
39021010400,2259,1137,395,724,2,1,0,0,2038,33,9,8,6,165
39021010500,2556,1052,507,991,2,4,0,0,2273,39,11,11,11,211
39021010600,2566,947,589,1019,4,7,0,0,2210,48,87,18,11,192
39021011001,1891,615,340,926,2,8,0,0,1689,10,3,9,8,172
39021011501,2978,1007,461,1501,3,5,0,0,2729,12,2,5,20,210
39021011504,3405,1189,657,1552,3,4,0,0,3099,36,9,21,35,205
39021011505,1994,836,381,771,4,1,0,0,1820,17,11,6,5,135
39021011506,1946,873,295,768,6,4,0,0,1775,22,3,8,8,130
39029950100,3690,1361,795,1534,0,0,0,0,3174,33,1,19,65,398
39029950200,3147,1089,745,1311,0,2,0,0,2661,26,3,21,55,381
39029950300,3285,1201,811,1273,0,0,0,0,2764,43,5,17,49,407
39029950400,2716,951,525,1238,2,0,0,0,2289,26,4,17,38,342
39029950500,3657,1442,961,1254,0,0,0,0,3133,54,4,13,37,416
39029950600,3028,1191,685,1152,0,0,0,0,2575,44,2,21,41,345
39029950700,3328,1357,866,1102,1,1,0,0,2788,52,3,21,65,399
39029950800,3039,1042,562,1434,0,1,0,0,2580,39,1,14,43,362
39029950900,2423,837,410,1174,1,1,0,0,2024,20,3,8,37,331
39029951000,3350,1304,674,1371,0,1,0,0,2973,23,2,12,27,313
39029951100,2649,1060,594,995,0,0,0,0,2321,28,4,6,21,269
39029951200,2609,998,521,1088,1,1,0,0,2347,20,3,10,10,219
39029951300,2269,873,554,841,0,1,0,0,2051,11,4,10,18,175
39029951401,1236,524,189,523,0,0,0,0,1085,17,1,8,30,95
39029951402,1705,660,408,637,0,0,0,0,1497,10,3,5,17,173
39029951500,2614,1218,515,880,0,1,0,0,2252,35,3,11,40,273
39029951600,3809,1368,872,1569,0,0,0,0,3359,46,1,18,48,337
39029951700,3129,1268,825,1034,1,0,0,0,2879,24,8,7,15,196
39029951800,1601,815,542,244,0,0,0,0,1423,17,56,4,14,87
39029951900,1933,856,544,533,0,0,0,0,1733,15,6,11,21,147
39029952000,1840,848,506,486,0,0,0,0,1657,22,5,10,15,131
39029952100,639,377,155,107,0,0,0,0,550,9,3,3,6,68
39029952200,944,458,300,184,0,2,0,0,789,13,77,1,4,60
39029952300,1448,805,374,268,0,1,0,0,1296,18,16,5,21,92
39029952400,2556,990,650,915,0,1,0,0,2231,30,10,19,30,236
39013010100,2578,1135,832,605,4,2,0,0,2147,44,17,16,48,306
39013010200,2375,1033,804,535,3,0,0,0,1945,28,37,10,60,295
39013010300,2298,799,786,713,0,0,0,0,1895,28,11,5,61,298
39013010600,2257,1007,564,686,0,0,0,0,1968,19,8,12,33,217
39013010700,1811,704,458,649,0,0,0,0,1546,16,4,20,27,198
39013010802,1466,638,340,487,0,1,0,0,1293,17,9,7,6,134
39013010901,1183,436,284,463,0,0,0,0,1084,0,0,5,7,87
39013010902,3017,1296,765,953,0,3,0,0,2732,27,9,10,20,219
39013011000,2913,1206,863,838,4,1,0,0,2542,13,2,9,47,300
39013011200,2239,876,634,725,2,1,0,0,1986,27,0,3,27,196
39013011300,2548,871,967,704,2,4,0,0,2190,31,0,18,58,251
39013011400,2935,1088,1079,767,1,0,0,0,2446,27,4,11,71,376
39013011500,920,394,353,173,0,0,0,0,776,8,7,0,21,108
39013011600,584,348,152,84,0,0,0,0,503,8,13,0,11,49
39013011700,716,407,211,98,0,0,0,0,593,7,28,2,12,74
39013011900,1784,815,604,365,0,0,0,0,1512,28,32,4,32,176
39013012000,1436,745,468,223,0,0,0,0,1209,15,17,8,20,167
39013012100,736,407,237,91,0,1,0,0,631,9,20,3,9,64
39013012201,1190,462,250,477,1,0,0,0,986,16,0,6,19,163
39013012202,1268,426,329,511,0,2,0,0,1023,19,5,20,27,174
39013012300,3009,1027,988,994,0,0,0,0,2485,40,5,38,56,385
39013012400,3133,1116,941,1076,0,0,0,0,2528,53,36,48,67,401
39087050100,1611,563,417,631,0,0,0,0,1504,5,4,2,2,94
39087050200,1547,545,352,650,0,0,0,0,1445,11,3,4,4,80
39087050300,1434,608,408,417,0,1,0,0,1160,8,177,8,1,80
39087050400,2101,708,556,837,0,0,0,0,1957,11,5,7,12,109
39087050501,2146,630,402,1114,0,0,0,0,2049,8,3,7,2,77
39087050502,2106,779,365,962,0,0,0,0,1991,16,1,5,3,90
39087050600,850,291,136,423,0,0,0,0,772,4,19,2,6,47
39087050700,2153,744,421,986,0,2,0,0,2029,10,10,6,4,94
39087050800,2761,1022,603,1136,0,0,0,0,2574,22,9,4,8,144
39087050900,1584,580,260,744,0,0,0,0,1495,8,15,2,2,62
39087051001,3021,1253,643,1125,0,0,0,0,2790,29,23,25,14,140
39087051002,2355,1015,440,899,0,1,0,0,2209,13,3,9,2,119
39087051101,2791,1271,469,1051,0,0,0,0,2551,17,29,17,9,168
