GEOID20,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
40007951600,1157,904,141,109,3,0,0,961,100,1,7,6,82
40007951700,264,219,21,24,0,0,0,230,5,0,0,4,25
40007951800,968,746,116,102,4,0,0,812,63,2,5,6,80
40073958100,1782,1284,309,177,12,0,0,1418,188,3,11,15,147
40073958200,1021,777,158,83,3,0,0,871,36,0,5,3,106
40073958300,3510,2608,605,273,24,0,0,2980,168,7,17,21,317
40073958400,1222,902,204,112,4,0,0,1075,25,10,6,6,100
40133583100,519,261,185,70,3,0,0,434,3,19,2,6,55
40133583200,1396,746,476,166,8,0,0,1193,47,11,13,12,120
40133583300,2063,1028,735,287,13,0,0,1783,68,36,10,28,138
40133583400,1676,755,603,310,8,0,0,1432,52,20,9,34,129
40133583500,852,298,371,176,7,0,0,693,23,32,7,20,77
40133583600,1724,611,863,238,12,0,0,1262,31,263,9,31,128
40133583700,568,304,184,75,5,0,0,500,14,5,4,12,33
40133583800,1180,577,437,157,9,0,0,986,21,45,3,16,109
40133583900,825,388,314,114,9,0,0,705,14,24,7,13,62
40137000101,3521,2213,911,386,11,0,0,3159,109,8,27,20,198
40137000102,1703,1025,424,241,13,0,0,1478,74,17,12,12,110
40137000200,3163,2104,707,341,11,0,0,2816,144,10,22,17,154
40137000300,1038,572,272,184,10,0,0,879,60,5,10,7,77
40137000400,2493,1317,683,470,23,0,0,2103,153,37,9,11,180
40137000600,1255,542,436,265,12,0,0,938,115,134,11,2,55
40137000800,1941,1335,389,208,9,0,0,1742,51,8,11,16,113
40137000901,2448,1576,610,250,12,0,0,2218,59,2,20,12,137
40137000902,2496,1546,639,300,11,0,0,2232,61,4,10,21,168
40137001000,577,356,168,52,1,0,0,542,5,0,1,1,28
40137001100,2800,1751,730,301,18,0,0,2546,80,5,16,16,137
40153953100,1202,896,178,121,7,0,0,1071,31,2,3,7,88
40153953200,1796,1325,284,180,7,0,0,1590,48,3,7,11,137
40153953300,1840,1161,365,297,17,0,0,1539,136,0,12,12,141
40153953400,1493,983,242,254,14,0,0,1218,139,2,14,7,113
40153953500,3645,2570,612,434,29,0,0,3144,199,6,21,21,254
40111000100,1042,195,696,145,6,0,0,399,18,572,6,8,39
40111000200,1443,545,654,240,4,0,0,1087,31,196,6,21,102
40111000300,1067,383,496,179,9,0,0,874,23,75,6,13,76
40111000400,2359,961,1046,336,16,0,0,1939,53,169,23,28,147
40111000500,2037,992,839,200,6,0,0,1695,46,159,7,7,123
40111000601,1578,874,434,254,16,0,0,1387,63,7,5,14,102
40111000602,2364,1364,670,321,9,0,0,2008,71,100,7,14,164
40111000700,2080,1050,783,237,10,0,0,1839,44,48,12,12,125
40111000800,1461,599,679,170,13,0,0,1253,19,71,12,12,94
40111000901,1866,813,789,256,8,0,0,1644,29,12,18,16,147
40111000902,1944,786,805,340,13,0,0,1719,56,9,8,17,135
40135030101,1688,895,590,200,3,0,0,1468,39,4,17,17,143
40135030103,895,401,326,161,7,0,0,752,30,49,7,4,53
40135030105,1616,939,424,237,16,0,0,1430,44,2,13,10,117
40135030106,1175,604,422,143,6,0,0,1032,24,9,7,8,95
40135030201,753,420,217,105,11,0,0,654,9,2,8,6,74
40135030202,3632,1615,1542,453,22,0,0,3177,77,43,37,33,265
40135030301,865,422,315,123,5,0,0,771,32,1,13,6,42
40135030303,1550,603,688,258,1,0,0,1350,46,12,8,12,122
40135030304,2930,1278,1341,298,13,0,0,2629,75,8,19,20,179
40135030401,1515,791,508,209,7,0,0,1373,21,15,7,9,90
40135030403,2627,1173,1182,266,6,0,0,2332,61,36,10,23,165
40135030404,1186,640,378,157,11,0,0,1094,23,5,2,4,58
40009966100,3865,2330,893,607,35,0,0,3214,273,38,40,29,271
40009966200,3411,2119,808,464,20,0,0,2957,180,17,19,17,221
40009966500,704,424,174,105,1,0,0,627,29,1,8,3,36
40009966800,2429,1469,660,293,7,0,0,2099,86,7,14,12,211
40057967800,1199,518,543,133,5,0,0,885,188,40,4,5,77
