GEOID20,total_reg,party_npp,party_rep,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
47035970101,4062,1193,2238,631,0,0,3528,57,5,15,47,410
47035970103,2396,904,1045,447,0,0,2076,41,2,9,20,248
47035970104,2714,902,1342,470,0,0,2382,35,7,11,21,258
47035970201,3190,1108,1706,376,0,0,2898,59,1,15,21,196
47035970202,1209,467,618,124,0,0,1132,7,0,4,5,61
47035970301,1906,804,862,240,0,0,1735,33,2,7,18,111
47035970302,2617,1057,1135,425,0,0,2382,41,3,14,9,168
47035970401,2046,1150,639,257,0,0,1788,72,15,20,7,144
47035970402,1417,507,729,181,0,0,1252,16,2,17,10,120
47035970501,1632,568,837,227,0,0,1479,25,3,18,12,95
47035970502,2357,1109,927,321,0,0,2094,70,9,22,15,147
47035970601,3391,1253,1698,440,0,0,3017,69,3,31,31,240
47035970602,2778,1058,1335,385,0,0,2503,39,5,6,18,207
47035970603,1413,440,781,192,0,0,1280,23,2,4,3,101
47035970701,1743,636,839,268,0,0,1572,32,2,6,13,118
47035970702,3010,1091,1574,345,0,0,2770,31,2,7,14,186
47035970800,2506,953,1222,331,0,0,2311,23,5,13,21,133
47125100100,448,308,47,93,0,0,284,19,104,1,7,33
47125100200,764,442,149,173,0,0,552,22,115,3,4,68
47125100300,2914,1585,689,640,0,0,2072,136,483,24,17,182
47125100500,2749,1454,706,589,0,0,2040,129,377,21,23,159
47125100601,1527,539,678,310,0,0,1319,47,49,10,11,91
47125100602,1729,747,597,385,0,0,1439,60,60,18,19,133
47125100800,1004,704,92,208,0,0,434,59,449,8,9,45
47125100900,1057,732,105,220,0,0,484,81,428,7,5,52
47125101001,2060,1257,373,430,0,0,1279,169,453,29,18,112
47125101002,1878,1074,327,477,0,0,918,149,666,28,16,101
47125101101,1340,809,212,319,0,0,799,104,344,16,11,66
47125101102,4169,2751,661,757,0,0,2568,314,949,47,43,248
47125101103,1326,718,399,209,0,0,1036,92,96,13,9,80
47125101201,1199,767,131,301,0,0,439,148,542,20,4,46
