GEOID20,total_reg,party_rep,party_npp,party_dem,party_ain,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
49017000300,1339,1023,225,58,19,5,0,3,0,1208,32,0,15,5,79
49017000400,1508,1009,330,132,22,7,3,3,0,1336,35,0,17,20,100
49031960100,891,721,133,19,13,5,0,0,0,804,19,0,4,2,62
49011125102,2408,1533,572,206,64,19,0,7,0,2084,86,0,41,19,178
49011125103,2575,1394,792,238,97,34,2,4,0,2149,157,3,52,22,192
49011125104,3026,1740,846,315,68,30,2,8,0,2617,107,4,59,26,213
49011125201,334,129,127,51,14,11,0,0,0,254,37,8,5,4,26
49011125301,1893,774,703,292,75,33,2,8,0,1514,203,5,33,12,126
49011125304,2151,1067,701,266,77,22,2,7,0,1719,207,16,30,22,157
49011125305,2722,1365,875,347,93,23,5,6,0,2234,252,10,48,24,154
49011125306,1673,861,532,187,54,18,3,8,0,1360,139,2,31,20,121
49011125307,3784,2166,1105,344,102,39,6,6,0,3173,269,17,52,22,251
49011125407,3902,2377,1067,290,110,34,5,6,0,3387,147,5,48,33,282
49011125408,2888,1693,816,255,71,27,2,13,0,2476,150,2,43,22,195
49011125409,2411,1368,714,213,65,27,0,11,0,2079,141,3,22,20,146
49011125410,1889,1156,505,143,43,26,2,5,0,1614,100,5,26,13,131
49011125411,2571,1432,749,234,99,37,1,8,0,2127,157,6,37,19,225
49011125412,999,471,357,125,26,10,4,2,0,790,100,1,19,10,79
49011125413,2946,1919,728,192,68,22,2,6,0,2544,115,1,51,27,208
49011125414,1996,1039,624,234,60,26,0,4,0,1583,183,5,39,17,169
49011125415,1844,1098,487,179,49,20,1,8,0,1525,148,3,30,9,129
49011125501,2887,1384,979,355,103,41,4,8,0,2387,220,5,51,27,197
49011125502,1965,866,696,279,73,27,1,9,0,1521,244,6,26,22,146
49011125503,2358,1248,738,241,92,26,2,6,0,1982,165,2,32,25,152
49011125600,188,44,101,21,16,2,2,1,0,115,31,2,5,4,31
49011125701,1295,504,481,224,53,20,1,5,0,994,156,8,29,15,93
49011125702,1390,610,504,172,63,18,2,13,0,1096,157,1,25,10,101
49011125801,2318,994,768,389,93,45,6,14,0,1825,269,9,42,20,153
49011125804,3280,1834,909,358,104,53,3,5,0,2712,198,11,68,34,257
49011125805,2326,1055,755,358,95,22,6,16,0,1771,254,13,52,36,200
49011125807,1023,419,345,183,42,18,2,6,0,820,115,4,13,6,65
49011125809,1191,538,355,213,52,16,0,9,0,937,118,10,21,12,93
49011125810,945,383,294,212,39,9,2,2,0,709,97,6,26,19,88
