GEOID20,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
53029970100,1996,731,910,355,0,0,1640,99,5,29,27,196
53029970200,303,153,37,113,0,0,205,49,5,11,3,30
53029970300,4088,1521,1875,692,0,0,3328,223,13,69,35,420
53029970401,2184,896,830,458,0,0,1665,232,14,53,43,177
53029970402,1552,719,420,413,0,0,1102,196,13,29,41,171
53029970500,4453,1794,1950,709,0,0,3500,355,15,88,74,421
53029970601,2193,1074,645,474,0,0,1580,268,40,55,42,208
53029970602,2046,929,680,437,0,0,1559,202,21,38,34,192
53029970700,1191,682,283,226,0,0,916,107,17,32,17,102
53029970800,1663,724,614,325,0,0,1288,177,13,10,20,155
53029970900,1013,673,187,153,0,0,685,152,43,18,13,102
53029971000,3895,1989,1342,564,0,0,3223,147,9,68,48,400
53029971100,2855,1490,912,453,0,0,2438,96,0,27,26,268
53029971301,2148,1362,516,270,0,0,1827,46,2,26,37,210
53029971302,2161,1338,553,270,0,0,1837,50,2,38,30,204
53029971400,4138,1888,1697,553,0,0,3471,113,1,65,80,408
53029971500,3417,1548,1380,489,0,0,2922,89,3,41,42,320
53029971600,3458,1654,1308,496,0,0,2896,122,1,52,49,338
53029971700,3648,1838,1265,545,0,0,3063,115,1,51,57,361
53029971800,2531,1546,648,337,0,0,2102,60,4,37,31,297
53029971900,3507,2364,733,410,0,0,2905,83,0,45,59,415
53029972000,3626,2515,704,407,0,0,2984,95,4,72,59,412
53029972100,3246,2006,775,465,0,0,2713,99,2,52,46,334
53029992201,0,0,0,0,0,0,0,0,0,0,0,0
53041970100,2713,761,1475,477,0,0,2323,102,2,16,21,249
53041970200,2649,885,1347,417,0,0,2197,129,2,36,23,262
53041970300,3382,1420,1356,606,0,0,2737,235,7,42,38,323
53041970400,3647,1429,1370,848,0,0,2927,307,5,40,44,324
53041970500,1517,620,499,398,0,0,1255,102,6,32,16,106
53041970600,1297,512,400,385,0,0,1042,91,5,16,20,123
53041970700,2451,1403,750,298,0,0,1965,237,1,22,23,203
53041970800,2901,1086,1143,672,0,0,2386,165,6,44,38,262
53041970900,1020,509,341,170,0,0,835,82,1,13,12,77
53041971000,2068,774,851,443,0,0,1674,133,1,35,20,205
53041971100,3118,888,1628,602,0,0,2661,129,7,24,35,262
53041971200,2716,749,1419,548,0,0,2327,94,2,18,16,259
53041971300,3927,1078,2056,793,0,0,3339,207,5,25,27,324
53041971400,2151,582,1093,476,0,0,1822,77,1,35,18,198
53041971501,1985,641,903,441,0,0,1624,127,4,6,16,208
53041971502,3526,953,1951,622,0,0,3059,81,1,28,22,335
53041971600,2932,1191,1343,398,0,0,2450,119,2,21,22,318
53041971700,3830,1237,1960,633,0,0,3269,137,5,35,43,341
53041971800,3438,1124,1702,612,0,0,2915,86,2,34,27,374
53041971900,2069,631,983,455,0,0,1807,58,1,14,10,179
53041972000,2219,845,956,418,0,0,1899,56,0,24,18,222
53027000201,6040,3135,2080,825,0,0,5038,203,11,100,67,621
53027000202,1552,747,470,335,0,0,1311,47,6,25,21,142
53027000300,2260,833,1054,373,0,0,1888,75,4,19,32,242
53027000401,2267,911,991,365,0,0,1963,47,0,11,23,223
53027000402,2696,1245,941,510,0,0,2281,90,2,26,23,274
