GEOID20,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
55085970101,2340,878,298,1164,0,0,1888,17,2,7,26,400
55085970103,903,501,127,275,0,0,769,14,0,1,5,114
55085970104,2284,1049,395,840,0,0,1840,26,0,8,34,376
55085970400,2249,1077,427,745,0,0,1861,15,0,7,29,337
55085970500,1511,872,297,342,0,0,1219,16,3,12,24,237
55085970601,1586,843,354,389,0,0,1309,22,0,7,17,231
55085970603,1517,785,315,417,0,0,1269,7,0,8,14,219
55085970604,1443,759,241,443,0,0,1161,5,0,6,18,253
55085970800,2221,867,383,971,0,0,1766,47,0,12,26,370
55085970900,2240,1024,416,800,0,0,1809,22,2,7,21,379
55085971001,1109,554,196,359,0,0,931,10,0,9,19,140
55085971002,2800,1180,382,1238,0,0,2281,30,1,19,33,436
55085971100,1813,990,346,477,0,0,1489,10,0,10,10,294
55085971300,2273,902,309,1062,0,0,1867,18,0,22,19,347
55085971400,3513,1048,572,1893,0,0,2841,37,1,34,31,569
55085971500,4198,1147,650,2401,0,0,3413,46,1,15,45,678
55075960100,2210,1058,298,854,0,0,1841,21,1,5,22,320
55075960200,3817,1348,390,2079,0,0,3035,55,3,22,49,653
55075960600,1836,936,260,640,0,0,1501,21,1,5,21,287
55075960700,2497,1239,304,954,0,0,1958,28,2,14,33,462
55075960800,2065,963,281,821,0,0,1715,19,0,7,35,289
55075960900,2053,1169,333,551,0,0,1652,28,2,7,32,332
55075961000,2702,1357,459,886,0,0,2127,32,2,20,23,498
55075961100,3519,1709,590,1220,0,0,2880,37,4,19,33,546
55075961200,2098,1191,431,476,0,0,1718,28,0,6,42,304
55075961300,2276,902,416,958,0,0,1847,44,1,22,13,349
55075961400,3016,1085,496,1435,0,0,2391,61,5,15,46,498
55075961500,2521,1053,428,1040,0,0,2063,47,2,18,21,370
55075990000,0,0,0,0,0,0,0,0,0,0,0,0
55017010100,2339,931,624,784,0,0,1813,23,7,131,22,343
55017010200,5137,2133,1312,1692,0,0,4102,71,3,87,49,825
55017010300,4039,1451,1167,1421,0,0,3277,46,3,37,44,632
55017010400,4285,2241,1152,892,0,0,3488,42,2,72,28,653
55017010500,4070,1199,956,1915,0,0,3263,55,7,40,37,668
55017010700,6314,3084,1681,1549,0,0,5158,50,2,45,79,980
55017010800,3801,1762,977,1062,0,0,3175,38,3,13,33,539
55017010900,3137,1448,634,1055,0,0,2595,47,1,25,38,431
55017011001,2281,1025,489,767,0,0,1865,25,1,9,22,359
55017011002,3174,1776,730,668,0,0,2623,25,1,12,37,476
55017011100,3106,1594,570,942,0,0,2510,23,0,14,38,521
55017011200,4871,2599,995,1277,0,0,3886,28,1,22,31,903
55077960100,2041,975,394,672,0,0,1663,19,2,12,22,323
55077960200,1822,854,386,582,0,0,1454,23,5,5,17,318
55077960300,2906,1342,613,951,0,0,2421,38,4,12,25,406
55077960400,1752,853,379,520,0,0,1501,19,0,10,7,215
55077960500,2451,1059,506,886,0,0,2057,40,1,16,22,315
55081950100,3201,1699,532,970,0,0,2623,44,8,20,56,450
55081950200,3519,1800,665,1054,0,0,2961,50,3,18,40,447
55081950300,4514,1631,760,2123,0,0,3749,131,15,39,35,545
55081950400,3606,1261,619,1726,0,0,3019,95,3,24,44,421
55081950500,4148,1836,786,1526,0,0,3362,94,27,27,43,595
55081950600,2816,829,442,1545,0,0,2287,91,18,14,40,366
55081950700,2747,1414,526,807,0,0,2308,26,1,10,23,379
55081950800,2516,1205,528,783,0,0,2076,54,0,16,16,354
