BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_con,party_grn,party_lbl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_23,eth2_30,eth2_10,eth2_34,eth2_14,eth2_21,eth2_unk
100030002001,650,470,81,89,7,0,0,1,1,1,0,304,24,256,14,18,34,304,256,24,3,0,9,12,1,0,34
100030002002,638,534,33,65,3,0,0,1,0,2,0,58,22,528,5,6,19,58,528,22,2,5,1,0,2,0,19
100030002003,749,630,22,85,4,2,1,2,1,2,0,76,20,618,6,5,24,76,618,20,4,2,0,0,0,1,24
100030002004,517,442,16,54,1,2,0,0,1,1,0,34,11,443,5,9,15,34,442,11,2,6,1,2,1,1,15
100030002005,788,665,31,70,2,0,1,1,0,18,0,88,29,634,8,14,15,88,632,29,3,9,1,4,2,0,15
100030002006,991,808,45,126,1,4,2,1,0,4,0,137,32,786,14,5,17,137,786,31,6,4,8,1,0,0,17
100030003001,449,381,21,42,0,0,0,0,0,5,0,25,20,399,2,2,1,25,398,20,1,2,1,0,0,0,1
100030003002,822,674,36,92,8,0,0,1,0,11,0,43,33,719,7,8,12,43,718,32,2,6,2,1,2,1,12
100030003003,1091,839,67,159,14,3,0,0,0,9,0,245,41,741,10,22,32,245,740,40,4,15,4,2,1,1,32
100030004001,739,513,93,117,7,3,1,0,1,4,0,387,29,248,9,11,55,387,248,28,3,4,2,6,1,0,55
100030004002,961,757,59,122,4,1,0,1,1,16,0,182,42,687,7,15,28,182,687,42,3,10,0,1,3,0,28
100030004003,619,485,54,69,5,0,0,2,0,4,0,282,36,249,8,4,40,282,248,36,3,3,3,1,1,0,40
100030005001,643,530,24,66,3,1,0,2,1,16,0,39,29,546,7,8,14,39,544,29,1,6,4,0,1,1,14
100030005002,762,636,34,72,2,0,0,0,0,18,0,34,36,666,11,7,8,34,666,35,8,7,1,0,1,0,8
100030005003,575,476,17,65,5,0,1,0,1,10,0,54,20,485,5,8,3,54,485,20,2,8,2,0,0,0,3
100030005004,598,466,36,85,3,2,0,1,1,4,0,116,26,420,7,3,26,116,420,26,1,2,5,1,0,1,26
100030006011,815,689,26,83,5,0,0,0,0,12,0,45,30,703,8,18,11,45,702,30,3,14,3,1,0,1,11
