BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_grn,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_30,eth2_10,eth2_34,eth2_93,eth2_23,eth2_21,eth2_14,eth2_unk
230179651001,61,9,27,22,3,0,0,0,52,1,0,0,0,8,52,1,0,0,0,0,0,0,0,8
230179651002,598,126,249,187,36,0,0,0,550,0,0,2,3,43,550,0,2,1,1,0,1,0,0,43
230179651003,89,37,24,24,4,0,0,0,86,0,0,0,0,3,86,0,0,0,0,0,0,0,0,3
230179651004,242,70,76,87,9,0,0,0,223,2,0,1,0,16,223,2,0,0,0,0,0,0,0,16
230179651005,148,43,65,36,4,0,0,0,135,0,0,1,0,12,135,0,0,0,0,0,0,0,0,12
230179654001,879,280,325,219,54,0,1,0,824,7,1,3,7,37,824,7,0,3,0,1,0,0,0,37
230179654002,942,355,379,169,39,0,0,0,858,5,1,11,6,61,858,5,4,5,1,1,0,4,0,61
230179654003,363,117,132,98,16,0,0,0,341,0,0,2,2,18,341,0,0,0,0,0,1,0,0,18
230179655001,932,282,347,268,35,0,0,0,857,13,0,3,4,55,857,13,4,0,0,0,0,0,0,55
230179655002,609,201,264,108,36,0,0,0,544,11,2,1,6,45,544,8,3,0,1,2,0,0,1,45
230179656001,910,352,337,175,46,0,0,0,836,13,0,1,4,56,836,13,2,0,1,0,0,1,0,56
230179656002,709,271,245,163,30,0,0,0,629,10,0,2,3,65,629,10,2,1,0,0,0,0,1,65
230179656003,977,331,350,251,45,0,0,0,874,9,2,1,5,86,874,8,2,1,0,2,0,0,0,86
230179657001,820,211,287,278,44,0,0,0,739,16,1,0,6,58,739,15,4,0,1,1,0,0,0,58
230179657002,1672,381,666,492,131,1,1,0,1522,12,0,10,8,120,1522,11,2,7,6,0,0,0,2,120
230179658001,609,165,259,161,24,0,0,0,574,5,0,1,2,27,574,5,1,0,1,0,0,0,0,27
230179658002,578,164,232,152,30,0,0,0,551,1,0,4,1,21,551,0,1,0,0,0,0,1,2,21
230179658003,713,169,270,228,46,0,0,0,663,3,0,1,5,41,663,3,0,0,1,0,0,0,0,41
230179658004,943,216,347,311,69,0,0,0,863,8,0,3,3,66,863,8,3,0,0,0,3,0,0,66
230179659001,647,177,244,215,11,0,0,0,598,10,0,3,1,35,598,9,0,0,0,0,0,2,0,35
230179659002,1124,375,431,285,33,0,0,0,1009,4,0,15,10,86,1009,4,2,1,3,0,3,2,3,86
230179659003,766,210,303,229,24,0,0,0,708,12,1,1,3,41,708,11,0,0,0,1,0,0,0,41
230179660011,1023,264,358,328,73,0,0,0,916,13,0,4,5,85,916,13,0,2,2,0,0,1,0,85
230179660012,677,182,284,181,30,0,0,0,606,7,0,5,2,57,606,5,1,1,1,0,0,2,0,57
230179660021,923,268,318,294,43,0,0,0,830,13,0,3,18,59,830,9,3,1,5,0,2,0,0,59
230179661001,1201,309,487,379,26,0,0,0,1105,14,1,5,7,69,1105,14,1,3,6,1,0,1,1,69
230179662001,1025,270,377,322,55,0,1,0,954,8,2,2,4,55,954,8,1,0,0,2,0,0,0,55
230179662002,1417,411,463,464,77,1,1,0,1266,15,0,7,11,118,1266,13,4,0,3,0,2,1,3,118
230179662003,550,174,203,142,30,1,0,0,489,9,0,4,6,42,489,9,0,1,1,0,0,0,1,42
230179662004,670,142,256,232,38,1,1,0,621,8,0,3,1,37,621,8,0,2,0,0,1,0,0,37
230179663001,372,74,185,111,2,0,0,0,344,2,0,0,6,20,344,2,1,0,0,0,0,0,0,20
230179663002,937,243,324,307,63,0,0,0,834,20,2,2,7,72,834,20,1,0,4,2,0,0,2,72
230179663003,603,121,309,167,6,0,0,0,555,11,0,2,4,31,555,11,1,2,0,0,0,0,0,31
230179663004,403,69,209,121,4,0,0,0,373,4,0,2,5,19,373,4,0,2,2,0,0,0,0,19
230179664011,1443,401,475,481,86,0,0,0,1324,20,0,4,7,88,1324,19,0,4,5,0,0,0,0,88
230179664012,1103,226,446,355,75,0,1,0,1018,11,1,2,5,66,1018,11,1,1,0,1,1,0,0,66
230179664013,485,125,158,184,18,0,0,0,430,7,1,3,4,40,430,7,2,0,0,1,1,1,0,40
230179664021,700,140,268,257,33,0,2,0,645,7,0,4,3,41,645,7,0,2,2,0,0,1,0,41
230179664022,544,118,209,198,19,0,0,0,496,9,0,1,5,33,496,9,0,0,3,0,0,0,1,33
230179664023,382,70,133,157,22,0,0,0,348,5,0,0,3,26,348,5,0,0,3,0,0,0,0,26
230179665001,547,197,195,131,24,0,0,0,512,5,0,3,1,26,512,5,0,2,1,0,0,0,0,26
230179665002,1039,339,356,292,52,0,0,0,961,9,2,5,10,52,961,8,1,1,7,2,1,0,0,52
230179665003,457,135,166,121,35,0,0,0,394,7,1,3,5,47,394,6,1,2,0,1,0,1,0,47
230179665004,1021,320,321,341,39,0,0,0,913,4,0,4,12,88,913,4,5,2,5,0,0,1,1,88
230179665005,869,229,329,262,49,0,0,0,809,14,1,1,5,39,809,14,0,0,5,1,0,1,0,39
230179666001,495,160,131,192,12,0,0,0,460,1,1,4,1,28,460,1,1,3,0,1,0,0,1,28
230179666002,679,186,218,239,36,0,0,0,627,4,0,1,4,43,627,4,0,1,3,0,0,0,0,43
230179666003,606,195,220,156,35,0,0,0,554,4,1,3,1,43,554,3,0,1,0,1,2,0,0,43
230179666004,636,212,230,172,22,0,0,0,578,13,0,4,3,38,578,8,1,4,0,0,0,0,0,38
230179667001,1471,467,507,424,73,0,0,0,1332,8,0,4,13,114,1332,8,3,1,4,0,0,3,0,114
230179667002,752,254,258,193,47,0,0,0,684,12,0,3,8,45,684,12,0,0,1,0,1,0,1,45
230179667003,613,201,239,153,20,0,0,0,533,10,0,5,0,65,533,9,0,3,0,0,1,0,0,65
230179668001,1025,297,357,340,31,0,0,0,906,11,0,1,4,103,906,9,1,0,0,0,0,0,0,103
230179668002,1157,343,417,328,69,0,0,0,1055,21,0,5,11,65,1055,17,3,3,3,0,0,1,1,65
