BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_21,eth2_34,eth2_23,eth2_15,eth2_14,eth2_12,eth2_61,eth2_55,eth2_38,eth2_35,eth2_59,eth2_81,eth2_32,eth2_85,eth2_33,eth2_19,eth2_29,eth2_13,eth2_18,eth2_66,eth2_unk
271119601021,593,332,103,158,0,0,471,3,0,5,10,104,471,3,0,0,0,0,0,1,0,2,2,0,0,7,2,0,0,1,0,0,0,0,0,0,0,104
271119601022,735,361,113,261,0,0,618,5,0,2,1,109,618,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,109
271119601023,615,351,92,172,0,0,511,3,0,6,1,94,511,3,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
271119601031,772,347,133,292,0,0,610,4,0,3,2,153,610,4,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,153
271119601032,415,199,34,182,0,0,335,1,0,2,2,75,335,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
271119601033,490,276,33,181,0,0,420,1,0,5,7,57,420,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,57
271119603001,643,311,114,218,0,0,530,14,0,3,9,87,530,14,0,6,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87
271119603002,598,131,203,264,0,0,343,83,14,25,62,71,343,83,14,54,5,16,0,0,0,4,0,1,0,0,2,2,0,0,0,1,0,1,0,0,0,71
271119603003,589,149,206,234,0,0,382,76,14,2,44,71,382,76,14,35,0,2,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,1,0,0,0,71
271119604001,479,250,90,139,0,0,385,3,0,3,1,87,385,3,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87
271119604002,810,430,169,211,0,0,675,8,0,6,9,112,675,8,0,0,2,1,7,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,112
271119604003,458,237,85,136,0,0,378,3,0,11,1,65,378,2,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65
271119605001,567,276,102,189,0,0,446,11,0,4,1,105,446,11,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
271119605002,953,284,232,437,0,0,760,11,2,3,9,168,760,11,2,1,1,1,3,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,168
271119605003,914,223,256,435,0,0,697,25,1,12,6,173,697,25,1,3,2,2,1,3,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,173
271119605004,811,459,133,219,0,0,668,6,0,1,5,131,668,6,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,131
271119606001,792,376,141,275,0,0,675,12,0,0,3,102,675,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,102
271119606002,558,273,101,184,0,0,479,0,0,3,4,72,479,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,72
271119606003,695,165,168,362,0,0,565,8,0,2,4,116,565,8,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,116
271119606004,834,458,193,183,0,0,668,10,0,0,7,149,668,10,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,149
271119607001,865,463,157,245,0,0,658,9,1,4,6,187,658,9,1,1,1,0,1,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,187
271119607002,920,453,235,232,0,0,735,12,1,14,9,149,735,12,1,4,2,9,2,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,149
271119608001,447,207,99,141,0,0,358,21,0,4,5,59,358,21,0,0,0,3,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,59
271119608002,975,480,140,355,0,0,791,9,1,7,10,157,791,9,1,3,2,4,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,157
271119608003,811,417,156,238,0,0,696,3,0,5,8,99,696,3,0,0,1,0,2,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,3,0,0,99
271119609001,848,235,221,392,0,0,678,8,6,12,9,135,678,8,6,4,3,6,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,135
271119609002,693,194,165,334,0,0,551,13,2,5,5,117,551,13,2,1,1,4,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,117
271119609003,359,104,105,150,0,0,288,8,0,2,3,58,288,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,58
271119609004,309,68,82,159,0,0,243,5,1,5,1,54,243,5,1,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54
271119609005,425,100,116,209,0,0,349,7,1,7,9,52,349,7,1,0,4,2,3,0,0,1,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,52
271119609006,861,274,218,369,0,0,693,12,1,11,10,134,693,11,1,2,1,3,3,3,0,0,2,1,0,0,0,0,1,1,1,0,0,0,2,0,1,134
271119610001,1279,492,273,514,0,0,1049,11,1,6,17,195,1049,11,1,5,3,0,8,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,195
271119610002,496,124,136,236,0,0,420,10,1,1,5,59,420,10,1,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59
271119610003,475,78,101,296,0,0,392,7,0,3,2,71,392,7,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71
271119610004,453,63,339,51,0,0,374,8,0,2,3,66,374,8,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66
271119611001,472,121,146,205,0,0,386,11,1,4,1,69,386,11,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
271119611002,656,193,166,297,0,0,563,5,0,2,13,73,563,5,0,2,1,0,1,0,0,0,1,1,0,1,6,2,0,0,0,0,0,0,0,0,0,73
271119611003,1177,547,124,506,0,0,963,6,0,6,7,195,963,6,0,2,1,0,1,0,0,2,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,195
271119611004,674,415,38,221,0,0,584,0,1,0,3,86,584,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,86
271119612001,833,414,169,250,0,0,697,5,0,7,4,120,697,5,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,120
271119612002,978,398,199,381,0,0,814,7,0,6,9,142,814,7,0,2,1,1,2,1,0,1,2,0,0,0,0,0,1,0,1,3,0,0,0,0,0,142
