BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_66,eth2_93,eth2_35,eth2_21,eth2_14,eth2_12,eth2_unk
330150033011,1767,710,433,624,0,0,1466,71,2,10,32,186,1466,61,13,4,2,4,10,2,5,2,1,1,186
330150033012,1476,540,406,530,0,0,1234,72,1,18,29,122,1234,65,8,6,1,4,7,1,6,4,1,4,122
330150033021,1540,630,402,508,0,0,1273,65,3,22,27,150,1273,59,11,6,11,5,6,3,0,3,1,0,150
330150033022,539,241,113,185,0,0,463,20,3,3,7,43,463,19,4,0,2,1,1,3,0,0,1,0,43
330150033023,866,330,242,294,0,0,741,44,0,5,11,65,741,40,2,1,0,2,4,0,0,1,2,1,65
330150034001,1385,574,396,415,0,0,1127,62,8,19,26,143,1127,55,10,8,4,5,7,8,5,3,1,2,143
330150034002,561,230,149,182,0,0,454,25,2,9,10,61,454,25,4,5,1,3,0,2,2,2,1,0,61
330150034003,986,381,299,306,0,0,826,50,1,6,15,88,826,41,8,0,0,3,9,1,1,1,3,2,88
330150034004,507,179,168,160,0,0,422,29,1,5,7,43,422,24,0,0,2,4,5,1,0,3,0,0,43
330150035001,863,331,236,296,0,0,730,27,2,11,20,73,730,24,3,1,5,6,3,2,2,0,2,1,73
330150035002,1174,487,336,351,0,0,982,52,2,17,21,100,982,45,7,2,9,2,7,2,5,0,3,3,100
330150035003,1269,521,376,372,0,0,1045,65,5,12,16,126,1045,61,4,5,3,6,4,5,2,3,1,0,126
330150035004,649,267,172,210,0,0,535,35,0,6,14,59,535,34,4,0,2,8,1,0,1,0,4,0,59
330150036011,585,230,141,214,0,0,502,18,1,4,22,38,502,17,7,0,2,2,1,1,9,1,0,0,38
330150036012,1758,690,492,576,0,0,1433,84,7,42,39,153,1433,71,14,3,28,6,13,7,9,7,2,0,153
330150036013,636,241,174,221,0,0,559,9,2,5,20,41,559,8,10,2,0,7,1,2,0,0,2,0,41
330150036014,1621,622,431,568,0,0,1308,63,8,18,33,191,1308,57,18,9,2,8,6,8,1,3,4,0,191
330150036021,1158,479,298,381,0,0,959,40,2,11,24,122,959,37,8,5,3,4,3,2,2,1,2,0,122
330150036022,1098,444,241,413,0,0,934,21,4,17,19,103,934,19,8,4,6,6,2,4,4,0,3,4,103
330150036023,1864,765,491,608,0,0,1571,56,3,28,50,156,1571,51,25,7,10,15,5,3,1,8,1,0,156
330150037011,1179,425,363,391,0,0,995,45,4,13,22,100,995,38,6,8,4,2,7,4,4,0,0,1,100
330150037012,1486,482,458,546,0,0,1295,32,6,16,23,114,1295,27,6,9,0,2,5,6,7,2,2,3,114
330150037031,1595,557,389,649,0,0,1349,56,2,32,28,128,1349,51,8,10,11,9,5,2,1,2,3,4,128
330150037032,1268,409,340,519,0,0,1026,51,0,25,36,130,1026,40,14,3,16,4,11,0,7,1,3,1,130
330150037033,1134,401,324,409,0,0,927,34,2,21,35,115,927,32,15,9,0,6,2,2,4,0,10,2,115
330150038011,1333,455,409,469,0,0,1126,52,2,8,29,116,1126,48,20,4,0,5,4,2,0,0,1,3,116
330150038012,902,336,235,331,0,0,766,17,5,19,16,79,766,15,3,11,5,9,2,5,2,1,2,0,79
330150038013,1283,481,347,455,0,0,1073,44,1,14,24,127,1073,41,8,10,0,5,3,1,2,0,1,2,127
330150038021,1921,651,527,743,0,0,1593,76,2,35,45,170,1593,73,12,14,12,20,3,2,0,0,3,2,170
330150038022,1273,432,350,491,0,0,1049,30,0,19,23,152,1049,30,9,11,5,8,0,0,4,1,1,1,152
330150039011,2025,698,605,722,0,0,1694,70,4,14,57,186,1694,68,19,3,6,12,2,4,11,1,3,0,186
330150039012,888,313,253,322,0,0,773,38,0,8,14,55,773,31,3,2,2,3,7,0,5,1,1,1,55
330150039021,1693,595,484,614,0,0,1404,48,0,34,35,172,1404,47,8,10,12,18,1,0,3,4,5,3,172
330150039022,849,317,230,302,0,0,734,28,0,4,15,68,734,25,9,0,0,4,3,0,1,0,1,3,68
330150040001,1441,511,326,604,0,0,1236,46,1,4,20,134,1236,40,6,2,0,6,6,1,0,1,0,1,134
330150040002,1695,611,384,700,0,0,1431,58,3,12,36,155,1431,52,10,6,5,8,6,3,8,0,1,0,155
330150040003,1316,493,291,532,0,0,1089,36,0,17,35,139,1089,29,10,4,8,13,7,0,5,0,2,1,139
330150500001,970,342,225,403,0,0,829,17,0,11,18,95,829,16,12,2,7,0,1,0,0,0,1,0,95
330150500002,2330,768,538,1024,0,0,2009,48,3,23,27,220,2009,41,5,5,7,9,7,3,5,1,3,6,220
330150510001,2239,921,424,894,0,0,1917,44,2,13,30,233,1917,40,11,2,7,10,4,2,3,2,1,1,233
330150510002,1723,690,376,657,0,0,1467,49,1,13,28,165,1467,44,4,4,2,7,5,1,5,2,3,2,165
330150520001,1294,496,266,532,0,0,1141,26,0,7,20,100,1141,25,3,1,2,6,1,0,5,0,3,1,100
330150520002,1985,811,422,752,0,0,1681,61,1,12,44,186,1681,53,12,4,1,8,8,1,15,1,3,3,186
330150520003,1297,577,280,440,0,0,1130,44,0,6,18,99,1130,37,5,3,1,7,7,0,4,0,2,0,99
330150530001,1504,631,337,536,0,0,1297,64,5,6,9,123,1297,57,3,1,3,0,7,5,5,0,2,0,123
330150530002,1706,661,375,670,0,0,1506,24,4,16,23,133,1506,18,8,6,6,5,6,4,3,0,2,1,133
330150540001,1945,800,446,699,0,0,1694,43,0,8,27,173,1694,34,4,6,0,12,9,0,5,0,2,0,173
330150540002,1540,654,316,570,0,0,1363,37,1,2,33,104,1363,34,4,2,0,8,3,1,13,0,0,0,104
330150550011,1092,450,259,383,0,0,947,29,9,9,8,90,947,29,2,1,1,3,0,9,1,2,1,4,90
330150550012,1054,416,194,444,0,0,930,20,0,6,15,83,930,20,9,2,1,3,0,0,3,1,2,0,83
330150550013,846,310,206,330,0,0,735,25,0,4,19,63,735,23,2,4,0,9,2,0,5,0,0,0,63
330150550014,1193,511,248,434,0,0,1065,25,3,6,14,80,1065,22,6,4,0,3,3,3,2,2,0,0,80
330150550021,1004,372,258,374,0,0,888,30,0,4,5,77,888,26,0,0,0,2,4,0,0,1,0,1,77
330150550022,1071,448,256,367,0,0,959,31,2,8,16,55,959,28,4,1,3,5,3,2,2,0,2,2,55
330150550023,1102,456,274,372,0,0,960,35,0,4,20,83,960,34,1,1,1,6,1,0,9,0,0,1,83
330150560001,1320,485,317,518,0,0,1182,20,1,6,17,94,1182,20,2,1,0,6,0,1,0,0,1,1,94
330150560002,1310,461,292,557,0,0,1170,27,2,3,12,96,1170,26,3,0,1,6,1,2,0,1,0,1,96
330150560003,938,347,212,379,0,0,824,16,3,4,13,78,824,15,1,0,0,11,1,3,0,0,1,3,78
330150570001,1246,549,306,391,0,0,1086,20,7,11,14,108,1086,17,4,4,2,6,3,7,1,0,4,1,108
330150570002,1201,528,301,372,0,0,1017,26,0,10,18,130,1017,24,3,0,0,4,2,0,2,1,3,4,130
330150570003,1098,540,267,291,0,0,985,14,0,8,15,76,985,13,1,1,2,2,1,0,3,0,1,1,76
330150580001,882,376,235,271,0,0,781,15,1,2,10,73,781,12,2,0,1,5,3,1,1,0,1,0,73
330150580002,1830,816,576,438,0,0,1567,42,5,26,28,162,1567,40,10,6,6,5,2,5,6,9,3,1,162
330150580003,2140,920,560,660,0,0,1886,50,5,19,23,157,1886,43,6,9,3,10,7,5,1,2,2,3,157
330150590001,1158,479,317,362,0,0,1013,30,3,6,19,87,1013,26,12,1,1,1,4,3,1,1,0,2,87
330150590002,1723,728,469,526,0,0,1498,19,0,10,18,178,1498,18,4,3,2,6,1,0,4,1,1,2,178
330150590003,2433,1103,576,754,0,0,2129,61,1,17,44,181,2129,50,9,8,3,18,11,1,11,3,3,0,181
330150600001,1388,483,418,487,0,0,1182,41,1,14,14,136,1182,40,5,5,3,2,1,1,0,3,1,2,136
330150600002,1903,763,562,578,0,0,1619,37,3,18,39,187,1619,32,19,9,6,6,5,2,3,0,0,1,187
330150610011,1924,570,839,515,0,0,1652,33,4,26,29,180,1652,33,9,12,9,7,0,4,4,1,2,2,180
330150610012,2119,781,769,569,0,0,1785,41,2,27,26,238,1785,37,3,13,5,7,4,2,5,0,5,3,238
330150610013,1527,537,647,343,0,0,1276,40,2,22,26,161,1276,40,11,7,8,5,0,2,5,0,2,3,161
330150620001,1803,635,450,718,0,0,1610,25,0,6,20,142,1610,22,4,1,1,9,3,0,2,4,0,0,142
330150625001,688,274,212,202,0,0,594,13,0,4,14,63,594,12,5,0,0,6,1,0,0,0,3,0,63
330150625002,1722,772,437,513,0,0,1504,19,0,20,27,152,1504,18,6,7,7,11,1,0,0,2,1,1,152
