BlockGroupID,total_reg,party_npp,party_rep,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_93,eth2_64,eth2_30,eth2_23,eth2_10,eth2_34,eth2_21,eth2_14,eth2_12,eth2_32,eth2_85,eth2_61,eth2_35,eth2_66,eth2_33,eth2_55,eth2_38,eth2_unk
470359701011,1435,393,798,244,0,0,1240,24,2,5,18,146,1240,1,1,23,7,1,3,9,1,0,0,0,1,1,0,1,0,0,0,146
470359701012,1421,382,826,213,0,0,1237,17,0,7,13,147,1237,0,0,17,0,0,2,8,1,0,4,0,0,0,0,0,2,1,0,147
470359701013,1206,418,614,174,0,0,1051,16,3,3,16,117,1051,1,2,14,1,0,1,3,2,0,0,2,0,2,3,2,2,1,2,117
470359701031,703,227,331,145,0,0,595,12,0,3,9,84,595,0,0,10,1,0,0,2,0,2,1,0,1,0,1,2,0,3,1,84
470359701032,809,364,323,122,0,0,730,11,0,1,3,64,730,0,0,11,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,64
470359701033,884,313,391,180,0,0,751,18,2,5,8,100,751,2,0,16,1,2,3,4,0,0,0,0,0,0,0,2,0,2,1,100
470359701041,831,277,407,147,0,0,731,10,2,2,8,78,731,1,1,7,6,0,2,0,0,0,0,0,2,0,0,3,0,0,0,78
470359701042,340,151,140,49,0,0,295,3,2,3,1,36,295,1,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,36
470359701043,1543,474,795,274,0,0,1356,22,3,6,12,144,1356,1,2,22,1,3,0,5,0,0,2,0,0,1,0,0,0,2,3,144
470359702011,538,234,243,61,0,0,494,9,1,5,4,25,494,1,0,9,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,25
470359702012,1314,427,728,159,0,0,1199,20,0,9,13,73,1199,0,0,20,6,1,1,5,2,0,5,0,0,1,0,0,1,0,0,73
470359702013,1338,447,735,156,0,0,1205,30,0,1,4,98,1205,0,0,30,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,98
470359702021,1209,467,618,124,0,0,1132,7,0,4,5,61,1132,0,0,7,1,1,0,4,1,2,0,0,0,0,0,0,0,0,0,61
470359703011,664,294,282,88,0,0,599,17,1,2,11,34,599,1,0,17,1,1,1,0,0,0,0,0,0,1,5,0,0,2,0,34
470359703012,1242,510,580,152,0,0,1136,16,1,5,7,77,1136,0,1,16,0,1,2,3,0,0,2,0,0,0,2,0,0,2,0,77
470359703021,637,270,285,82,0,0,594,8,0,2,3,30,594,0,0,8,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,30
470359703022,710,277,285,148,0,0,662,6,1,2,2,37,662,1,0,6,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,37
470359703023,590,234,283,73,0,0,501,22,2,7,2,56,501,2,0,20,0,2,4,0,1,0,0,0,1,0,0,2,0,1,0,56
470359703024,680,276,282,122,0,0,625,5,0,3,2,45,625,0,0,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,45
470359704011,327,213,78,36,0,0,283,8,2,10,1,23,283,1,1,8,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,23
470359704012,412,207,143,62,0,0,371,9,1,0,0,31,371,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
470359704013,642,378,198,66,0,0,567,22,4,4,2,43,567,1,3,22,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,43
470359704014,665,352,220,93,0,0,567,33,8,6,4,47,567,4,4,33,1,3,2,1,0,1,0,0,0,0,1,0,1,0,0,47
470359704021,1417,507,729,181,0,0,1252,16,2,17,10,120,1252,1,1,16,0,9,5,5,1,2,0,0,2,0,0,0,0,1,0,120
470359705011,1052,364,545,143,0,0,953,15,1,8,5,70,953,1,0,15,0,4,2,2,0,1,0,0,0,0,0,0,3,0,0,70
470359705012,580,204,292,84,0,0,526,10,2,10,7,25,526,1,1,10,0,1,3,2,3,3,0,0,0,0,1,0,3,1,0,25
470359705021,1071,441,463,167,0,0,957,28,5,3,12,66,957,2,3,28,4,0,1,3,0,2,0,1,0,0,1,0,1,0,0,66
470359705022,666,354,228,84,0,0,592,28,3,5,2,36,592,3,0,28,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,36
470359705023,620,314,236,70,0,0,545,14,1,14,1,45,545,0,1,14,0,6,4,0,3,0,1,0,0,0,0,0,0,0,0,45
