BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_ain,party_lib,party_cnt,party_grn,party_rin,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_30,eth2_12,eth2_14,eth2_21,eth2_23,eth2_34,eth2_83,eth2_93,eth2_35,eth2_81,eth2_61,eth2_unk
490170003001,670,503,119,33,7,4,4,0,0,0,0,603,13,0,6,3,45,603,13,2,0,1,0,0,3,0,1,0,0,2,0,45
490170003002,232,191,33,4,2,0,2,0,0,0,0,217,1,0,2,2,10,217,1,0,1,0,1,0,1,0,0,0,0,1,0,10
490170003003,437,329,73,21,10,1,0,0,0,3,0,388,18,0,7,0,24,388,18,0,0,2,2,0,3,0,0,0,0,0,0,24
490170004001,865,516,227,97,16,4,0,2,0,3,0,762,18,0,9,12,64,762,18,3,1,2,2,0,2,0,3,0,1,4,1,64
490170004002,643,493,103,35,6,3,2,1,0,0,0,574,17,0,8,8,36,574,17,3,0,1,2,0,2,1,0,0,0,6,0,36
490319601001,443,346,80,9,6,2,0,0,0,0,0,396,14,0,2,2,29,396,14,2,1,0,0,0,0,1,0,0,0,0,0,29
490319601002,448,375,53,10,7,3,0,0,0,0,0,408,5,0,2,0,33,408,5,0,0,0,1,0,1,0,0,0,0,0,0,33
490111251021,912,540,246,94,24,3,2,0,0,3,0,775,35,0,21,7,74,775,35,6,2,10,2,3,0,1,1,0,0,0,0,74
490111251022,1496,993,326,112,40,16,4,0,1,4,0,1309,51,0,20,12,104,1309,51,7,3,5,0,4,3,0,4,0,2,0,0,104
490111251031,964,456,307,122,42,23,7,2,2,3,0,747,96,3,26,9,83,747,95,7,3,9,3,3,2,3,2,1,0,0,0,83
490111251032,933,539,281,67,33,8,2,0,2,1,0,825,30,0,18,5,55,825,28,4,1,7,3,3,1,0,2,0,0,0,0,55
490111251033,678,399,204,49,22,3,1,0,0,0,0,577,31,0,8,8,54,577,30,4,0,3,1,0,0,1,0,0,4,0,0,54
490111251041,1090,654,297,96,26,10,3,1,1,2,0,938,43,0,23,9,77,938,43,2,2,10,7,2,2,2,1,0,2,0,0,77
490111251042,865,507,236,88,19,6,4,1,1,3,0,780,29,0,8,7,41,780,29,1,1,2,5,0,0,0,2,0,0,0,2,41
490111251043,1071,579,313,131,23,14,7,0,1,3,0,899,35,4,28,10,95,899,34,8,2,16,4,0,0,4,0,4,0,0,0,95
490111252011,147,58,50,25,7,6,0,0,1,0,0,114,10,6,4,3,10,114,10,1,0,0,2,1,0,0,0,6,0,0,0,10
490111252012,187,71,77,26,7,5,1,0,0,0,0,140,27,2,1,1,16,140,27,0,0,1,0,0,0,0,0,1,1,0,0,16
490111253011,461,193,159,84,14,11,0,0,0,0,0,356,57,3,5,4,36,356,57,2,1,1,0,1,1,0,1,3,0,0,0,36
490111253012,549,239,212,68,18,9,3,0,0,0,0,438,56,0,14,3,38,438,56,1,0,10,0,2,1,2,0,0,0,0,0,38
490111253013,382,138,141,69,24,2,1,1,2,4,0,306,43,1,7,4,21,306,43,2,2,1,0,1,2,0,1,1,0,1,0,21
490111253014,501,204,191,71,19,11,0,1,0,4,0,414,47,1,7,1,31,414,47,0,0,2,1,1,3,0,0,1,1,0,0,31
490111253041,598,274,218,73,22,5,3,1,0,2,0,467,64,0,5,5,57,467,62,1,0,1,1,1,0,1,0,0,0,1,3,57
490111253042,1173,617,364,132,35,16,4,1,1,3,0,946,100,16,24,14,73,946,100,5,2,11,1,4,3,3,3,16,1,0,0,73
490111253043,380,176,119,61,20,1,0,0,1,2,0,306,43,0,1,3,27,306,43,1,2,0,0,0,0,0,0,0,0,0,0,27
490111253051,628,300,204,97,19,4,2,1,1,0,0,527,51,1,13,5,31,527,51,3,0,1,5,2,0,2,0,1,1,0,0,31
490111253052,652,294,230,93,21,7,1,2,1,3,0,527,54,3,9,5,54,527,54,1,2,2,3,2,0,0,1,3,0,0,1,54
490111253053,515,289,146,59,14,3,1,0,1,2,0,411,52,5,14,8,25,411,52,2,0,6,1,1,4,0,0,5,0,0,0,25
490111253054,927,482,295,98,39,9,1,2,0,1,0,769,95,1,12,6,44,769,95,5,2,0,6,0,1,0,1,1,1,2,0,44
490111253061,774,384,245,97,28,8,4,1,1,6,0,615,70,2,13,13,61,615,70,4,7,3,2,2,1,0,2,2,1,0,0,61
490111253062,899,477,287,90,26,10,3,2,2,2,0,745,69,0,18,7,60,745,69,3,2,3,3,3,3,0,1,0,0,0,0,60
490111253071,1055,583,323,107,28,7,2,0,2,3,0,880,73,1,13,8,80,880,73,4,2,2,6,0,1,2,1,1,1,0,0,80
490111253072,935,608,228,61,22,10,4,0,2,0,0,813,53,1,7,2,59,813,53,0,0,5,2,0,0,0,2,1,0,0,0,59
490111253073,598,299,192,75,15,11,2,2,1,1,0,455,73,4,16,7,43,455,73,2,2,9,2,2,1,1,2,4,1,0,0,43
490111253074,1196,676,362,101,37,11,2,4,1,2,0,1025,70,11,16,5,69,1025,68,6,2,5,2,2,1,0,1,11,0,0,0,69
490111254071,642,402,179,34,20,3,3,1,0,0,0,561,14,3,2,2,60,561,14,1,0,0,0,0,1,0,0,3,0,0,2,60
490111254072,924,600,245,48,20,6,2,1,1,1,0,790,38,1,11,9,75,790,38,6,0,3,1,0,1,1,4,1,2,0,0,75
490111254073,1421,837,392,127,39,18,3,1,0,4,0,1239,65,1,18,14,84,1239,65,3,1,9,1,4,1,3,2,1,0,1,0,84
490111254074,915,538,251,81,31,7,2,2,2,1,0,797,30,0,17,8,63,797,29,6,1,7,1,0,3,0,2,0,3,0,0,63
490111254081,768,431,209,87,20,9,3,2,2,5,0,650,52,2,8,6,50,650,52,2,2,5,0,1,0,2,0,2,0,0,0,50
490111254082,1064,652,306,69,19,8,3,0,1,6,0,931,49,0,17,9,58,931,49,3,2,11,3,0,0,3,0,0,0,0,0,58
490111254083,1056,610,301,99,32,10,2,0,0,2,0,895,49,0,18,7,87,895,49,3,1,1,4,5,3,2,0,0,0,0,0,87
490111254091,1362,746,403,142,39,16,10,0,1,5,0,1146,92,1,11,12,100,1146,92,3,1,7,0,0,1,1,3,1,0,0,0,100
490111254092,1049,622,311,71,26,11,1,0,1,6,0,933,49,2,11,8,46,933,49,3,2,3,1,0,1,0,1,2,1,0,1,46
490111254101,820,500,208,78,18,9,2,2,2,1,0,697,48,0,11,5,59,697,47,3,2,6,2,0,0,1,0,0,2,0,0,59
490111254102,1069,656,297,65,25,17,5,0,0,4,0,917,52,5,15,8,72,917,49,2,1,4,2,0,1,4,0,5,0,0,0,72
490111254111,1285,678,381,131,62,21,7,0,1,4,0,1032,96,5,16,13,123,1032,96,5,5,2,1,6,2,1,2,5,0,0,2,123
490111254112,1286,754,368,103,37,16,0,1,3,4,0,1095,61,1,21,6,102,1095,61,6,0,5,3,5,2,0,0,1,0,2,0,102
490111254121,490,223,181,65,13,1,1,4,0,2,0,394,49,1,5,2,39,394,49,1,1,4,0,0,0,0,0,1,0,0,0,39
490111254122,509,248,176,60,13,9,0,0,3,0,0,396,51,0,14,8,40,396,51,2,3,6,0,3,2,0,1,0,1,1,0,40
490111254131,1413,943,328,89,36,9,4,1,2,1,0,1250,40,0,20,12,91,1250,37,7,0,7,4,2,0,0,2,0,2,2,3,91
490111254132,1533,976,400,103,32,13,2,1,1,5,0,1294,75,1,31,15,117,1294,74,4,4,8,8,4,4,4,1,1,1,0,0,117
490111254141,898,432,303,111,30,16,2,0,0,4,0,692,91,5,22,8,80,692,90,4,5,7,5,4,2,2,0,5,0,0,0,80
490111254142,482,257,145,67,7,5,1,0,0,0,0,393,47,0,10,2,30,393,47,7,0,1,0,2,0,0,1,0,1,0,0,30
490111254143,616,350,176,56,23,5,5,0,1,0,0,498,45,0,7,7,59,498,45,3,0,1,2,1,0,2,2,0,0,0,2,59
490111254151,1188,798,264,83,22,15,1,1,0,4,0,1036,62,1,18,7,64,1036,60,6,3,9,2,1,0,0,0,1,0,0,0,64
490111254152,656,300,223,96,27,5,1,0,0,4,0,489,86,2,12,2,65,489,85,2,1,4,2,1,1,0,0,2,0,1,0,65
490111255011,1509,699,505,200,66,28,6,0,1,4,0,1253,122,2,23,12,97,1253,121,7,1,2,3,3,7,5,2,2,0,0,0,97
490111255012,820,398,295,90,22,6,4,3,0,2,0,658,65,1,21,11,64,658,64,6,4,8,1,2,0,1,1,1,0,1,0,64
490111255013,558,287,179,65,15,7,2,1,0,2,0,476,33,2,7,4,36,476,33,0,0,4,0,0,0,0,0,2,0,0,3,36
490111255021,576,222,224,85,22,9,8,0,1,5,0,437,84,1,2,9,43,437,84,0,3,0,1,0,1,0,2,1,1,0,0,43
490111255022,650,290,237,87,22,9,3,0,0,2,0,521,62,5,8,7,47,521,62,2,0,3,2,0,1,0,1,5,0,0,0,47
490111255023,739,354,235,107,29,9,2,1,0,2,0,563,98,0,16,6,56,563,97,10,1,3,1,0,1,0,1,0,0,0,0,56
490111255031,1113,606,355,95,42,9,2,1,0,3,0,972,63,0,15,15,48,972,63,3,2,6,1,3,1,0,2,0,5,0,0,48
490111255032,1245,642,383,146,50,17,2,1,1,3,0,1010,102,2,17,10,104,1010,102,3,0,2,6,3,2,3,1,2,1,0,0,104
490111256001,188,44,101,21,16,2,0,2,1,1,0,115,31,2,5,4,31,115,31,1,3,1,0,1,1,0,0,2,0,0,0,31
490111257011,594,260,213,89,25,4,1,0,1,1,0,489,55,2,8,6,34,489,55,0,0,1,3,1,1,1,0,2,0,0,0,34
490111257012,299,97,119,61,9,6,4,0,1,2,0,214,45,5,8,6,21,214,45,0,1,3,2,0,0,2,1,5,0,0,0,21
490111257013,402,147,149,74,19,10,0,1,0,2,0,291,56,1,13,3,38,291,55,2,1,3,2,1,5,0,0,1,0,0,1,38
490111257021,306,141,122,26,11,1,0,0,0,5,0,238,38,0,7,1,22,238,38,2,0,1,0,0,0,0,1,0,0,0,0,22
490111257022,568,250,189,75,29,13,5,1,2,4,0,460,55,1,12,4,36,460,55,1,0,6,1,2,1,1,2,1,0,0,0,36
490111257023,516,219,193,71,23,4,1,1,0,4,0,398,64,0,6,5,43,398,64,1,1,2,0,1,1,2,0,0,0,1,0,43
