BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_23,eth2_10,eth2_14,eth2_21,eth2_34,eth2_32,eth2_29,eth2_12,eth2_85,eth2_35,eth2_66,eth2_61,eth2_33,eth2_99,eth2_55,eth2_19,eth2_26,eth2_38,eth2_15,eth2_59,eth2_13,eth2_83,eth2_unk
510579506001,901,468,204,229,0,0,327,13,520,4,3,34,327,520,13,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,34
510579506002,1007,493,285,229,0,0,501,11,447,3,0,45,501,447,11,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
510579506003,823,347,266,210,0,0,454,10,304,6,3,46,454,304,10,1,0,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46
510579507001,1421,637,355,429,0,0,643,36,630,15,15,82,643,629,34,7,1,8,1,5,1,0,0,0,4,0,2,0,0,1,1,0,0,0,0,0,0,0,82
510579507002,791,310,301,180,0,0,534,12,175,14,16,40,534,175,11,5,1,8,4,1,4,1,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,40
510579507003,546,280,132,134,0,0,218,10,282,4,3,29,218,282,10,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
510579508001,528,180,257,91,0,0,400,8,97,4,3,16,400,97,8,0,2,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16
510579508002,782,305,342,135,0,0,527,17,194,6,4,34,527,194,16,0,3,1,0,0,2,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,34
510579508003,1064,440,382,242,0,0,743,21,244,5,4,47,743,244,18,2,2,2,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,47
517500101011,983,784,82,117,0,0,805,29,32,7,17,93,805,32,29,10,2,4,1,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,93
517500101012,487,242,117,128,0,0,403,18,10,12,15,29,403,10,18,4,3,2,3,3,2,2,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,29
517500101013,728,351,150,227,0,0,609,15,22,9,13,60,609,22,15,4,2,5,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,60
517500101021,277,172,4,101,0,0,191,21,30,7,2,26,191,30,21,1,0,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
517500101022,723,434,32,257,0,0,563,32,32,9,12,75,563,32,32,8,3,3,1,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75
517500101023,1033,509,272,252,0,0,865,18,42,22,16,70,865,41,18,9,11,7,1,2,2,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,70
517500102011,1571,734,481,356,0,0,1140,35,266,23,23,84,1140,266,33,11,8,5,6,3,4,4,1,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,84
