GEOID20,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
01039961600,3137,2655,293,189,0,0,2768,27,114,23,14,191
01039961700,2796,2246,407,143,0,0,2331,21,262,15,18,149
01039961800,2250,1476,663,111,0,0,1592,32,524,10,11,81
01039961900,1620,1230,310,80,0,0,1326,15,204,7,6,62
01039962000,2976,1944,859,173,0,0,2089,47,667,32,13,128
01039962100,1062,603,385,74,0,0,666,34,299,18,5,40
01039962300,2206,1937,130,139,0,0,1993,21,27,17,26,122
01039962400,2498,2141,247,110,0,0,2207,24,120,13,8,126
01039962500,923,730,117,76,0,0,783,7,68,3,6,56
01039962600,867,581,203,83,0,0,674,20,109,4,11,49
01039962700,1127,539,525,63,0,0,556,12,507,10,3,39
01039962800,1099,964,52,83,0,0,1020,10,3,6,4,56
01039962900,1166,1026,91,49,0,0,1050,8,21,2,15,70
01039963000,2398,1791,461,146,0,0,1912,30,302,11,13,130
01087231400,912,323,554,35,0,0,367,13,501,5,7,19
01087231500,2263,878,1300,85,0,0,1089,23,1082,7,13,49
01087231601,1044,159,868,17,0,0,195,2,822,2,0,23
01087231602,1297,38,1249,10,0,0,39,3,1243,2,2,8
01087231603,881,95,775,11,0,0,80,5,787,0,1,8
01087231700,304,9,292,3,0,0,4,0,298,1,0,1
01087231800,885,19,863,3,0,0,8,0,877,0,0,0
01087231900,1627,35,1570,22,0,0,24,5,1586,0,7,5
01087232000,1410,73,1314,23,0,0,66,9,1327,1,2,5
01087232100,3169,35,3086,48,0,0,30,19,3110,2,3,5
01087232200,1600,259,1311,30,0,0,303,11,1249,8,0,29
01087232300,1133,92,1030,11,0,0,105,2,1018,1,0,7
01091972901,1203,248,927,28,0,0,308,9,857,7,4,18
01091972902,2253,596,1590,67,0,0,646,25,1503,7,6,66
01091973001,1216,320,871,25,0,0,354,3,824,1,2,32
01091973002,2264,1142,1062,60,0,0,1316,14,845,4,4,81
01091973100,1726,519,1190,17,0,0,568,3,1115,0,3,37
01091973200,1796,505,1266,25,0,0,541,4,1196,4,4,47
01091973300,1650,717,906,27,0,0,811,7,793,2,1,36
01091973400,3300,1773,1416,111,0,0,1995,46,1119,13,13,114
01017953800,2351,1508,772,71,0,0,1616,14,634,6,9,72
01017953900,2132,879,1184,69,0,0,971,23,1048,9,11,70
01017954001,1731,870,827,34,0,0,906,8,764,2,8,43
01017954002,2976,1010,1907,59,0,0,1077,20,1838,6,4,31
01017954200,2317,1439,753,125,0,0,1620,22,598,9,8,60
01017954300,3262,1544,1553,165,0,0,1705,38,1371,42,10,96
01017954600,2453,1602,708,143,0,0,1768,39,521,17,5,103
01017954700,3419,1975,1282,162,0,0,2153,34,1083,15,9,125
01017954800,3402,1142,2170,90,0,0,1291,48,1988,11,12,52
01001020100,1356,959,268,129,0,0,1035,35,191,7,15,73
01001020200,1522,501,964,57,0,0,524,13,931,4,11,39
01001020300,2242,1391,678,173,0,0,1558,55,519,12,13,85
01001020400,3135,2490,413,232,0,0,2636,71,218,19,22,169
01001020501,2644,2073,398,173,0,0,2201,46,207,26,20,144
01001020502,1733,961,602,170,0,0,1065,35,493,42,27,71
01001020503,3132,1925,1004,203,0,0,2037,67,804,72,27,125
01001020600,2542,1641,734,167,0,0,1783,50,565,14,17,113
01001020700,2186,1409,575,202,0,0,1561,52,442,14,12,105
01001020801,2138,1734,298,106,0,0,1737,23,207,7,19,145
01001020803,3391,2300,823,268,0,0,2485,50,660,16,21,159
01001020804,3035,2065,752,218,0,0,2176,77,538,46,32,166
01001020805,2129,1733,254,142,0,0,1813,31,151,9,7,118
01001020901,2132,1728,255,149,0,0,1841,36,130,9,7,109
01001020902,2139,1442,542,155,0,0,1499,34,472,7,7,120
01001021000,1876,1263,489,124,0,0,1347,20,420,5,9,75
01001021100,2355,992,1291,72,0,0,1030,18,1237,1,11,58
01077010100,827,125,383,319,0,0,482,17,273,9,7,39
01077010200,1174,294,497,383,0,0,808,16,284,4,9,53
01077010300,823,14,776,33,0,0,46,1,770,0,1,5
01077010400,1693,540,624,529,0,0,1281,38,244,12,17,101
01077010600,1561,353,603,605,0,0,1162,31,257,12,13,86
01077010700,862,169,371,322,0,0,549,33,241,2,7,30
01077010800,2249,642,905,702,0,0,1521,77,548,9,18,76
01077010901,2303,989,743,571,0,0,1819,72,273,24,22,93
01077010902,2843,942,1051,850,0,0,2068,55,555,30,23,112
01077011000,2936,708,1434,794,0,0,1812,62,923,9,33,97
01077011101,3925,2003,924,998,0,0,3280,75,325,31,27,187
01077011102,3160,1477,813,870,0,0,2609,55,299,21,26,150
01077011200,2820,1369,699,752,0,0,2313,37,344,7,9,110
01077011300,1497,688,158,651,0,0,1394,14,15,9,7,58
01077011401,2503,1234,350,919,0,0,2284,17,77,8,17,100
01077011402,1954,1072,253,629,0,0,1790,30,25,6,11,92
01077011502,3807,2051,577,1179,0,0,3450,40,73,20,31,193
01077011503,2464,1600,434,430,0,0,2169,52,86,25,29,103
01077011504,3040,1745,623,672,0,0,2603,50,130,46,26,185
01077011602,3230,1671,423,1136,0,0,2959,36,18,3,37,177
01077011603,3675,2124,536,1015,0,0,3333,74,38,14,35,181
01077011605,2019,1202,361,456,0,0,1792,24,75,16,15,97
01077011606,2965,1724,494,747,0,0,2633,44,110,15,22,141
01077011700,3145,1918,383,844,0,0,2918,45,26,6,19,131
01077011801,3290,1767,456,1067,0,0,3031,33,31,10,26,159
01077011802,2692,1485,482,725,0,0,2335,17,191,19,26,104
01117030102,2936,1893,898,145,0,0,2028,40,722,10,21,115
01117030103,837,648,151,38,0,0,700,13,72,14,9,29
01117030211,2350,1873,406,71,0,0,1993,26,172,19,13,127
01117030212,2019,782,983,254,0,0,1135,68,652,49,26,89
01117030215,3281,2379,774,128,0,0,2535,117,352,50,51,176
01117030216,6140,4619,1350,171,0,0,4726,117,729,110,77,381
01117030218,4100,3178,745,177,0,0,3350,94,324,54,28,250
01117030219,3228,2566,515,147,0,0,2691,79,213,30,27,188
01117030220,4496,3527,859,110,0,0,3527,84,389,122,103,271
01117030221,3544,2406,973,165,0,0,2528,105,533,89,69,220
01117030304,4943,3785,1042,116,0,0,3923,100,352,124,95,349
01117030305,3117,2570,484,63,0,0,2735,46,86,38,43,169
01117030306,2784,1730,934,120,0,0,1890,122,588,27,14,143
01117030314,2020,1085,786,149,0,0,1323,43,469,24,26,135
01117030315,3536,2185,1193,158,0,0,2510,240,501,29,62,194
01117030316,3429,2166,1131,132,0,0,2418,199,508,55,62,187
01117030317,2737,1927,643,167,0,0,2149,114,253,25,37,159
01117030319,1423,613,755,55,0,0,700,56,599,13,5,50
01117030320,3642,2586,881,175,0,0,2823,152,392,35,29,211
01117030330,4900,3605,1062,233,0,0,3880,96,428,112,59,325
01117030331,3288,2609,580,99,0,0,2786,76,136,59,36,195
01117030336,6303,4484,1590,229,0,0,4727,193,870,104,60,349
01117030337,1046,697,289,60,0,0,737,58,168,14,4,65
01117030340,3725,2475,1083,167,0,0,2794,185,472,50,34,190
01117030341,1230,670,495,65,0,0,773,82,262,29,19,65
01117030345,2228,1634,504,90,0,0,1721,86,236,33,29,123
01117030346,3062,2381,594,87,0,0,2525,51,170,71,40,205
01117030347,2732,1634,868,230,0,0,1966,68,435,48,34,181
01117030348,3434,2636,686,112,0,0,2752,86,236,113,60,187
01117030349,942,709,200,33,0,0,750,29,60,22,19,62
01117030350,2272,1757,459,56,0,0,1828,50,252,23,14,105
01117030351,1238,870,327,41,0,0,918,35,138,44,23,80
01117030352,6002,4257,1571,174,0,0,4580,144,488,227,208,355
01117030405,804,424,328,52,0,0,504,25,237,5,2,31
01117030406,2648,1482,946,220,0,0,1942,118,433,9,16,130
01117030407,636,305,263,68,0,0,433,21,137,3,5,37
01117030408,2112,1179,783,150,0,0,1359,62,598,11,10,72
01117030502,2118,1421,617,80,0,0,1467,50,469,19,9,104
01117030503,2659,1569,955,135,0,0,1727,91,695,8,15,123
01117030504,2481,1279,1050,152,0,0,1449,83,827,7,13,102
01117030607,4315,2917,1223,175,0,0,3124,155,736,38,33,229
01117030610,2505,1728,689,88,0,0,1840,133,348,23,13,148
01117030611,2151,1442,639,70,0,0,1534,81,383,23,19,111
01117030612,1512,1075,392,45,0,0,1153,48,242,15,7,47
01117030613,4413,2722,1466,225,0,0,3030,130,962,33,34,224
01117030614,2557,1317,1105,135,0,0,1473,80,893,12,10,89
01117030615,4614,3539,946,129,0,0,3584,106,576,69,35,244
01117030616,2110,1552,499,59,0,0,1628,55,241,32,35,119
01117030701,2940,2238,569,133,0,0,2374,69,331,14,17,135
01117030703,2446,1777,537,132,0,0,1938,40,359,7,12,90
01117030704,2730,2296,272,162,0,0,2460,38,75,18,8,131
01117030800,3254,2727,370,157,0,0,2867,52,145,9,23,158
01117030900,1842,1609,133,100,0,0,1680,23,17,2,10,110
01117980000,20,12,4,4,0,0,17,0,0,0,0,3
01117980100,22,19,2,1,0,0,21,1,0,0,0,0
01047956101,3043,636,2333,74,0,0,1125,12,1797,9,8,92
01047956102,1827,601,1164,62,0,0,1129,16,606,8,10,58
01047956201,1563,444,1091,28,0,0,868,4,627,3,5,56
01047956202,1536,556,928,52,0,0,1023,4,421,10,8,70
01047956300,2862,191,2656,15,0,0,279,3,2544,5,2,29
01047956400,1955,32,1918,5,0,0,43,8,1884,14,2,4
01047956500,2452,30,2420,2,0,0,38,2,2402,0,4,6
01047956600,2393,179,2199,15,0,0,342,7,2001,2,3,38
01047956701,1565,328,1213,24,0,0,747,11,735,8,12,52
01047956702,1203,166,1024,13,0,0,470,11,675,6,6,35
01047956800,2009,239,1740,30,0,0,517,8,1411,25,21,27
01047956900,2220,146,2062,12,0,0,314,4,1858,1,5,38
01047957000,878,142,722,14,0,0,238,4,608,3,3,22
01047957100,868,132,734,2,0,0,265,1,583,0,1,18
01047957200,1348,8,1339,1,0,0,15,0,1328,1,2,2
01047957301,1435,41,1386,8,0,0,74,2,1354,0,3,2
01047957302,833,134,688,11,0,0,287,3,516,3,1,23
01081040201,1549,604,480,465,0,0,1135,50,216,22,19,107
01081040202,2171,1213,774,184,0,0,1586,57,310,58,22,138
01081040300,2310,1084,746,480,0,0,1715,41,332,31,18,173
01081040401,1824,601,800,423,0,0,1078,71,480,45,24,126
01081040402,1624,1008,517,99,0,0,1351,37,76,29,28,103
01081040403,1518,908,501,109,0,0,1206,20,125,32,29,106
01081040501,4860,3617,1127,116,0,0,3987,68,287,197,60,261
01081040502,2683,1320,1176,187,0,0,1558,78,746,118,43,140
01081040602,4984,2152,2528,304,0,0,2570,85,1881,155,68,225
01081040603,965,342,444,179,0,0,527,32,340,7,7,52
01081040605,894,425,185,284,0,0,735,25,67,5,10,52
01081040606,1602,499,646,457,0,0,991,69,361,35,28,118
01081040607,745,336,274,135,0,0,508,32,135,15,8,47
01081040700,1774,774,409,591,0,0,1310,46,223,15,12,168
01081040801,1006,373,199,434,0,0,764,25,88,16,12,101
