GEOID20,total_reg,party_npp,party_rep,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
18017950900,2990,988,1483,516,3,0,2633,75,3,19,18,242
18017951000,1409,462,718,228,1,0,1230,48,3,14,13,101
18017951100,1875,642,928,305,0,0,1643,29,2,3,7,191
18017951200,1210,566,374,269,1,0,957,131,3,15,3,101
18017951300,1118,601,295,222,0,0,824,187,4,20,2,81
18017951400,1216,587,357,271,1,0,947,148,4,17,8,92
18017951500,1614,877,386,350,1,0,1131,313,9,22,5,134
18017951600,3212,1234,1230,747,1,0,2584,280,7,51,19,271
18017951700,1830,660,860,310,0,0,1608,56,5,17,9,135
18017951800,2100,741,978,381,0,0,1786,109,1,3,10,191
18017951900,2446,941,1053,450,2,0,2193,34,1,7,26,185
18139974100,2001,622,1162,216,1,0,1766,6,2,4,15,208
18139974200,2308,901,1150,251,6,0,2099,20,0,12,4,173
18139974300,1999,832,874,292,1,0,1829,24,1,5,7,133
18139974400,1704,654,770,277,3,0,1513,20,24,6,7,134
18139974500,2550,924,1312,313,1,0,2319,22,3,4,6,196
18039000100,1743,759,385,598,1,0,1322,184,6,16,15,200
18039000201,1470,890,340,240,0,0,934,405,3,6,23,99
18039000202,1792,937,545,306,4,0,1257,347,6,11,23,148
18039000301,2312,1170,736,405,1,0,1556,502,4,21,17,212
18039000302,3705,1195,1417,1093,0,0,2940,326,10,32,24,373
18039000400,3342,1236,1229,876,1,0,2604,308,3,44,40,343
18039000501,3135,1723,848,564,0,0,2041,752,18,23,32,269
18039000502,2734,1272,935,526,1,0,1963,465,10,42,36,218
18039000601,3729,1516,1738,473,2,0,3067,141,5,41,63,412
18039000602,2830,1372,1122,336,0,0,2243,206,7,18,51,305
18039000701,2495,995,1092,407,1,0,2077,87,7,27,33,264
18039000702,1802,859,686,256,1,0,1445,112,5,9,11,220
18039000801,1570,647,748,174,1,0,1345,37,0,8,19,161
18039000803,2416,1195,936,283,2,0,2034,58,0,20,19,285
18039000804,2512,1167,1068,274,3,0,2103,85,6,35,20,263
18039000901,2301,1030,1080,188,3,0,1964,88,0,5,9,235
18039000902,582,259,276,47,0,0,487,10,0,1,0,84
18039001000,2800,1111,1423,266,0,0,2353,122,4,15,12,294
18039001100,1890,830,895,165,0,0,1596,69,2,7,7,209
18039001200,3173,1484,1290,395,4,0,2702,137,3,17,19,295
18039001301,1941,732,989,220,0,0,1627,30,4,7,7,266
18039001302,1713,660,867,183,3,0,1293,109,13,16,6,276
18039001401,3424,1437,1469,517,1,0,2873,121,23,21,31,355
18039001402,2803,1540,759,503,1,0,2363,151,20,17,23,229
18039001501,3156,1715,761,678,2,0,2526,186,111,26,20,287
18039001502,4623,2222,1553,843,5,0,3872,175,21,40,42,473
