GEOID20,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
26011970100,1757,910,579,268,0,0,1495,16,1,10,31,204
26011970200,2652,980,1062,610,0,0,2201,29,2,16,16,388
26011970300,2164,796,836,532,0,0,1742,35,4,11,26,346
26011970400,2439,1041,957,441,0,0,2024,34,0,9,56,316
26011970500,2957,1676,877,404,0,0,2409,54,1,17,37,439
26011990000,0,0,0,0,0,0,0,0,0,0,0,0
26011990100,0,0,0,0,0,0,0,0,0,0,0,0
26063950100,1202,424,504,274,0,0,982,49,3,5,14,149
26063950200,1650,513,818,319,0,0,1395,19,1,3,14,218
26063950300,1754,579,773,402,0,0,1459,19,1,6,16,253
26063950400,874,349,354,171,0,0,707,9,0,2,6,150
26063950500,1880,800,824,256,0,0,1575,22,0,7,21,255
26063950600,1930,627,817,486,0,0,1612,37,3,9,13,256
26063950700,2658,821,1214,623,0,0,2246,68,0,11,15,318
26063950800,2624,864,1173,587,0,0,2140,62,1,20,30,371
26063950900,2722,987,1157,578,0,0,2228,40,1,6,28,419
26063951000,2755,1226,839,690,0,0,2249,63,2,28,22,391
26063951100,1684,537,801,346,0,0,1425,21,4,10,11,213
26063951200,2946,1076,1269,601,0,0,2526,32,4,13,20,351
26063990000,0,0,0,0,0,0,0,0,0,0,0,0
26103000100,1330,890,197,243,0,0,1091,32,3,13,21,170
26103000200,1555,1080,274,201,0,0,1279,34,0,17,18,207
26103000300,1548,904,291,353,0,0,1250,24,1,16,26,231
26103000400,1412,923,272,217,0,0,1178,23,1,8,21,181
26103000500,65,47,8,10,0,0,52,3,0,1,0,9
26103000600,1692,1383,178,131,0,0,1387,39,4,13,25,224
26103000700,2448,1497,578,373,0,0,2039,45,4,17,33,310
26103001100,1334,695,441,198,0,0,1141,12,1,6,19,155
26103001200,4340,2048,1536,756,0,0,3719,32,4,24,52,509
26103001300,2979,1449,950,580,0,0,2504,29,2,21,29,394
26103001500,2381,1114,782,485,0,0,1966,26,1,14,30,344
26103001600,1787,959,455,373,0,0,1482,40,0,13,15,237
26103001700,2099,1239,456,404,0,0,1721,20,2,10,20,326
26103001800,2263,1175,577,511,0,0,1893,22,1,8,26,313
26103001900,1268,669,237,362,0,0,1056,24,0,3,13,172
26103002000,1836,1081,381,374,0,0,1522,39,0,7,21,247
26103002100,2352,1236,695,421,0,0,1982,21,0,15,40,294
