GEOID20,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
33015003301,3243,1250,839,1154,0,0,2700,143,3,28,61,308
33015003302,2945,1201,757,987,0,0,2477,129,6,30,45,258
33015003400,3439,1364,1012,1063,0,0,2829,166,12,39,58,335
33015003500,3955,1606,1120,1229,0,0,3292,179,9,46,71,358
33015003601,4600,1783,1238,1579,0,0,3802,174,18,69,114,423
33015003602,4120,1688,1030,1402,0,0,3464,117,9,56,93,381
33015003701,2665,907,821,937,0,0,2290,77,10,29,45,214
33015003703,3997,1367,1053,1577,0,0,3302,141,4,78,99,373
33015003801,3518,1272,991,1255,0,0,2965,113,8,41,69,322
33015003802,3194,1083,877,1234,0,0,2642,106,2,54,68,322
33015003901,2913,1011,858,1044,0,0,2467,108,4,22,71,241
33015003902,2542,912,714,916,0,0,2138,76,0,38,50,240
33015004000,4452,1615,1001,1836,0,0,3756,140,4,33,91,428
33015050000,3300,1110,763,1427,0,0,2838,65,3,34,45,315
33015051000,3962,1611,800,1551,0,0,3384,93,3,26,58,398
33015052000,4576,1884,968,1724,0,0,3952,131,1,25,82,385
33015053000,3210,1292,712,1206,0,0,2803,88,9,22,32,256
33015054000,3485,1454,762,1269,0,0,3057,80,1,10,60,277
33015055001,4185,1687,907,1591,0,0,3677,99,12,25,56,316
33015055002,3177,1276,788,1113,0,0,2807,96,2,16,41,215
33015056000,3568,1293,821,1454,0,0,3176,63,6,13,42,268
33015057000,3545,1617,874,1054,0,0,3088,60,7,29,47,314
33015058000,4852,2112,1371,1369,0,0,4234,107,11,47,61,392
33015059000,5314,2310,1362,1642,0,0,4640,110,4,33,81,446
33015060000,3291,1246,980,1065,0,0,2801,78,4,32,53,323
33015061001,5570,1888,2255,1427,0,0,4713,114,8,75,81,579
33015062000,1803,635,450,718,0,0,1610,25,0,6,20,142
33015062500,2410,1046,649,715,0,0,2098,32,0,24,41,215
33015063001,2175,831,616,728,0,0,1865,68,2,20,30,190
33015063003,2877,1039,666,1172,0,0,2502,66,0,13,51,245
33015063004,811,269,233,309,0,0,683,19,0,3,24,82
33015064000,1959,674,511,774,0,0,1681,30,0,30,33,185
33015065005,2349,890,795,664,0,0,2024,46,0,19,51,209
33015065006,1637,610,548,479,0,0,1339,26,2,17,42,211
33015065007,1457,565,439,453,0,0,1223,38,0,18,31,147
33015065008,1663,726,425,512,0,0,1412,39,2,15,31,164
33015065009,3163,1190,1046,927,0,0,2813,54,1,24,34,237
33015065010,3738,1377,1177,1184,0,0,3175,78,1,42,62,380
33015066000,3986,1370,1317,1299,0,0,3443,68,2,48,84,341
33015067000,6415,2152,2206,2057,0,0,5482,124,4,100,97,608
33015067502,2906,1117,1291,498,0,0,2457,74,2,48,44,281
33015067503,2386,942,974,470,0,0,1994,57,9,58,18,250
33015067504,2309,812,904,593,0,0,1955,61,5,50,21,217
33015067505,1370,562,405,403,0,0,1209,10,1,9,11,130
33015069100,3781,1138,1991,652,0,0,3119,61,10,45,73,473
33015069200,2475,814,1256,405,0,0,2078,50,3,34,41,269
33015069300,1926,660,948,318,0,0,1645,48,4,34,18,177
33015069700,2972,930,1393,649,0,0,2488,63,12,34,38,337
33015071001,3096,1000,1146,950,0,0,2644,53,3,31,53,312
33015071002,2179,659,773,747,0,0,1851,41,1,17,38,231
33015100100,5242,1899,1316,2027,0,0,4267,196,12,79,195,493
33015100200,4597,1663,1436,1498,0,0,3635,283,8,101,161,409
33015100301,3263,1267,882,1114,0,0,2593,168,4,68,126,304
33015100302,2810,1035,871,904,0,0,2045,277,9,89,144,246
33015100401,3361,1360,934,1067,0,0,2624,204,9,61,120,343
33015100402,2647,1001,692,954,0,0,2086,132,1,40,106,282
33015101101,3679,1379,992,1308,0,0,3173,108,3,26,51,318
33015101102,1972,737,533,702,0,0,1657,76,2,14,39,184
33015102100,3374,1453,876,1045,0,0,2924,81,2,9,55,303
33015103100,5983,2170,1459,2354,0,0,5058,168,5,62,147,543
33015104101,3514,1455,824,1235,0,0,2987,96,2,32,67,330
33015104102,2958,1198,624,1136,0,0,2549,73,4,18,44,270
33015105100,4662,1844,1084,1734,0,0,4023,104,2,22,71,440
33015106101,5605,2047,1367,2191,0,0,4481,173,1,205,157,588
33015106102,5242,1988,1234,2020,0,0,4304,163,7,104,183,481
33015106200,3416,1119,1493,804,0,0,2876,84,8,91,47,310
33015106400,3701,1276,1547,878,0,0,3156,65,3,74,52,351
33015107100,1744,619,821,304,0,0,1392,75,21,40,49,167
33015107200,4309,1510,1848,951,0,0,3534,130,26,105,64,450
33015107400,1232,387,577,268,0,0,1041,24,0,31,14,122
33015107500,3996,1436,1306,1254,0,0,3429,67,2,63,67,368
33015980011,2,0,2,0,0,0,2,0,0,0,0,0
33015990000,1,0,0,1,0,0,1,0,0,0,0,0
