GEOID20,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
37075920100,1446,217,403,816,8,0,0,0,1303,12,0,4,47,80
37075920200,1984,470,539,965,9,0,0,0,1813,22,3,7,64,75
37075920300,2075,534,629,900,9,0,0,0,1761,24,4,8,187,91
37031970101,576,138,186,249,3,0,0,0,536,9,2,1,1,27
37031970102,1620,371,448,792,8,0,0,0,1451,32,43,8,10,76
37031970103,1959,364,661,929,5,0,0,0,1811,29,12,8,20,79
37031970200,906,198,233,469,4,1,0,0,848,6,0,4,2,46
37031970301,3266,921,1066,1262,16,0,0,0,2589,68,431,21,26,131
37031970304,1796,499,664,623,7,1,0,0,1514,31,117,10,16,108
37031970305,1235,442,450,339,4,0,0,0,908,34,210,12,13,58
37031970401,1022,227,397,395,2,0,0,0,822,39,60,10,13,78
37031970402,947,324,325,294,2,0,0,0,627,38,216,10,13,43
37031970403,845,169,286,383,7,0,0,0,758,25,7,3,3,49
37031970501,1533,332,566,624,6,2,0,0,1204,59,151,10,14,95
37031970502,1581,269,510,793,8,0,0,0,1401,42,53,3,12,70
37031970503,1476,354,510,603,7,0,0,0,1250,29,101,5,19,72
37031970504,1266,204,449,607,5,0,0,0,1110,38,34,9,11,64
37031970601,767,119,266,374,7,0,0,0,679,18,12,5,9,44
37031970602,924,140,289,488,5,0,0,0,827,19,2,15,10,51
37031970603,796,112,309,367,8,0,0,0,671,27,44,1,16,37
37031970606,2726,469,869,1379,8,0,0,0,2407,51,17,31,35,185
37031970701,889,145,319,413,9,0,0,0,765,28,46,6,12,32
37031970702,2184,313,788,1067,11,1,0,0,1910,56,80,14,10,114
37031970703,2990,558,1094,1310,25,0,0,0,2415,140,215,37,30,153
37031970704,1556,215,488,842,9,1,0,0,1418,36,13,9,8,72
37031970801,2150,308,712,1111,16,1,0,0,1881,65,48,14,13,129
37031970804,3068,404,1049,1591,22,1,0,0,2669,93,96,13,24,173
37031970805,1119,159,393,557,9,0,0,0,965,57,18,9,14,56
37031970806,2930,372,966,1573,18,1,0,0,2565,72,20,24,31,218
37031970903,1135,201,412,515,4,1,0,0,1018,17,8,10,8,74
37031970904,2356,400,812,1130,11,1,0,0,2076,48,10,20,18,184
37031971003,1551,326,543,673,7,1,0,0,1400,20,3,7,15,106
37031971103,1334,245,434,653,2,0,0,0,1209,31,9,11,3,71
37031980100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37031990100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37031990200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37009970200,1709,329,522,847,10,0,0,0,1592,32,2,10,12,61
37009970300,1539,265,436,829,6,0,0,0,1416,22,5,8,7,81
37009970400,2998,706,933,1340,17,1,0,0,2692,78,8,28,20,172
37009970501,2456,581,780,1083,10,1,0,0,2163,83,25,16,17,152
37009970502,1816,425,572,809,9,0,0,0,1615,62,18,18,9,94
37009970701,2538,535,819,1166,15,0,0,0,2315,46,17,15,17,128
37009970702,1862,398,595,848,16,1,0,0,1706,39,11,6,9,91
37009970801,1584,359,475,737,7,0,0,0,1433,34,5,7,4,101
37009970802,1767,458,615,687,3,2,0,0,1626,46,8,11,13,63
37019020101,1784,834,571,366,12,0,0,0,808,87,784,3,21,81
37019020102,4073,1038,1557,1452,22,1,0,0,2992,176,402,26,51,426
37019020105,7039,1694,2758,2535,43,3,0,0,5486,288,584,55,97,529
37019020106,2103,545,799,732,22,0,0,0,1555,88,277,17,27,139
37019020107,1584,504,572,488,19,0,0,0,1043,109,318,9,23,82
37019020108,2013,826,647,527,13,0,0,0,1161,97,635,11,30,79
37019020201,2962,766,1129,1034,32,0,0,0,2156,104,449,23,33,197
37019020203,1787,431,566,775,12,1,0,0,1366,66,236,4,11,104
37019020204,5149,954,1884,2267,37,2,0,0,4473,106,179,27,59,305
37019020205,6936,1594,2688,2628,25,0,0,0,5521,215,341,64,87,708
37019020206,1308,280,466,547,13,2,0,0,1035,29,139,8,17,80
37019020304,8025,1414,3181,3396,29,3,0,0,6915,158,63,72,118,699
37019020305,2731,691,975,1047,14,2,0,0,2225,61,213,18,38,176
37019020306,2073,505,748,804,16,0,0,0,1754,44,114,20,17,124
37019020307,279,70,101,105,3,0,0,0,255,4,0,3,1,16
37019020308,1771,354,654,754,7,0,0,0,1580,23,9,17,16,126
37019020311,2236,468,785,974,7,0,0,0,1831,53,124,8,39,181
37019020312,843,189,320,329,4,0,0,0,678,31,88,0,10,36
37019020313,2556,515,912,1110,15,2,0,0,2265,45,7,15,30,194
37019020314,490,90,198,201,1,0,0,0,437,4,5,4,6,34
37019020315,1644,329,567,731,13,1,0,0,1485,25,16,13,8,97
37019020316,574,120,216,238,0,0,0,0,522,8,1,10,1,32
37019020404,2248,614,780,839,12,2,0,0,1715,71,328,16,20,98
37019020405,2261,451,863,937,10,0,0,0,1935,45,111,16,22,132
37019020406,714,109,254,347,2,0,0,0,639,13,3,3,9,47
37019020407,1483,295,544,630,12,1,0,0,1341,24,20,13,7,78
37019020408,1724,402,622,689,10,1,0,0,1363,82,162,9,20,88
37019020409,1596,321,552,716,7,0,0,0,1392,33,36,10,12,113
37019020504,1868,384,675,806,2,1,0,0,1510,30,100,13,37,178
37019020505,2590,797,820,958,9,2,0,0,1734,97,615,16,22,106
37019020508,2653,528,935,1182,8,0,0,0,2248,73,79,12,34,207
37019020510,1833,375,621,828,7,1,0,0,1646,36,14,14,16,107
37019020511,2135,436,722,968,7,1,0,0,1904,52,26,17,26,110
37019020512,1051,185,368,494,3,1,0,0,936,20,2,4,10,79
37019020513,953,223,351,375,3,0,0,0,708,46,101,13,8,77
37019020514,2574,521,911,1122,19,0,0,0,2187,64,131,25,20,147
37019020515,2995,652,1072,1262,8,1,0,0,2466,70,151,21,45,242
37019020516,4216,814,1495,1893,13,0,0,0,3587,111,91,20,58,349
37019020517,2114,421,776,909,8,0,0,0,1843,60,25,13,36,137
37019020518,3115,610,1119,1375,11,0,0,0,2645,67,45,18,43,297
37019020601,2993,921,991,1070,11,0,0,0,2107,130,562,15,31,148
37019020602,3748,977,1257,1481,28,2,0,0,2763,127,614,17,39,188
37019020603,2292,670,759,844,16,0,0,0,1520,59,486,15,39,173
37019990100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37173940100,2618,956,1133,512,15,0,0,0,878,88,55,15,1477,105
37173960200,1861,668,631,549,10,3,0,0,1643,26,21,8,58,105
37173960301,2452,726,895,814,13,4,0,0,2189,35,9,25,84,110
37173960302,2059,635,703,709,10,0,0,0,1795,48,10,5,108,93
37173980200,4,0,3,1,0,0,0,0,4,0,0,0,0,0
37191000102,4459,1041,1263,2127,24,1,0,0,3288,140,734,52,66,179
37191000103,1353,348,361,637,6,0,0,0,1059,36,189,3,13,53
37191000104,2933,717,812,1378,22,2,0,0,2177,128,470,13,19,126
37191000200,1989,727,446,804,11,1,0,0,1302,55,553,7,12,60
37191000302,3702,1704,930,1047,18,2,0,0,1807,144,1637,16,22,76
37191000303,4038,1176,1096,1729,30,1,0,0,2738,203,877,35,31,154
37191000304,3246,890,845,1497,10,0,0,0,2395,109,563,12,40,127
37191000401,3868,1101,1017,1732,15,1,0,0,2730,215,717,38,29,139
37191000402,2154,808,653,673,16,2,0,0,1200,197,678,17,12,50
37191000500,402,117,171,105,7,2,0,0,208,54,98,9,4,29
