GEOID20,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
51057950600,2731,1308,755,668,0,0,1282,34,1271,13,6,125
51057950700,2758,1227,788,743,0,0,1395,58,1087,33,34,151
51057950800,2374,925,981,468,0,0,1670,46,535,15,11,97
51750010101,2198,1377,349,472,0,0,1817,62,64,28,45,182
51750010102,2033,1115,308,610,0,0,1619,71,104,38,30,171
51750010201,2677,1245,827,605,0,0,2080,49,306,43,32,167
51750010202,2230,1108,761,361,0,0,1908,50,38,24,28,182
51740210200,1285,668,283,334,0,0,771,56,356,10,18,74
51740210300,1530,920,346,264,0,0,817,38,576,6,9,84
51740210400,1011,511,281,219,0,0,692,30,185,17,15,72
51740210500,1160,966,62,132,0,0,155,19,936,18,5,27
51740210600,1074,596,241,237,0,0,715,37,250,11,7,54
51740210900,2330,1312,336,682,0,0,1398,81,641,24,29,157
51740211100,1352,1143,68,141,0,0,251,35,1003,5,11,47
51740211400,1167,962,36,169,0,0,179,18,932,6,6,26
51740211500,1106,557,144,405,0,0,577,31,413,6,9,70
51740211600,2615,1176,684,755,0,0,1953,110,304,15,30,203
51740211700,2143,1899,106,138,0,0,266,56,1754,17,17,33
51740211800,2101,1720,66,315,0,0,223,40,1791,11,11,25
51740211900,1106,993,36,77,0,0,82,27,980,5,3,9
51740212000,1257,1132,44,81,0,0,83,35,1108,11,8,12
51740212100,737,653,35,49,0,0,49,7,667,3,3,8
51740212300,2697,1797,383,517,0,0,1126,110,1293,31,25,112
51740212400,1894,1377,193,324,0,0,595,55,1134,7,21,82
51740212500,1407,735,270,402,0,0,767,50,499,17,17,57
51740212600,1087,669,174,244,0,0,501,50,459,6,13,58
51740212701,3650,2850,199,601,0,0,207,50,3308,16,11,58
51740212702,2671,2051,104,516,0,0,157,48,2418,6,9,33
51740212801,2910,2048,457,405,0,0,1435,82,1222,16,18,137
51740212802,2031,967,681,383,0,0,1457,71,376,12,17,98
51740212900,3498,1407,1212,879,0,0,3002,87,159,23,31,196
51740213001,4436,2257,1281,898,0,0,2865,177,1008,53,49,284
51740213002,3208,1591,997,620,0,0,2382,89,409,53,39,236
51740213101,2881,2123,268,490,0,0,564,87,2116,27,18,69
51740213103,4305,2433,863,1009,0,0,1812,139,2151,27,42,134
51740213104,2938,1933,313,692,0,0,392,92,2335,21,26,72
51740213200,1236,997,100,139,0,0,400,69,697,12,7,51
51740980100,1,0,0,1,0,0,0,0,1,0,0,0
51830370100,4208,2511,1013,684,0,0,3165,168,198,134,80,463
51830370200,1802,1202,351,249,0,0,1173,83,327,40,32,147
51830370300,3547,2295,584,668,0,0,2501,163,244,175,98,366
51678930501,3455,2190,587,678,0,0,2743,66,258,51,39,298
51678980000,573,211,38,324,0,0,436,20,12,16,17,72
51081880101,2955,1577,738,640,0,0,1121,49,1642,26,15,102
51081880102,0,0,0,0,0,0,0,0,0,0,0,0
51081880200,3247,1780,733,734,0,0,1061,42,2060,16,16,52
51620090100,3233,1394,1159,680,0,0,2243,62,698,43,17,170
51620090200,2218,2010,106,102,0,0,189,46,1942,12,6,23
51163930101,1850,798,617,435,0,0,1597,35,20,34,15,149
51163930102,2923,1035,1323,565,0,0,2665,23,25,16,15,179
