state,latitude,longitude,zoom_start
st01_al,32.7,86.79113,6.5
st02_ak,63,-149,4
st04_az,34.2,-112,6.5
st05_ar,34.7465,92.2896,7
st06_ca,37.5,-119.4179,5.5
st08_co,39,-105.358887,7
st09_ct,41.5,-73,8
st10_de,39.2,-75.5,8
st12_fl,27.5,-81.7,6
st13_ga,32.75,-83.4,6.5
st15_hi,25,-170,5
st16_id,45.5,-114.7,6
st17_il,40,-89,6
st18_in,39.9,-86,6.5
st19_ia,42,-93,6.5
st20_ks,38.5,-98,6.5
st21_ky,37.84,-85.5,7
st22_la,31,-92.33,7
st23_me,45.5,-68.9,6
st24_md,38.8,-77.3,8
st25_ma,42,-71.3,8
st26_mi,45.5,-84.5,6
st27_mn,46.39,-93,6
st28_ms,32.6,-90,7
st29_mo,38.4,-92.6,6.5
st30_mt,46.9,-109.5,6
st31_ne,38.4,-92.6,6.5
st32_nv,39,-117.2,6
st33_nh,44,-71.5,7
st34_nj,39.8,-74.8,7
st35_nm,34.3,-106,6
st36_ny,43,-75,6
st37_nc,35,-80,7
st38_nd,47,-100,7
st39_oh,40,-82,7
st40_ok,36,-98,7
st41_or,44,-120,6
st42_pa,41,-77,7
st44_ri,42,-71,8
st45_sc,34,-80,7
st46_sd,44.5,-100,7
st47_tn,36,-86,7
st48_tx,31,-99.9018,5.5
st49_ut,39.5,-112,6.5
st50_vt,44,-73,6.5
st51_va,38,-78,6.5
st53_wa,47.7,-120.7,6.5
st54_wv,39,-80.5,6.5
st55_wi,44.5,-89.5,6.5
st56_wy,43,-107,6.5
