FULLCODE,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
04009940500,2353,183,1481,587,7,0,58,0,1495,201,36,11,157,453
04009961100,2859,1747,483,384,19,2,73,0,2236,387,2,13,42,179
04009961201,2099,1456,236,254,12,1,39,0,1672,258,2,7,12,148
04009961202,2389,1442,429,320,16,0,65,0,1756,463,1,17,11,141
04009961300,1746,708,533,351,10,3,55,0,968,627,3,17,14,117
04009961400,3052,1334,934,524,14,2,93,0,1742,1036,17,36,34,187
04009961500,2647,1385,550,442,12,1,94,0,1801,655,0,8,13,170
04009961600,642,387,98,95,9,1,12,0,476,99,0,0,5,62
04009961700,2358,1133,567,439,12,1,74,0,1440,738,14,18,9,139
04001942600,1050,118,602,278,3,0,21,0,563,30,15,14,132,296
04001942700,2644,371,1612,477,8,3,74,0,1387,90,9,86,265,807
04001944000,4070,489,2635,610,13,4,134,0,2237,198,20,69,718,828
04001944100,992,49,693,211,3,0,17,0,539,41,7,18,138,249
04001944201,7332,658,4544,1725,20,7,208,0,3695,249,37,150,1187,2014
04001944202,949,53,654,188,2,0,28,0,468,31,1,19,149,281
04001944301,4723,321,3090,1091,13,3,109,0,2526,185,2,101,705,1204
04001944302,140,7,106,22,0,0,4,0,93,2,3,3,17,22
04001944901,7297,643,5304,965,8,4,155,0,4326,242,25,97,1069,1538
04001944902,12,3,7,1,0,0,0,0,6,0,0,0,2,4
04001945001,2395,302,1489,421,5,1,71,0,1368,109,10,35,404,469
04001945002,3804,404,2625,523,11,2,98,0,2151,142,12,62,682,755
04001945100,1585,275,929,265,9,1,42,0,872,63,7,30,224,389
04001970201,923,472,204,147,3,0,24,0,723,83,1,6,13,97
04001970202,1427,700,306,239,15,2,47,0,1129,132,1,8,25,132
04001970300,1255,580,320,177,14,2,44,0,916,225,1,3,16,94
04001970501,2875,1580,451,488,19,0,98,0,2207,408,3,14,27,216
04001970502,1903,1016,397,273,17,3,51,0,1483,170,5,15,27,203
04011960100,1635,433,760,289,9,1,45,0,736,772,5,2,14,106
04011960200,1422,554,381,347,27,1,39,0,735,582,5,11,17,72
04011960300,1620,702,496,226,9,0,29,0,1149,366,0,6,12,87
04025000205,1082,663,121,77,8,2,145,0,899,70,0,8,7,98
04025000206,3692,2273,427,277,30,2,451,0,3037,248,0,32,38,337
04025000207,1212,718,142,101,4,2,170,0,1005,90,2,1,9,105
04025000208,853,410,145,97,10,2,144,0,637,132,2,5,5,72
04025000209,4353,2363,733,360,43,3,595,0,3479,391,3,32,48,400
04025000210,1086,615,141,86,12,4,154,0,851,93,2,6,14,120
04025000211,3950,2245,510,361,38,6,557,0,3108,429,3,28,44,338
04025000301,3155,1765,542,165,17,0,415,0,2527,166,1,51,47,363
04025000302,1137,596,205,73,9,0,151,0,957,54,0,10,15,101
04025000403,899,379,234,64,10,1,149,0,701,98,0,8,5,87
04025000404,1658,827,363,112,14,0,220,0,1330,97,0,20,25,186
04025000405,3090,1671,632,180,20,4,361,0,2570,148,6,34,38,294
04025000406,1586,842,325,100,12,2,191,0,1282,90,1,31,15,167
04025000407,3245,1696,761,178,14,5,368,0,2628,178,1,31,43,364
04025000501,1116,514,268,89,13,3,157,0,909,77,2,18,15,95
04025000502,3239,1668,673,218,17,1,404,0,2606,214,9,38,59,313
04025000604,3411,1769,594,281,35,3,508,0,2562,426,2,37,42,342
04025000608,2161,1086,383,168,31,4,334,0,1676,246,7,17,29,186
04025000609,2405,1111,482,267,35,5,362,0,1732,429,3,16,22,203
04025000611,794,325,167,89,17,0,157,0,558,164,1,4,12,55
04025000612,869,350,183,106,15,2,158,0,588,195,1,12,11,62
04025000613,5760,2945,1154,460,45,7,832,0,4417,577,4,85,68,609
04025000614,634,292,126,62,5,3,113,0,437,122,0,6,5,64
04025000615,3219,1446,633,346,38,2,558,0,2349,490,4,40,52,284
04025000616,1462,757,268,111,7,1,221,0,1146,157,3,21,26,109
04025000617,1469,754,276,114,13,1,221,0,1133,132,0,20,19,165
04025000618,1478,823,262,121,10,0,147,0,1200,86,1,29,23,139
04025000619,3436,1905,617,251,13,1,408,0,2825,176,8,35,40,352
04025000701,1869,950,353,140,27,7,275,0,1533,104,0,12,28,192
04025000702,1860,1028,283,139,14,3,259,0,1545,104,1,12,17,181
04025000802,2831,1324,695,190,23,2,375,0,2314,149,2,27,37,302
04025000803,727,280,192,71,10,3,130,0,560,64,0,10,16,77
04025000804,2314,1007,641,140,20,1,312,0,1921,108,2,17,33,233
04025000901,652,234,178,65,8,1,124,0,503,61,1,4,9,74
04025000902,1700,646,462,162,22,8,298,0,1305,187,8,16,21,163
04025001002,3014,1348,788,179,33,5,414,0,2486,166,3,29,42,288
04025001003,869,354,218,62,11,1,144,0,690,67,0,10,17,85
04025001004,3091,1593,677,162,29,3,368,0,2525,148,1,29,32,356
04025001103,1184,571,296,60,5,0,160,0,965,52,0,11,9,147
04025001104,2411,1031,702,153,16,5,323,0,1996,95,3,38,31,248
04025001105,1456,772,332,83,5,2,167,0,1244,58,0,10,18,126
04025001106,1604,629,473,103,16,2,246,0,1316,106,0,11,17,154
04025001201,2990,1873,383,176,22,2,308,0,2448,132,2,20,42,346
04025001202,3482,2086,554,215,31,6,368,0,2941,133,3,18,44,343
04025001300,998,608,117,82,16,1,139,0,732,176,3,6,5,76
04025001401,1935,1016,304,177,22,4,288,0,1607,116,3,6,14,189
04025001402,3065,1661,439,289,18,4,454,0,2529,152,1,24,34,325
04025001403,2501,1356,399,231,17,0,341,0,2083,167,2,12,34,203
04025001501,1816,1098,259,119,14,1,211,0,1526,85,1,11,21,172
04025001502,2887,1409,527,319,28,1,395,0,2306,223,3,14,34,307
04025001601,3629,1712,657,411,33,3,589,0,2866,400,3,17,30,313
04025001602,2710,1427,457,238,29,1,420,0,2188,235,2,9,25,251
04025001604,947,437,170,95,12,1,162,0,761,97,1,9,8,71
04025001605,2935,1279,703,263,34,4,454,0,2345,249,5,24,29,283
04025001701,4469,1830,1171,395,35,9,712,0,3600,317,6,55,50,441
04025001703,2029,603,774,163,13,2,294,0,1577,117,4,36,51,244
04025001704,797,293,235,70,8,1,112,0,665,34,0,6,14,78
04025001705,2725,813,967,253,17,6,431,0,2172,130,2,39,43,339
04025001801,2489,596,1024,234,28,7,416,0,1955,144,3,49,57,281
04025001803,1413,388,534,144,11,4,240,0,1126,89,0,23,23,152
04025001804,2386,652,918,228,18,3,388,0,1862,127,0,49,56,292
04025001901,1261,457,361,132,5,1,214,0,955,145,2,19,13,127
04025001902,2772,1141,720,288,20,5,418,0,2178,228,3,37,39,287
04025001903,5011,2905,820,345,34,2,574,0,4052,342,3,47,56,511
04025001904,5205,3184,722,348,31,2,623,0,4202,369,3,38,61,532
04025002001,2572,865,757,285,34,6,472,0,1831,425,2,29,23,262
04025002002,2856,1151,685,335,26,1,507,0,2059,490,0,25,34,248
04025002003,2593,1078,674,258,21,6,400,0,1931,370,2,17,27,246
04025002005,1577,788,347,108,8,0,212,0,1256,91,1,17,34,178
04025002006,1118,486,276,100,12,4,158,0,910,108,0,7,14,79
04025002007,4274,1686,1211,422,22,4,656,0,3271,402,11,52,99,439
04025002100,2036,1081,277,245,20,0,264,0,1616,198,2,10,27,183
04013010102,4514,2588,686,915,16,2,3,0,3602,127,6,60,87,632
04013010103,3034,1734,438,685,28,5,1,0,2412,140,2,66,56,358
04013010104,2327,1289,376,506,7,0,2,0,1945,46,0,17,27,292
04013030401,4109,2206,849,782,12,1,0,0,3284,130,11,58,108,518
04013030402,3515,1792,719,766,23,3,0,0,2797,166,4,39,69,440
04013040502,3270,1759,538,751,27,0,15,0,2610,287,2,28,31,312
04013040506,4450,2049,1130,957,13,2,4,0,3689,108,3,47,63,540
04013040507,4822,2336,1171,959,10,1,0,0,4023,118,6,47,53,575
04013040512,1311,682,285,255,6,0,0,0,1106,20,0,16,19,150
04013040513,2501,1331,556,440,4,1,0,0,2140,61,2,13,31,254
04013040514,2561,1266,619,497,7,0,0,0,2103,93,1,34,34,296
04013040515,2815,1635,444,561,16,1,3,0,2197,296,3,19,30,270
04013040516,5629,2669,1257,1365,26,0,0,0,4402,369,11,54,83,710
04013040522,3248,1668,735,603,2,0,0,0,2716,68,2,29,34,399
04013040523,2645,1411,584,467,4,0,1,0,2174,71,7,28,42,323
04013040524,1232,541,332,253,1,0,0,0,984,31,4,10,26,177
04013040525,2437,1145,632,463,1,0,0,0,2033,58,3,28,34,281
04013040526,1818,943,396,354,4,2,0,0,1519,62,5,13,29,190
04013040527,2487,1123,563,679,10,2,2,0,1931,249,22,34,23,228
04013040528,4814,2311,1108,983,5,0,1,0,3956,125,0,44,70,619
04013040529,2586,1254,611,516,2,0,0,0,2128,56,9,25,32,336
04013040530,2284,881,591,676,20,2,0,0,1657,313,19,36,56,203
04013040531,2274,981,565,573,7,2,2,0,1778,182,25,27,32,230
