GEOID20,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
10003000200,4333,3549,228,489,8,6,28,0,697,138,3265,52,57,124
10003000300,2362,1894,124,293,3,1,25,0,313,94,1859,19,32,45
10003000400,2319,1755,206,308,4,3,24,0,851,107,1184,24,30,123
10003000500,2578,2108,111,288,3,3,48,0,243,111,2117,30,26,51
10003000601,2078,1745,72,216,0,0,34,0,151,88,1756,21,30,32
10003000602,2112,1731,90,227,1,2,44,0,285,97,1635,30,28,37
10003000900,1605,1306,81,167,0,2,42,0,204,74,1241,9,35,42
10003001100,2510,1583,421,451,9,1,12,0,1709,116,336,42,61,246
10003001200,1240,735,227,260,5,1,3,0,974,38,64,23,23,118
10003001300,3198,2010,613,515,8,4,6,0,2617,79,38,45,45,374
10003001400,1668,1098,199,334,6,4,14,0,853,194,462,16,27,116
10003001500,1611,1163,147,252,4,5,22,0,610,138,731,26,15,91
10003001600,1656,1219,128,228,2,4,55,0,274,124,1156,17,30,55
10003001902,1332,1000,112,186,2,2,14,0,319,61,811,37,31,73
10003002100,1318,1018,84,163,0,1,40,0,148,166,929,31,15,29
10003002200,1741,1310,126,250,3,0,44,0,184,689,828,7,14,19
10003002300,1887,1407,154,256,2,2,45,0,289,467,1042,22,31,36
10003002400,3115,2182,329,520,5,6,36,0,1376,316,1168,32,46,177
10003002500,2216,1532,257,373,6,1,20,0,991,406,642,37,31,109
10003002600,2231,1666,187,313,3,4,43,0,435,574,1125,20,21,56
10003002700,1887,1303,203,335,1,2,23,0,655,279,766,52,42,93
10003002800,2755,1737,308,624,10,10,47,0,1361,171,752,123,79,269
10003002900,2166,1763,99,221,1,1,66,0,184,104,1797,16,19,46
10003003002,1081,873,45,127,1,1,23,0,88,87,869,10,8,19
10003010104,2341,1412,400,484,4,1,5,0,1179,154,761,43,54,150
10003010105,1672,1083,250,308,7,0,13,0,624,118,755,19,87,69
10003010106,861,548,127,166,4,2,5,0,366,54,300,25,42,74
10003010200,1643,859,419,336,5,2,4,0,1021,81,318,24,59,140
10003010300,2621,1510,514,531,10,2,10,0,1501,164,504,115,103,234
10003010400,3232,1599,853,701,14,5,12,0,2421,139,205,83,70,314
10003010502,4272,2211,943,1017,17,10,10,0,3067,170,489,71,75,400
10003010703,1513,935,260,283,4,1,9,0,931,61,359,15,30,117
10003010704,2598,1748,328,449,7,2,23,0,970,131,1266,38,33,160
