FULLCODE,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
12107950100,2850,590,1741,488,8,2,1,0,0,2509,117,34,22,26,142
12107950201,4047,1120,1901,956,14,0,0,0,0,3324,261,182,16,48,216
12107950202,2530,521,1495,480,9,3,1,1,0,2240,78,39,18,32,123
12107950300,4922,1674,2150,1021,18,5,0,0,0,3619,438,520,36,55,254
12107950400,2119,710,943,430,5,4,0,0,0,1641,62,274,7,19,116
12107950500,4477,1183,2276,962,9,7,1,1,0,3624,380,192,21,49,211
12107950600,3908,1381,1955,536,6,0,0,0,0,2806,169,698,29,44,162
12107950700,2712,1510,665,489,8,4,0,1,0,1153,156,1288,12,27,76
12107950800,1935,1208,355,355,4,2,0,0,0,657,75,1126,11,8,58
12107950900,4035,1806,1523,667,6,3,0,0,0,2517,221,1130,8,39,120
12107951000,2890,938,1488,432,8,1,0,0,0,2202,77,450,21,40,100
12107951100,3303,967,1692,607,7,2,0,0,0,2710,131,261,8,43,150
12107951200,3550,919,1746,850,11,1,0,0,0,2820,266,151,23,47,243
12107951300,2740,738,1361,611,7,1,0,0,0,2184,156,191,13,36,160
12107951401,1915,828,627,438,6,0,0,2,0,1000,274,493,25,18,105
12107951402,2278,663,1026,565,6,1,0,0,0,1683,338,75,17,25,140
12107980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12086000107,1415,436,376,582,2,1,0,1,0,351,633,51,30,138,212
12086000109,1955,931,265,724,4,1,0,1,0,351,977,434,28,57,108
12086000115,1762,503,559,665,6,1,0,0,0,533,645,48,17,188,331
12086000118,743,119,322,287,1,0,0,0,0,193,163,16,22,169,180
12086000120,3105,1190,841,1009,8,2,0,1,0,935,1578,187,66,75,264
12086000121,1108,339,333,421,1,1,0,0,0,327,302,39,18,90,332
12086000122,2612,1010,605,965,2,1,0,1,0,818,940,57,55,200,542
12086000123,2462,658,808,948,4,2,1,0,0,653,849,46,38,434,442
12086000124,1308,729,162,400,2,2,0,0,0,172,619,433,12,23,49
12086000125,1888,554,542,762,1,1,0,0,0,436,636,53,22,393,348
12086000126,1175,335,378,441,4,0,0,0,0,230,465,12,21,236,211
12086000127,2132,770,542,785,8,0,0,0,0,554,1091,68,39,124,256
12086000128,1759,601,445,684,5,1,0,1,0,438,894,86,36,101,204
12086000129,1754,546,578,602,2,0,0,0,0,752,394,37,19,99,453
12086000130,1705,446,542,688,0,1,0,1,0,512,616,30,34,206,307
12086000131,2258,861,491,869,3,0,0,0,0,627,880,88,43,174,446
12086000132,3273,1474,660,1088,4,1,1,2,0,751,1668,204,54,198,398
12086000134,1720,690,337,663,1,1,0,0,0,380,886,74,26,98,256
12086000140,1399,523,270,583,1,1,0,1,0,236,866,93,12,76,116
12086000141,1145,373,225,515,2,0,0,0,0,297,510,89,20,83,146
12086000142,2994,1072,764,1110,4,2,0,0,0,924,1131,71,48,265,555
12086000143,1723,715,351,633,0,1,0,0,0,519,671,71,21,102,339
12086000144,661,226,160,257,1,0,0,0,0,188,226,60,12,42,133
12086000145,1306,388,336,562,2,1,0,0,0,386,468,10,18,117,307
12086000146,2568,904,606,1025,3,1,1,0,0,933,856,47,68,135,529
12086000204,3117,2079,267,741,5,2,0,0,0,107,799,2078,36,38,59
12086000206,3094,2096,229,742,1,3,0,0,0,141,710,2139,32,34,38
12086000211,1725,858,263,580,3,1,0,0,0,297,971,306,31,52,68
12086000212,1924,1178,175,550,3,1,0,0,0,134,639,1024,20,47,60
12086000213,3039,1521,634,853,4,0,0,1,0,602,674,1072,42,129,520
12086000215,2069,1419,145,481,1,4,0,0,0,103,369,1545,14,16,22
12086000216,2922,2000,235,663,1,0,0,1,0,173,615,2008,33,41,52
12086000218,1895,1313,125,440,4,0,0,0,0,72,372,1413,3,18,17
12086000219,2190,1367,201,595,1,4,0,0,0,220,751,1100,23,45,51
12086000220,2387,1558,221,575,1,0,0,1,0,190,725,1376,14,24,58
12086000221,1320,683,201,424,0,0,0,0,0,145,732,351,30,24,38
12086000222,2581,1252,416,887,1,1,0,1,0,314,1651,383,74,66,93
12086000223,1723,1112,120,466,2,2,0,0,0,95,435,1128,16,15,34
12086000224,1449,977,108,351,0,2,0,0,0,115,348,926,12,16,32
12086000225,1395,746,155,476,3,1,0,0,0,82,705,480,26,56,46
12086000226,1751,645,555,532,3,2,0,0,0,543,281,255,40,101,531
12086000227,1638,1131,87,401,2,1,0,0,0,50,422,1113,16,12,25
12086000228,1533,1087,87,348,2,0,0,2,0,33,249,1224,6,12,9
12086000302,1542,1045,153,333,2,0,0,0,0,112,456,912,3,25,34
12086000306,2585,1695,231,633,2,2,0,1,0,224,707,1553,20,28,53
12086000307,3042,2012,287,707,2,2,0,0,0,134,965,1888,15,16,24
12086000308,3566,2403,291,839,3,1,0,0,0,240,901,2283,28,39,75
12086000309,1520,1047,101,359,0,3,0,0,0,59,262,1172,8,8,11
12086000310,2243,1500,160,557,1,3,0,1,0,164,445,1535,23,24,52
12086000311,2347,1601,156,570,2,1,0,0,0,114,415,1729,29,29,31
