FULLCODE,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
13051000601,2704,2490,197,17,0,0,160,38,2451,7,11,37
13051001100,1217,849,302,66,0,0,408,41,680,11,11,66
13051001200,1092,1043,45,4,0,0,44,4,1033,2,2,7
13051002000,1112,767,294,51,0,0,379,42,612,5,15,59
13051002100,1839,1515,279,45,0,0,360,29,1369,8,15,58
13051002200,2888,2376,364,148,0,0,588,60,2129,7,30,74
13051002300,1417,1277,123,17,0,0,105,27,1249,4,9,23
13051002600,1145,821,270,54,0,0,417,53,586,14,15,60
13051002700,2433,1994,363,76,0,0,533,57,1746,7,13,77
13051002800,2188,1866,276,46,0,0,270,56,1786,5,23,48
13051002900,2195,983,601,611,0,0,1735,72,78,26,42,242
13051003000,1544,797,411,336,0,0,1186,73,101,16,20,148
13051003301,1388,1348,36,4,0,0,29,8,1336,0,7,8
13051003302,1353,1324,22,7,0,0,28,7,1308,0,1,9
13051003400,3050,1921,666,463,0,0,1347,87,1352,31,30,203
13051003501,1939,1523,286,130,0,0,434,39,1365,18,8,75
13051003502,2700,1955,461,284,0,0,826,66,1672,23,18,95
13051003601,2298,1952,217,129,0,0,332,42,1865,3,16,40
13051003602,3323,2464,612,247,0,0,925,90,2112,50,21,125
13051003700,1365,1069,202,94,0,0,313,26,958,7,14,47
13051003800,1528,1320,137,71,0,0,196,20,1275,13,9,15
13051003900,2644,1729,458,457,0,0,978,49,1471,28,17,101
13051004001,3042,1315,772,955,0,0,1833,100,628,35,62,384
13051004002,2541,1085,775,681,0,0,1397,118,802,58,45,121
13051004100,1430,511,476,443,0,0,883,56,346,27,11,107
13051004207,2437,1696,448,293,0,0,626,117,1526,54,27,87
13051004208,3312,2049,849,414,0,0,1115,198,1768,46,52,133
13051004209,1653,912,434,307,0,0,694,62,762,28,21,86
13051004210,3166,1973,805,388,0,0,1029,181,1737,54,45,120
13051004211,3543,1961,943,639,0,0,1455,182,1619,77,39,171
