FULLCODE,total_reg,party_rep,party_npp,party_dem,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
20001952600,1315,755,315,236,9,0,0,1179,15,1,7,4,109
20001952700,1319,748,376,183,12,0,0,1172,15,4,5,3,120
20001952800,2431,1248,756,403,24,0,0,2072,66,47,19,24,203
20001952900,1306,638,393,261,14,0,0,1150,32,8,6,11,99
20001953000,1891,982,534,351,24,0,0,1637,72,10,9,5,158
20119966600,1564,1069,315,169,11,0,0,1272,157,0,10,3,122
20119966700,1180,908,164,104,4,0,0,1000,49,0,5,8,118
20199954100,992,830,110,48,4,0,0,885,26,0,12,15,54
20093959100,1966,1278,412,262,14,0,0,1448,365,2,8,10,133
20177000400,1677,325,632,698,22,0,0,1055,224,268,9,16,105
20177000500,946,161,366,403,16,0,0,584,109,165,12,16,60
20177000600,891,205,333,330,23,0,0,674,105,59,1,4,48
20177000700,1428,464,518,429,17,0,0,1189,71,13,9,7,139
20177000800,1543,446,622,463,12,0,0,1250,121,25,8,10,129
20177000900,1781,545,607,609,20,0,0,1379,220,13,10,21,138
20177001000,1841,315,617,889,20,0,0,1105,604,15,8,9,100
20177001100,869,89,358,410,12,0,0,377,333,106,6,2,45
20177001200,839,92,328,415,4,0,0,335,182,276,3,4,39
20177001300,1798,300,677,796,25,0,0,975,379,297,16,15,116
20177001500,1169,280,365,513,11,0,0,659,137,285,7,8,73
20177001601,1570,573,430,546,21,0,0,1280,106,39,16,11,118
20177001603,1596,451,551,567,27,0,0,1176,128,115,12,15,150
20177001604,2327,857,642,796,32,0,0,1831,132,83,15,35,231
20177001800,2189,609,631,913,36,0,0,1732,144,56,23,29,205
20177001900,2340,945,510,862,23,0,0,1981,99,14,17,16,213
20177002100,1800,453,597,724,26,0,0,1328,161,136,7,8,160
20177002200,1638,482,481,654,21,0,0,1372,99,24,6,12,125
20177002401,2418,1087,508,811,12,0,0,2049,95,25,15,30,204
20177002402,1597,564,455,565,13,0,0,1286,63,73,15,20,140
20177002500,1735,608,506,598,23,0,0,1455,98,30,10,18,124
20177002601,2491,928,689,851,23,0,0,2024,156,60,23,30,198
20177002602,4241,1761,1060,1385,35,0,0,3478,216,86,56,24,381
20177002701,2708,881,844,963,20,0,0,2146,201,79,9,23,250
20177002702,2914,1307,749,831,27,0,0,2335,144,70,63,37,265
20177002800,2182,654,680,821,27,0,0,1700,135,164,8,14,161
20177002900,1417,237,547,621,12,0,0,742,215,356,28,3,73
20177003001,1696,338,580,750,28,0,0,898,306,360,13,22,97
20177003002,3644,1311,1004,1289,40,0,0,2749,337,198,25,40,295
20177003100,2818,657,939,1193,29,0,0,1750,333,547,19,25,144
20177003301,1705,766,494,434,11,0,0,1445,67,3,7,25,158
20177003302,2677,1303,738,618,18,0,0,2317,79,12,13,21,235
20177003401,3655,1742,992,893,28,0,0,3062,130,11,24,36,392
20177003402,3542,1684,975,860,23,0,0,3029,109,8,26,26,344
20177003500,4179,2175,1058,914,32,0,0,3697,91,4,21,14,352
20177003601,3420,1875,865,641,39,0,0,2954,86,6,16,36,322
20177003604,2992,1700,624,651,17,0,0,2504,84,4,40,33,327
20177003605,3718,2020,797,874,27,0,0,3063,153,21,103,33,345
20177003606,2779,1232,702,824,21,0,0,2241,124,33,44,44,293
20177003607,4582,2170,1224,1144,44,0,0,3716,241,47,81,59,438
20177003701,3375,1426,937,981,31,0,0,2734,178,82,33,37,311
20177003702,1765,619,638,464,44,0,0,1447,93,57,17,6,145
20177003901,5323,2336,1385,1560,42,0,0,4497,298,42,26,45,415
20177003902,3475,1806,861,777,31,0,0,2968,96,2,27,20,362
20177004000,970,208,337,418,7,0,0,594,146,145,7,11,67
