FULLCODE,total_reg,party_dem,party_npp,party_rep,party_grn,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
23017965100,1138,285,441,356,56,0,0,0,1046,3,0,4,3,82
23017965400,2184,752,836,486,109,0,1,0,2023,12,2,16,15,116
23017965500,1541,483,611,376,71,0,0,0,1401,24,2,4,10,100
23017965600,2596,954,932,589,121,0,0,0,2339,32,2,4,12,207
23017965700,2492,592,953,770,175,1,1,0,2261,28,1,10,14,178
23017965800,2843,714,1108,852,169,0,0,0,2651,17,0,9,11,155
23017965900,2537,762,978,729,68,0,0,0,2315,26,1,19,14,162
23017966001,1700,446,642,509,103,0,0,0,1522,20,0,9,7,142
23017966002,923,268,318,294,43,0,0,0,830,13,0,3,18,59
23017966100,1201,309,487,379,26,0,0,0,1105,14,1,5,7,69
23017966200,3662,997,1299,1160,200,3,3,0,3330,40,2,16,22,252
23017966300,2315,507,1027,706,75,0,0,0,2106,37,2,6,22,142
23017966401,3031,752,1079,1020,179,0,1,0,2772,38,2,9,16,194
23017966402,1626,328,610,612,74,0,2,0,1489,21,0,5,11,100
23017966500,3933,1220,1367,1147,199,0,0,0,3589,39,4,16,33,252
23017966600,2416,753,799,759,105,0,0,0,2219,22,2,12,9,152
23017966700,2836,922,1004,770,140,0,0,0,2549,30,0,12,21,224
23017966800,2182,640,774,668,100,0,0,0,1961,32,0,6,15,168
23017966900,2179,516,822,769,72,0,0,0,1978,26,0,2,9,164
23007970101,1930,542,607,681,99,1,0,0,1737,18,0,7,8,160
23007970102,665,176,245,210,34,0,0,0,580,6,1,4,6,68
23007970601,1756,415,583,660,98,0,0,0,1577,17,0,8,13,141
23007970602,1711,455,614,564,78,0,0,0,1574,16,5,4,8,104
23007971000,2915,768,982,1053,112,0,0,0,2674,26,1,9,15,190
23007971100,2228,572,758,766,131,0,1,0,2038,12,1,7,14,156
23007971201,3060,1037,988,862,173,0,0,0,2675,61,4,17,34,269
23007971202,2870,907,849,962,152,0,0,0,2584,27,2,23,17,217
23007971300,2762,761,1004,897,99,0,1,0,2519,36,0,17,12,178
23007971400,3280,1203,1032,934,110,1,0,0,2979,55,2,8,23,213
23025965301,775,125,305,341,4,0,0,0,678,21,0,5,4,67
23025965302,1002,218,318,415,51,0,0,0,903,5,0,3,8,83
23025965600,1481,406,536,494,45,0,0,0,1385,10,1,4,6,75
23025965700,2105,411,682,965,46,1,0,0,1914,28,0,5,18,140
23025965800,2101,491,652,850,108,0,0,0,1912,32,0,3,14,140
23025965900,1178,297,295,541,45,0,0,0,1051,17,10,3,3,94
23025966000,2946,780,1007,1045,113,1,0,0,2671,45,0,14,15,201
23025966100,2368,642,715,899,112,0,0,0,2190,23,2,7,8,138
23025966200,1378,356,471,483,68,0,0,0,1253,15,0,1,12,97
23025966300,1603,363,546,601,93,0,0,0,1458,10,0,2,17,116
23025966400,1591,380,572,565,74,0,0,0,1458,17,0,6,10,100
23025966500,3158,927,1042,1076,113,0,0,0,2863,32,0,8,16,239
23025966601,1379,467,454,417,41,0,0,0,1230,14,0,13,16,106
23025966602,1672,535,530,561,46,0,0,0,1508,30,1,12,14,107
23025966701,1754,494,601,600,59,0,0,0,1597,21,1,10,16,109
23025966702,1262,382,407,434,39,0,0,0,1154,18,0,3,6,81
23025966801,2032,649,633,656,94,0,0,0,1812,34,1,12,14,159
23025966802,2218,623,784,735,76,0,0,0,2006,20,0,9,30,153
23025966900,2330,657,672,874,127,0,0,0,2147,24,2,9,7,141
23025967000,1757,456,632,605,64,0,0,0,1592,19,0,6,12,128
23019000200,2867,1203,978,568,117,1,0,0,2426,82,10,38,36,275
23019000300,2933,1078,924,840,90,0,1,0,2569,53,8,55,33,215
23019000400,1669,784,493,339,51,2,0,0,1445,45,1,20,22,136
23019000500,2342,943,720,604,74,1,0,0,2106,31,8,21,17,159
23019000600,1365,527,499,282,57,0,0,0,1194,37,3,11,12,108
23019000700,2155,872,655,572,56,0,0,0,1917,34,3,11,21,169
23019000900,4211,1351,1537,1175,148,0,0,0,3694,99,45,45,46,282
23019002000,5878,1778,1685,2186,223,6,0,0,5305,78,2,42,49,402
23019003000,3081,775,900,1233,172,0,1,0,2821,20,2,6,18,214
23019004100,1332,411,464,389,68,0,0,0,1175,20,5,10,11,111
23019004200,2124,639,606,793,86,0,0,0,1930,28,1,9,22,134
23019004300,3878,1183,1076,1461,158,0,0,0,3477,68,6,30,33,264
23019005000,1446,509,432,438,67,0,0,0,1262,18,0,16,23,127
23019006100,2753,1316,868,422,147,0,0,0,2259,65,8,40,50,331
23019006200,2842,1336,770,609,127,0,0,0,2428,63,1,37,47,266
23019006300,2584,967,1005,467,145,0,0,0,2112,63,15,30,46,318
23019007100,3733,1497,1224,841,169,2,0,0,3254,73,11,21,43,331
23019007200,2071,716,716,549,87,3,0,0,1831,31,2,9,15,183
23019008001,3831,1349,1215,1068,197,2,0,0,3386,47,8,20,34,336
23019009000,5018,1249,1551,1978,240,0,0,0,4563,78,2,19,26,330
23019010000,4695,1127,1476,1941,150,1,0,0,4305,69,4,32,20,265
23019011000,2109,425,693,912,79,0,0,0,1957,29,1,5,18,99
23019012000,1109,267,403,394,44,1,0,0,1019,7,0,3,4,76
23019012500,1851,425,630,745,51,0,0,0,1710,21,1,3,18,98
23019013000,2295,543,715,990,46,1,0,0,2108,33,3,7,7,137
23019013500,1947,419,642,785,100,1,0,0,1783,24,0,4,18,118
23019014000,1527,312,456,664,93,0,2,0,1386,12,1,5,4,119
23019015000,2410,592,708,973,134,3,0,0,2162,53,4,6,10,175
23019015500,1478,308,493,620,57,0,0,0,1309,19,0,3,8,139
23019018000,2024,394,621,927,80,0,2,0,1847,28,0,10,19,120
23019020500,1947,383,688,779,97,0,0,0,1764,31,0,4,13,135
23019021500,1368,373,485,442,66,2,0,0,1254,20,2,6,7,79
23019022500,1278,285,457,471,65,0,0,0,1153,13,0,3,6,103
23019024500,1934,438,638,786,72,0,0,0,1750,36,4,3,18,123
23019025500,1177,280,374,455,68,0,0,0,1068,11,0,2,10,86
23019026500,1482,343,446,637,56,0,0,0,1408,4,0,3,3,64
23019027000,3213,764,1082,1262,104,1,0,0,2963,44,0,11,26,169
23019028000,1242,354,414,439,35,0,0,0,1137,14,0,6,8,77
23019028500,1072,363,330,342,37,0,0,0,947,13,0,8,3,101
23019029000,1251,259,459,480,53,0,0,0,1137,9,1,11,5,88
23019030000,3770,1257,1341,1040,131,0,1,0,3418,76,2,14,17,243
23019031000,1186,443,272,416,54,1,0,0,1094,8,0,8,17,59
23019031100,4968,1628,1597,1585,154,4,0,0,4339,78,20,77,67,387
23019031200,2953,487,902,1465,98,1,0,0,2728,52,0,7,18,148
23019031300,4234,1048,1373,1626,185,2,0,0,3851,38,0,23,41,281
