GEOID20,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
24003701101,3307,1172,1391,711,10,1,12,0,2672,114,66,54,58,343
24003701103,2479,860,926,647,18,7,14,0,1983,146,23,31,30,266
24003701104,2927,1042,1142,706,9,6,10,0,2347,124,37,60,53,306
24003701201,3025,913,1344,727,15,4,14,0,2569,75,30,48,36,267
24003701202,3787,1162,1687,890,18,4,12,0,3226,139,14,52,52,304
24003701301,3221,1014,1447,716,18,5,13,0,2609,85,74,69,58,326
24003701302,3087,1078,1295,681,6,6,14,0,2335,85,294,30,65,278
24003701400,2833,1021,1204,572,20,3,9,0,2089,90,311,48,44,251
24003702100,5571,1928,2278,1291,31,6,20,0,4526,181,119,82,85,578
24003702204,3235,1282,1089,818,25,2,10,0,2448,131,82,100,115,359
24003702205,3923,1754,1160,960,16,9,10,0,2887,156,298,95,113,374
24003702206,4426,1885,1337,1141,21,6,18,0,3098,233,423,133,117,422
24003702208,5106,2371,1442,1231,25,7,16,0,3216,302,612,262,264,450
24003702209,3288,1329,1116,802,17,5,10,0,2452,169,154,94,116,303
24003702300,4635,1467,2056,1058,18,1,17,0,3757,157,54,92,98,477
24003702402,5837,2269,2168,1326,18,6,22,0,4536,229,195,114,128,635
24003702500,3863,2387,750,689,8,5,15,0,1536,305,1656,87,60,219
24003702601,4278,2056,1235,934,22,6,14,0,3232,157,323,53,92,421
24003702602,5020,2435,1473,1042,27,6,16,0,3690,150,507,71,96,506
24003702702,3533,1327,1395,769,14,4,11,0,2881,80,34,60,80,398
24003702703,1857,713,688,423,12,5,7,0,1468,49,81,31,38,190
24003702704,1425,703,364,335,7,0,11,0,1006,84,126,35,34,140
24003706102,1784,1038,408,319,2,5,7,0,1063,41,486,12,31,151
24003706103,881,473,197,194,6,3,4,0,667,23,72,14,19,86
24003706302,2786,1369,767,602,17,5,18,0,2191,93,125,36,45,296
24003706303,1781,1040,346,361,14,3,10,0,980,97,514,16,48,126
24003706304,1652,742,504,381,8,2,5,0,1252,84,73,19,46,178
24003706402,2208,1315,425,440,3,7,12,0,1198,122,682,26,30,150
24003706403,1940,1121,393,395,10,5,7,0,1162,198,367,42,45,126
24003706404,1103,615,227,244,6,1,8,0,649,125,218,10,13,88
24003706500,3947,2217,884,794,19,2,20,0,2384,242,853,60,75,333
24003706600,3637,1870,946,759,18,11,21,0,2630,135,438,55,57,322
24003706700,243,82,85,71,2,1,1,0,175,17,12,5,5,29
24003707001,4692,1701,1883,1039,26,7,21,0,3772,118,340,29,54,379
24003707002,3620,1242,1550,785,10,7,15,0,3010,90,165,19,47,289
24003708001,3008,966,1333,677,15,3,5,0,2517,78,78,37,30,268
24003708004,3676,1424,1411,789,15,6,16,0,2697,161,526,16,27,249
24003730101,2014,735,837,414,11,2,8,0,1575,74,113,27,29,196
24003730102,7223,3235,2140,1740,42,10,40,0,4809,377,935,205,169,728
24003730204,4502,2399,1115,926,23,3,20,0,2232,300,1386,117,99,368
24003730205,1124,618,252,242,3,2,5,0,632,81,238,39,29,105
24003730206,1993,989,526,437,12,3,20,0,1154,123,482,39,41,154
24003730300,2005,789,686,492,9,3,19,0,1521,156,88,28,34,178
24003730401,3100,1378,1015,662,13,4,15,0,2064,207,374,93,99,263
24003730403,2253,1195,526,496,10,4,16,0,1240,142,624,41,53,153
24003730404,1375,561,446,349,7,2,7,0,1002,115,91,14,26,127
24003730507,3032,1327,1007,648,12,6,17,0,2082,174,303,125,77,271
24003730508,1370,848,248,244,4,4,15,0,515,76,661,14,23,81
24003730509,3394,1528,1052,764,22,4,14,0,2182,194,582,64,63,309
24003730510,2360,1316,556,458,8,7,10,0,1130,116,807,59,81,167
24003730511,748,546,58,131,1,3,6,0,150,19,530,9,6,34
24003730512,1229,788,179,244,4,1,9,0,442,73,604,36,13,61
24003730513,852,514,156,174,1,0,6,0,331,51,378,28,16,48
24003730514,1688,1115,224,325,6,1,11,0,684,102,710,40,32,120
24003730601,5836,1959,2534,1279,24,5,18,0,4654,129,101,210,150,592
24003730603,2442,854,1012,545,15,2,6,0,1891,86,87,108,42,228
24003730605,2035,811,719,471,19,2,4,0,1337,66,254,109,79,190
24003730606,3840,1334,1580,873,16,6,17,0,3139,115,49,81,67,389
24003730701,2220,950,782,464,8,3,7,0,1739,61,106,33,34,247
24003730702,3613,1330,1486,763,13,7,9,0,3001,111,22,75,61,343
24003730800,1999,762,818,403,6,3,4,0,1686,46,10,38,36,183
24003730901,2046,801,774,445,8,2,6,0,1450,48,285,35,40,188
24003730902,3245,1185,1325,687,21,4,14,0,2568,113,91,65,79,329
24003731002,2401,982,831,553,16,3,12,0,1785,122,123,35,56,280
24003731003,3418,1355,1206,803,25,8,11,0,2814,159,36,50,53,306
24003731004,3071,1193,1088,751,17,6,7,0,2475,119,70,54,52,301
24003731103,4445,1708,1623,1051,21,5,13,0,3347,174,235,94,125,470
24003731104,3310,1250,1224,797,19,6,7,0,2562,185,107,78,67,311
24003731105,2803,1069,1052,644,17,2,10,0,2209,110,74,44,66,300
24003731106,3161,1147,1124,847,18,4,16,0,2540,118,49,54,46,354
24003731107,2791,979,1157,613,15,4,11,0,2267,62,17,42,66,337
24003731201,5124,1924,2035,1102,27,13,8,0,4139,141,52,119,124,549
24003731205,3308,886,1697,685,16,3,14,0,2790,84,78,25,30,301
24003731206,2599,680,1374,518,7,1,12,0,2187,59,10,9,37,297
24003731207,2610,939,1031,614,10,1,9,0,2045,59,156,70,43,237
24003731208,3016,1005,1330,640,25,2,9,0,2387,86,194,35,56,258
24003731209,3553,1280,1421,807,19,5,14,0,2605,174,249,71,88,366
24003731210,1587,443,772,349,10,1,8,0,1277,59,43,36,21,151
24003731303,5447,1435,2821,1136,18,4,24,0,4572,107,30,54,82,602
24003731306,5031,1223,2672,1075,25,1,21,0,4257,124,28,60,59,503
24003731307,4973,1642,2104,1165,23,6,23,0,3901,202,213,88,97,472
24003731308,2531,794,1098,601,12,2,13,0,2137,71,13,17,27,266
24003731309,4018,1399,1685,876,14,8,21,0,3183,114,136,51,92,442
24003731310,3843,1269,1629,883,22,4,21,0,3194,118,97,34,58,342
24003731312,3291,1051,1385,795,25,5,22,0,2658,173,82,38,57,283
24003731313,2145,778,818,513,16,6,12,0,1576,126,146,43,50,204
24003740103,6338,3422,1352,1469,35,11,32,0,2772,509,2041,406,180,430
24003740104,5864,3556,920,1304,27,12,25,0,1833,396,2767,338,151,379
24003740105,2224,1511,228,450,8,6,17,0,409,166,1475,65,38,71
24003740106,1627,712,485,412,6,4,7,0,1118,107,115,93,46,148
24003740107,3459,2102,462,851,11,2,20,0,1188,272,1130,449,142,278
24003740108,3438,1856,631,900,19,9,19,0,1662,243,764,360,129,280
24003740203,4627,1769,1714,1088,21,9,17,0,3192,248,466,174,110,437
24003740204,2296,1282,505,474,12,4,16,0,1091,122,797,97,58,131
24003740205,2060,978,576,464,10,6,21,0,1374,146,273,61,37,169
24003740303,3463,1465,1052,903,13,2,18,0,2209,236,506,139,86,287
24003740304,4263,2024,1107,1076,25,3,18,0,2619,272,755,138,79,400
24003740305,6695,4574,670,1359,34,10,33,0,1382,427,4189,195,181,321
24003740400,9,5,0,4,0,0,0,0,1,0,8,0,0,0
24003740501,3407,2424,257,669,15,6,24,0,690,195,2075,143,111,193
24003740502,3342,2261,344,699,13,4,14,0,878,227,1689,201,141,206
24003740601,1478,777,267,398,17,1,15,0,673,136,386,110,35,138
