FULLCODE,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
25013800101,2481,1235,993,216,13,2,2,16,0,1053,951,244,17,47,169
25013800102,2416,1202,1018,158,13,5,0,19,0,836,1112,256,25,39,148
25013800201,4481,2194,1917,318,19,2,0,26,0,1894,2032,204,59,81,211
25013800202,993,490,400,84,3,0,0,12,0,462,409,50,6,18,48
25013800300,3395,1573,1557,214,14,6,5,22,0,1260,1689,178,27,58,183
25013800400,4058,1993,1767,244,25,0,2,25,0,1273,2329,189,19,66,182
25013800500,2162,956,1043,132,8,5,0,16,0,687,1220,91,23,43,98
25013800600,1426,676,652,86,6,0,0,6,0,129,1191,22,8,27,49
25013800700,2530,1099,1288,115,11,2,2,9,0,225,2146,55,15,16,73
25013800800,1309,529,673,93,5,1,0,7,0,168,1038,51,7,15,30
25013800900,2609,1110,1290,180,9,1,1,16,0,383,1975,127,8,38,78
25013801101,1528,642,762,92,12,3,1,16,0,360,947,114,21,18,68
25013801102,705,324,335,39,4,1,0,2,0,243,326,64,12,16,44
25013801200,1856,860,848,116,12,3,0,16,0,432,1102,199,10,24,89
25013801300,3303,1384,1712,172,8,4,2,20,0,635,1400,1094,23,52,99
25013801401,2486,1020,1294,134,13,2,2,16,0,318,1129,919,19,26,75
25013801402,1518,652,758,86,5,6,0,8,0,410,553,431,27,46,51
25013801501,3715,1656,1798,215,18,4,3,18,0,1250,1199,1059,39,46,122
25013801502,2240,1013,1041,154,7,3,1,21,0,684,965,446,26,35,84
25013801503,2740,1283,1184,227,11,4,1,28,0,1074,1040,426,34,37,129
25013801601,2738,1265,1167,255,17,2,1,23,0,1420,554,506,50,45,163
25013801602,3054,1515,1227,262,15,4,3,21,0,1541,851,403,50,48,161
25013801603,3011,1481,1166,322,8,3,6,24,0,1720,667,300,58,65,201
25013801604,2771,1443,991,291,16,4,4,21,0,1945,389,160,40,47,190
25013801605,2907,1459,1171,236,10,3,4,24,0,1481,702,350,91,67,216
25013801700,3534,1435,1910,136,13,3,2,34,0,524,1163,1683,26,57,81
25013801800,2524,1140,1247,115,12,1,1,6,0,327,1358,737,12,26,64
25013801901,2279,1114,986,146,14,2,0,14,0,417,1437,305,10,25,85
25013801902,2357,1061,1121,145,13,3,0,14,0,592,1375,262,14,26,88
25013802000,1686,819,754,88,7,2,0,14,0,343,1171,102,6,16,48
25013802101,3987,1810,1782,335,26,5,1,25,0,1735,1444,309,94,112,293
25013802200,1925,921,853,120,12,5,2,12,0,466,1017,208,103,44,87
25013802300,3808,1908,1605,233,24,2,3,32,0,999,1983,397,220,55,154
25013802400,2711,1302,1097,276,8,4,2,21,0,1811,407,116,132,48,197
25013802500,4912,2419,1928,497,19,5,4,33,0,3053,930,272,190,114,353
25013802601,4459,2147,1911,325,20,6,4,37,0,1847,1600,424,240,74,274
25013802602,1403,685,541,153,10,2,0,12,0,945,200,28,49,39,142
25013810100,4213,2643,921,571,20,7,8,37,0,3415,210,9,42,91,446
25013810200,1866,1176,427,226,13,1,5,15,0,1527,106,1,18,32,182
25013810300,2102,1337,477,261,11,3,0,12,0,1704,133,3,5,32,225
25013810403,2248,1231,726,254,13,4,0,18,0,1330,547,10,18,50,293
25013810404,2575,1435,798,303,8,1,4,23,0,1494,628,3,11,60,379
25013810412,4331,2453,1229,572,16,6,4,47,0,2960,709,7,45,79,531
25013810414,4673,2761,1138,711,21,3,4,30,0,3264,637,7,44,96,625
25013810601,2781,1576,824,320,29,5,1,22,0,2058,368,19,35,54,247
25013810602,1976,1131,506,308,8,2,0,20,0,1569,163,8,23,39,174
25013810700,4306,2427,1396,404,29,5,4,32,0,2686,1039,45,37,127,372
