GEOID20,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
27111960102,1943,1044,308,591,0,0,1600,11,0,13,12,307
27111960103,1677,822,200,655,0,0,1365,6,0,10,11,285
27111960300,1830,591,523,716,0,0,1255,173,28,30,115,229
27111960400,1747,917,344,486,0,0,1438,14,0,20,11,264
27111960500,3245,1242,723,1280,0,0,2571,53,3,20,21,577
27111960600,2879,1272,603,1004,0,0,2387,30,0,5,18,439
27111960700,1785,916,392,477,0,0,1393,21,2,18,15,336
27111960800,2233,1104,395,734,0,0,1845,33,1,16,23,315
27111960900,3495,975,907,1613,0,0,2802,53,11,42,37,550
27111961000,2703,757,849,1097,0,0,2235,36,2,12,27,391
27111961100,2979,1276,474,1229,0,0,2496,22,2,12,24,423
27111961200,1811,812,368,631,0,0,1511,12,0,13,13,262
27111961300,2614,1207,632,775,0,0,2166,13,0,8,24,403
27111961400,1934,923,416,595,0,0,1618,16,2,11,24,263
27111961500,2205,976,521,708,0,0,1794,14,0,6,14,377
27111961600,1699,896,321,482,0,0,1386,15,7,5,5,281
27111961700,2342,1287,368,687,0,0,1922,24,1,26,17,352
27127750100,1511,761,293,457,0,0,1221,37,0,6,25,222
27127750200,1816,596,483,737,0,0,1449,28,0,12,18,309
27127750300,1112,330,316,466,0,0,886,28,0,7,26,165
27127750400,1826,993,375,458,0,0,1395,19,0,9,24,379
27127750500,1487,704,314,469,0,0,1040,14,1,86,13,333
27127750600,1036,363,285,388,0,0,807,12,2,13,6,196
27049080101,2596,621,1232,743,0,0,2132,47,5,25,19,368
27049080102,3646,1156,1193,1297,0,0,2997,67,3,31,39,509
27049080201,1676,384,672,620,0,0,1405,35,10,14,19,193
27049080202,2766,995,885,886,0,0,2260,48,3,27,24,404
27049080300,2898,1235,599,1064,0,0,2357,29,2,22,23,465
27049080400,2703,1227,655,821,0,0,2259,30,4,18,19,373
27049080500,2557,1414,453,690,0,0,2209,23,2,19,23,281
27049080600,3097,1108,875,1114,0,0,2548,62,0,30,23,434
27049080700,2274,1014,577,683,0,0,1771,68,2,17,12,404
27049080800,2861,1121,643,1097,0,0,2304,33,3,33,33,455
27049080900,3824,1518,973,1333,0,0,3156,35,1,39,25,568
27121970100,1507,696,390,421,0,0,1232,5,1,3,29,237
27121970200,1856,695,529,632,0,0,1493,15,0,11,18,319
27121970300,1637,796,367,474,0,0,1345,9,0,8,16,259
27121970400,2363,759,719,885,0,0,1938,33,0,21,26,345
27075370101,1366,426,446,494,0,0,1147,18,0,9,10,182
27075370102,1937,710,614,613,0,0,1653,19,0,12,14,239
27075370300,1621,437,662,522,0,0,1365,14,1,15,24,202
27075370400,2618,650,1141,827,0,0,2203,24,0,10,43,338
27075990100,0,0,0,0,0,0,0,0,0,0,0,0
27009020100,3583,1493,696,1394,0,0,2884,38,2,18,39,602
27009020202,1911,977,381,553,0,0,1525,22,1,10,6,347
27009020203,1876,765,320,791,0,0,1468,35,1,10,12,350
27009020205,2176,1021,339,816,0,0,1712,40,1,12,26,385
27009020206,1602,513,402,687,0,0,1293,27,1,7,13,261
27009020300,2551,1156,423,972,0,0,1989,38,2,21,37,464
27009021102,2572,751,573,1248,0,0,2043,43,13,21,38,414
27009021103,2017,586,461,970,0,0,1629,43,6,18,24,297
27009021104,3174,1195,605,1374,0,0,2482,56,4,68,41,523
27009021201,3329,542,1619,1168,0,0,2322,89,154,42,255,467
27159480100,2203,775,650,778,0,0,1803,20,1,14,22,343
27159480200,3425,1380,989,1056,0,0,2809,40,0,16,45,515
27159480300,2782,768,1007,1007,0,0,2261,54,2,14,32,419
27053000101,1772,82,1690,0,0,0,980,103,264,208,34,183
27053000102,2800,95,2704,1,0,0,1531,140,560,237,80,252
27053000300,2255,112,2140,3,0,0,1655,66,173,50,39,272
27053000601,3300,555,1707,1038,0,0,2393,132,76,79,123,497
27053000603,2174,377,1268,529,0,0,1690,72,14,48,52,298
27053001100,1511,51,1436,24,0,0,1114,63,33,37,72,192
27053001700,1349,38,1308,3,0,0,804,66,117,25,163,174
27053002200,609,11,598,0,0,0,161,38,260,80,32,38
27053002400,1744,41,1699,4,0,0,1219,63,95,30,94,243
27053002700,1414,13,1401,0,0,0,315,55,804,115,68,57
27053003200,1102,22,1079,1,0,0,322,45,607,44,31,53
27053003300,1092,18,1074,0,0,0,177,71,596,102,93,53
27053003801,1602,12,1587,3,0,0,1146,73,34,80,69,200
27053003802,1251,29,603,619,0,0,899,31,17,66,35,203
27053005901,1656,31,1425,200,0,0,689,54,453,37,286,137
27053005902,1299,13,1246,40,0,0,425,49,335,24,363,103
27053006800,2529,30,2482,17,0,0,1655,125,140,77,188,344
27053007700,3108,108,2355,645,0,0,1891,136,193,128,353,407
27053007801,828,1,825,2,0,0,349,50,157,50,147,75
27053008100,2470,53,2400,17,0,0,1862,82,35,67,75,349
27053008200,2836,37,2718,81,0,0,1513,139,370,64,445,305
27053008300,824,25,762,37,0,0,356,136,100,26,100,106
27053008400,1172,64,765,343,0,0,617,133,122,40,123,137
27053008500,1914,38,1872,4,0,0,1266,167,100,63,95,223
27053009500,1503,32,1467,4,0,0,880,107,178,60,77,201
27053009600,2210,65,2142,3,0,0,1591,95,153,49,65,257
27053010600,2122,359,1566,197,0,0,1655,33,3,49,48,334
27053010700,1842,397,1159,286,0,0,1468,37,4,49,38,246
27053011000,2548,94,2450,4,0,0,1999,82,72,40,36,319
27053011703,3127,168,2951,8,0,0,2555,67,5,54,60,386
27053011704,2351,857,673,821,0,0,1829,74,45,36,28,339
27053011800,3636,885,1541,1210,0,0,2782,126,57,81,80,510
27053011998,3138,392,2076,670,0,0,2385,95,52,60,78,468
27053012001,4377,1024,2342,1011,0,0,3374,125,70,132,108,568
27053012003,3079,648,1903,528,0,0,2007,144,288,69,153,418
27053012101,1590,229,1104,257,0,0,1067,89,115,38,87,194
27053012102,2031,450,720,861,0,0,1527,117,36,58,46,247
27053020101,2450,1081,660,709,0,0,1827,61,4,78,80,400
27053020102,1583,551,464,568,0,0,1196,35,6,35,57,254
27053020201,1296,135,886,275,0,0,582,68,339,157,45,105
27053020202,2284,323,1414,547,0,0,1049,141,481,263,95,255
27053020301,1570,289,781,500,0,0,863,77,185,239,33,173
27053020302,1292,180,742,370,0,0,586,50,315,148,46,147
27053020303,2118,351,1100,667,0,0,1114,145,193,401,84,181
27053020304,1638,251,927,460,0,0,735,127,312,256,34,174
27053020400,2723,394,1456,873,0,0,1485,141,457,292,85,263
27053020500,2036,323,990,723,0,0,1234,141,192,197,45,227
27053020600,1312,200,616,496,0,0,798,96,66,188,39,125
27053020700,2613,601,858,1154,0,0,1855,91,106,120,81,360
27053020801,1305,298,468,539,0,0,907,76,50,57,37,178
27053020804,1719,345,721,653,0,0,1203,93,108,57,21,237
27053020902,1561,435,512,614,0,0,1150,67,29,53,37,225
27053020903,2102,485,752,865,0,0,1567,101,27,30,55,322
27053021001,3763,961,1323,1479,0,0,2673,129,212,108,97,544
27053021002,1281,468,379,434,0,0,905,51,73,24,35,193
27053021100,1258,266,486,506,0,0,922,39,67,37,22,171
27053021200,3148,1063,950,1135,0,0,2430,96,103,60,56,403
27053021300,3065,507,1386,1172,0,0,2063,96,351,82,67,406
27053021400,2059,467,691,901,0,0,1496,97,87,52,55,272
27053021501,2704,596,988,1120,0,0,1916,90,208,80,66,344
27053021502,1842,213,1231,398,0,0,949,85,363,76,94,275
27053021503,3071,841,1101,1129,0,0,2160,156,149,92,92,422
27053021504,2437,713,682,1042,0,0,1787,90,68,67,77,348
27053021505,3013,732,1034,1247,0,0,2105,121,149,97,102,439
27053021601,3292,1074,956,1262,0,0,2399,105,54,84,137,513
27053021602,4209,1326,1311,1572,0,0,3082,123,126,100,116,662
27053021700,3983,1454,1284,1245,0,0,3045,96,62,131,96,553
27053021800,1763,698,629,436,0,0,1363,39,17,49,34,261
27053021900,3234,1109,1066,1059,0,0,2270,74,53,95,106,636
27053022000,1447,205,511,731,0,0,1090,37,9,36,39,236
27053022101,1807,342,634,831,0,0,1272,58,31,77,59,310
27053022102,1785,413,539,833,0,0,1286,57,41,54,59,288
27053022200,3652,996,1254,1402,0,0,2730,89,70,76,111,576
27053022301,1509,400,468,641,0,0,1048,39,14,31,64,313
27053022302,1997,299,797,901,0,0,1334,77,125,55,103,303
27053022400,2541,576,729,1236,0,0,1893,78,98,53,50,369
27053022700,2223,521,753,949,0,0,1699,65,32,47,54,326
27053022801,1667,646,623,398,0,0,1109,26,2,50,68,412
27053022802,2974,369,1600,1005,0,0,1992,85,86,72,173,566
27053022901,3794,872,1465,1457,0,0,2979,77,53,81,117,487
27053022902,1340,589,357,394,0,0,1085,26,2,21,32,174
27053023000,3047,612,1262,1173,0,0,2244,73,106,86,93,445
27053023100,1398,650,501,247,0,0,1060,26,12,49,36,215
27053023201,1300,374,485,441,0,0,974,28,19,41,37,201
27053023202,1915,225,964,726,0,0,1188,81,177,69,164,236
27053023300,4123,785,1931,1407,0,0,2959,140,146,89,174,615
27053023401,2772,342,1208,1222,0,0,1907,117,112,74,164,398
27053023402,1047,333,368,346,0,0,668,34,70,22,113,140
27053023501,2660,940,782,938,0,0,2097,57,7,77,74,348
27053023502,4867,2231,1423,1213,0,0,3741,93,21,163,136,713
27053023600,2919,1466,979,474,0,0,2343,33,2,63,53,425
27053023700,3985,1917,1125,943,0,0,3087,66,6,156,97,573
27053023801,3637,1798,997,842,0,0,2773,76,24,123,115,526
27053023802,2081,898,581,602,0,0,1603,53,8,97,56,264
27053023901,2641,1239,786,616,0,0,2085,49,7,127,63,310
27053023902,1495,779,456,260,0,0,1039,27,7,128,74,220
27053023903,2590,1191,769,630,0,0,1927,55,25,154,123,306
27053024003,2637,921,884,832,0,0,1869,90,59,126,142,351
27053024004,3010,573,1092,1345,0,0,2199,67,44,107,175,418
27053024005,1787,355,612,820,0,0,1301,44,28,73,71,270
27053024006,1587,759,463,365,0,0,1220,29,8,61,39,230
27053024100,2330,538,847,945,0,0,1711,104,53,93,57,312
27053024200,2293,731,587,975,0,0,1787,85,14,64,32,311
27053024300,2232,441,863,928,0,0,1507,139,93,92,97,304
27053024400,2857,489,1062,1306,0,0,2019,138,112,79,120,389
27053024500,1760,540,497,723,0,0,1303,97,27,53,49,231
27053024600,2441,603,893,945,0,0,1722,115,78,85,89,352
27053024700,2161,697,683,781,0,0,1491,166,40,107,60,297
27053024801,1407,312,532,563,0,0,944,135,43,75,34,176
27053024802,1343,233,636,474,0,0,904,123,64,59,40,153
27053024903,1041,193,521,327,0,0,618,106,99,48,49,121
27053024904,2121,417,910,794,0,0,1401,223,46,121,75,255
27053025100,1996,335,1011,650,0,0,1248,114,178,61,143,252
27053025201,2154,352,1088,714,0,0,1151,286,218,113,140,246
27053025205,3113,775,1101,1237,0,0,2155,185,111,140,158,364
27053025301,2190,863,540,787,0,0,1714,56,13,77,41,289
27053025302,2613,595,1037,981,0,0,1777,140,107,154,84,351
27053025401,2280,484,987,809,0,0,1543,211,59,121,82,264
27053025403,2254,392,919,943,0,0,1528,142,92,100,105,287
27053025601,1747,451,438,858,0,0,1231,82,21,127,83,203
27053025603,2789,904,671,1214,0,0,2138,64,21,99,89,378
27053025605,2679,654,754,1271,0,0,1998,87,22,116,87,369
27053025702,3553,1162,1090,1301,0,0,2622,113,73,123,136,486
27053025703,1664,709,452,503,0,0,1260,21,52,47,56,228
27053025704,2947,1181,797,969,0,0,2276,75,48,104,93,351
27053025801,2272,601,718,953,0,0,1684,99,43,69,87,290
27053025802,1767,720,404,643,0,0,1393,45,7,38,45,239
27053025803,2253,619,824,810,0,0,1662,79,39,86,82,305
27053025805,2046,870,529,647,0,0,1591,48,12,44,51,300
27053025905,3034,1482,746,806,0,0,2395,38,6,104,73,418
27053025906,4181,1599,1134,1448,0,0,3131,116,65,192,171,506
27053025907,3660,1434,995,1231,0,0,2861,91,9,174,57,468
27053025908,3248,1239,929,1080,0,0,2530,75,22,102,77,442
27053025909,2144,901,552,691,0,0,1571,67,40,73,70,323
27053026005,2783,1196,682,905,0,0,1950,72,77,106,213,365
27053026006,1953,589,525,839,0,0,1410,62,34,49,125,273
27053026007,3262,1217,993,1052,0,0,2328,85,77,98,205,469
27053026013,3236,1657,754,825,0,0,2501,78,9,129,115,404
27053026014,3748,1837,822,1089,0,0,2907,74,12,137,130,488
27053026015,3727,1783,901,1043,0,0,2729,113,33,184,193,475
27053026019,1782,137,693,952,0,0,1065,84,72,91,207,263
27053026020,2949,915,817,1217,0,0,2012,49,90,141,270,387
27053026021,3073,1562,726,785,0,0,2270,63,9,191,105,435
27053026023,2357,853,684,820,0,0,1623,89,77,134,136,298
27053026024,2651,1318,579,754,0,0,2010,40,19,105,82,395
27053026025,1978,1175,458,345,0,0,1516,33,2,140,38,249
27053026026,3160,1826,695,639,0,0,2010,81,20,464,188,397
27053026027,3082,1596,779,707,0,0,2314,94,17,144,97,416
27053026028,1766,972,417,377,0,0,1123,52,24,248,87,232
27053026101,2581,1044,753,784,0,0,1927,45,18,40,69,482
27053026103,2151,888,585,678,0,0,1724,53,6,42,48,278
27053026104,3383,719,1075,1589,0,0,2400,87,75,97,228,496
27053026201,2371,1192,579,600,0,0,1875,39,0,58,56,343
27053026202,2176,1031,498,647,0,0,1684,33,7,70,80,302
27053026205,2452,1159,656,637,0,0,1918,59,4,70,47,354
27053026206,2588,1153,703,732,0,0,2017,35,4,50,65,417
27053026207,2680,1061,693,926,0,0,1949,72,38,77,135,409
27053026208,2350,1047,628,675,0,0,1874,35,1,43,63,334
27053026301,2824,1221,846,757,0,0,2123,58,6,49,95,493
27053026302,2579,1230,636,713,0,0,2050,43,1,42,53,390
27053026403,2196,700,652,844,0,0,1556,45,36,61,150,348
27053026404,4661,1907,1454,1300,0,0,3313,94,31,128,177,918
27053026405,1761,650,515,596,0,0,1296,41,23,46,84,271
27053026406,2710,342,1070,1298,0,0,1857,78,41,66,163,505
27053026505,3087,1211,713,1163,0,0,2274,68,36,125,96,488
27053026507,3170,1182,890,1098,0,0,2235,93,65,104,124,549
27053026508,3679,1641,872,1166,0,0,2815,69,47,103,107,538
27053026509,3482,1802,774,906,0,0,2616,62,17,117,114,556
27053026510,2395,851,623,921,0,0,1760,55,29,72,84,395
27053026511,2040,645,718,677,0,0,1461,62,106,53,74,284
27053026514,2654,573,868,1213,0,0,1918,92,62,90,113,379
27053026515,1560,653,386,521,0,0,1179,28,20,44,51,238
27053026516,2408,887,679,842,0,0,1775,76,25,57,75,400
27053026605,2885,1439,607,839,0,0,2100,45,4,186,117,433
27053026606,3462,1716,849,897,0,0,2739,67,33,74,85,464
27053026609,2229,1033,533,663,0,0,1784,35,5,60,61,284
27053026610,3122,1551,750,821,0,0,2466,50,10,65,95,436
27053026611,3231,1013,885,1333,0,0,2339,68,81,79,200,464
27053026614,2898,1408,652,838,0,0,2134,51,33,139,113,428
27053026615,4598,2104,1005,1489,0,0,2984,123,88,485,211,707
27053026616,5069,2714,1011,1344,0,0,3083,102,47,795,311,731
27053026617,1610,791,405,414,0,0,1093,24,19,152,84,238
27053026702,1687,384,601,702,0,0,1358,39,16,21,25,228
27053026706,2511,1091,529,891,0,0,2031,38,8,55,50,329
27053026707,3872,1458,818,1596,0,0,2950,93,33,77,110,609
27053026708,3857,1705,848,1304,0,0,2938,99,25,91,105,599
27053026711,2039,676,558,805,0,0,1576,53,23,43,60,284
27053026712,2135,809,537,789,0,0,1608,74,51,48,80,274
27053026713,2980,1172,669,1139,0,0,2237,94,22,96,77,454
27053026717,4005,1892,847,1266,0,0,2839,99,79,198,200,590
27053026718,2574,1354,578,642,0,0,1967,55,27,93,85,347
27053026719,3971,2336,801,834,0,0,2980,64,24,169,134,600
27053026720,3542,2018,734,790,0,0,2505,78,23,222,140,574
27053026721,2145,1104,432,609,0,0,1722,42,1,57,54,269
27053026722,3079,1683,590,806,0,0,1973,60,53,398,166,429
27053026723,3105,1792,610,703,0,0,2212,63,14,230,129,457
27053026724,2226,726,531,969,0,0,1541,58,20,103,117,387
27053026725,2380,839,532,1009,0,0,1745,64,36,83,99,353
27053026726,3339,1282,747,1310,0,0,2386,94,57,162,145,495
27053026807,3246,854,1173,1219,0,0,2120,134,358,163,82,389
27053026809,1572,116,1304,152,0,0,559,120,486,169,61,177
