GEOID20,total_reg,party_npp,party_rep,party_dem,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
28019950100,1621,472,829,320,0,0,0,1332,18,211,2,6,52
28019950200,2747,781,1115,848,0,3,0,1618,19,1001,14,17,78
28019950300,1167,367,442,358,0,0,0,660,21,446,5,3,32
28045030101,1542,619,556,367,0,0,0,1180,54,123,5,13,167
28045030102,2531,1311,545,673,0,2,0,1496,82,681,24,18,230
28045030201,1023,513,336,174,0,0,0,782,61,55,8,8,109
28045030202,1120,492,435,193,0,0,0,879,39,34,3,14,151
28045030203,2182,1117,662,403,0,0,0,1476,76,372,30,17,211
28045030301,1650,739,671,239,0,1,0,1345,73,40,13,12,167
28045030302,1469,870,464,135,0,0,0,1159,74,80,4,5,147
28045030303,1737,1191,354,192,0,0,0,1315,75,95,32,19,201
28045030304,1243,765,296,182,0,0,0,921,58,99,9,12,144
28045030400,1500,727,435,337,0,1,0,1049,70,195,14,8,164
28045030501,1988,939,803,245,0,1,0,1632,80,43,20,15,198
28045030502,1829,750,855,224,0,0,0,1470,73,44,24,20,198
28045030503,3067,1322,1423,322,0,0,0,2483,113,77,25,44,325
28045030603,1705,699,797,209,0,0,0,1327,129,26,8,19,196
28045030604,2992,1477,1241,272,0,2,0,2418,149,75,20,21,309
28045030605,3112,1380,1364,368,0,0,0,2393,152,89,18,28,432
28045030606,1355,634,570,149,0,2,0,1091,56,46,4,10,148
28045990000,0,0,0,0,0,0,0,0,0,0,0,0,0
28011950100,2339,1044,121,1174,0,0,0,457,23,1782,12,7,58
28011950200,2010,926,103,980,0,1,0,366,19,1570,11,3,41
28011950300,2148,885,122,1140,0,1,0,399,25,1666,6,4,48
28011950400,2952,1183,319,1450,0,0,0,750,33,2043,14,13,99
28011950500,3163,1381,750,1032,0,0,0,1639,68,1321,15,14,106
28011950601,1790,805,618,367,0,0,0,1494,34,118,24,13,107
28011950602,1971,726,891,354,0,0,0,1611,34,140,29,14,143
28011950701,2752,1348,57,1345,0,2,0,401,42,2252,11,2,44
28011950702,2561,1379,96,1086,0,0,0,278,25,2205,16,7,30
28051950100,3104,1229,477,1395,0,3,0,744,16,2259,9,14,62
28051950200,2989,1142,274,1572,0,1,0,658,17,2211,19,8,76
28051950300,2184,896,105,1180,0,3,0,380,6,1714,17,1,66
28051950400,1381,474,185,721,0,1,0,312,13,990,9,10,47
28051950501,1816,707,101,1007,0,1,0,238,11,1488,9,0,70
28051950502,1431,554,52,825,0,0,0,209,17,1172,1,4,28
28073020101,2264,835,1192,237,0,0,0,1842,23,248,6,14,131
28073020102,4181,1530,2232,419,0,0,0,3506,55,381,30,23,186
28073020203,1715,708,707,300,0,0,0,1300,24,296,18,9,68
28073020204,2693,1063,1247,381,0,2,0,2245,48,227,22,13,138
28073020205,3061,1033,1672,356,0,0,0,2443,41,286,64,35,192
28073020206,3170,1161,1662,347,0,0,0,2632,60,202,42,38,196
28073020303,2504,1013,1056,435,0,0,0,1938,63,274,32,23,174
28073020304,2593,1076,798,719,0,0,0,1469,73,878,27,34,112
28073020305,1876,1063,429,384,0,0,0,909,70,771,32,8,86
28073020306,1420,782,313,325,0,0,0,681,37,594,9,19,80
28073020307,856,628,58,170,0,0,0,344,20,437,8,11,36
28073020308,1461,718,398,344,0,1,0,903,24,432,19,8,75
28073020401,1542,568,711,263,0,0,0,1055,25,369,11,8,74
28073020402,3057,1170,1708,179,0,0,0,2673,32,135,20,19,178
28073020501,2457,872,1442,142,0,1,0,2184,40,89,7,7,130
28073020502,2017,787,1078,152,0,0,0,1750,34,153,6,5,69
28073020600,2051,839,653,559,0,0,0,1124,40,791,5,5,86
28125950100,1792,570,277,945,0,0,0,707,14,983,11,3,74
28125950200,1681,556,240,885,0,0,0,453,11,1125,16,6,70
28157950100,3025,1210,482,1333,0,0,0,1018,34,1866,15,4,88
28157950201,2211,813,138,1258,0,2,0,353,25,1770,13,7,43
28157950202,1557,512,207,837,0,1,0,367,20,1098,7,3,62
28149950101,1086,466,240,380,0,0,0,442,14,589,9,1,31
28149950102,2129,806,964,358,0,1,0,1781,18,185,22,9,114
28149950200,2529,1177,215,1137,0,0,0,418,16,1991,34,6,64
28149950300,1491,802,88,601,0,0,0,295,27,1100,12,9,48
28149950400,1752,824,241,687,0,0,0,480,25,1162,12,7,66
28149950500,1139,547,251,341,0,0,0,494,15,556,18,5,51
28149950600,3803,1549,1113,1141,0,0,0,1881,60,1626,51,28,157
28149950700,1478,713,179,586,0,0,0,340,26,1067,11,6,28
28149950800,2256,952,446,858,0,0,0,829,37,1272,23,18,77
28149950901,3161,1180,1380,601,0,0,0,2334,32,566,34,21,174
28149950902,2410,1084,752,574,0,0,0,1485,27,775,14,16,93
28149951101,3466,1383,1158,925,0,0,0,2015,52,1247,18,15,119
28149951102,2423,1118,702,603,0,0,0,1167,56,1062,14,27,97
28025950100,3550,1134,833,1582,0,1,0,1304,38,2058,17,8,125
28025950200,1846,429,568,849,0,0,0,935,18,802,6,3,82
28025950300,2242,994,152,1096,0,0,0,407,26,1723,15,12,59
28025950400,3239,1220,650,1368,0,1,0,1223,35,1858,13,20,90
28025950500,2738,807,774,1156,0,1,0,1186,35,1410,12,11,84
28031950100,3633,1388,860,1385,0,0,0,1443,32,2042,16,10,90
28031950200,1504,760,257,487,0,0,0,577,19,852,7,5,44
28031950300,4287,1807,1131,1347,0,2,0,1828,44,2259,21,13,122
28031950401,2602,1068,1127,407,0,0,0,2074,21,385,10,7,105
28031950402,2632,1102,1228,302,0,0,0,2244,26,224,10,8,120
28147950101,2517,963,747,807,0,0,0,1177,33,1200,11,9,87
28147950102,2468,1046,594,828,0,0,0,1090,33,1200,14,15,116
28147950200,1102,450,295,357,0,0,0,562,20,455,8,2,55
28147950301,2686,1147,676,863,0,0,0,1262,35,1306,9,2,72
28147950302,1903,740,599,564,0,0,0,1214,19,588,7,4,71
